,VAV1,Akt_pS473,VHL,YAP_pS127,Stathmin,alpha-Catenin,beta-Catenin,Claudin-7,HER3,Heregulin,p62 Lck ligand,SF2,PI3K-p110-alpha,Chk1,Raptor,PEA15,Chk1_pS345,p90RSK_pT573,Bcl-2,Bax,Caspase-7_cleavedD198,MIG-6,Src_pY416,MAPK_pT202_Y204,Tuberin_pT1462,N-Cadherin,p21,EGFR,Lck,Transglutaminase
4,0.0,1.0,13.0,5.0,2.0,7.0,4.0,27.0,66.0,10.0,28.0,54.0,26.0,21.0,11.0,15.0,71.0,51.0,18.0,83.0,6.0,3.0,8.0,24.0,69.0,32.0,57.0,58.0,86.0,63.0
53,1.0,0.0,7.0,11.0,2.0,4.0,3.0,19.0,14.0,18.0,8.0,24.0,46.0,12.0,5.0,17.0,10.0,137.0,48.0,20.0,43.0,9.0,71.0,62.0,26.0,33.0,50.0,75.0,21.0,86.0
102,1.0,0.0,2.0,5.0,3.0,28.0,12.0,17.0,27.0,16.0,6.0,10.0,25.0,19.0,18.0,4.0,86.0,9.0,26.0,60.0,7.0,31.0,40.0,47.0,33.0,59.0,70.0,65.0,57.0,113.0
151,0.0,1.0,2.0,6.0,5.0,7.0,14.0,10.0,12.0,9.0,30.0,39.0,17.0,16.0,3.0,20.0,31.0,8.0,28.0,35.0,48.0,4.0,34.0,13.0,24.0,74.0,50.0,43.0,99.0,25.0
200,1.0,0.0,5.0,4.0,2.0,23.0,11.0,15.0,19.0,8.0,3.0,7.0,62.0,9.0,10.0,14.0,33.0,25.0,85.0,137.0,6.0,39.0,12.0,30.0,31.0,61.0,160.0,44.0,18.0,34.0
249,1.0,0.0,3.0,2.0,5.0,22.0,13.0,8.0,19.0,6.0,4.0,16.0,17.0,21.0,9.0,15.0,28.0,10.0,141.0,61.0,109.0,12.0,59.0,82.0,29.0,112.0,44.0,39.0,133.0,35.0
298,1.0,0.0,5.0,4.0,3.0,2.0,9.0,28.0,23.0,8.0,31.0,13.0,63.0,15.0,6.0,25.0,48.0,7.0,109.0,111.0,65.0,14.0,11.0,37.0,83.0,103.0,60.0,20.0,16.0,17.0
347,1.0,0.0,2.0,18.0,3.0,6.0,9.0,17.0,5.0,4.0,16.0,11.0,29.0,12.0,14.0,8.0,93.0,49.0,77.0,30.0,39.0,40.0,24.0,10.0,25.0,23.0,19.0,80.0,34.0,48.0
396,0.0,1.0,7.0,2.0,3.0,13.0,6.0,23.0,22.0,81.0,5.0,8.0,27.0,48.0,10.0,4.0,72.0,9.0,12.0,24.0,31.0,21.0,90.0,152.0,15.0,95.0,82.0,59.0,51.0,47.0
445,1.0,0.0,2.0,5.0,4.0,12.0,53.0,37.0,9.0,3.0,6.0,139.0,10.0,33.0,7.0,13.0,56.0,14.0,107.0,63.0,54.0,22.0,136.0,11.0,87.0,18.0,62.0,92.0,46.0,25.0
494,1.0,0.0,6.0,2.0,4.0,3.0,7.0,46.0,5.0,8.0,10.0,21.0,43.0,54.0,35.0,42.0,11.0,73.0,12.0,20.0,39.0,14.0,32.0,27.0,30.0,16.0,49.0,36.0,22.0,67.0
543,0.0,1.0,2.0,14.0,3.0,5.0,11.0,4.0,33.0,29.0,15.0,81.0,62.0,106.0,42.0,58.0,18.0,6.0,19.0,44.0,130.0,104.0,9.0,23.0,13.0,111.0,55.0,54.0,35.0,105.0
592,1.0,0.0,7.0,6.0,3.0,2.0,13.0,15.0,22.0,9.0,10.0,64.0,61.0,21.0,8.0,55.0,5.0,4.0,63.0,48.0,24.0,20.0,62.0,35.0,31.0,88.0,27.0,40.0,17.0,52.0
641,0.0,3.0,2.0,1.0,5.0,19.0,18.0,23.0,4.0,14.0,22.0,21.0,39.0,99.0,32.0,87.0,7.0,57.0,10.0,6.0,60.0,65.0,158.0,70.0,89.0,38.0,11.0,41.0,66.0,8.0
690,1.0,0.0,16.0,5.0,2.0,4.0,32.0,7.0,6.0,3.0,19.0,14.0,36.0,29.0,49.0,72.0,17.0,24.0,48.0,18.0,22.0,21.0,107.0,9.0,28.0,34.0,25.0,91.0,27.0,43.0
739,1.0,0.0,5.0,6.0,7.0,3.0,8.0,4.0,9.0,11.0,15.0,84.0,57.0,67.0,23.0,113.0,2.0,139.0,14.0,12.0,10.0,65.0,37.0,46.0,30.0,40.0,17.0,58.0,39.0,103.0
788,0.0,3.0,4.0,1.0,2.0,5.0,27.0,16.0,23.0,7.0,13.0,20.0,10.0,121.0,14.0,81.0,6.0,123.0,17.0,8.0,12.0,133.0,21.0,98.0,58.0,140.0,119.0,34.0,11.0,38.0
837,0.0,1.0,3.0,2.0,4.0,5.0,9.0,20.0,15.0,28.0,13.0,50.0,24.0,93.0,76.0,75.0,37.0,47.0,19.0,45.0,10.0,48.0,43.0,25.0,40.0,34.0,61.0,112.0,11.0,6.0
886,0.0,1.0,2.0,7.0,12.0,3.0,13.0,29.0,5.0,19.0,6.0,52.0,16.0,66.0,9.0,32.0,4.0,46.0,10.0,8.0,41.0,49.0,38.0,71.0,67.0,24.0,25.0,22.0,35.0,53.0
935,1.0,2.0,3.0,0.0,4.0,6.0,51.0,34.0,5.0,7.0,32.0,124.0,118.0,21.0,26.0,41.0,11.0,52.0,28.0,30.0,29.0,43.0,107.0,54.0,61.0,132.0,72.0,96.0,105.0,24.0
984,0.0,1.0,4.0,6.0,2.0,3.0,7.0,8.0,25.0,5.0,10.0,72.0,11.0,9.0,45.0,46.0,139.0,15.0,122.0,16.0,69.0,23.0,14.0,26.0,43.0,48.0,153.0,17.0,32.0,27.0
1033,0.0,1.0,2.0,11.0,4.0,3.0,6.0,10.0,85.0,12.0,8.0,18.0,31.0,14.0,25.0,68.0,80.0,13.0,27.0,77.0,159.0,55.0,141.0,108.0,24.0,60.0,40.0,15.0,54.0,42.0
1082,1.0,0.0,3.0,5.0,2.0,23.0,22.0,8.0,9.0,4.0,63.0,59.0,25.0,6.0,27.0,98.0,55.0,29.0,157.0,85.0,44.0,10.0,20.0,78.0,11.0,15.0,35.0,39.0,7.0,34.0
1131,0.0,1.0,10.0,5.0,2.0,3.0,7.0,27.0,8.0,4.0,9.0,76.0,6.0,13.0,58.0,19.0,15.0,16.0,32.0,11.0,14.0,120.0,18.0,139.0,41.0,33.0,126.0,12.0,45.0,43.0
1180,0.0,1.0,3.0,2.0,5.0,15.0,10.0,29.0,27.0,9.0,43.0,17.0,4.0,7.0,57.0,69.0,138.0,11.0,8.0,76.0,12.0,46.0,48.0,116.0,6.0,32.0,30.0,28.0,94.0,111.0
1229,0.0,1.0,2.0,5.0,6.0,10.0,8.0,3.0,13.0,12.0,20.0,21.0,9.0,17.0,41.0,36.0,32.0,30.0,148.0,39.0,83.0,37.0,100.0,84.0,90.0,4.0,29.0,19.0,73.0,33.0
1278,0.0,1.0,3.0,7.0,2.0,5.0,10.0,9.0,6.0,4.0,24.0,25.0,11.0,12.0,43.0,17.0,67.0,79.0,126.0,38.0,64.0,13.0,28.0,34.0,37.0,29.0,60.0,22.0,20.0,74.0
1327,0.0,1.0,2.0,24.0,3.0,6.0,8.0,9.0,22.0,7.0,23.0,33.0,4.0,62.0,19.0,46.0,75.0,5.0,58.0,18.0,36.0,42.0,41.0,52.0,90.0,76.0,134.0,14.0,11.0,153.0
