,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
28,89.0,11.0,0.0,425.0,81.0,7.0,1.0,17.0,268.0,38.0,270.0,28.0,11610.0,6.0,16685.0,1279.0,178.0,17003.0,2413.0,3.0,126.0,84.0,5018.0,2760.0,1921.0,4.0,163.0,2.0,16.0,12123.0
77,42.0,16.0,71.0,3889.0,133.0,646.0,18.0,12.0,7.0,23.0,58.0,99.0,12445.0,34.0,32.0,73.0,3882.0,29.0,418.0,8.0,2688.0,4.0,2220.0,2542.0,3890.0,10581.0,13784.0,199.0,170.0,716.0
126,704.0,385.0,29.0,4539.0,125.0,5.0,10.0,0.0,130.0,47.0,74.0,7.0,12599.0,7149.0,16.0,222.0,266.0,113.0,21.0,19.0,13491.0,4.0,193.0,332.0,4592.0,324.0,13834.0,23769.0,1012.0,1845.0
175,11078.0,10801.0,33.0,2741.0,148.0,10730.0,18.0,1.0,96.0,268.0,124.0,2411.0,55.0,2.0,870.0,1832.0,4000.0,32.0,20691.0,136.0,961.0,224.0,2704.0,12.0,234.0,1449.0,402.0,745.0,178.0,241.0
224,137.0,1201.0,0.0,287.0,3.0,1361.0,96.0,7608.0,80.0,167.0,2702.0,61.0,500.0,25.0,16643.0,16932.0,4100.0,172.0,210.0,1.0,139.0,31.0,4084.0,8.0,7.0,6.0,13810.0,632.0,2302.0,1382.0
273,11056.0,37.0,8.0,2003.0,343.0,10251.0,4.0,3.0,122.0,375.0,760.0,44.0,12479.0,11.0,1215.0,32.0,3877.0,16810.0,20665.0,7595.0,6.0,16480.0,3886.0,15359.0,757.0,73.0,15.0,52.0,128.0,2205.0
322,2.0,21.0,95.0,3485.0,0.0,42.0,20630.0,173.0,12161.0,22738.0,3431.0,390.0,231.0,23.0,206.0,90.0,3456.0,2651.0,20897.0,1076.0,45.0,726.0,931.0,129.0,34.0,38.0,4.0,23745.0,4294.0,462.0
371,3.0,10821.0,5.0,3944.0,156.0,57.0,20684.0,2.0,1401.0,139.0,3953.0,8.0,159.0,164.0,250.0,16975.0,3934.0,150.0,113.0,41.0,17.0,1324.0,189.0,37.0,3941.0,0.0,166.0,338.0,4321.0,12168.0
420,6.0,10792.0,114.0,3735.0,4848.0,855.0,29.0,21.0,161.0,474.0,171.0,0.0,2544.0,6846.0,185.0,8.0,366.0,2.0,761.0,56.0,1.0,16509.0,164.0,231.0,3738.0,69.0,2468.0,568.0,277.0,12317.0
469,26.0,117.0,13.0,3928.0,1429.0,0.0,50.0,8601.0,11674.0,12.0,3612.0,24078.0,427.0,23.0,160.0,488.0,3629.0,21.0,39.0,31.0,383.0,75.0,3621.0,15365.0,2626.0,1.0,589.0,1800.0,32.0,12277.0
