,valerylcarnitine,niacinamide,palmitoylcarnitine,creatine,GABA,C36:4 PC-B,malondialdehyde,3-phosphoglycerate,carnitine,1-methylnicotinamide,pyroglutamic acid,asparagine,beta-alanine,adenosine,acetylcholine,C34:2 DAG,dCMP,C34:4 PC,C18:0 LPC,inositol,cytidine,DHAP/glyceraldehyde 3P,2-deoxycytidine,glutamine,C16:0 LPE,serine,C56:3 TAG,butyrylcarnitine/isobutyrylcarnitine,alpha-hydroxybutyrate,NADP
27,31.0,2.0,6.0,13.0,16.0,10.0,26.0,3.0,5.0,17.0,20.0,24.0,34.0,23.0,60.0,11.0,8.0,9.0,35.0,4.0,0.0,38.0,18.0,49.0,12.0,48.0,25.0,1.0,52.0,47.0
76,9.0,5.0,13.0,20.0,22.0,30.0,23.0,14.0,21.0,2.0,55.0,59.0,15.0,64.0,19.0,6.0,28.0,7.0,40.0,31.0,27.0,29.0,25.0,11.0,34.0,58.0,66.0,39.0,24.0,54.0
125,18.0,16.0,3.0,14.0,19.0,31.0,6.0,1.0,15.0,43.0,36.0,5.0,4.0,12.0,64.0,9.0,10.0,24.0,37.0,26.0,25.0,50.0,35.0,23.0,41.0,29.0,66.0,17.0,8.0,56.0
174,1.0,57.0,8.0,2.0,54.0,21.0,29.0,3.0,9.0,48.0,49.0,0.0,18.0,61.0,14.0,22.0,31.0,20.0,40.0,10.0,6.0,37.0,16.0,50.0,19.0,24.0,66.0,45.0,5.0,64.0
223,4.0,1.0,6.0,17.0,3.0,2.0,18.0,20.0,9.0,16.0,39.0,15.0,5.0,43.0,63.0,36.0,24.0,27.0,35.0,7.0,11.0,10.0,28.0,14.0,0.0,55.0,66.0,19.0,8.0,49.0
272,12.0,13.0,4.0,14.0,2.0,0.0,1.0,20.0,10.0,28.0,55.0,65.0,33.0,11.0,9.0,24.0,8.0,5.0,43.0,18.0,22.0,23.0,6.0,57.0,34.0,17.0,66.0,38.0,3.0,54.0
321,7.0,15.0,1.0,17.0,10.0,12.0,20.0,0.0,2.0,19.0,21.0,5.0,33.0,31.0,64.0,4.0,48.0,9.0,36.0,13.0,47.0,24.0,23.0,18.0,32.0,56.0,66.0,8.0,3.0,27.0
370,22.0,15.0,6.0,13.0,18.0,3.0,58.0,8.0,19.0,38.0,14.0,5.0,0.0,12.0,4.0,9.0,10.0,23.0,40.0,26.0,24.0,49.0,25.0,1.0,42.0,59.0,66.0,21.0,28.0,53.0
419,19.0,3.0,6.0,1.0,5.0,12.0,32.0,9.0,17.0,2.0,40.0,24.0,0.0,64.0,15.0,11.0,18.0,22.0,39.0,25.0,10.0,48.0,54.0,21.0,31.0,23.0,66.0,4.0,57.0,30.0
468,18.0,2.0,30.0,13.0,4.0,10.0,21.0,1.0,16.0,36.0,40.0,0.0,3.0,23.0,14.0,9.0,11.0,41.0,39.0,5.0,22.0,27.0,24.0,19.0,31.0,12.0,66.0,17.0,6.0,52.0
517,4.0,16.0,5.0,7.0,15.0,10.0,9.0,17.0,52.0,6.0,18.0,2.0,21.0,26.0,13.0,45.0,8.0,50.0,22.0,30.0,38.0,40.0,55.0,0.0,24.0,42.0,28.0,19.0,31.0,3.0
566,6.0,0.0,1.0,4.0,60.0,11.0,30.0,10.0,19.0,16.0,15.0,3.0,8.0,44.0,64.0,32.0,24.0,37.0,28.0,25.0,2.0,48.0,42.0,23.0,9.0,59.0,66.0,38.0,7.0,51.0
615,17.0,5.0,7.0,11.0,2.0,23.0,3.0,0.0,52.0,15.0,25.0,37.0,19.0,13.0,57.0,44.0,32.0,22.0,20.0,29.0,1.0,31.0,14.0,28.0,21.0,63.0,27.0,51.0,4.0,65.0
664,8.0,3.0,0.0,2.0,17.0,15.0,24.0,42.0,36.0,5.0,4.0,7.0,10.0,14.0,43.0,41.0,18.0,16.0,11.0,59.0,30.0,47.0,33.0,6.0,21.0,22.0,13.0,29.0,25.0,51.0
713,1.0,11.0,0.0,12.0,2.0,5.0,26.0,25.0,9.0,18.0,16.0,24.0,20.0,61.0,58.0,41.0,36.0,39.0,7.0,27.0,33.0,31.0,17.0,10.0,6.0,56.0,3.0,34.0,4.0,48.0
762,18.0,5.0,19.0,6.0,13.0,25.0,30.0,16.0,7.0,17.0,0.0,2.0,20.0,60.0,14.0,40.0,32.0,24.0,1.0,45.0,31.0,46.0,58.0,10.0,22.0,3.0,35.0,52.0,4.0,8.0
811,1.0,8.0,3.0,12.0,10.0,26.0,20.0,42.0,15.0,40.0,27.0,18.0,25.0,65.0,64.0,23.0,21.0,28.0,9.0,58.0,19.0,46.0,36.0,17.0,11.0,7.0,4.0,35.0,2.0,13.0
860,8.0,1.0,6.0,13.0,0.0,21.0,16.0,4.0,2.0,37.0,11.0,14.0,17.0,44.0,64.0,24.0,23.0,33.0,20.0,56.0,22.0,10.0,28.0,57.0,5.0,15.0,66.0,35.0,3.0,27.0
909,3.0,1.0,17.0,12.0,15.0,9.0,5.0,41.0,13.0,18.0,11.0,2.0,35.0,20.0,64.0,10.0,23.0,26.0,0.0,55.0,46.0,24.0,8.0,57.0,33.0,56.0,66.0,31.0,19.0,49.0
958,4.0,14.0,23.0,15.0,2.0,8.0,3.0,25.0,21.0,50.0,19.0,6.0,9.0,17.0,56.0,43.0,7.0,41.0,24.0,27.0,34.0,32.0,18.0,1.0,20.0,29.0,66.0,65.0,39.0,0.0
1007,33.0,6.0,12.0,2.0,20.0,11.0,48.0,5.0,37.0,56.0,4.0,13.0,10.0,14.0,59.0,41.0,29.0,39.0,15.0,9.0,30.0,3.0,7.0,22.0,45.0,31.0,24.0,32.0,25.0,62.0
1056,39.0,2.0,16.0,3.0,14.0,41.0,58.0,47.0,44.0,35.0,9.0,5.0,40.0,18.0,64.0,1.0,24.0,28.0,11.0,8.0,52.0,25.0,19.0,60.0,38.0,59.0,22.0,21.0,65.0,54.0
1105,13.0,1.0,3.0,5.0,2.0,29.0,57.0,43.0,19.0,15.0,16.0,11.0,42.0,28.0,54.0,25.0,7.0,34.0,21.0,0.0,24.0,48.0,6.0,12.0,4.0,58.0,14.0,10.0,56.0,9.0
1154,8.0,1.0,44.0,0.0,4.0,21.0,48.0,23.0,13.0,6.0,14.0,3.0,42.0,61.0,58.0,11.0,45.0,47.0,10.0,5.0,9.0,31.0,63.0,20.0,40.0,2.0,7.0,37.0,12.0,57.0
1203,18.0,11.0,19.0,9.0,15.0,21.0,3.0,16.0,57.0,49.0,7.0,8.0,36.0,24.0,58.0,0.0,4.0,20.0,37.0,26.0,40.0,33.0,2.0,12.0,39.0,64.0,25.0,48.0,27.0,60.0
1252,14.0,2.0,35.0,0.0,22.0,12.0,55.0,1.0,57.0,13.0,7.0,34.0,37.0,6.0,18.0,10.0,33.0,42.0,38.0,56.0,41.0,11.0,9.0,26.0,40.0,54.0,27.0,48.0,65.0,63.0
1301,20.0,13.0,21.0,9.0,16.0,6.0,2.0,22.0,15.0,12.0,8.0,19.0,4.0,11.0,63.0,7.0,1.0,36.0,38.0,14.0,25.0,26.0,0.0,57.0,37.0,65.0,66.0,40.0,34.0,30.0
1350,2.0,6.0,35.0,1.0,0.0,23.0,30.0,11.0,19.0,17.0,16.0,50.0,7.0,13.0,65.0,4.0,33.0,22.0,37.0,5.0,40.0,34.0,3.0,56.0,20.0,51.0,27.0,45.0,55.0,64.0
1399,8.0,1.0,36.0,10.0,12.0,22.0,53.0,15.0,50.0,20.0,19.0,3.0,38.0,16.0,14.0,0.0,5.0,6.0,21.0,54.0,29.0,42.0,26.0,33.0,47.0,52.0,27.0,57.0,30.0,63.0
1448,10.0,57.0,14.0,7.0,0.0,18.0,23.0,1.0,13.0,65.0,9.0,48.0,38.0,61.0,5.0,19.0,29.0,17.0,15.0,47.0,28.0,6.0,63.0,49.0,8.0,22.0,24.0,11.0,46.0,36.0
1497,18.0,17.0,20.0,14.0,5.0,30.0,26.0,1.0,3.0,42.0,24.0,65.0,22.0,4.0,63.0,31.0,11.0,34.0,37.0,33.0,10.0,9.0,55.0,23.0,2.0,56.0,8.0,16.0,32.0,7.0
1546,15.0,5.0,36.0,47.0,17.0,26.0,24.0,1.0,2.0,14.0,3.0,22.0,0.0,20.0,34.0,29.0,61.0,21.0,39.0,25.0,12.0,13.0,33.0,54.0,19.0,23.0,11.0,30.0,6.0,10.0
1595,4.0,12.0,21.0,15.0,10.0,20.0,31.0,26.0,52.0,6.0,54.0,30.0,22.0,25.0,13.0,19.0,34.0,8.0,23.0,61.0,32.0,50.0,17.0,29.0,9.0,3.0,27.0,65.0,33.0,28.0
1644,8.0,20.0,25.0,4.0,2.0,41.0,6.0,26.0,65.0,5.0,16.0,24.0,13.0,63.0,60.0,21.0,33.0,1.0,15.0,32.0,31.0,10.0,49.0,39.0,19.0,12.0,0.0,34.0,51.0,9.0
1693,18.0,13.0,19.0,14.0,60.0,22.0,2.0,15.0,24.0,23.0,58.0,16.0,1.0,8.0,38.0,0.0,47.0,4.0,20.0,26.0,29.0,49.0,9.0,10.0,5.0,57.0,37.0,17.0,3.0,31.0
1742,7.0,6.0,2.0,8.0,10.0,21.0,26.0,25.0,15.0,16.0,23.0,24.0,1.0,13.0,62.0,22.0,5.0,3.0,19.0,35.0,4.0,28.0,14.0,42.0,20.0,55.0,0.0,53.0,37.0,31.0
1791,22.0,2.0,15.0,13.0,8.0,25.0,21.0,0.0,32.0,18.0,43.0,19.0,7.0,1.0,62.0,5.0,23.0,38.0,35.0,4.0,29.0,31.0,45.0,9.0,20.0,54.0,12.0,33.0,52.0,26.0
1840,5.0,0.0,44.0,21.0,3.0,23.0,7.0,1.0,17.0,4.0,18.0,30.0,14.0,20.0,59.0,13.0,32.0,36.0,24.0,33.0,12.0,11.0,63.0,25.0,16.0,27.0,26.0,46.0,53.0,9.0
1889,0.0,27.0,18.0,22.0,30.0,15.0,7.0,33.0,4.0,23.0,24.0,6.0,3.0,21.0,44.0,11.0,1.0,9.0,34.0,20.0,14.0,19.0,42.0,17.0,10.0,58.0,66.0,5.0,57.0,51.0
1938,2.0,1.0,35.0,17.0,19.0,40.0,12.0,24.0,7.0,13.0,15.0,22.0,9.0,5.0,59.0,11.0,36.0,39.0,10.0,48.0,32.0,30.0,63.0,21.0,16.0,0.0,3.0,33.0,25.0,6.0
1987,13.0,35.0,4.0,21.0,5.0,32.0,22.0,0.0,2.0,24.0,12.0,58.0,6.0,25.0,3.0,10.0,1.0,30.0,39.0,65.0,16.0,11.0,46.0,59.0,41.0,57.0,66.0,43.0,9.0,33.0
2036,13.0,58.0,10.0,16.0,4.0,42.0,8.0,24.0,9.0,11.0,12.0,39.0,36.0,14.0,5.0,22.0,2.0,19.0,37.0,7.0,30.0,26.0,62.0,3.0,17.0,27.0,66.0,57.0,51.0,1.0
2085,8.0,10.0,1.0,12.0,60.0,21.0,0.0,20.0,9.0,16.0,11.0,18.0,5.0,27.0,64.0,23.0,47.0,4.0,35.0,14.0,22.0,24.0,32.0,7.0,29.0,57.0,66.0,31.0,13.0,2.0
2134,22.0,16.0,4.0,19.0,23.0,0.0,2.0,14.0,42.0,8.0,37.0,60.0,29.0,20.0,18.0,41.0,51.0,28.0,34.0,1.0,27.0,52.0,21.0,13.0,32.0,11.0,66.0,39.0,24.0,9.0
2183,1.0,2.0,10.0,3.0,54.0,4.0,30.0,16.0,18.0,24.0,15.0,29.0,9.0,13.0,11.0,21.0,5.0,7.0,40.0,32.0,31.0,6.0,14.0,49.0,8.0,28.0,26.0,57.0,65.0,48.0
2232,12.0,62.0,11.0,17.0,5.0,32.0,8.0,45.0,16.0,25.0,37.0,22.0,1.0,10.0,63.0,9.0,27.0,7.0,35.0,29.0,26.0,50.0,46.0,21.0,4.0,6.0,23.0,39.0,24.0,31.0
2281,38.0,21.0,1.0,12.0,60.0,32.0,3.0,46.0,43.0,26.0,33.0,18.0,34.0,64.0,11.0,8.0,0.0,6.0,23.0,13.0,10.0,50.0,20.0,4.0,37.0,19.0,22.0,42.0,2.0,52.0
2330,19.0,1.0,21.0,3.0,2.0,10.0,5.0,0.0,13.0,8.0,27.0,24.0,22.0,14.0,16.0,9.0,26.0,32.0,46.0,59.0,35.0,52.0,12.0,25.0,42.0,4.0,66.0,39.0,28.0,31.0
2379,7.0,65.0,1.0,11.0,0.0,21.0,2.0,16.0,57.0,8.0,18.0,9.0,6.0,12.0,15.0,3.0,37.0,5.0,19.0,27.0,32.0,30.0,17.0,51.0,20.0,34.0,24.0,48.0,25.0,10.0
2428,34.0,19.0,3.0,16.0,53.0,12.0,8.0,25.0,47.0,15.0,24.0,22.0,10.0,4.0,18.0,1.0,31.0,11.0,17.0,0.0,30.0,37.0,14.0,48.0,38.0,9.0,26.0,33.0,32.0,62.0
2477,2.0,14.0,18.0,3.0,53.0,11.0,6.0,66.0,22.0,21.0,20.0,0.0,35.0,1.0,15.0,10.0,9.0,16.0,12.0,30.0,32.0,8.0,17.0,37.0,47.0,49.0,26.0,23.0,57.0,7.0
2526,21.0,7.0,22.0,12.0,3.0,25.0,60.0,16.0,19.0,17.0,27.0,32.0,38.0,14.0,11.0,4.0,6.0,0.0,39.0,8.0,5.0,43.0,1.0,64.0,50.0,63.0,29.0,20.0,58.0,37.0
2575,0.0,14.0,6.0,4.0,52.0,18.0,32.0,27.0,22.0,21.0,20.0,53.0,38.0,1.0,16.0,17.0,39.0,2.0,11.0,55.0,42.0,10.0,61.0,30.0,19.0,54.0,28.0,23.0,56.0,36.0
2624,5.0,14.0,4.0,15.0,11.0,24.0,31.0,16.0,18.0,17.0,27.0,7.0,20.0,6.0,59.0,25.0,35.0,23.0,21.0,3.0,40.0,1.0,26.0,52.0,22.0,30.0,28.0,19.0,0.0,32.0
2673,5.0,2.0,9.0,18.0,15.0,25.0,6.0,42.0,3.0,16.0,17.0,56.0,0.0,21.0,64.0,27.0,31.0,10.0,20.0,55.0,1.0,8.0,22.0,13.0,4.0,12.0,11.0,14.0,54.0,26.0
2722,7.0,0.0,6.0,2.0,12.0,23.0,28.0,16.0,8.0,17.0,26.0,4.0,20.0,9.0,15.0,24.0,30.0,41.0,21.0,5.0,32.0,37.0,3.0,50.0,22.0,52.0,27.0,18.0,29.0,64.0
