,hsa-miR-142-5p,hsa-let-7e,hsa-miR-425,hsa-miR-223,hsa-miR-218,hsa-miR-147b,hsa-miR-1307,hsa-miR-106b,hsa-miR-642,hsa-miR-151-3p,hsa-miR-155,hsa-miR-24,hsa-miR-1977,hsa-miR-297,hsa-miR-578,hsa-miR-15b,hcmv-miR-US33-3p,hsa-miR-744,hsa-miR-630,hsa-miR-944,hsa-miR-101,hsa-miR-1248,hsa-miR-206,hsa-miR-320d,hsa-miR-769-5p,hsa-miR-133b,hsa-miR-379,hsv1-miR-H1,hsa-miR-599,hsa-miR-1245
18,2.0,0.0,1.0,250.0,68.0,5.0,128.0,14.0,18.0,377.0,3.0,25.0,4.0,15.0,78.0,100.0,150.0,12.0,22.0,27.0,352.0,92.0,139.0,83.0,130.0,233.0,110.0,11.0,483.0,111.0
67,1.0,0.0,2.0,34.0,76.0,41.0,13.0,97.0,10.0,49.0,35.0,562.0,146.0,5.0,3.0,23.0,193.0,152.0,58.0,30.0,88.0,26.0,15.0,11.0,74.0,56.0,168.0,9.0,6.0,478.0
116,4.0,0.0,1.0,95.0,6.0,2.0,8.0,82.0,3.0,213.0,383.0,236.0,16.0,26.0,7.0,271.0,49.0,32.0,177.0,22.0,63.0,260.0,40.0,265.0,33.0,83.0,597.0,38.0,5.0,85.0
165,0.0,5.0,1.0,13.0,9.0,18.0,2.0,6.0,3.0,151.0,212.0,385.0,370.0,4.0,38.0,51.0,14.0,37.0,208.0,10.0,113.0,22.0,198.0,35.0,21.0,40.0,119.0,11.0,227.0,159.0
214,2.0,1.0,0.0,99.0,4.0,90.0,10.0,104.0,6.0,221.0,36.0,372.0,22.0,74.0,5.0,47.0,8.0,3.0,44.0,27.0,40.0,201.0,522.0,562.0,115.0,332.0,327.0,13.0,24.0,112.0
263,1.0,0.0,4.0,198.0,214.0,89.0,11.0,16.0,12.0,56.0,3.0,14.0,117.0,93.0,9.0,64.0,291.0,7.0,10.0,165.0,225.0,184.0,22.0,68.0,63.0,238.0,162.0,2.0,13.0,6.0
312,0.0,2.0,1.0,47.0,5.0,198.0,11.0,150.0,23.0,395.0,6.0,99.0,29.0,3.0,72.0,141.0,55.0,96.0,4.0,18.0,153.0,34.0,15.0,12.0,67.0,52.0,73.0,84.0,446.0,10.0
361,1.0,0.0,2.0,197.0,59.0,475.0,11.0,15.0,206.0,149.0,65.0,67.0,10.0,26.0,21.0,141.0,125.0,106.0,124.0,448.0,44.0,195.0,4.0,94.0,74.0,39.0,25.0,7.0,46.0,30.0
410,0.0,2.0,1.0,6.0,4.0,5.0,10.0,47.0,3.0,324.0,35.0,8.0,177.0,166.0,51.0,9.0,15.0,127.0,363.0,147.0,469.0,32.0,170.0,76.0,34.0,36.0,286.0,83.0,18.0,498.0
459,0.0,1.0,2.0,21.0,15.0,11.0,6.0,41.0,8.0,46.0,66.0,158.0,112.0,18.0,3.0,7.0,145.0,40.0,35.0,32.0,9.0,20.0,73.0,5.0,16.0,10.0,560.0,12.0,65.0,39.0
