,hsa-miR-574-5p,hsa-miR-1245,hsa-miR-1307,hsa-miR-744,hsa-miR-769-5p,hsa-miR-1197,hsa-miR-642,hsa-miR-944,hsa-miR-762,hsa-miR-425,hsa-miR-1248,ebv-miR-BART18-3p,hsa-miR-581,hsa-miR-155,hsa-miR-551b,hsa-miR-582-5p,hsa-miR-142-5p,hsa-miR-133b,hsa-miR-885-3p,hsa-miR-630,hsa-miR-330-3p,hsa-miR-223,hsa-miR-579,hsa-miR-34c-5p,hsa-miR-601,hsa-miR-584,hsa-miR-34c-3p,hsa-miR-1301,hsa-miR-1226,hsa-miR-125a-3p
16,12.0,13.0,5.0,0.0,10.0,31.0,7.0,2.0,15.0,3.0,11.0,22.0,16.0,1.0,17.0,18.0,44.0,34.0,30.0,4.0,8.0,93.0,53.0,151.0,85.0,46.0,140.0,6.0,122.0,56.0
65,0.0,14.0,4.0,8.0,20.0,5.0,3.0,18.0,2.0,1.0,22.0,6.0,21.0,16.0,7.0,9.0,31.0,13.0,50.0,15.0,12.0,34.0,43.0,45.0,39.0,27.0,49.0,10.0,68.0,38.0
114,7.0,5.0,2.0,4.0,9.0,18.0,0.0,10.0,14.0,1.0,50.0,6.0,16.0,23.0,11.0,3.0,69.0,12.0,59.0,54.0,17.0,36.0,55.0,13.0,22.0,61.0,26.0,8.0,62.0,82.0
163,27.0,8.0,0.0,6.0,4.0,5.0,1.0,9.0,17.0,2.0,19.0,20.0,32.0,14.0,3.0,21.0,40.0,16.0,24.0,53.0,7.0,38.0,30.0,15.0,11.0,10.0,34.0,18.0,80.0,31.0
212,22.0,36.0,3.0,0.0,12.0,4.0,2.0,17.0,25.0,1.0,29.0,15.0,8.0,16.0,9.0,6.0,27.0,30.0,41.0,18.0,5.0,54.0,21.0,66.0,26.0,75.0,67.0,19.0,49.0,23.0
261,30.0,5.0,0.0,1.0,3.0,8.0,4.0,14.0,6.0,7.0,49.0,16.0,17.0,2.0,35.0,13.0,9.0,12.0,78.0,22.0,37.0,67.0,76.0,43.0,11.0,21.0,115.0,10.0,20.0,39.0
310,22.0,2.0,0.0,1.0,13.0,3.0,9.0,5.0,8.0,4.0,23.0,21.0,15.0,7.0,6.0,10.0,36.0,16.0,68.0,37.0,12.0,29.0,58.0,33.0,11.0,65.0,61.0,18.0,51.0,30.0
359,9.0,4.0,2.0,0.0,8.0,3.0,28.0,23.0,31.0,1.0,7.0,16.0,13.0,19.0,11.0,45.0,55.0,52.0,18.0,41.0,10.0,47.0,27.0,12.0,6.0,20.0,57.0,5.0,72.0,14.0
408,12.0,4.0,3.0,2.0,11.0,7.0,0.0,6.0,16.0,1.0,9.0,19.0,40.0,8.0,5.0,37.0,22.0,14.0,33.0,83.0,29.0,36.0,26.0,45.0,10.0,27.0,87.0,15.0,134.0,105.0
457,21.0,9.0,5.0,1.0,3.0,0.0,4.0,7.0,15.0,2.0,20.0,8.0,14.0,29.0,6.0,17.0,13.0,11.0,33.0,28.0,12.0,24.0,94.0,27.0,62.0,123.0,54.0,26.0,122.0,51.0
506,0.0,8.0,28.0,9.0,2.0,1.0,4.0,14.0,3.0,27.0,11.0,23.0,6.0,5.0,60.0,7.0,17.0,13.0,63.0,10.0,48.0,103.0,58.0,29.0,80.0,91.0,22.0,70.0,39.0,85.0
555,6.0,7.0,0.0,1.0,4.0,2.0,9.0,18.0,3.0,26.0,15.0,48.0,5.0,8.0,10.0,11.0,31.0,13.0,108.0,22.0,24.0,27.0,119.0,82.0,71.0,68.0,73.0,32.0,41.0,29.0
604,1.0,2.0,5.0,26.0,4.0,0.0,3.0,11.0,9.0,37.0,41.0,31.0,8.0,7.0,12.0,6.0,15.0,10.0,38.0,43.0,18.0,71.0,128.0,13.0,70.0,89.0,20.0,39.0,35.0,14.0
