,hsa-miR-425,hsa-let-7e,hsa-miR-28-3p,hsa-miR-1257,hsa-miR-302a,hsa-miR-642,hsa-miR-148a,hsa-miR-133b,hsa-miR-1307,hsa-miR-548d-3p,hsa-miR-2113,hsa-miR-331-5p,hsa-miR-10b,hsa-miR-518c,hsa-miR-218,hsa-miR-330-3p,hsa-miR-1226,hsa-miR-630,hsa-miR-15b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-1245,hsv1-miR-H1,hsa-miR-124,hsa-miR-34c-5p,hsa-miR-340,hsa-miR-302b,hsa-miR-155,hsa-miR-320d,hsa-let-7i,hsa-miR-597
19,8.0,75.0,129.0,57.0,136.0,93.0,25.0,38.0,81.0,30.0,97.0,27.0,160.0,552.0,16.0,102.0,70.0,34.0,32.0,35.0,442.0,84.0,109.0,611.0,617.0,574.0,53.0,116.0,114.0,211.0
68,16.0,10.0,120.0,434.0,44.0,98.0,383.0,133.0,87.0,171.0,60.0,121.0,158.0,93.0,103.0,71.0,40.0,73.0,152.0,95.0,75.0,46.0,442.0,90.0,35.0,129.0,51.0,598.0,460.0,36.0
117,9.0,139.0,107.0,41.0,86.0,54.0,393.0,108.0,114.0,199.0,99.0,16.0,94.0,70.0,154.0,22.0,101.0,65.0,74.0,45.0,67.0,132.0,33.0,112.0,106.0,50.0,385.0,169.0,56.0,141.0
166,6.0,92.0,89.0,80.0,83.0,52.0,56.0,126.0,139.0,186.0,91.0,19.0,452.0,60.0,84.0,47.0,441.0,319.0,372.0,43.0,76.0,85.0,97.0,95.0,34.0,29.0,111.0,598.0,457.0,103.0
215,16.0,68.0,53.0,70.0,69.0,57.0,116.0,172.0,67.0,60.0,139.0,31.0,456.0,33.0,105.0,43.0,102.0,50.0,25.0,44.0,83.0,48.0,26.0,610.0,615.0,569.0,12.0,85.0,461.0,59.0
264,9.0,56.0,61.0,54.0,119.0,78.0,41.0,87.0,37.0,211.0,26.0,60.0,120.0,102.0,587.0,618.0,29.0,85.0,81.0,108.0,435.0,69.0,23.0,606.0,15.0,130.0,73.0,22.0,460.0,95.0
313,10.0,137.0,42.0,35.0,126.0,104.0,25.0,83.0,60.0,226.0,408.0,13.0,110.0,102.0,4.0,29.0,447.0,61.0,5.0,105.0,118.0,97.0,165.0,86.0,90.0,39.0,64.0,596.0,462.0,103.0
362,11.0,19.0,61.0,74.0,101.0,58.0,150.0,456.0,60.0,12.0,102.0,56.0,323.0,89.0,46.0,47.0,207.0,184.0,65.0,44.0,73.0,106.0,94.0,575.0,93.0,115.0,52.0,594.0,119.0,27.0
411,13.0,25.0,112.0,90.0,83.0,69.0,41.0,134.0,120.0,239.0,62.0,12.0,40.0,556.0,432.0,16.0,450.0,358.0,80.0,36.0,78.0,86.0,82.0,142.0,18.0,579.0,383.0,567.0,461.0,122.0
460,28.0,17.0,42.0,61.0,55.0,78.0,64.0,24.0,396.0,128.0,46.0,154.0,162.0,549.0,39.0,25.0,446.0,326.0,163.0,84.0,80.0,50.0,440.0,605.0,612.0,567.0,19.0,623.0,114.0,101.0
509,39.0,12.0,13.0,143.0,124.0,68.0,54.0,111.0,161.0,200.0,0.0,623.0,50.0,30.0,52.0,625.0,48.0,34.0,45.0,38.0,443.0,127.0,136.0,91.0,5.0,579.0,47.0,566.0,112.0,194.0
558,25.0,30.0,145.0,157.0,85.0,104.0,398.0,76.0,67.0,23.0,71.0,569.0,176.0,562.0,152.0,150.0,114.0,68.0,389.0,287.0,56.0,118.0,447.0,115.0,113.0,35.0,12.0,577.0,144.0,65.0
