, TLR, VEGF, H2O2, JAK-STAT, TGFB, IL-1, MAPK_only, TNFa, MAPK_PI3K, PI3K_only, Wnt
40,0.0,1.0,7.0,4.0,3.0,2.0,6.0,8.0,9.0,10.0,5.0
89,0.0,1.0,2.0,10.0,7.0,5.0,4.0,9.0,3.0,8.0,6.0
138,1.0,9.0,0.0,4.0,2.0,7.0,6.0,3.0,5.0,10.0,8.0
187,0.0,7.0,1.0,4.0,3.0,5.0,6.0,8.0,9.0,10.0,2.0
236,1.0,5.0,3.0,0.0,2.0,4.0,6.0,9.0,8.0,10.0,7.0
285,0.0,7.0,1.0,5.0,2.0,9.0,10.0,4.0,6.0,8.0,3.0
334,0.0,7.0,2.0,3.0,4.0,1.0,8.0,6.0,5.0,9.0,10.0
383,0.0,1.0,2.0,3.0,9.0,4.0,8.0,6.0,10.0,7.0,5.0
432,0.0,7.0,2.0,8.0,4.0,9.0,5.0,10.0,1.0,3.0,6.0
481,2.0,3.0,5.0,6.0,4.0,1.0,8.0,10.0,7.0,9.0,0.0
530,2.0,0.0,8.0,1.0,3.0,7.0,10.0,9.0,4.0,6.0,5.0
579,1.0,0.0,8.0,3.0,4.0,6.0,7.0,5.0,9.0,10.0,2.0
628,1.0,6.0,3.0,2.0,4.0,0.0,5.0,7.0,10.0,9.0,8.0
677,7.0,1.0,2.0,0.0,9.0,6.0,10.0,5.0,8.0,4.0,3.0
726,0.0,2.0,5.0,1.0,6.0,4.0,9.0,3.0,7.0,10.0,8.0
775,2.0,0.0,4.0,1.0,6.0,3.0,5.0,9.0,7.0,8.0,10.0
824,4.0,1.0,3.0,0.0,5.0,2.0,7.0,6.0,9.0,8.0,10.0
873,3.0,0.0,9.0,1.0,2.0,6.0,7.0,5.0,4.0,8.0,10.0
922,3.0,0.0,7.0,2.0,1.0,5.0,4.0,8.0,6.0,9.0,10.0
971,3.0,1.0,6.0,0.0,5.0,2.0,7.0,8.0,4.0,9.0,10.0
1020,2.0,3.0,1.0,0.0,8.0,4.0,9.0,7.0,5.0,6.0,10.0
1069,1.0,7.0,0.0,2.0,3.0,6.0,9.0,5.0,8.0,10.0,4.0
1118,3.0,8.0,5.0,0.0,4.0,1.0,2.0,6.0,9.0,10.0,7.0
1167,3.0,4.0,0.0,2.0,1.0,5.0,9.0,8.0,10.0,7.0,6.0
1216,3.0,1.0,0.0,6.0,2.0,5.0,8.0,4.0,7.0,9.0,10.0
1265,2.0,1.0,0.0,4.0,5.0,3.0,7.0,10.0,9.0,8.0,6.0
1314,0.0,5.0,2.0,4.0,1.0,7.0,3.0,6.0,9.0,10.0,8.0
1363,4.0,2.0,9.0,0.0,3.0,1.0,6.0,8.0,5.0,10.0,7.0
1412,4.0,5.0,1.0,0.0,6.0,2.0,3.0,7.0,10.0,9.0,8.0
1461,6.0,0.0,3.0,4.0,5.0,7.0,9.0,1.0,8.0,2.0,10.0
1510,0.0,1.0,3.0,4.0,2.0,7.0,9.0,8.0,5.0,10.0,6.0
1559,0.0,3.0,2.0,7.0,6.0,8.0,1.0,5.0,10.0,9.0,4.0
1608,0.0,2.0,6.0,4.0,5.0,7.0,9.0,1.0,10.0,8.0,3.0
1657,0.0,2.0,1.0,4.0,3.0,7.0,5.0,10.0,6.0,8.0,9.0
1706,0.0,9.0,3.0,6.0,2.0,7.0,8.0,1.0,10.0,5.0,4.0
1755,0.0,1.0,5.0,3.0,2.0,10.0,6.0,9.0,8.0,7.0,4.0
1804,0.0,4.0,5.0,2.0,1.0,9.0,3.0,6.0,10.0,8.0,7.0
1853,0.0,5.0,1.0,6.0,2.0,4.0,3.0,7.0,10.0,9.0,8.0
1902,0.0,1.0,4.0,2.0,9.0,6.0,10.0,3.0,7.0,8.0,5.0
1951,0.0,2.0,1.0,8.0,4.0,7.0,3.0,6.0,5.0,9.0,10.0
2000,0.0,3.0,4.0,2.0,5.0,1.0,7.0,8.0,10.0,6.0,9.0
2049,0.0,1.0,3.0,2.0,8.0,10.0,7.0,4.0,6.0,5.0,9.0
2098,0.0,4.0,5.0,1.0,3.0,10.0,8.0,6.0,2.0,7.0,9.0
2147,1.0,0.0,4.0,7.0,3.0,8.0,5.0,6.0,10.0,2.0,9.0
2196,1.0,3.0,8.0,5.0,4.0,2.0,9.0,6.0,10.0,0.0,7.0
2245,0.0,1.0,9.0,2.0,3.0,5.0,7.0,8.0,4.0,10.0,6.0
2294,0.0,2.0,8.0,1.0,4.0,10.0,6.0,7.0,9.0,3.0,5.0
2343,0.0,2.0,4.0,7.0,3.0,9.0,5.0,8.0,10.0,6.0,1.0
2392,0.0,2.0,4.0,1.0,3.0,8.0,6.0,7.0,5.0,10.0,9.0
2441,0.0,3.0,4.0,5.0,6.0,7.0,1.0,9.0,2.0,8.0,10.0
2490,7.0,2.0,1.0,0.0,3.0,6.0,8.0,9.0,4.0,10.0,5.0
2539,1.0,0.0,7.0,4.0,5.0,3.0,6.0,9.0,2.0,8.0,10.0
2588,1.0,2.0,6.0,0.0,4.0,8.0,3.0,7.0,10.0,5.0,9.0
2637,2.0,3.0,1.0,0.0,6.0,5.0,7.0,10.0,4.0,9.0,8.0
2686,3.0,10.0,4.0,0.0,2.0,1.0,6.0,5.0,7.0,8.0,9.0
2735,0.0,8.0,3.0,4.0,2.0,6.0,5.0,7.0,1.0,10.0,9.0
2784,6.0,1.0,2.0,0.0,4.0,5.0,3.0,10.0,7.0,9.0,8.0
2833,2.0,0.0,3.0,4.0,1.0,7.0,8.0,5.0,9.0,6.0,10.0
2882,1.0,5.0,0.0,3.0,6.0,4.0,7.0,8.0,9.0,2.0,10.0
2931,0.0,4.0,6.0,1.0,3.0,7.0,8.0,5.0,9.0,2.0,10.0
2980,0.0,4.0,2.0,1.0,9.0,3.0,6.0,5.0,8.0,7.0,10.0
3029,0.0,4.0,6.0,1.0,9.0,5.0,8.0,3.0,2.0,10.0,7.0
3078,1.0,10.0,0.0,2.0,5.0,3.0,6.0,4.0,8.0,9.0,7.0
3127,0.0,4.0,3.0,1.0,9.0,2.0,10.0,5.0,6.0,7.0,8.0
3176,0.0,1.0,2.0,4.0,5.0,6.0,7.0,9.0,10.0,3.0,8.0
3225,0.0,1.0,4.0,5.0,8.0,7.0,3.0,10.0,9.0,6.0,2.0
3274,1.0,2.0,4.0,3.0,10.0,0.0,6.0,7.0,9.0,8.0,5.0
