,XXbac-BPG181B23.7,RP11-408B11.2,CORO2A,GPR158,SLC38A9,SLC6A15,SLC25A24P1,CLSTN3,RP11-734I18.1,RP3-460G2.2,PLAG1,RP11-151A6.4,HLA-U,BTBD11,LRRIQ1,PDE9A,ZNF593,RP11-152F13.7,DUSP6,TMCC3,UBR2,ABCC10,ZNF732,RP11-430L17.1,PALM2,BEND6,PRR5L,JAGN1,TYW1B,CTB-88F18.3
10,0.0,14.0,1.0,3.0,5.0,79.0,21.0,19.0,520.0,41.0,59.0,11.0,33.0,86.0,39.0,168.0,85.0,66.0,9.0,77.0,32.0,146.0,50.0,30.0,78.0,36.0,12.0,177.0,2.0,44.0
59,0.0,18.0,28.0,3.0,11.0,23.0,12.0,10.0,163.0,1.0,46.0,62.0,5.0,182.0,159.0,16.0,65.0,54.0,6.0,73.0,60.0,39.0,2.0,17.0,139.0,41.0,8.0,21.0,24.0,9.0
108,1.0,4.0,0.0,12.0,15.0,17.0,5.0,20.0,483.0,9.0,58.0,18.0,2.0,57.0,117.0,13.0,69.0,30.0,87.0,201.0,32.0,53.0,38.0,41.0,40.0,24.0,6.0,11.0,28.0,19.0
157,2.0,5.0,10.0,1.0,7.0,25.0,3.0,18.0,343.0,6.0,8.0,17.0,34.0,16.0,116.0,27.0,103.0,11.0,46.0,19.0,20.0,26.0,91.0,69.0,64.0,61.0,74.0,32.0,54.0,59.0
206,0.0,4.0,118.0,2.0,82.0,145.0,1.0,25.0,187.0,3.0,9.0,52.0,10.0,117.0,173.0,23.0,27.0,98.0,35.0,11.0,28.0,45.0,13.0,24.0,50.0,31.0,17.0,104.0,36.0,37.0
255,0.0,3.0,4.0,11.0,13.0,8.0,1.0,17.0,24.0,21.0,23.0,52.0,2.0,494.0,32.0,31.0,34.0,9.0,15.0,22.0,18.0,26.0,28.0,25.0,77.0,90.0,5.0,39.0,168.0,30.0
304,3.0,17.0,24.0,0.0,12.0,16.0,164.0,20.0,326.0,2.0,30.0,126.0,1.0,4.0,154.0,66.0,42.0,56.0,38.0,91.0,58.0,103.0,60.0,25.0,374.0,10.0,9.0,160.0,11.0,72.0
353,0.0,2.0,3.0,6.0,25.0,155.0,5.0,13.0,226.0,7.0,99.0,56.0,22.0,31.0,67.0,16.0,9.0,84.0,29.0,65.0,32.0,97.0,17.0,34.0,11.0,8.0,19.0,55.0,10.0,30.0
402,0.0,5.0,13.0,117.0,6.0,111.0,10.0,11.0,1543.0,15.0,57.0,19.0,1.0,336.0,84.0,4.0,24.0,65.0,48.0,45.0,30.0,151.0,8.0,38.0,26.0,2.0,62.0,73.0,7.0,12.0
451,1.0,2.0,14.0,64.0,3.0,31.0,9.0,10.0,115.0,0.0,24.0,20.0,6.0,7.0,94.0,25.0,63.0,15.0,129.0,53.0,71.0,81.0,356.0,46.0,74.0,32.0,72.0,101.0,135.0,102.0
500,5.0,0.0,1.0,6.0,3.0,14.0,382.0,30.0,2.0,27.0,18.0,15.0,103.0,108.0,28.0,22.0,163.0,70.0,20.0,13.0,62.0,52.0,211.0,17.0,128.0,310.0,816.0,53.0,611.0,131.0
549,4.0,1.0,0.0,118.0,13.0,11.0,26.0,40.0,2.0,33.0,3.0,14.0,23.0,29.0,8.0,31.0,539.0,12.0,9.0,50.0,104.0,217.0,216.0,7.0,53.0,44.0,59.0,25.0,305.0,39.0
598,0.0,3.0,1.0,64.0,15.0,5.0,50.0,8.0,2.0,6.0,18.0,14.0,27.0,47.0,49.0,10.0,144.0,180.0,62.0,25.0,94.0,108.0,167.0,68.0,13.0,61.0,84.0,31.0,101.0,149.0
647,2.0,0.0,1.0,147.0,16.0,7.0,36.0,129.0,3.0,57.0,13.0,27.0,12.0,25.0,21.0,34.0,120.0,44.0,184.0,17.0,87.0,194.0,217.0,18.0,6.0,8.0,37.0,54.0,520.0,30.0
696,0.0,3.0,1.0,320.0,5.0,11.0,33.0,85.0,25.0,39.0,18.0,12.0,30.0,65.0,38.0,31.0,111.0,19.0,46.0,2.0,41.0,28.0,172.0,88.0,32.0,7.0,206.0,10.0,150.0,194.0
745,1.0,0.0,5.0,107.0,17.0,14.0,10.0,39.0,3.0,26.0,15.0,6.0,7.0,62.0,44.0,58.0,109.0,68.0,23.0,9.0,56.0,173.0,256.0,83.0,11.0,235.0,64.0,34.0,866.0,76.0
794,3.0,0.0,2.0,242.0,15.0,4.0,39.0,197.0,1.0,12.0,124.0,7.0,21.0,174.0,26.0,254.0,73.0,48.0,163.0,8.0,113.0,96.0,243.0,16.0,62.0,35.0,128.0,151.0,71.0,260.0
843,0.0,2.0,1.0,9.0,4.0,18.0,92.0,72.0,24.0,139.0,23.0,33.0,129.0,15.0,40.0,22.0,122.0,95.0,316.0,8.0,55.0,186.0,61.0,13.0,12.0,10.0,32.0,21.0,137.0,111.0
