,XXbac-BPG181B23.7,PDE9A,SLC6A15,SLC25A24P1,CORO2A,RP11-408B11.2,PALM2,WNT5A,GPR158,CTB-88F18.3,RP11-23P13.7,LPAR3,RP11-734I18.1,NR4A2,BTBD11,OOEP,PRR5L,TSPAN18,TYW1B,SERTAD4-AS1,ZNF732,LRRIQ1,TRIM58,SHH,RP11-152F13.7,BEND6,SLC38A9,RP11-151A6.4,PTGER2,RP11-430L17.1
8,0.0,7.0,13.0,10.0,3.0,28.0,12.0,8.0,5.0,19.0,76.0,258.0,528.0,21.0,195.0,11.0,2.0,123.0,1.0,55.0,22.0,43.0,594.0,153.0,52.0,38.0,82.0,27.0,662.0,87.0
57,2.0,0.0,6.0,8.0,16.0,18.0,21.0,26.0,5.0,15.0,457.0,3379.0,415.0,39.0,102.0,149.0,4.0,13.0,7.0,20.0,1.0,101.0,356.0,10.0,46.0,25.0,64.0,201.0,516.0,70.0
106,1.0,0.0,5.0,6.0,2.0,13.0,11.0,44.0,18.0,10.0,96.0,81.0,646.0,9.0,72.0,38.0,3.0,17.0,12.0,73.0,48.0,146.0,560.0,25.0,47.0,31.0,56.0,39.0,563.0,58.0
155,2.0,1.0,7.0,3.0,16.0,12.0,14.0,67.0,0.0,18.0,272.0,579.0,432.0,20.0,35.0,22.0,21.0,5.0,23.0,25.0,236.0,115.0,304.0,79.0,9.0,32.0,19.0,36.0,322.0,152.0
204,0.0,2.0,19.0,1.0,273.0,4.0,7.0,22.0,9.0,17.0,109.0,886.0,204.0,52.0,158.0,47.0,5.0,117.0,26.0,13.0,36.0,203.0,342.0,54.0,250.0,64.0,249.0,62.0,3541.0,43.0
253,1.0,4.0,3.0,0.0,9.0,6.0,10.0,5.0,15.0,14.0,32.0,154.0,33.0,22.0,350.0,23.0,2.0,38.0,37.0,97.0,26.0,31.0,130.0,39.0,7.0,101.0,83.0,60.0,218.0,53.0
302,6.0,8.0,3.0,125.0,50.0,45.0,119.0,1.0,0.0,44.0,52.0,73.0,235.0,15.0,11.0,4.0,2.0,7.0,5.0,192.0,82.0,131.0,37.0,10.0,81.0,12.0,55.0,150.0,600.0,34.0
351,0.0,2.0,36.0,4.0,7.0,6.0,3.0,1.0,13.0,21.0,61.0,384.0,237.0,32.0,39.0,15.0,11.0,9.0,5.0,44.0,25.0,59.0,399.0,19.0,53.0,10.0,71.0,157.0,647.0,49.0
400,0.0,1.0,20.0,4.0,14.0,8.0,9.0,23.0,163.0,6.0,35.0,1176.0,1421.0,53.0,392.0,77.0,22.0,18.0,3.0,19.0,28.0,54.0,130.0,44.0,104.0,5.0,27.0,37.0,2382.0,69.0
449,0.0,1.0,3.0,5.0,49.0,7.0,20.0,2.0,104.0,69.0,74.0,5986.0,228.0,10.0,12.0,46.0,16.0,26.0,66.0,21.0,412.0,125.0,601.0,70.0,13.0,50.0,28.0,30.0,237.0,57.0
498,16.0,0.0,1.0,291.0,12.0,11.0,24.0,6.0,8.0,76.0,41.0,19.0,3.0,42.0,133.0,4.0,416.0,351.0,161.0,39.0,264.0,33.0,139.0,7.0,128.0,260.0,35.0,29.0,5.0,28.0
547,9.0,4.0,5.0,25.0,0.0,2.0,19.0,1.0,136.0,31.0,35.0,103.0,3.0,42.0,66.0,56.0,27.0,168.0,116.0,14.0,286.0,15.0,48.0,11.0,24.0,78.0,73.0,32.0,7.0,28.0
596,1.0,0.0,7.0,24.0,3.0,13.0,9.0,4.0,202.0,44.0,195.0,2.0,10.0,6.0,127.0,5.0,37.0,92.0,52.0,130.0,170.0,27.0,32.0,23.0,221.0,107.0,42.0,22.0,11.0,40.0
645,7.0,5.0,2.0,25.0,6.0,0.0,4.0,8.0,503.0,12.0,27.0,15.0,20.0,47.0,72.0,11.0,50.0,686.0,206.0,10.0,316.0,17.0,43.0,14.0,69.0,16.0,95.0,82.0,78.0,18.0
694,0.0,3.0,1.0,19.0,5.0,6.0,27.0,4.0,995.0,44.0,23.0,36.0,58.0,35.0,46.0,43.0,95.0,127.0,70.0,33.0,290.0,40.0,8.0,9.0,37.0,14.0,39.0,38.0,2.0,72.0
743,0.0,2.0,3.0,5.0,18.0,1.0,4.0,6.0,132.0,34.0,33.0,138.0,11.0,122.0,203.0,135.0,45.0,319.0,535.0,36.0,307.0,60.0,20.0,251.0,129.0,267.0,102.0,10.0,166.0,69.0
792,5.0,14.0,0.0,16.0,3.0,4.0,12.0,8.0,711.0,61.0,90.0,528.0,1.0,18.0,590.0,13.0,91.0,211.0,35.0,11.0,196.0,47.0,2.0,85.0,108.0,79.0,69.0,24.0,17.0,15.0
841,2.0,1.0,4.0,27.0,5.0,3.0,6.0,0.0,34.0,73.0,29.0,57.0,24.0,62.0,92.0,455.0,36.0,135.0,64.0,63.0,72.0,37.0,22.0,23.0,157.0,42.0,15.0,102.0,11.0,30.0
890,7.0,2.0,1.0,170.0,0.0,3.0,60.0,76.0,22.0,34.0,338.0,27.0,10.0,53.0,5.0,102.0,18.0,282.0,143.0,101.0,91.0,20.0,95.0,16.0,84.0,41.0,72.0,19.0,21.0,46.0
939,10.0,6.0,7.0,31.0,3.0,112.0,0.0,8.0,35.0,92.0,202.0,429.0,591.0,44.0,1570.0,16.0,9.0,527.0,18.0,46.0,64.0,39.0,25.0,22.0,32.0,36.0,417.0,79.0,40.0,21.0
988,0.0,35.0,1.0,59.0,22.0,45.0,15.0,4.0,43.0,12.0,33.0,8.0,2670.0,10.0,2.0,7.0,6.0,46.0,32.0,25.0,14.0,26.0,114.0,5.0,392.0,256.0,66.0,9.0,99.0,51.0
1037,0.0,4.0,10.0,1.0,21.0,80.0,38.0,1121.0,40.0,12.0,229.0,11.0,213.0,16.0,44.0,62.0,24.0,216.0,68.0,617.0,20.0,73.0,39.0,92.0,22.0,46.0,185.0,63.0,30.0,149.0
1086,45.0,34.0,1.0,16.0,13.0,4.0,192.0,20.0,2.0,41.0,38.0,361.0,0.0,80.0,142.0,3.0,11.0,341.0,47.0,40.0,388.0,30.0,115.0,14.0,206.0,61.0,49.0,12.0,36.0,54.0
1135,0.0,33.0,2.0,3.0,15.0,4.0,5.0,113.0,103.0,11.0,19.0,6.0,55.0,17.0,31.0,16.0,43.0,45.0,1.0,26.0,70.0,13.0,18.0,44.0,1107.0,81.0,34.0,121.0,72.0,97.0
1184,5.0,54.0,0.0,3.0,1.0,29.0,2.0,94.0,9.0,40.0,7.0,19.0,57.0,31.0,69.0,244.0,16.0,310.0,14.0,121.0,88.0,18.0,43.0,30.0,114.0,15.0,20.0,26.0,44.0,124.0
1233,35.0,43.0,0.0,10.0,1.0,2.0,25.0,4.0,20.0,39.0,5.0,297.0,17.0,9.0,6.0,14.0,40.0,356.0,19.0,31.0,15.0,36.0,3.0,12.0,806.0,147.0,165.0,50.0,16.0,23.0
1282,11.0,1.0,4.0,14.0,9.0,36.0,19.0,33.0,29.0,10.0,22.0,7.0,3.0,2.0,71.0,77.0,8.0,245.0,0.0,34.0,219.0,6.0,30.0,20.0,847.0,41.0,99.0,107.0,62.0,119.0
1331,1.0,20.0,0.0,8.0,11.0,6.0,12.0,22.0,104.0,23.0,17.0,15.0,31.0,44.0,5.0,16.0,39.0,74.0,3.0,49.0,71.0,7.0,45.0,10.0,679.0,70.0,88.0,37.0,41.0,9.0
1380,1.0,4.0,7.0,2.0,11.0,5.0,14.0,146.0,1351.0,0.0,16.0,17.0,82.0,22.0,15.0,44.0,194.0,42.0,316.0,25.0,141.0,41.0,103.0,75.0,53.0,3.0,85.0,346.0,1425.0,97.0
1429,1.0,9.0,0.0,4.0,6.0,18.0,8.0,25.0,619.0,3.0,10.0,23.0,19.0,5.0,12.0,32.0,14.0,57.0,2.0,37.0,46.0,33.0,21.0,22.0,203.0,65.0,64.0,116.0,20.0,82.0
1478,1.0,5.0,0.0,230.0,7.0,31.0,26.0,12.0,10.0,17.0,43.0,2.0,15.0,9.0,58.0,3.0,8.0,16.0,11.0,631.0,235.0,78.0,18.0,14.0,101.0,98.0,273.0,173.0,6.0,62.0
1527,2.0,3.0,49.0,5.0,25.0,7.0,227.0,26.0,128.0,206.0,23.0,1.0,0.0,32.0,46.0,309.0,12.0,108.0,201.0,121.0,59.0,33.0,19.0,11.0,30.0,164.0,81.0,55.0,4.0,43.0
1576,4.0,2.0,1.0,0.0,15.0,16.0,11.0,5.0,203.0,66.0,71.0,3.0,6.0,13.0,770.0,60.0,12.0,751.0,9.0,14.0,116.0,33.0,23.0,31.0,56.0,41.0,70.0,51.0,42.0,32.0
1625,0.0,2.0,1.0,4.0,9.0,6.0,99.0,26.0,362.0,25.0,21.0,3.0,5.0,8.0,277.0,30.0,10.0,14.0,12.0,73.0,17.0,33.0,45.0,11.0,58.0,182.0,31.0,348.0,15.0,66.0
1674,4.0,19.0,0.0,2.0,5.0,1.0,71.0,24.0,9.0,93.0,38.0,26.0,8.0,11.0,90.0,21.0,10.0,123.0,33.0,129.0,122.0,14.0,37.0,72.0,25.0,17.0,30.0,66.0,155.0,618.0
1723,0.0,29.0,2.0,4.0,33.0,1.0,10.0,3.0,20.0,40.0,11.0,9.0,6.0,81.0,177.0,37.0,7.0,154.0,23.0,51.0,48.0,14.0,21.0,60.0,43.0,96.0,172.0,580.0,62.0,74.0
1772,2.0,3.0,7.0,10.0,67.0,11.0,15.0,17.0,56.0,20.0,41.0,0.0,5.0,12.0,103.0,6.0,8.0,9.0,4.0,200.0,607.0,84.0,220.0,23.0,145.0,128.0,46.0,96.0,195.0,63.0
1821,0.0,73.0,19.0,26.0,11.0,1.0,23.0,22.0,96.0,18.0,16.0,6.0,2.0,89.0,98.0,145.0,4.0,195.0,3.0,9.0,44.0,168.0,17.0,94.0,31.0,147.0,67.0,86.0,156.0,55.0
1870,0.0,23.0,4.0,8.0,50.0,10.0,254.0,25.0,198.0,28.0,84.0,1.0,35.0,9.0,52.0,13.0,16.0,19.0,46.0,97.0,85.0,32.0,43.0,39.0,18.0,54.0,60.0,133.0,3.0,93.0
1919,6.0,1.0,9.0,3.0,16.0,12.0,68.0,30.0,0.0,26.0,197.0,45.0,42.0,32.0,47.0,60.0,2.0,10.0,17.0,78.0,21.0,52.0,127.0,290.0,14.0,56.0,99.0,106.0,61.0,384.0
1968,1.0,0.0,2.0,30.0,3.0,11.0,4.0,6.0,7.0,79.0,10.0,279.0,28.0,17.0,12.0,148.0,49.0,5.0,69.0,38.0,31.0,229.0,600.0,21.0,58.0,37.0,55.0,222.0,455.0,8.0
2017,0.0,66.0,24.0,1.0,35.0,16.0,13.0,2.0,7.0,10.0,4.0,1072.0,391.0,59.0,44.0,9.0,36.0,6.0,14.0,93.0,34.0,820.0,186.0,23.0,40.0,50.0,15.0,135.0,2126.0,12.0
2066,1.0,2.0,17.0,21.0,9.0,6.0,3.0,0.0,82.0,26.0,8.0,564.0,24.0,31.0,11.0,16.0,114.0,29.0,7.0,23.0,74.0,388.0,67.0,138.0,52.0,500.0,97.0,215.0,145.0,4.0
2115,0.0,2.0,4.0,20.0,7.0,24.0,1.0,3.0,9.0,35.0,10.0,112.0,441.0,57.0,5.0,32.0,23.0,49.0,402.0,48.0,13.0,117.0,641.0,6.0,39.0,40.0,58.0,27.0,287.0,12.0
2164,1.0,0.0,21.0,44.0,10.0,12.0,13.0,25.0,9.0,92.0,2.0,56.0,3.0,28.0,215.0,71.0,32.0,4.0,105.0,14.0,46.0,228.0,280.0,7.0,15.0,101.0,233.0,162.0,1122.0,29.0
2213,1.0,0.0,2.0,9.0,4.0,14.0,5.0,3.0,11.0,101.0,10.0,38.0,18.0,26.0,34.0,41.0,342.0,15.0,88.0,16.0,28.0,121.0,140.0,12.0,20.0,52.0,17.0,314.0,91.0,7.0
2262,0.0,4.0,9.0,21.0,8.0,1.0,5.0,2.0,13.0,22.0,11.0,2913.0,16.0,36.0,80.0,91.0,86.0,6.0,49.0,31.0,79.0,258.0,498.0,322.0,440.0,24.0,17.0,206.0,5281.0,15.0
2311,0.0,1.0,6.0,20.0,10.0,3.0,4.0,2.0,25.0,40.0,12.0,1085.0,7.0,14.0,24.0,17.0,44.0,9.0,508.0,162.0,79.0,275.0,148.0,61.0,22.0,93.0,42.0,516.0,124.0,8.0
2360,1.0,0.0,87.0,44.0,22.0,105.0,4.0,5.0,25.0,41.0,10.0,12.0,159.0,32.0,6.0,15.0,28.0,8.0,67.0,559.0,49.0,820.0,139.0,48.0,14.0,90.0,23.0,478.0,286.0,30.0
2409,2.0,0.0,24.0,11.0,1.0,75.0,4.0,27.0,23.0,55.0,5.0,523.0,567.0,26.0,7.0,80.0,86.0,25.0,243.0,76.0,64.0,150.0,281.0,20.0,108.0,6.0,63.0,159.0,6520.0,30.0
2458,75.0,54.0,4.0,29.0,19.0,7.0,13.0,184.0,1.0,47.0,15.0,11.0,2.0,204.0,53.0,12.0,28.0,164.0,59.0,10.0,38.0,40.0,25.0,129.0,130.0,62.0,27.0,55.0,33.0,120.0
2507,1.0,31.0,0.0,17.0,55.0,3.0,7.0,8.0,22.0,12.0,46.0,19.0,16.0,40.0,30.0,29.0,128.0,74.0,5.0,23.0,39.0,76.0,20.0,210.0,736.0,189.0,43.0,169.0,2.0,145.0
2556,8.0,37.0,0.0,20.0,84.0,15.0,24.0,38.0,1.0,19.0,129.0,116.0,69.0,188.0,3.0,14.0,51.0,126.0,29.0,10.0,2.0,45.0,5.0,1182.0,360.0,17.0,13.0,11.0,28.0,31.0
2605,31.0,0.0,12.0,55.0,116.0,7.0,78.0,88.0,2.0,48.0,69.0,1.0,34.0,101.0,146.0,3.0,18.0,40.0,65.0,10.0,66.0,53.0,4.0,217.0,171.0,121.0,46.0,342.0,23.0,195.0
2654,1.0,201.0,8.0,6.0,162.0,16.0,18.0,213.0,0.0,26.0,98.0,67.0,54.0,193.0,130.0,5.0,3.0,68.0,2.0,14.0,10.0,47.0,15.0,1153.0,689.0,45.0,62.0,147.0,1316.0,232.0
2703,6.0,3.0,0.0,7.0,87.0,15.0,8.0,36.0,19.0,17.0,54.0,4.0,16.0,252.0,45.0,12.0,29.0,30.0,5.0,21.0,23.0,27.0,49.0,227.0,1563.0,215.0,39.0,121.0,9.0,272.0
2752,26.0,4.0,0.0,48.0,340.0,5.0,52.0,167.0,3.0,54.0,77.0,1.0,18.0,354.0,19.0,34.0,24.0,9.0,38.0,91.0,23.0,101.0,161.0,111.0,334.0,39.0,13.0,73.0,15.0,80.0
2801,36.0,147.0,0.0,31.0,33.0,2.0,109.0,46.0,1.0,49.0,206.0,3.0,12.0,132.0,5.0,6.0,9.0,15.0,22.0,53.0,25.0,40.0,113.0,354.0,342.0,93.0,13.0,95.0,11.0,65.0
2850,12.0,2.0,7.0,33.0,47.0,24.0,23.0,31.0,3.0,16.0,85.0,44.0,156.0,36.0,57.0,4.0,13.0,115.0,30.0,40.0,0.0,121.0,1.0,168.0,1898.0,20.0,38.0,42.0,49.0,60.0
2899,17.0,14.0,0.0,91.0,49.0,1.0,3.0,21.0,11.0,141.0,50.0,4.0,48.0,77.0,82.0,6.0,2.0,233.0,5.0,25.0,7.0,16.0,9.0,100.0,930.0,52.0,213.0,65.0,44.0,90.0
2948,1.0,5.0,2.0,186.0,7.0,34.0,13.0,59.0,0.0,41.0,16.0,68.0,305.0,42.0,24.0,3.0,73.0,21.0,881.0,102.0,23.0,71.0,4.0,6.0,14.0,189.0,911.0,9.0,46.0,123.0
2997,9.0,4.0,6.0,200.0,17.0,22.0,10.0,41.0,2.0,101.0,3.0,50.0,19.0,20.0,23.0,14.0,1272.0,15.0,1035.0,7.0,143.0,119.0,28.0,0.0,73.0,76.0,139.0,5.0,55.0,59.0
3046,0.0,1.0,21.0,22.0,2.0,4.0,12.0,11.0,14.0,20.0,9.0,19.0,34.0,78.0,66.0,10.0,54.0,17.0,551.0,3.0,77.0,147.0,5.0,6.0,13.0,52.0,267.0,15.0,105.0,490.0
3095,6.0,0.0,92.0,43.0,36.0,35.0,44.0,9.0,315.0,17.0,3.0,39.0,2.0,166.0,49.0,25.0,1576.0,38.0,329.0,14.0,64.0,122.0,1.0,7.0,5.0,33.0,115.0,20.0,59.0,194.0
3144,24.0,3.0,4.0,22.0,2.0,43.0,8.0,7.0,14.0,16.0,46.0,66.0,6.0,32.0,973.0,10.0,202.0,306.0,103.0,101.0,20.0,23.0,0.0,42.0,47.0,44.0,417.0,41.0,82.0,363.0
3193,6.0,4.0,70.0,7.0,1.0,13.0,2.0,30.0,0.0,47.0,3.0,429.0,25.0,17.0,21.0,11.0,49.0,231.0,54.0,19.0,36.0,97.0,41.0,24.0,71.0,66.0,373.0,5.0,68.0,863.0
3242,13.0,4.0,17.0,1.0,0.0,16.0,11.0,91.0,52.0,5.0,12.0,669.0,92.0,141.0,55.0,60.0,332.0,6.0,3.0,10.0,7.0,190.0,33.0,8.0,2.0,119.0,381.0,76.0,68.0,198.0
3291,8.0,0.0,5.0,21.0,6.0,66.0,3.0,453.0,2.0,43.0,34.0,224.0,4.0,69.0,544.0,32.0,89.0,230.0,208.0,7.0,26.0,41.0,11.0,33.0,20.0,29.0,533.0,1.0,18.0,378.0
3340,4.0,1.0,68.0,15.0,0.0,3.0,2.0,13.0,8.0,44.0,17.0,31.0,12.0,26.0,201.0,20.0,99.0,10.0,39.0,21.0,154.0,62.0,19.0,67.0,6.0,56.0,330.0,42.0,87.0,92.0
3389,37.0,1.0,0.0,13.0,3.0,14.0,7.0,11.0,32.0,9.0,38.0,16.0,2.0,161.0,28.0,51.0,200.0,18.0,283.0,5.0,44.0,195.0,31.0,243.0,6.0,66.0,245.0,12.0,248.0,365.0
3438,2.0,1.0,0.0,14.0,364.0,19.0,38.0,4.0,66.0,16.0,27.0,330.0,614.0,32.0,20.0,422.0,621.0,3.0,18.0,23.0,31.0,33.0,130.0,170.0,22.0,40.0,15.0,17.0,156.0,7.0
3487,4.0,1.0,0.0,5.0,63.0,126.0,27.0,45.0,33.0,74.0,18.0,9.0,95.0,42.0,24.0,430.0,31.0,6.0,49.0,16.0,8.0,76.0,94.0,485.0,7.0,82.0,54.0,25.0,180.0,39.0
3536,4.0,6.0,1.0,7.0,5.0,2.0,9.0,68.0,89.0,161.0,99.0,18.0,27.0,83.0,0.0,378.0,114.0,14.0,11.0,37.0,3.0,59.0,95.0,4176.0,23.0,285.0,44.0,8.0,52.0,47.0
3585,2.0,1.0,0.0,3.0,53.0,39.0,8.0,16.0,5.0,62.0,26.0,18.0,538.0,44.0,7.0,175.0,166.0,10.0,63.0,35.0,4.0,57.0,273.0,493.0,54.0,138.0,52.0,24.0,61.0,34.0
3634,4.0,5.0,1.0,0.0,42.0,12.0,8.0,7.0,122.0,31.0,13.0,197.0,45.0,46.0,25.0,1170.0,105.0,6.0,77.0,58.0,2.0,39.0,40.0,607.0,28.0,322.0,57.0,15.0,1862.0,14.0
3683,2.0,1.0,5.0,6.0,47.0,32.0,10.0,19.0,0.0,99.0,29.0,74.0,96.0,23.0,20.0,291.0,25.0,28.0,12.0,54.0,3.0,44.0,71.0,1158.0,14.0,441.0,52.0,4.0,75.0,37.0
3732,0.0,3.0,1.0,2.0,260.0,11.0,21.0,10.0,96.0,55.0,28.0,7.0,16.0,128.0,5.0,568.0,61.0,4.0,251.0,47.0,12.0,44.0,281.0,946.0,15.0,184.0,53.0,6.0,22.0,49.0
3781,30.0,3.0,1.0,0.0,8.0,2.0,16.0,5.0,13.0,94.0,42.0,156.0,59.0,22.0,23.0,865.0,29.0,15.0,76.0,34.0,47.0,31.0,213.0,853.0,6.0,147.0,41.0,25.0,37.0,54.0
3830,15.0,5.0,1.0,0.0,6.0,4.0,17.0,14.0,9.0,64.0,11.0,985.0,99.0,16.0,35.0,1233.0,257.0,10.0,24.0,13.0,33.0,19.0,136.0,740.0,2.0,304.0,28.0,27.0,104.0,87.0
3879,3.0,34.0,0.0,8.0,66.0,2.0,36.0,4.0,7.0,25.0,83.0,70.0,84.0,77.0,31.0,308.0,112.0,1.0,18.0,92.0,9.0,80.0,41.0,3689.0,10.0,507.0,28.0,16.0,15.0,19.0
3928,1.0,17.0,3.0,11.0,9.0,6.0,41.0,2.0,114.0,8.0,7.0,0.0,331.0,95.0,18.0,32.0,52.0,29.0,507.0,298.0,13.0,38.0,60.0,121.0,44.0,49.0,4.0,133.0,56.0,46.0
3977,0.0,19.0,1.0,2.0,28.0,12.0,43.0,4.0,7.0,3.0,24.0,8.0,66.0,26.0,22.0,271.0,214.0,10.0,5460.0,374.0,29.0,27.0,48.0,409.0,73.0,38.0,15.0,157.0,173.0,215.0
4026,0.0,18.0,1.0,7.0,64.0,10.0,28.0,5.0,13.0,4.0,16.0,2.0,6.0,52.0,11.0,149.0,26.0,9.0,94.0,46.0,60.0,27.0,49.0,160.0,134.0,31.0,3.0,369.0,33.0,37.0
4075,1.0,2.0,10.0,7.0,11.0,14.0,290.0,9.0,81.0,0.0,5.0,3.0,27.0,22.0,16.0,36.0,333.0,23.0,7607.0,35.0,29.0,45.0,13.0,33.0,129.0,24.0,21.0,506.0,8.0,211.0
4124,0.0,85.0,6.0,3.0,11.0,2.0,18.0,1.0,106.0,10.0,8.0,4.0,197.0,107.0,17.0,215.0,63.0,20.0,68.0,75.0,15.0,28.0,7.0,278.0,224.0,29.0,22.0,543.0,77.0,53.0
