,C-Raf_pS338,MIG-6,VAV1,CDK1,Beclin,YAP_pS127,Rb_pS807_S811,Src_pY416,SHP-2_pY542,TIGAR,beta-Catenin,HSP70,beta-Catenin_pT41_S45,4E-BP1_pT70,PEA15,Src,IGFBP2,Akt,Caspase-7_cleavedD198,Fibronectin,RAD51,p38_pT180_Y182,PKC-alpha,MSH6,TTF1,4E-BP1,EGFR,Annexin_VII,VHL,alpha-Catenin
4,1.0,2.0,7.0,6.0,0.0,33.0,23.0,60.0,13.0,88.0,3.0,11.0,9.0,37.0,54.0,15.0,32.0,117.0,73.0,16.0,5.0,109.0,81.0,56.0,21.0,38.0,80.0,42.0,83.0,131.0
53,0.0,17.0,5.0,42.0,2.0,10.0,15.0,142.0,11.0,83.0,7.0,3.0,13.0,80.0,85.0,20.0,44.0,50.0,100.0,1.0,4.0,41.0,12.0,9.0,39.0,56.0,30.0,23.0,146.0,106.0
102,0.0,3.0,13.0,5.0,1.0,31.0,22.0,28.0,120.0,39.0,9.0,15.0,2.0,43.0,12.0,30.0,18.0,24.0,129.0,84.0,7.0,44.0,19.0,8.0,100.0,34.0,45.0,36.0,76.0,98.0
151,0.0,4.0,16.0,3.0,1.0,8.0,6.0,35.0,19.0,18.0,26.0,5.0,12.0,9.0,22.0,33.0,52.0,65.0,38.0,2.0,15.0,72.0,121.0,44.0,60.0,7.0,114.0,144.0,73.0,92.0
200,0.0,7.0,18.0,75.0,1.0,22.0,15.0,29.0,4.0,55.0,21.0,3.0,12.0,13.0,35.0,5.0,48.0,2.0,24.0,11.0,6.0,8.0,36.0,25.0,27.0,26.0,141.0,14.0,116.0,138.0
249,0.0,30.0,8.0,26.0,4.0,2.0,11.0,77.0,1.0,40.0,10.0,6.0,14.0,15.0,39.0,18.0,28.0,17.0,150.0,76.0,25.0,36.0,19.0,38.0,45.0,46.0,7.0,75.0,49.0,27.0
298,2.0,12.0,3.0,4.0,1.0,23.0,14.0,86.0,6.0,16.0,24.0,0.0,5.0,13.0,41.0,60.0,69.0,54.0,37.0,10.0,8.0,11.0,71.0,115.0,67.0,9.0,7.0,40.0,130.0,90.0
347,0.0,1.0,2.0,8.0,4.0,22.0,25.0,67.0,3.0,12.0,6.0,5.0,13.0,17.0,138.0,7.0,81.0,23.0,65.0,14.0,9.0,84.0,32.0,27.0,26.0,20.0,18.0,130.0,140.0,127.0
396,0.0,9.0,5.0,46.0,1.0,12.0,27.0,40.0,2.0,18.0,3.0,4.0,8.0,28.0,61.0,45.0,15.0,113.0,33.0,89.0,16.0,117.0,21.0,55.0,105.0,88.0,10.0,29.0,74.0,53.0
445,4.0,6.0,12.0,25.0,0.0,1.0,5.0,31.0,20.0,18.0,13.0,3.0,2.0,86.0,24.0,116.0,76.0,19.0,77.0,7.0,15.0,16.0,96.0,11.0,8.0,29.0,94.0,60.0,117.0,27.0
