,Akt,C-Raf_pS338,Rb_pS807_S811,Beclin,Tuberin_pT1462,4E-BP1_pT70,HSP70,MAPK_pT202_Y204,PKC-delta_pS664,Caspase-7_cleavedD198,CDK1,Chk2_pT68,beta-Catenin_pT41_S45,Acetyl-a-Tubulin (Lys40),MIG-6,IGFBP2,VAV1,G6PD,Src,4E-BP1_pS65,PKC-pan_BetaII_pS660,Fibronectin,TTF1,Src_pY527,p38_pT180_Y182,MSH6,PEA15,YB-1,NF2,MDM2_pS166
5,15.0,23.0,19.0,26.0,17.0,10.0,27.0,67.0,50.0,91.0,3.0,37.0,80.0,140.0,78.0,86.0,6.0,1.0,125.0,139.0,28.0,79.0,135.0,21.0,40.0,95.0,35.0,44.0,46.0,98.0
54,19.0,25.0,6.0,36.0,129.0,137.0,31.0,16.0,18.0,78.0,72.0,58.0,65.0,120.0,55.0,35.0,27.0,53.0,114.0,117.0,45.0,101.0,44.0,130.0,41.0,85.0,40.0,59.0,13.0,153.0
103,52.0,17.0,38.0,22.0,1.0,84.0,15.0,12.0,153.0,53.0,64.0,16.0,30.0,7.0,47.0,58.0,130.0,145.0,88.0,11.0,68.0,33.0,114.0,60.0,97.0,109.0,36.0,5.0,25.0,55.0
152,6.0,22.0,18.0,27.0,9.0,12.0,100.0,36.0,149.0,29.0,52.0,63.0,55.0,24.0,78.0,71.0,3.0,68.0,58.0,46.0,66.0,98.0,5.0,19.0,107.0,33.0,77.0,1.0,48.0,21.0
201,14.0,20.0,28.0,13.0,49.0,26.0,23.0,18.0,68.0,51.0,72.0,9.0,24.0,46.0,62.0,53.0,127.0,15.0,64.0,54.0,148.0,91.0,66.0,37.0,75.0,21.0,102.0,157.0,11.0,61.0
250,3.0,19.0,9.0,44.0,93.0,11.0,28.0,24.0,72.0,33.0,99.0,145.0,31.0,70.0,20.0,39.0,36.0,29.0,125.0,27.0,96.0,80.0,5.0,60.0,110.0,88.0,107.0,7.0,152.0,47.0
299,26.0,28.0,38.0,20.0,19.0,49.0,30.0,25.0,105.0,42.0,37.0,35.0,91.0,131.0,47.0,23.0,133.0,34.0,75.0,45.0,0.0,54.0,18.0,60.0,2.0,106.0,90.0,58.0,62.0,84.0
348,93.0,13.0,38.0,37.0,7.0,11.0,17.0,39.0,120.0,83.0,65.0,64.0,55.0,102.0,15.0,85.0,133.0,32.0,123.0,49.0,1.0,78.0,30.0,2.0,40.0,62.0,158.0,100.0,59.0,14.0
397,5.0,11.0,87.0,44.0,27.0,8.0,17.0,15.0,59.0,102.0,40.0,13.0,28.0,133.0,72.0,16.0,45.0,18.0,38.0,43.0,25.0,86.0,65.0,51.0,50.0,58.0,106.0,145.0,42.0,147.0
446,11.0,32.0,21.0,27.0,13.0,143.0,51.0,49.0,29.0,46.0,121.0,53.0,64.0,85.0,71.0,78.0,138.0,70.0,59.0,48.0,103.0,95.0,8.0,19.0,37.0,108.0,41.0,137.0,80.0,12.0
495,13.0,16.0,36.0,20.0,1.0,25.0,79.0,100.0,18.0,33.0,59.0,34.0,117.0,94.0,39.0,38.0,116.0,46.0,93.0,26.0,131.0,51.0,82.0,27.0,102.0,106.0,61.0,30.0,2.0,75.0
544,87.0,32.0,47.0,42.0,122.0,137.0,21.0,79.0,18.0,51.0,62.0,144.0,39.0,1.0,96.0,38.0,3.0,11.0,76.0,71.0,74.0,27.0,14.0,90.0,81.0,12.0,123.0,72.0,43.0,65.0
593,2.0,19.0,16.0,45.0,49.0,38.0,47.0,153.0,15.0,83.0,13.0,143.0,41.0,4.0,43.0,90.0,0.0,7.0,26.0,105.0,161.0,113.0,25.0,91.0,87.0,52.0,84.0,73.0,76.0,154.0
642,6.0,25.0,14.0,31.0,13.0,120.0,23.0,33.0,71.0,108.0,61.0,131.0,102.0,55.0,70.0,113.0,24.0,75.0,18.0,12.0,153.0,42.0,58.0,65.0,27.0,106.0,38.0,21.0,105.0,62.0
691,2.0,23.0,22.0,42.0,92.0,25.0,10.0,125.0,63.0,74.0,26.0,47.0,45.0,33.0,37.0,57.0,8.0,16.0,38.0,18.0,151.0,44.0,51.0,5.0,40.0,93.0,43.0,15.0,88.0,90.0
740,8.0,12.0,47.0,31.0,73.0,137.0,41.0,149.0,148.0,63.0,22.0,23.0,18.0,64.0,59.0,53.0,49.0,25.0,122.0,1.0,0.0,102.0,56.0,82.0,92.0,110.0,21.0,80.0,98.0,24.0
789,67.0,38.0,30.0,43.0,13.0,66.0,35.0,63.0,159.0,77.0,82.0,45.0,98.0,44.0,62.0,59.0,41.0,87.0,12.0,56.0,3.0,53.0,89.0,101.0,65.0,145.0,0.0,28.0,115.0,5.0
838,151.0,48.0,77.0,84.0,41.0,160.0,81.0,38.0,161.0,20.0,88.0,115.0,24.0,138.0,51.0,49.0,21.0,46.0,61.0,32.0,162.0,93.0,29.0,89.0,67.0,36.0,2.0,148.0,83.0,64.0
887,0.0,29.0,14.0,32.0,15.0,19.0,59.0,81.0,151.0,6.0,61.0,103.0,39.0,128.0,77.0,20.0,36.0,100.0,26.0,7.0,49.0,91.0,52.0,38.0,98.0,70.0,83.0,48.0,110.0,102.0
936,7.0,23.0,20.0,58.0,25.0,125.0,61.0,37.0,148.0,33.0,2.0,129.0,94.0,54.0,14.0,38.0,29.0,56.0,87.0,130.0,41.0,81.0,63.0,46.0,36.0,86.0,47.0,50.0,111.0,12.0
985,66.0,13.0,34.0,64.0,19.0,28.0,39.0,22.0,23.0,91.0,8.0,44.0,47.0,84.0,69.0,106.0,36.0,27.0,117.0,130.0,6.0,98.0,114.0,67.0,70.0,131.0,57.0,73.0,157.0,103.0
1034,21.0,13.0,24.0,46.0,52.0,19.0,12.0,124.0,15.0,41.0,27.0,8.0,38.0,42.0,18.0,100.0,74.0,86.0,1.0,0.0,91.0,30.0,79.0,101.0,43.0,90.0,54.0,98.0,40.0,2.0
1083,25.0,13.0,45.0,43.0,22.0,40.0,23.0,75.0,9.0,73.0,56.0,90.0,48.0,46.0,31.0,71.0,135.0,62.0,12.0,29.0,16.0,97.0,21.0,19.0,64.0,34.0,28.0,140.0,144.0,70.0
1132,25.0,15.0,36.0,59.0,10.0,4.0,49.0,40.0,23.0,13.0,76.0,69.0,7.0,44.0,93.0,17.0,3.0,106.0,24.0,29.0,2.0,45.0,30.0,96.0,54.0,89.0,145.0,21.0,57.0,91.0
1181,16.0,13.0,20.0,47.0,15.0,7.0,36.0,30.0,154.0,61.0,66.0,40.0,4.0,39.0,42.0,74.0,133.0,82.0,29.0,41.0,27.0,48.0,98.0,56.0,59.0,106.0,75.0,63.0,73.0,3.0
1230,18.0,7.0,13.0,25.0,8.0,4.0,5.0,6.0,9.0,37.0,44.0,21.0,32.0,29.0,70.0,61.0,16.0,10.0,15.0,40.0,149.0,17.0,56.0,109.0,53.0,11.0,45.0,151.0,136.0,76.0
1279,47.0,12.0,35.0,110.0,17.0,16.0,21.0,60.0,160.0,104.0,15.0,31.0,0.0,61.0,18.0,92.0,23.0,20.0,9.0,27.0,1.0,51.0,46.0,127.0,58.0,82.0,71.0,40.0,43.0,13.0
1328,17.0,12.0,27.0,45.0,70.0,13.0,24.0,21.0,39.0,46.0,23.0,25.0,72.0,54.0,22.0,68.0,119.0,138.0,5.0,29.0,15.0,58.0,94.0,61.0,76.0,59.0,154.0,141.0,144.0,1.0
1377,142.0,9.0,24.0,75.0,3.0,60.0,12.0,156.0,110.0,62.0,46.0,18.0,140.0,59.0,54.0,159.0,119.0,17.0,121.0,20.0,0.0,73.0,15.0,65.0,58.0,53.0,107.0,39.0,11.0,68.0
1426,92.0,11.0,20.0,61.0,0.0,8.0,12.0,81.0,54.0,79.0,26.0,57.0,15.0,51.0,34.0,24.0,98.0,19.0,2.0,17.0,3.0,10.0,39.0,49.0,47.0,83.0,16.0,43.0,70.0,139.0
1475,16.0,19.0,74.0,47.0,44.0,68.0,55.0,11.0,93.0,35.0,21.0,63.0,156.0,28.0,48.0,97.0,32.0,39.0,10.0,135.0,158.0,27.0,41.0,73.0,65.0,52.0,15.0,72.0,150.0,7.0
1524,47.0,24.0,23.0,31.0,12.0,37.0,43.0,156.0,100.0,16.0,21.0,134.0,79.0,140.0,11.0,86.0,6.0,105.0,98.0,28.0,107.0,83.0,19.0,73.0,22.0,58.0,126.0,157.0,62.0,2.0
1573,43.0,12.0,13.0,54.0,131.0,1.0,21.0,9.0,2.0,28.0,29.0,44.0,22.0,51.0,25.0,14.0,132.0,158.0,120.0,106.0,49.0,86.0,15.0,11.0,72.0,95.0,116.0,5.0,39.0,149.0
1622,3.0,20.0,19.0,36.0,14.0,29.0,39.0,25.0,145.0,56.0,9.0,38.0,62.0,6.0,5.0,63.0,123.0,91.0,23.0,34.0,13.0,55.0,84.0,51.0,48.0,112.0,15.0,77.0,153.0,17.0
1671,9.0,19.0,15.0,51.0,32.0,36.0,20.0,35.0,6.0,57.0,22.0,53.0,45.0,18.0,17.0,96.0,82.0,138.0,76.0,120.0,80.0,24.0,55.0,27.0,163.0,54.0,100.0,98.0,108.0,8.0
