,C16:0 LPE,1-methylnicotinamide,uracil,alpha-hydroxybutyrate,cytidine,palmitoylcarnitine,pantothenate,cis/trans-hydroxyproline,valerylcarnitine,sarcosine,creatinine,pyroglutamic acid,GABA,alpha-glycerophosphocholine,N-carbamoyl-beta-alanine,cystathionine,SDMA/ADMA,malondialdehyde,C36:1 DAG,C18:0 LPC,alpha-glycerophosphate,2-deoxyadenosine,phosphocreatine,3-phosphoglycerate,PEP,inositol,2-deoxycytidine,uridine,DHAP/glyceraldehyde 3P,hypoxanthine
27,4.0,1.0,5.0,16.0,14.0,39.0,28.0,6.0,38.0,41.0,13.0,20.0,10.0,18.0,15.0,48.0,62.0,58.0,3.0,22.0,46.0,29.0,56.0,44.0,7.0,57.0,2.0,54.0,12.0,49.0
76,0.0,7.0,1.0,21.0,20.0,18.0,4.0,9.0,17.0,19.0,23.0,6.0,8.0,63.0,15.0,2.0,61.0,56.0,16.0,24.0,28.0,41.0,10.0,42.0,26.0,13.0,31.0,54.0,46.0,27.0
125,0.0,3.0,1.0,18.0,10.0,20.0,5.0,15.0,17.0,7.0,9.0,21.0,4.0,30.0,61.0,11.0,31.0,16.0,13.0,6.0,29.0,65.0,53.0,34.0,22.0,54.0,41.0,8.0,27.0,47.0
174,0.0,10.0,1.0,3.0,16.0,6.0,2.0,7.0,4.0,37.0,63.0,55.0,14.0,17.0,5.0,11.0,22.0,56.0,12.0,8.0,20.0,27.0,53.0,44.0,9.0,54.0,32.0,51.0,21.0,18.0
223,2.0,10.0,0.0,51.0,8.0,5.0,25.0,52.0,15.0,17.0,62.0,22.0,3.0,59.0,4.0,7.0,57.0,23.0,1.0,18.0,27.0,64.0,6.0,14.0,26.0,30.0,48.0,28.0,29.0,36.0
272,0.0,7.0,1.0,3.0,25.0,13.0,2.0,6.0,40.0,12.0,16.0,35.0,9.0,14.0,60.0,24.0,19.0,10.0,34.0,5.0,23.0,64.0,29.0,46.0,4.0,55.0,47.0,54.0,27.0,30.0
321,0.0,3.0,2.0,5.0,1.0,9.0,4.0,13.0,20.0,10.0,65.0,17.0,8.0,18.0,16.0,6.0,62.0,56.0,25.0,35.0,24.0,23.0,54.0,12.0,7.0,55.0,19.0,33.0,46.0,49.0
370,1.0,3.0,2.0,29.0,33.0,8.0,12.0,18.0,9.0,20.0,23.0,17.0,5.0,11.0,7.0,0.0,13.0,26.0,4.0,6.0,43.0,61.0,31.0,16.0,32.0,28.0,62.0,57.0,30.0,10.0
419,4.0,9.0,1.0,3.0,2.0,33.0,26.0,5.0,32.0,34.0,17.0,47.0,6.0,65.0,55.0,12.0,18.0,64.0,19.0,22.0,13.0,15.0,30.0,24.0,60.0,25.0,23.0,52.0,29.0,48.0
468,0.0,10.0,2.0,9.0,1.0,8.0,3.0,14.0,39.0,34.0,5.0,32.0,15.0,12.0,11.0,45.0,17.0,57.0,29.0,7.0,25.0,65.0,24.0,41.0,26.0,56.0,23.0,6.0,30.0,28.0
517,4.0,0.0,3.0,8.0,11.0,1.0,9.0,22.0,19.0,12.0,14.0,13.0,5.0,62.0,61.0,21.0,18.0,31.0,30.0,7.0,15.0,28.0,54.0,25.0,32.0,55.0,10.0,2.0,47.0,23.0
566,19.0,4.0,29.0,0.0,23.0,9.0,8.0,14.0,30.0,7.0,54.0,11.0,62.0,64.0,63.0,22.0,5.0,65.0,25.0,36.0,12.0,27.0,53.0,6.0,28.0,55.0,17.0,10.0,46.0,20.0
615,0.0,19.0,12.0,8.0,11.0,5.0,6.0,16.0,33.0,14.0,2.0,23.0,61.0,7.0,63.0,27.0,17.0,9.0,25.0,10.0,29.0,1.0,18.0,32.0,4.0,55.0,65.0,3.0,47.0,50.0
664,11.0,7.0,26.0,1.0,17.0,9.0,10.0,6.0,8.0,12.0,2.0,30.0,5.0,22.0,43.0,46.0,19.0,20.0,33.0,28.0,44.0,27.0,57.0,0.0,54.0,58.0,31.0,3.0,48.0,13.0
713,3.0,4.0,35.0,6.0,32.0,16.0,0.0,9.0,17.0,11.0,19.0,1.0,12.0,62.0,2.0,25.0,14.0,23.0,28.0,8.0,48.0,47.0,38.0,5.0,53.0,31.0,21.0,37.0,24.0,29.0
762,6.0,9.0,8.0,58.0,10.0,11.0,5.0,15.0,0.0,13.0,25.0,33.0,4.0,64.0,19.0,29.0,16.0,7.0,26.0,18.0,30.0,55.0,2.0,34.0,21.0,59.0,3.0,31.0,48.0,52.0
811,6.0,14.0,5.0,9.0,31.0,8.0,1.0,58.0,10.0,38.0,29.0,0.0,11.0,19.0,62.0,30.0,12.0,4.0,40.0,41.0,24.0,22.0,15.0,2.0,51.0,55.0,20.0,3.0,46.0,26.0
860,0.0,13.0,5.0,6.0,9.0,1.0,30.0,17.0,18.0,37.0,19.0,10.0,2.0,8.0,64.0,48.0,14.0,20.0,24.0,28.0,46.0,7.0,29.0,22.0,31.0,57.0,3.0,4.0,50.0,23.0
909,28.0,16.0,22.0,1.0,45.0,10.0,7.0,60.0,29.0,35.0,3.0,12.0,11.0,64.0,13.0,23.0,2.0,6.0,37.0,21.0,5.0,41.0,55.0,0.0,27.0,19.0,38.0,15.0,46.0,49.0
958,12.0,30.0,1.0,5.0,10.0,0.0,3.0,17.0,13.0,42.0,19.0,8.0,58.0,61.0,60.0,26.0,6.0,22.0,9.0,20.0,46.0,64.0,32.0,24.0,34.0,54.0,45.0,2.0,27.0,25.0
1007,1.0,10.0,24.0,0.0,35.0,19.0,26.0,13.0,39.0,20.0,16.0,5.0,7.0,11.0,61.0,33.0,2.0,17.0,6.0,4.0,25.0,46.0,8.0,44.0,3.0,18.0,55.0,53.0,32.0,30.0
1056,0.0,23.0,1.0,29.0,7.0,5.0,4.0,18.0,11.0,16.0,10.0,31.0,59.0,61.0,12.0,8.0,13.0,54.0,28.0,36.0,24.0,64.0,2.0,44.0,32.0,21.0,45.0,3.0,47.0,49.0
1105,4.0,1.0,0.0,36.0,6.0,2.0,31.0,5.0,19.0,20.0,16.0,3.0,62.0,12.0,60.0,7.0,11.0,61.0,24.0,22.0,46.0,26.0,58.0,17.0,32.0,9.0,54.0,35.0,33.0,30.0
1154,2.0,1.0,24.0,55.0,11.0,0.0,26.0,58.0,33.0,34.0,28.0,16.0,7.0,20.0,63.0,29.0,62.0,18.0,12.0,42.0,45.0,10.0,5.0,43.0,25.0,19.0,38.0,3.0,23.0,4.0
1203,1.0,7.0,0.0,2.0,10.0,15.0,32.0,18.0,13.0,19.0,21.0,9.0,6.0,5.0,62.0,35.0,14.0,23.0,11.0,40.0,48.0,3.0,25.0,45.0,31.0,24.0,47.0,27.0,29.0,8.0
1252,1.0,0.0,9.0,30.0,5.0,20.0,65.0,18.0,40.0,36.0,61.0,8.0,13.0,10.0,23.0,4.0,15.0,52.0,22.0,7.0,31.0,16.0,3.0,25.0,11.0,29.0,63.0,32.0,34.0,66.0
1301,0.0,5.0,6.0,1.0,24.0,36.0,53.0,3.0,15.0,2.0,12.0,8.0,18.0,14.0,60.0,22.0,16.0,4.0,39.0,23.0,19.0,64.0,33.0,45.0,31.0,27.0,46.0,56.0,29.0,7.0
1350,0.0,3.0,7.0,2.0,48.0,1.0,8.0,60.0,21.0,40.0,46.0,27.0,20.0,6.0,18.0,16.0,19.0,65.0,31.0,42.0,47.0,13.0,56.0,24.0,28.0,25.0,55.0,29.0,11.0,9.0
1399,0.0,3.0,4.0,5.0,24.0,14.0,25.0,18.0,15.0,42.0,44.0,1.0,58.0,63.0,61.0,8.0,60.0,10.0,9.0,36.0,45.0,21.0,20.0,43.0,50.0,16.0,34.0,52.0,2.0,48.0
1448,0.0,1.0,4.0,3.0,9.0,45.0,29.0,6.0,16.0,23.0,18.0,7.0,13.0,5.0,56.0,26.0,14.0,8.0,10.0,20.0,46.0,61.0,52.0,2.0,30.0,33.0,19.0,55.0,28.0,32.0
1497,0.0,6.0,34.0,35.0,29.0,4.0,7.0,17.0,19.0,3.0,14.0,24.0,51.0,12.0,65.0,28.0,59.0,37.0,2.0,20.0,1.0,60.0,39.0,66.0,8.0,38.0,5.0,62.0,48.0,52.0
1546,20.0,10.0,30.0,6.0,4.0,1.0,35.0,26.0,16.0,9.0,8.0,64.0,54.0,59.0,58.0,3.0,12.0,56.0,24.0,19.0,2.0,15.0,32.0,11.0,29.0,28.0,25.0,0.0,39.0,31.0
1595,0.0,2.0,7.0,57.0,5.0,1.0,9.0,12.0,3.0,23.0,19.0,24.0,64.0,17.0,15.0,4.0,14.0,33.0,31.0,44.0,47.0,21.0,26.0,45.0,30.0,58.0,8.0,28.0,32.0,51.0
1644,0.0,30.0,10.0,3.0,25.0,46.0,34.0,21.0,7.0,9.0,19.0,12.0,16.0,61.0,18.0,5.0,17.0,6.0,1.0,39.0,49.0,20.0,11.0,47.0,31.0,23.0,4.0,24.0,8.0,52.0
1693,0.0,13.0,6.0,9.0,28.0,23.0,2.0,22.0,7.0,4.0,1.0,41.0,12.0,44.0,14.0,27.0,64.0,20.0,10.0,40.0,45.0,24.0,58.0,43.0,26.0,59.0,19.0,56.0,47.0,50.0
