,1-methylnicotinamide,cytidine,C16:0 LPE,uracil,pantothenate,adenosine,2-deoxycytidine,guanosine,3-phosphoglycerate,cystathionine,uridine,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,palmitoylcarnitine,valerylcarnitine,C22:6 CE,alpha-glycerophosphate,sarcosine,PEP,2-deoxyadenosine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,C34:4 PC,pyroglutamic acid,DHAP/glyceraldehyde 3P,beta-alanine,creatine,C34:2 DAG,serotonin,creatinine
25,0.0,5.0,13.0,4.0,1.0,2.0,3.0,10.0,6.0,22.0,14.0,28.0,26.0,19.0,64.0,29.0,15.0,39.0,9.0,18.0,11.0,7.0,21.0,57.0,8.0,35.0,41.0,50.0,53.0,38.0
74,0.0,3.0,2.0,1.0,6.0,5.0,48.0,8.0,25.0,30.0,28.0,9.0,10.0,11.0,22.0,7.0,32.0,13.0,4.0,27.0,23.0,33.0,14.0,17.0,26.0,29.0,24.0,21.0,63.0,19.0
123,2.0,0.0,17.0,3.0,1.0,10.0,30.0,4.0,11.0,20.0,18.0,14.0,12.0,61.0,29.0,15.0,31.0,5.0,6.0,57.0,28.0,42.0,23.0,41.0,7.0,60.0,39.0,19.0,16.0,36.0
172,0.0,2.0,11.0,1.0,5.0,23.0,13.0,4.0,8.0,46.0,34.0,41.0,62.0,27.0,24.0,7.0,14.0,38.0,3.0,15.0,31.0,35.0,36.0,33.0,18.0,45.0,20.0,63.0,6.0,32.0
221,0.0,1.0,10.0,3.0,6.0,7.0,25.0,2.0,8.0,32.0,9.0,16.0,17.0,5.0,41.0,19.0,26.0,14.0,21.0,20.0,22.0,11.0,15.0,13.0,33.0,51.0,36.0,62.0,35.0,23.0
270,0.0,1.0,11.0,5.0,2.0,24.0,23.0,6.0,15.0,10.0,3.0,34.0,16.0,13.0,9.0,35.0,12.0,43.0,4.0,31.0,8.0,33.0,22.0,14.0,40.0,56.0,26.0,29.0,27.0,28.0
319,0.0,2.0,15.0,4.0,3.0,1.0,23.0,14.0,48.0,17.0,13.0,26.0,6.0,5.0,46.0,29.0,32.0,9.0,7.0,37.0,10.0,52.0,49.0,27.0,39.0,54.0,20.0,31.0,18.0,61.0
368,0.0,3.0,2.0,1.0,5.0,28.0,48.0,41.0,11.0,6.0,20.0,15.0,14.0,4.0,8.0,34.0,32.0,22.0,7.0,46.0,30.0,56.0,13.0,24.0,39.0,51.0,42.0,55.0,50.0,19.0
417,0.0,2.0,1.0,6.0,4.0,3.0,27.0,46.0,13.0,8.0,9.0,33.0,7.0,5.0,10.0,11.0,45.0,19.0,20.0,12.0,43.0,16.0,28.0,59.0,25.0,31.0,39.0,63.0,21.0,17.0
466,0.0,1.0,12.0,2.0,10.0,25.0,42.0,15.0,14.0,5.0,4.0,11.0,51.0,3.0,50.0,17.0,26.0,9.0,13.0,49.0,6.0,16.0,57.0,48.0,37.0,46.0,18.0,63.0,19.0,56.0
515,0.0,2.0,12.0,1.0,10.0,4.0,3.0,13.0,7.0,8.0,14.0,11.0,27.0,5.0,6.0,58.0,17.0,18.0,15.0,9.0,20.0,43.0,34.0,19.0,44.0,46.0,25.0,59.0,22.0,30.0
564,0.0,1.0,11.0,6.0,4.0,2.0,15.0,20.0,8.0,7.0,13.0,22.0,5.0,9.0,18.0,47.0,14.0,3.0,27.0,30.0,12.0,24.0,31.0,10.0,34.0,53.0,21.0,63.0,26.0,25.0
613,2.0,0.0,1.0,4.0,3.0,32.0,12.0,18.0,17.0,56.0,5.0,45.0,11.0,53.0,34.0,24.0,35.0,6.0,13.0,14.0,33.0,29.0,8.0,7.0,20.0,30.0,57.0,25.0,26.0,19.0
662,0.0,2.0,20.0,5.0,12.0,1.0,10.0,13.0,18.0,25.0,3.0,28.0,21.0,4.0,6.0,19.0,8.0,11.0,14.0,9.0,24.0,26.0,16.0,7.0,45.0,30.0,35.0,58.0,46.0,23.0
711,3.0,1.0,7.0,9.0,2.0,0.0,14.0,11.0,4.0,5.0,56.0,17.0,20.0,12.0,54.0,24.0,13.0,18.0,52.0,21.0,32.0,15.0,19.0,8.0,45.0,27.0,23.0,22.0,41.0,6.0
760,0.0,1.0,4.0,2.0,3.0,10.0,7.0,36.0,32.0,19.0,17.0,12.0,13.0,8.0,21.0,15.0,5.0,25.0,35.0,9.0,27.0,33.0,23.0,11.0,30.0,51.0,46.0,40.0,6.0,26.0
809,0.0,4.0,8.0,2.0,7.0,1.0,5.0,9.0,10.0,12.0,3.0,13.0,18.0,14.0,6.0,25.0,11.0,23.0,44.0,19.0,43.0,26.0,31.0,16.0,39.0,59.0,40.0,51.0,24.0,15.0
858,0.0,2.0,3.0,1.0,11.0,8.0,4.0,10.0,19.0,9.0,7.0,21.0,6.0,22.0,42.0,18.0,12.0,14.0,17.0,15.0,13.0,33.0,34.0,5.0,29.0,16.0,28.0,48.0,24.0,50.0
907,2.0,0.0,4.0,7.0,6.0,3.0,9.0,16.0,1.0,13.0,5.0,27.0,40.0,19.0,12.0,21.0,15.0,18.0,8.0,34.0,11.0,10.0,24.0,14.0,62.0,36.0,23.0,65.0,31.0,25.0
956,0.0,2.0,8.0,4.0,3.0,5.0,15.0,25.0,10.0,13.0,12.0,11.0,19.0,7.0,20.0,45.0,23.0,14.0,48.0,6.0,16.0,41.0,24.0,35.0,46.0,28.0,38.0,53.0,17.0,21.0
