,cytidine,pyroglutamic acid,2-deoxyadenosine,1-methylnicotinamide,pantothenate,acetylcholine,creatinine,hippurate,alpha-glycerophosphate,cis/trans-hydroxyproline,3-phosphoglycerate,beta-alanine,uracil,taurodeoxycholate,isocitrate,guanosine,urate,alpha-glycerophosphocholine,valerylcarnitine,C16:0 LPE,serotonin,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,N-carbamoyl-beta-alanine,uridine,sarcosine,2-deoxycytidine,C36:1 DAG,C22:6 CE,GABA
26,25.0,3.0,9.0,16.0,20.0,13.0,14.0,0.0,1.0,22.0,11.0,59.0,15.0,36.0,8.0,30.0,51.0,43.0,46.0,33.0,18.0,21.0,31.0,49.0,38.0,4.0,17.0,24.0,5.0,6.0
75,29.0,12.0,6.0,23.0,45.0,2.0,27.0,3.0,25.0,4.0,32.0,15.0,8.0,42.0,65.0,7.0,36.0,30.0,11.0,33.0,24.0,38.0,35.0,37.0,58.0,57.0,9.0,56.0,20.0,51.0
124,12.0,9.0,37.0,16.0,26.0,0.0,32.0,49.0,23.0,13.0,1.0,62.0,19.0,39.0,55.0,4.0,61.0,48.0,14.0,31.0,28.0,2.0,41.0,63.0,5.0,22.0,20.0,30.0,47.0,6.0
173,32.0,37.0,19.0,7.0,11.0,14.0,2.0,47.0,3.0,18.0,41.0,21.0,31.0,15.0,5.0,23.0,59.0,25.0,27.0,40.0,20.0,53.0,33.0,26.0,38.0,34.0,50.0,30.0,44.0,46.0
222,5.0,17.0,1.0,16.0,6.0,15.0,23.0,8.0,31.0,40.0,2.0,42.0,14.0,12.0,33.0,9.0,53.0,22.0,39.0,27.0,20.0,13.0,56.0,25.0,29.0,26.0,4.0,18.0,0.0,24.0
271,8.0,18.0,7.0,13.0,20.0,1.0,47.0,58.0,32.0,25.0,5.0,55.0,21.0,40.0,51.0,29.0,3.0,15.0,31.0,34.0,22.0,14.0,59.0,10.0,6.0,23.0,39.0,27.0,12.0,43.0
320,9.0,3.0,63.0,28.0,8.0,11.0,23.0,2.0,12.0,29.0,22.0,56.0,35.0,54.0,43.0,5.0,59.0,13.0,34.0,31.0,15.0,4.0,48.0,37.0,7.0,42.0,38.0,17.0,39.0,40.0
369,24.0,1.0,34.0,4.0,3.0,45.0,19.0,8.0,56.0,62.0,0.0,15.0,5.0,6.0,28.0,29.0,7.0,43.0,22.0,14.0,48.0,58.0,16.0,12.0,39.0,50.0,54.0,41.0,9.0,32.0
418,29.0,0.0,20.0,25.0,11.0,36.0,6.0,41.0,38.0,26.0,40.0,24.0,17.0,19.0,57.0,28.0,55.0,9.0,45.0,33.0,8.0,10.0,27.0,49.0,5.0,18.0,43.0,21.0,52.0,51.0
467,16.0,6.0,32.0,19.0,38.0,22.0,1.0,10.0,26.0,60.0,8.0,42.0,13.0,41.0,56.0,50.0,64.0,34.0,49.0,25.0,36.0,31.0,9.0,46.0,15.0,18.0,21.0,51.0,5.0,11.0
516,53.0,3.0,25.0,12.0,5.0,32.0,33.0,65.0,22.0,19.0,6.0,23.0,4.0,16.0,1.0,27.0,52.0,29.0,38.0,26.0,20.0,15.0,8.0,2.0,9.0,51.0,11.0,31.0,44.0,42.0
565,26.0,28.0,6.0,14.0,21.0,8.0,44.0,17.0,19.0,11.0,25.0,4.0,56.0,13.0,12.0,35.0,18.0,24.0,46.0,38.0,16.0,1.0,48.0,15.0,23.0,10.0,29.0,30.0,55.0,45.0
614,14.0,19.0,5.0,24.0,20.0,7.0,0.0,10.0,47.0,59.0,28.0,31.0,18.0,41.0,21.0,46.0,42.0,11.0,38.0,22.0,54.0,43.0,13.0,2.0,16.0,9.0,37.0,33.0,49.0,39.0
663,7.0,3.0,16.0,17.0,35.0,6.0,0.0,50.0,9.0,10.0,11.0,41.0,5.0,24.0,25.0,31.0,12.0,33.0,22.0,49.0,32.0,52.0,46.0,2.0,13.0,28.0,14.0,34.0,61.0,54.0
712,8.0,16.0,1.0,23.0,28.0,7.0,3.0,12.0,22.0,34.0,20.0,49.0,53.0,56.0,47.0,19.0,52.0,10.0,43.0,18.0,35.0,39.0,37.0,32.0,55.0,9.0,21.0,25.0,14.0,46.0
761,15.0,11.0,12.0,9.0,7.0,35.0,19.0,40.0,6.0,17.0,18.0,32.0,28.0,65.0,44.0,8.0,27.0,5.0,37.0,51.0,20.0,13.0,4.0,24.0,33.0,43.0,31.0,39.0,53.0,23.0
810,22.0,1.0,43.0,13.0,10.0,58.0,0.0,38.0,3.0,66.0,2.0,18.0,4.0,15.0,8.0,9.0,21.0,5.0,23.0,40.0,20.0,31.0,7.0,45.0,47.0,44.0,12.0,25.0,54.0,34.0
859,18.0,12.0,9.0,11.0,34.0,7.0,5.0,27.0,19.0,36.0,40.0,23.0,21.0,43.0,20.0,28.0,4.0,6.0,41.0,15.0,32.0,46.0,14.0,2.0,25.0,38.0,16.0,33.0,39.0,3.0
908,34.0,3.0,2.0,28.0,10.0,11.0,29.0,66.0,13.0,1.0,20.0,8.0,36.0,17.0,53.0,41.0,24.0,52.0,25.0,30.0,44.0,26.0,22.0,21.0,37.0,31.0,23.0,39.0,51.0,43.0
