,hsa-miR-548d-3p,hsa-miR-508-3p,hsa-miR-223,hsa-miR-590-5p,hsa-miR-921,hsa-miR-222,hsa-miR-574-5p,hsa-miR-892a,hsa-miR-320c,hsa-miR-135b,hsa-miR-186,hcmv-miR-US25-2-5p,hsa-miR-591,hsa-miR-1245,hsa-miR-188-3p,hsa-miR-140-5p,hsa-miR-155,hsa-miR-27b,hsa-miR-711,hsa-miR-765,hsa-miR-597,hsa-miR-125a-3p,hsa-miR-133b,hsa-miR-645,hsa-miR-1308,hsa-miR-548c-5p,hsa-miR-582-5p,hsa-miR-340,hsa-miR-323-5p,hsa-miR-296-5p
17,4.0,5.0,24.0,3.0,11.0,1.0,2.0,0.0,26.0,6.0,12.0,17.0,8.0,48.0,9.0,28.0,45.0,339.0,15.0,25.0,18.0,97.0,13.0,20.0,21.0,14.0,30.0,16.0,22.0,7.0
66,0.0,8.0,25.0,1.0,3.0,6.0,16.0,5.0,14.0,9.0,4.0,19.0,2.0,20.0,17.0,12.0,11.0,89.0,40.0,18.0,10.0,430.0,7.0,50.0,15.0,27.0,120.0,97.0,29.0,23.0
115,0.0,8.0,7.0,1.0,23.0,16.0,5.0,2.0,21.0,63.0,10.0,37.0,3.0,72.0,43.0,4.0,49.0,25.0,20.0,11.0,13.0,31.0,6.0,28.0,17.0,15.0,55.0,40.0,24.0,32.0
164,0.0,3.0,10.0,14.0,8.0,7.0,27.0,13.0,61.0,22.0,11.0,30.0,5.0,38.0,16.0,1.0,23.0,86.0,26.0,9.0,15.0,25.0,6.0,32.0,36.0,65.0,58.0,12.0,24.0,4.0
213,0.0,1.0,11.0,2.0,12.0,9.0,4.0,3.0,16.0,25.0,7.0,44.0,5.0,45.0,6.0,10.0,397.0,46.0,40.0,63.0,14.0,322.0,31.0,94.0,17.0,174.0,15.0,32.0,467.0,8.0
262,6.0,4.0,18.0,2.0,1.0,22.0,16.0,0.0,37.0,15.0,5.0,13.0,7.0,42.0,11.0,9.0,41.0,28.0,40.0,33.0,8.0,53.0,21.0,10.0,25.0,27.0,38.0,24.0,20.0,3.0
311,1.0,6.0,14.0,4.0,2.0,3.0,11.0,0.0,23.0,22.0,12.0,48.0,8.0,31.0,37.0,19.0,72.0,17.0,20.0,32.0,10.0,74.0,9.0,16.0,28.0,26.0,7.0,39.0,18.0,5.0
360,3.0,1.0,17.0,0.0,2.0,9.0,8.0,4.0,11.0,14.0,7.0,47.0,5.0,51.0,20.0,34.0,82.0,37.0,40.0,10.0,6.0,50.0,13.0,15.0,31.0,90.0,24.0,60.0,12.0,21.0
409,0.0,2.0,24.0,1.0,3.0,6.0,8.0,5.0,16.0,13.0,11.0,17.0,4.0,39.0,25.0,10.0,27.0,51.0,12.0,14.0,32.0,93.0,9.0,15.0,29.0,48.0,31.0,68.0,18.0,7.0
458,1.0,5.0,7.0,2.0,0.0,6.0,10.0,17.0,26.0,24.0,8.0,12.0,22.0,36.0,19.0,4.0,30.0,13.0,65.0,29.0,14.0,85.0,15.0,59.0,27.0,45.0,11.0,34.0,39.0,21.0
