,hsa-miR-1287,hsa-miR-223,hsa-miR-188-3p,hsa-miR-224,hsa-miR-96,hsa-miR-136,hsa-miR-205,hsa-miR-563,hsa-miR-200a,ebv-miR-BART12,hsa-miR-665,hsa-miR-1978,hsa-miR-320b,hsa-miR-1266,hsa-miR-195,hsa-miR-204,hsa-miR-335,hsa-miR-103,hsa-miR-548d-3p,hsa-miR-1973,hsa-miR-592,hsa-miR-508-3p,hsa-miR-27b,hsa-miR-149,hsa-miR-320c,hsa-miR-591,hsa-miR-140-5p,hsa-miR-507,hsa-miR-654-5p,hsa-miR-215
18,35.0,253.0,20.0,3.0,21.0,42.0,0.0,7.0,70.0,1.0,12.0,26.0,37.0,39.0,2.0,382.0,87.0,23.0,254.0,9.0,122.0,278.0,111.0,36.0,400.0,6.0,112.0,95.0,5.0,65.0
67,24.0,26.0,3.0,1.0,11.0,17.0,7.0,4.0,10.0,2.0,21.0,9.0,76.0,8.0,83.0,241.0,0.0,41.0,86.0,25.0,35.0,186.0,333.0,5.0,246.0,6.0,34.0,97.0,119.0,126.0
116,59.0,37.0,25.0,0.0,3.0,6.0,2.0,10.0,1.0,4.0,8.0,15.0,66.0,12.0,24.0,69.0,9.0,154.0,27.0,495.0,86.0,539.0,70.0,246.0,205.0,38.0,127.0,102.0,65.0,7.0
165,3.0,150.0,60.0,2.0,10.0,4.0,0.0,13.0,14.0,36.0,8.0,109.0,7.0,21.0,39.0,355.0,76.0,61.0,255.0,82.0,32.0,52.0,304.0,45.0,463.0,28.0,1.0,377.0,47.0,6.0
214,39.0,36.0,1.0,2.0,8.0,6.0,0.0,3.0,10.0,18.0,9.0,133.0,7.0,5.0,86.0,45.0,4.0,87.0,387.0,54.0,258.0,61.0,24.0,289.0,166.0,16.0,15.0,59.0,14.0,134.0
263,8.0,58.0,10.0,1.0,33.0,105.0,9.0,11.0,4.0,0.0,3.0,24.0,55.0,470.0,7.0,18.0,74.0,79.0,22.0,27.0,433.0,234.0,12.0,16.0,530.0,45.0,52.0,31.0,50.0,5.0
312,17.0,50.0,384.0,8.0,3.0,270.0,10.0,4.0,0.0,2.0,5.0,13.0,7.0,23.0,60.0,123.0,1.0,109.0,38.0,319.0,73.0,344.0,11.0,337.0,208.0,36.0,584.0,310.0,21.0,6.0
361,7.0,267.0,31.0,1.0,93.0,11.0,8.0,4.0,10.0,0.0,3.0,265.0,6.0,12.0,29.0,252.0,2.0,19.0,30.0,54.0,368.0,27.0,273.0,131.0,142.0,14.0,477.0,37.0,9.0,21.0
410,11.0,25.0,6.0,22.0,9.0,90.0,23.0,1.0,8.0,17.0,3.0,4.0,12.0,195.0,0.0,2.0,49.0,14.0,53.0,57.0,43.0,32.0,167.0,187.0,125.0,94.0,33.0,19.0,97.0,7.0
459,15.0,2.0,3.0,0.0,40.0,1.0,8.0,7.0,50.0,6.0,16.0,20.0,91.0,66.0,35.0,49.0,4.0,22.0,280.0,105.0,215.0,39.0,26.0,11.0,313.0,76.0,138.0,89.0,27.0,70.0
508,2.0,3.0,6.0,0.0,40.0,8.0,1.0,112.0,27.0,22.0,11.0,16.0,33.0,170.0,43.0,66.0,18.0,133.0,28.0,69.0,410.0,60.0,7.0,42.0,44.0,205.0,10.0,363.0,67.0,211.0
557,3.0,0.0,15.0,8.0,13.0,2.0,4.0,36.0,1.0,19.0,14.0,55.0,32.0,29.0,112.0,43.0,258.0,11.0,50.0,75.0,40.0,33.0,16.0,564.0,44.0,9.0,22.0,403.0,7.0,482.0
606,3.0,1.0,5.0,7.0,8.0,4.0,0.0,9.0,2.0,237.0,23.0,15.0,12.0,36.0,100.0,29.0,16.0,83.0,337.0,172.0,13.0,114.0,37.0,79.0,95.0,115.0,24.0,265.0,59.0,574.0
655,2.0,1.0,4.0,7.0,59.0,8.0,0.0,14.0,3.0,48.0,21.0,27.0,5.0,31.0,102.0,140.0,24.0,212.0,71.0,37.0,6.0,32.0,16.0,175.0,185.0,198.0,25.0,174.0,41.0,305.0
704,3.0,1.0,5.0,7.0,16.0,2.0,0.0,35.0,8.0,25.0,22.0,12.0,23.0,44.0,104.0,14.0,39.0,258.0,56.0,66.0,20.0,19.0,4.0,18.0,141.0,334.0,83.0,38.0,9.0,62.0
753,6.0,0.0,3.0,4.0,10.0,5.0,2.0,8.0,1.0,63.0,16.0,15.0,218.0,41.0,99.0,11.0,92.0,35.0,30.0,292.0,328.0,27.0,7.0,102.0,140.0,250.0,37.0,564.0,149.0,418.0
802,0.0,2.0,17.0,19.0,7.0,1.0,3.0,42.0,6.0,22.0,21.0,54.0,208.0,91.0,165.0,30.0,4.0,8.0,434.0,53.0,74.0,10.0,18.0,64.0,236.0,68.0,5.0,73.0,43.0,470.0
851,0.0,1.0,3.0,28.0,6.0,35.0,4.0,12.0,2.0,23.0,14.0,7.0,22.0,79.0,76.0,40.0,17.0,153.0,74.0,41.0,46.0,134.0,45.0,24.0,258.0,164.0,32.0,454.0,20.0,92.0
900,2.0,3.0,1.0,28.0,14.0,8.0,0.0,21.0,20.0,54.0,6.0,73.0,22.0,30.0,63.0,12.0,50.0,88.0,27.0,32.0,123.0,158.0,10.0,4.0,177.0,19.0,160.0,101.0,304.0,323.0
949,1.0,2.0,20.0,25.0,7.0,3.0,0.0,4.0,12.0,47.0,16.0,5.0,52.0,107.0,62.0,214.0,541.0,24.0,31.0,74.0,352.0,530.0,14.0,254.0,415.0,582.0,8.0,494.0,40.0,253.0
998,3.0,1.0,65.0,7.0,27.0,66.0,127.0,16.0,21.0,8.0,17.0,99.0,271.0,163.0,0.0,442.0,40.0,87.0,43.0,51.0,18.0,186.0,32.0,48.0,26.0,13.0,57.0,206.0,334.0,24.0
1047,3.0,11.0,7.0,2.0,8.0,119.0,23.0,0.0,26.0,16.0,31.0,619.0,48.0,84.0,89.0,17.0,4.0,137.0,87.0,185.0,72.0,36.0,134.0,198.0,5.0,1.0,68.0,69.0,155.0,22.0
1096,26.0,93.0,3.0,0.0,19.0,30.0,108.0,9.0,8.0,2.0,207.0,94.0,7.0,98.0,159.0,67.0,488.0,13.0,162.0,35.0,416.0,134.0,502.0,6.0,17.0,138.0,598.0,79.0,52.0,27.0
1145,4.0,105.0,6.0,3.0,2.0,18.0,0.0,43.0,1.0,141.0,7.0,42.0,73.0,9.0,46.0,15.0,16.0,101.0,112.0,8.0,55.0,38.0,63.0,156.0,36.0,10.0,282.0,299.0,77.0,57.0
1194,0.0,33.0,16.0,35.0,18.0,372.0,4.0,41.0,2.0,11.0,174.0,55.0,164.0,24.0,48.0,13.0,28.0,106.0,54.0,43.0,70.0,3.0,10.0,476.0,14.0,274.0,31.0,29.0,90.0,96.0
1243,20.0,8.0,9.0,0.0,2.0,16.0,50.0,13.0,22.0,220.0,26.0,108.0,5.0,283.0,89.0,75.0,11.0,55.0,15.0,24.0,105.0,57.0,82.0,60.0,69.0,117.0,328.0,268.0,576.0,171.0
1292,3.0,16.0,28.0,11.0,12.0,35.0,0.0,6.0,1.0,33.0,45.0,191.0,57.0,36.0,139.0,90.0,138.0,61.0,2.0,88.0,105.0,75.0,25.0,17.0,113.0,84.0,108.0,38.0,182.0,10.0
1341,12.0,0.0,7.0,4.0,2.0,25.0,111.0,10.0,1.0,15.0,58.0,109.0,85.0,9.0,209.0,371.0,49.0,137.0,18.0,32.0,540.0,401.0,35.0,93.0,3.0,259.0,27.0,375.0,168.0,203.0
1390,26.0,132.0,1.0,83.0,0.0,14.0,6.0,18.0,3.0,2.0,378.0,62.0,110.0,10.0,64.0,39.0,145.0,8.0,12.0,38.0,101.0,33.0,13.0,139.0,35.0,527.0,467.0,24.0,34.0,17.0
1439,48.0,8.0,50.0,156.0,25.0,120.0,209.0,7.0,471.0,15.0,39.0,239.0,13.0,20.0,82.0,83.0,2.0,61.0,126.0,159.0,45.0,3.0,87.0,415.0,65.0,1.0,243.0,24.0,388.0,57.0
1488,3.0,0.0,1.0,23.0,2.0,13.0,122.0,25.0,11.0,10.0,24.0,8.0,54.0,149.0,14.0,22.0,52.0,154.0,15.0,188.0,306.0,6.0,150.0,18.0,40.0,128.0,603.0,16.0,100.0,185.0
1537,5.0,0.0,3.0,9.0,21.0,125.0,67.0,10.0,79.0,7.0,46.0,34.0,143.0,437.0,303.0,4.0,459.0,87.0,173.0,18.0,365.0,6.0,61.0,329.0,14.0,591.0,527.0,119.0,8.0,2.0
1586,5.0,1.0,0.0,10.0,2.0,62.0,133.0,3.0,56.0,34.0,82.0,12.0,151.0,272.0,7.0,169.0,401.0,22.0,43.0,4.0,128.0,102.0,117.0,9.0,55.0,219.0,132.0,70.0,17.0,14.0
1635,8.0,15.0,2.0,382.0,18.0,9.0,14.0,5.0,11.0,1.0,33.0,19.0,116.0,176.0,12.0,45.0,51.0,58.0,57.0,29.0,34.0,7.0,167.0,143.0,21.0,460.0,191.0,61.0,153.0,407.0
1684,10.0,16.0,5.0,90.0,1.0,27.0,19.0,9.0,3.0,12.0,372.0,14.0,36.0,374.0,4.0,2.0,136.0,8.0,42.0,75.0,55.0,13.0,157.0,7.0,6.0,271.0,343.0,95.0,29.0,82.0
1733,10.0,0.0,18.0,8.0,140.0,59.0,27.0,39.0,316.0,12.0,6.0,9.0,19.0,459.0,7.0,2.0,32.0,52.0,261.0,16.0,525.0,4.0,328.0,42.0,41.0,30.0,125.0,15.0,136.0,54.0
1782,1.0,0.0,2.0,18.0,3.0,35.0,20.0,6.0,52.0,14.0,306.0,4.0,11.0,457.0,15.0,10.0,27.0,238.0,244.0,44.0,165.0,8.0,65.0,33.0,9.0,191.0,290.0,31.0,26.0,88.0
