,hsa-miR-548d-3p,hsa-miR-892a,hsa-miR-508-3p,hsa-miR-548c-5p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-26a,hsa-miR-186,hsa-miR-27b,hsa-miR-921,hsa-miR-1245,hsa-miR-223,hsa-miR-33b,hsa-miR-658,hsa-miR-597,hsa-miR-590-5p,bkv-miR-B1-5p,hsa-miR-556-3p,hsa-miR-222,hcmv-miR-US25-2-3p,hsa-miR-1248,hsa-miR-323-5p,hsa-miR-1185,hsa-miR-423-5p,hsa-miR-296-5p,hcmv-miR-US25-2-5p,hsa-miR-31,hsa-miR-494,hsa-miR-596,hsv2-miR-H2
15,1.0,0.0,3.0,2.0,4.0,7.0,10.0,11.0,195.0,19.0,89.0,178.0,17.0,43.0,12.0,5.0,13.0,22.0,16.0,44.0,132.0,9.0,73.0,68.0,8.0,30.0,14.0,38.0,56.0,70.0
64,1.0,2.0,17.0,5.0,8.0,4.0,3.0,7.0,65.0,12.0,16.0,135.0,14.0,57.0,6.0,11.0,19.0,191.0,62.0,61.0,119.0,27.0,92.0,28.0,20.0,18.0,125.0,44.0,0.0,84.0
113,0.0,6.0,10.0,1.0,15.0,8.0,5.0,11.0,9.0,42.0,150.0,54.0,7.0,77.0,12.0,2.0,47.0,101.0,76.0,22.0,131.0,16.0,234.0,28.0,65.0,140.0,25.0,13.0,4.0,79.0
162,0.0,4.0,5.0,14.0,20.0,1.0,3.0,2.0,120.0,10.0,91.0,61.0,12.0,7.0,24.0,38.0,15.0,87.0,131.0,22.0,168.0,43.0,76.0,26.0,6.0,127.0,9.0,186.0,11.0,59.0
211,0.0,3.0,1.0,79.0,13.0,10.0,6.0,4.0,52.0,15.0,67.0,58.0,35.0,8.0,22.0,2.0,95.0,37.0,18.0,27.0,7.0,180.0,162.0,118.0,11.0,171.0,14.0,36.0,28.0,71.0
260,8.0,1.0,4.0,0.0,32.0,9.0,13.0,6.0,11.0,3.0,55.0,87.0,10.0,77.0,7.0,5.0,27.0,81.0,166.0,47.0,75.0,12.0,54.0,118.0,2.0,38.0,35.0,37.0,15.0,114.0
309,1.0,0.0,2.0,3.0,6.0,14.0,17.0,12.0,19.0,4.0,41.0,58.0,52.0,51.0,20.0,5.0,29.0,15.0,32.0,23.0,28.0,9.0,156.0,30.0,7.0,77.0,55.0,35.0,11.0,27.0
358,0.0,3.0,1.0,8.0,14.0,9.0,2.0,6.0,28.0,4.0,83.0,95.0,15.0,26.0,16.0,5.0,20.0,48.0,34.0,19.0,47.0,7.0,132.0,18.0,32.0,140.0,45.0,24.0,17.0,21.0
407,0.0,1.0,3.0,21.0,30.0,4.0,9.0,11.0,108.0,15.0,97.0,99.0,10.0,16.0,32.0,2.0,86.0,35.0,63.0,24.0,137.0,17.0,49.0,23.0,8.0,56.0,37.0,25.0,14.0,117.0
456,1.0,8.0,5.0,7.0,4.0,37.0,46.0,29.0,0.0,3.0,51.0,52.0,42.0,146.0,11.0,2.0,13.0,97.0,62.0,12.0,118.0,15.0,223.0,117.0,17.0,33.0,6.0,87.0,14.0,30.0
505,1.0,2.0,12.0,0.0,3.0,48.0,13.0,15.0,145.0,23.0,8.0,41.0,14.0,27.0,47.0,99.0,36.0,92.0,33.0,57.0,38.0,154.0,63.0,105.0,29.0,26.0,5.0,76.0,18.0,30.0
554,14.0,0.0,4.0,2.0,8.0,5.0,18.0,16.0,17.0,114.0,44.0,9.0,37.0,10.0,51.0,132.0,20.0,45.0,1.0,6.0,24.0,287.0,7.0,68.0,13.0,22.0,38.0,29.0,33.0,160.0
603,5.0,0.0,18.0,13.0,2.0,6.0,17.0,12.0,25.0,116.0,8.0,7.0,14.0,31.0,29.0,86.0,3.0,96.0,27.0,128.0,1.0,103.0,16.0,87.0,110.0,39.0,43.0,22.0,28.0,10.0
652,15.0,0.0,2.0,8.0,39.0,27.0,14.0,10.0,33.0,170.0,23.0,3.0,7.0,17.0,13.0,70.0,4.0,20.0,22.0,49.0,6.0,66.0,11.0,30.0,36.0,100.0,179.0,12.0,16.0,74.0
