, IL-1, JAK-STAT, H2O2, TNFa, VEGF, PI3K_only, TLR, MAPK_PI3K, MAPK_only, TGFB, Wnt
41,1.0,2.0,4.0,9.0,0.0,3.0,8.0,5.0,7.0,10.0,6.0
90,4.0,0.0,6.0,1.0,2.0,3.0,7.0,8.0,5.0,10.0,9.0
139,1.0,2.0,0.0,7.0,9.0,3.0,5.0,4.0,6.0,8.0,10.0
188,0.0,1.0,5.0,4.0,6.0,8.0,7.0,3.0,2.0,9.0,10.0
237,4.0,7.0,6.0,0.0,1.0,3.0,8.0,2.0,5.0,9.0,10.0
286,0.0,1.0,4.0,3.0,7.0,9.0,6.0,2.0,5.0,10.0,8.0
335,1.0,0.0,2.0,6.0,4.0,5.0,3.0,8.0,7.0,9.0,10.0
384,2.0,0.0,6.0,1.0,4.0,5.0,3.0,8.0,7.0,9.0,10.0
433,0.0,1.0,4.0,2.0,6.0,5.0,3.0,7.0,10.0,8.0,9.0
482,2.0,3.0,1.0,7.0,0.0,4.0,6.0,5.0,8.0,9.0,10.0
531,6.0,0.0,2.0,10.0,4.0,3.0,9.0,8.0,7.0,5.0,1.0
580,0.0,1.0,5.0,8.0,4.0,2.0,7.0,6.0,10.0,3.0,9.0
629,1.0,0.0,4.0,7.0,5.0,6.0,2.0,8.0,9.0,10.0,3.0
678,2.0,3.0,4.0,7.0,0.0,1.0,5.0,8.0,9.0,6.0,10.0
727,3.0,0.0,8.0,1.0,7.0,6.0,5.0,4.0,10.0,9.0,2.0
776,0.0,2.0,6.0,4.0,1.0,3.0,8.0,7.0,9.0,5.0,10.0
825,3.0,1.0,5.0,6.0,4.0,2.0,8.0,7.0,10.0,9.0,0.0
874,0.0,4.0,1.0,10.0,2.0,5.0,3.0,8.0,7.0,9.0,6.0
923,0.0,1.0,2.0,6.0,5.0,8.0,4.0,7.0,9.0,10.0,3.0
972,0.0,1.0,6.0,5.0,2.0,3.0,4.0,7.0,10.0,9.0,8.0
1021,0.0,3.0,2.0,1.0,6.0,5.0,8.0,7.0,4.0,9.0,10.0
1070,1.0,3.0,0.0,2.0,4.0,6.0,8.0,5.0,7.0,9.0,10.0
1119,0.0,4.0,3.0,6.0,2.0,1.0,5.0,7.0,9.0,8.0,10.0
1168,1.0,5.0,0.0,3.0,7.0,2.0,4.0,6.0,8.0,10.0,9.0
1217,0.0,6.0,1.0,4.0,5.0,3.0,8.0,7.0,2.0,9.0,10.0
1266,0.0,1.0,4.0,3.0,8.0,7.0,6.0,10.0,5.0,2.0,9.0
