,SYT17,SRPX,AF241725.6,IL16,RSPH1,CHST15,GDE1,AEBP1,DAAM1,VPS33B,TMCC1,EXD2,KCND2,TSC22D2,CNFN,BCL2A1,RP11-458D21.1,CLCN4,PITX1,ST8SIA4,FA2H,ELF3,HIST1H2BK,RP11-575H3.1,FLI1,ABLIM1,SIX2,CD46,LA16c-380H5.5,FAM86DP
11,58.0,1.0,13.0,4397.0,59.0,17.0,11.0,3.0,6.0,63.0,5.0,71.0,109.0,199.0,53.0,4313.0,479.0,14.0,31.0,21469.0,190.0,17442.0,101.0,62.0,352.0,43.0,96.0,17862.0,299.0,13166.0
60,0.0,11.0,24.0,2.0,68.0,19.0,4.0,82.0,76.0,26.0,711.0,94.0,40.0,17.0,42.0,190.0,199.0,7.0,30.0,124.0,74.0,104.0,77.0,39.0,1.0,108.0,111.0,210.0,4689.0,17120.0
109,2.0,4.0,387.0,443.0,23.0,160.0,27.0,40.0,26.0,5.0,164.0,14.0,91.0,35.0,50.0,3529.0,229.0,9619.0,132.0,21466.0,44.0,9.0,103.0,256.0,11.0,502.0,47.0,244.0,70.0,231.0
158,8.0,1.0,7.0,358.0,22.0,396.0,0.0,228.0,64.0,537.0,153.0,76.0,124.0,393.0,31.0,4596.0,156.0,9656.0,127.0,157.0,11077.0,26.0,5.0,27.0,2.0,191.0,16610.0,516.0,237.0,461.0
207,0.0,4.0,5.0,18.0,11.0,51.0,68.0,33.0,61.0,258.0,14735.0,40.0,22484.0,14594.0,129.0,323.0,9.0,314.0,77.0,21938.0,46.0,3.0,249.0,16998.0,105.0,210.0,16611.0,58.0,464.0,8.0
256,6.0,0.0,2.0,49.0,26.0,142.0,1.0,53.0,187.0,55.0,4.0,109.0,184.0,21.0,31.0,3527.0,188.0,67.0,21747.0,2031.0,48.0,17358.0,126.0,178.0,136.0,502.0,16743.0,17779.0,269.0,208.0
305,3.0,25.0,29.0,798.0,14.0,241.0,81.0,2080.0,4.0,74.0,14770.0,3324.0,110.0,165.0,7.0,3588.0,396.0,27.0,161.0,21483.0,50.0,0.0,21246.0,421.0,178.0,19980.0,42.0,207.0,22.0,442.0
354,3.0,8635.0,15.0,57.0,95.0,27.0,4.0,26.0,107.0,35.0,2.0,91.0,114.0,51.0,18.0,4557.0,54.0,9627.0,125.0,304.0,76.0,585.0,317.0,2124.0,217.0,349.0,66.0,493.0,14.0,194.0
403,2.0,1.0,10.0,4570.0,34.0,123.0,4.0,124.0,99.0,295.0,88.0,210.0,14.0,622.0,1737.0,4552.0,449.0,670.0,184.0,21912.0,144.0,23.0,16.0,325.0,142.0,9.0,16591.0,364.0,67.0,28.0
452,2.0,0.0,15.0,44.0,20.0,118.0,3564.0,39.0,1.0,339.0,59.0,3081.0,72.0,349.0,129.0,3478.0,32.0,9577.0,74.0,21923.0,105.0,17408.0,75.0,285.0,73.0,19902.0,689.0,426.0,3706.0,167.0
501,42.0,31.0,617.0,210.0,8.0,50.0,3422.0,22076.0,6307.0,16.0,366.0,166.0,197.0,133.0,7837.0,15.0,175.0,7.0,62.0,111.0,43.0,3.0,440.0,20.0,2.0,19978.0,16626.0,102.0,143.0,149.0
550,93.0,247.0,31.0,1.0,20.0,56.0,14.0,15.0,241.0,4.0,14721.0,3635.0,286.0,0.0,7831.0,76.0,47.0,43.0,63.0,165.0,95.0,7.0,21246.0,412.0,229.0,1553.0,190.0,244.0,124.0,195.0
599,35.0,26.0,28.0,14.0,56.0,19.0,52.0,3.0,3720.0,109.0,13.0,39.0,53.0,21.0,7965.0,84.0,73.0,357.0,69.0,142.0,37.0,0.0,21264.0,67.0,1.0,19978.0,877.0,34.0,17.0,361.0
648,18.0,16.0,7518.0,3.0,2.0,12.0,0.0,22118.0,327.0,35.0,244.0,132.0,22526.0,169.0,183.0,154.0,85.0,149.0,1.0,82.0,19.0,23.0,80.0,238.0,9.0,6.0,257.0,55.0,220.0,495.0
697,25.0,7.0,146.0,4.0,5.0,36.0,0.0,127.0,3294.0,111.0,14797.0,409.0,166.0,14844.0,2367.0,68.0,2.0,18.0,162.0,132.0,81.0,15.0,122.0,265.0,9.0,294.0,3.0,129.0,367.0,44.0
746,1.0,388.0,505.0,5.0,2.0,7.0,303.0,34.0,45.0,111.0,48.0,387.0,108.0,154.0,16.0,26.0,69.0,21.0,118.0,159.0,35.0,0.0,155.0,13.0,11.0,120.0,599.0,47.0,171.0,385.0
795,35.0,268.0,7478.0,12.0,16.0,34.0,3434.0,884.0,626.0,4236.0,1536.0,157.0,18840.0,5.0,479.0,116.0,91.0,9616.0,63.0,176.0,10.0,3.0,21318.0,139.0,9.0,251.0,161.0,154.0,48.0,47.0
844,11272.0,694.0,48.0,0.0,84.0,166.0,325.0,22095.0,664.0,39.0,289.0,4819.0,22480.0,15.0,9861.0,11.0,24.0,4690.0,113.0,139.0,213.0,232.0,21255.0,33.0,402.0,19908.0,16651.0,147.0,10869.0,223.0
