,XAGE1E,CCND2,GPX3,STEAP1B,MAGEA1,CGREF1,C1orf233,NDN,GUSB,LEPREL4,KCNK15,CKB,LINC00942,TNFSF12,IGSF3,NT5E,HMGA2,RP11-197K6.1,CA8,RP11-90B9.2,FAM109B,PHACTR2,PCDHA11,SLC2A3,DUSP23,PAPSS2,KCNIP2-AS1,PLCD1,CTB-60B18.10,ZIM2
9,0.0,6.0,1.0,66.0,2.0,3.0,8.0,5.0,7.0,11.0,17.0,196.0,19.0,27.0,126.0,37.0,29.0,2817.0,41.0,67.0,10.0,23.0,189.0,48.0,28.0,18.0,58.0,44.0,74.0,254.0
58,0.0,3.0,4.0,25.0,2.0,5.0,16.0,23.0,27.0,7.0,10.0,79.0,51.0,20.0,56.0,132.0,30.0,317.0,22.0,21.0,34.0,52.0,29.0,58.0,482.0,38.0,170.0,18.0,467.0,298.0
107,0.0,5.0,14.0,43.0,1.0,7.0,9.0,12.0,67.0,16.0,4.0,433.0,45.0,155.0,58.0,203.0,132.0,648.0,23.0,54.0,56.0,34.0,69.0,73.0,81.0,22.0,136.0,65.0,1309.0,75.0
156,0.0,1.0,7.0,99.0,2.0,5.0,8.0,6.0,17.0,9.0,11.0,45.0,36.0,89.0,18.0,1152.0,83.0,1366.0,4.0,46.0,127.0,91.0,15.0,266.0,166.0,21.0,53.0,42.0,317.0,222.0
205,0.0,1.0,17.0,144.0,4.0,23.0,14.0,219.0,7.0,6.0,16.0,98.0,9.0,13.0,20.0,95.0,10.0,1882.0,47.0,56.0,66.0,208.0,58.0,41.0,124.0,167.0,89.0,27.0,283.0,106.0
254,0.0,7.0,15.0,38.0,44.0,1.0,6.0,4.0,3.0,13.0,8.0,39.0,9.0,135.0,35.0,216.0,213.0,360.0,11.0,56.0,64.0,221.0,42.0,113.0,90.0,30.0,80.0,143.0,380.0,345.0
303,0.0,3.0,33.0,110.0,1.0,4.0,10.0,7.0,16.0,2.0,12.0,89.0,8.0,29.0,41.0,102.0,98.0,135.0,23.0,39.0,36.0,32.0,25.0,90.0,173.0,34.0,105.0,301.0,244.0,438.0
352,0.0,1.0,4.0,10.0,3.0,7.0,5.0,26.0,27.0,8.0,11.0,24.0,6.0,61.0,84.0,301.0,42.0,348.0,9.0,19.0,41.0,65.0,18.0,288.0,39.0,22.0,120.0,40.0,310.0,178.0
401,0.0,2.0,16.0,41.0,3.0,5.0,15.0,1.0,8.0,6.0,7.0,72.0,22.0,56.0,45.0,40.0,17.0,583.0,437.0,23.0,77.0,156.0,61.0,142.0,137.0,49.0,335.0,36.0,147.0,159.0
450,0.0,1.0,132.0,14.0,12.0,40.0,13.0,9.0,27.0,10.0,202.0,26.0,84.0,6.0,8.0,1704.0,30.0,4352.0,4.0,38.0,104.0,136.0,211.0,5.0,460.0,95.0,54.0,207.0,86.0,420.0
