,MEK1_pS217_S221,Caveolin-1,GAPDH,p90RSK_pT359_S363,Bcl-2,Gab2,CD31,HER3,FoxM1,IGFBP2,CDK1,VAV1,N-Cadherin,RAD51,G6PD,Collagen_VI,RSK1-2-3,Cyclin_E2,MIG-6,XBP1,Cyclin_B1,p38_MAPK,4E-BP1_pS65,YAP_pS127,IRS1,PREX1,14-3-3_zeta,beta Actin,Beclin,Bid
2,3.0,1.0,5.0,0.0,4.0,24.0,12.0,6.0,15.0,2.0,14.0,13.0,16.0,35.0,29.0,7.0,85.0,9.0,28.0,48.0,18.0,40.0,25.0,8.0,10.0,63.0,26.0,43.0,22.0,30.0
51,3.0,0.0,10.0,2.0,1.0,34.0,8.0,6.0,15.0,11.0,9.0,4.0,27.0,22.0,56.0,5.0,85.0,17.0,65.0,25.0,16.0,63.0,30.0,35.0,12.0,46.0,59.0,28.0,13.0,7.0
100,3.0,0.0,5.0,1.0,2.0,19.0,11.0,6.0,27.0,4.0,10.0,26.0,20.0,15.0,37.0,9.0,41.0,7.0,49.0,62.0,29.0,60.0,35.0,16.0,22.0,13.0,54.0,33.0,36.0,8.0
149,3.0,0.0,12.0,1.0,2.0,28.0,10.0,9.0,38.0,4.0,11.0,14.0,15.0,24.0,48.0,5.0,51.0,22.0,62.0,41.0,30.0,33.0,19.0,27.0,6.0,45.0,35.0,26.0,8.0,7.0
198,4.0,1.0,6.0,2.0,0.0,13.0,12.0,7.0,9.0,3.0,10.0,53.0,5.0,16.0,15.0,22.0,60.0,8.0,62.0,31.0,27.0,24.0,18.0,28.0,20.0,55.0,41.0,19.0,14.0,17.0
247,2.0,1.0,7.0,0.0,3.0,8.0,17.0,13.0,14.0,4.0,32.0,11.0,9.0,15.0,10.0,5.0,28.0,6.0,57.0,53.0,29.0,46.0,25.0,16.0,12.0,34.0,33.0,20.0,38.0,19.0
296,3.0,2.0,7.0,1.0,0.0,9.0,32.0,31.0,18.0,4.0,5.0,11.0,15.0,20.0,24.0,6.0,83.0,14.0,29.0,36.0,25.0,43.0,22.0,23.0,30.0,45.0,50.0,19.0,16.0,12.0
345,3.0,0.0,8.0,2.0,1.0,4.0,11.0,9.0,18.0,5.0,6.0,29.0,24.0,16.0,15.0,10.0,41.0,22.0,58.0,47.0,31.0,52.0,17.0,14.0,13.0,32.0,34.0,12.0,27.0,7.0
394,3.0,1.0,11.0,0.0,2.0,45.0,17.0,16.0,21.0,22.0,6.0,8.0,13.0,18.0,39.0,5.0,73.0,4.0,55.0,49.0,26.0,30.0,24.0,7.0,19.0,38.0,15.0,33.0,12.0,9.0
443,2.0,5.0,18.0,0.0,1.0,7.0,16.0,4.0,10.0,6.0,11.0,12.0,39.0,33.0,42.0,3.0,76.0,8.0,53.0,25.0,23.0,36.0,51.0,20.0,17.0,87.0,57.0,14.0,27.0,19.0
492,1.0,0.0,5.0,8.0,7.0,4.0,13.0,31.0,38.0,2.0,20.0,6.0,26.0,18.0,16.0,44.0,9.0,15.0,3.0,17.0,27.0,10.0,30.0,68.0,39.0,41.0,14.0,12.0,28.0,35.0
541,0.0,3.0,1.0,2.0,7.0,4.0,8.0,26.0,6.0,5.0,17.0,29.0,24.0,15.0,13.0,20.0,12.0,10.0,9.0,32.0,36.0,28.0,47.0,67.0,31.0,34.0,60.0,11.0,14.0,43.0
590,0.0,3.0,1.0,4.0,7.0,12.0,8.0,13.0,26.0,9.0,32.0,27.0,30.0,21.0,11.0,59.0,6.0,5.0,2.0,19.0,70.0,16.0,31.0,22.0,17.0,40.0,29.0,10.0,28.0,35.0
639,0.0,5.0,1.0,6.0,9.0,4.0,11.0,22.0,15.0,8.0,12.0,20.0,13.0,23.0,10.0,51.0,3.0,18.0,2.0,25.0,34.0,17.0,30.0,48.0,36.0,27.0,63.0,7.0,16.0,21.0
688,0.0,8.0,1.0,9.0,17.0,12.0,2.0,15.0,32.0,3.0,19.0,33.0,20.0,25.0,6.0,27.0,7.0,10.0,4.0,26.0,53.0,11.0,42.0,66.0,23.0,49.0,24.0,5.0,13.0,30.0
737,0.0,7.0,1.0,4.0,3.0,6.0,8.0,21.0,9.0,17.0,31.0,27.0,16.0,13.0,14.0,25.0,5.0,10.0,2.0,19.0,34.0,12.0,48.0,26.0,41.0,22.0,23.0,11.0,18.0,36.0
786,0.0,4.0,1.0,10.0,6.0,11.0,7.0,20.0,13.0,14.0,18.0,33.0,3.0,9.0,12.0,22.0,5.0,8.0,2.0,35.0,44.0,17.0,23.0,54.0,72.0,42.0,21.0,29.0,15.0,41.0
835,0.0,5.0,1.0,2.0,6.0,17.0,11.0,13.0,21.0,9.0,18.0,46.0,10.0,15.0,4.0,39.0,7.0,12.0,3.0,25.0,28.0,22.0,16.0,43.0,24.0,34.0,19.0,8.0,32.0,20.0
884,0.0,1.0,4.0,6.0,3.0,2.0,11.0,8.0,13.0,9.0,21.0,39.0,26.0,35.0,15.0,18.0,5.0,14.0,7.0,22.0,50.0,12.0,55.0,38.0,27.0,32.0,23.0,10.0,16.0,33.0
933,0.0,1.0,3.0,6.0,2.0,7.0,14.0,21.0,12.0,10.0,30.0,32.0,13.0,16.0,11.0,46.0,8.0,20.0,5.0,31.0,24.0,15.0,22.0,26.0,18.0,17.0,44.0,4.0,40.0,25.0
982,3.0,0.0,11.0,2.0,5.0,4.0,6.0,14.0,19.0,1.0,9.0,22.0,26.0,25.0,18.0,8.0,10.0,29.0,16.0,7.0,13.0,39.0,27.0,42.0,32.0,15.0,38.0,34.0,41.0,31.0
1031,5.0,0.0,3.0,1.0,6.0,4.0,7.0,9.0,11.0,2.0,10.0,39.0,8.0,16.0,13.0,14.0,18.0,28.0,38.0,15.0,21.0,35.0,29.0,34.0,82.0,12.0,23.0,25.0,84.0,42.0
1080,3.0,0.0,4.0,1.0,5.0,2.0,14.0,20.0,18.0,6.0,13.0,12.0,32.0,44.0,15.0,8.0,11.0,37.0,19.0,9.0,28.0,16.0,34.0,41.0,22.0,7.0,26.0,31.0,81.0,56.0
1129,1.0,0.0,3.0,2.0,5.0,4.0,13.0,11.0,7.0,6.0,14.0,51.0,8.0,22.0,16.0,12.0,9.0,21.0,20.0,10.0,17.0,25.0,23.0,18.0,29.0,15.0,32.0,47.0,54.0,44.0
1178,9.0,0.0,2.0,4.0,3.0,1.0,12.0,20.0,5.0,8.0,13.0,31.0,10.0,18.0,11.0,22.0,42.0,15.0,17.0,7.0,21.0,16.0,34.0,27.0,53.0,6.0,30.0,43.0,49.0,26.0
1227,2.0,0.0,4.0,3.0,5.0,1.0,8.0,7.0,9.0,6.0,14.0,28.0,41.0,13.0,19.0,11.0,15.0,27.0,17.0,16.0,10.0,26.0,25.0,39.0,29.0,18.0,48.0,22.0,23.0,55.0
1276,3.0,0.0,5.0,1.0,2.0,10.0,4.0,16.0,22.0,9.0,20.0,15.0,18.0,25.0,8.0,7.0,26.0,60.0,14.0,19.0,11.0,21.0,17.0,29.0,23.0,6.0,58.0,75.0,37.0,32.0
1325,4.0,2.0,1.0,3.0,5.0,0.0,7.0,25.0,8.0,9.0,24.0,22.0,20.0,18.0,17.0,6.0,15.0,28.0,12.0,26.0,16.0,10.0,14.0,37.0,54.0,11.0,31.0,38.0,41.0,53.0
1374,11.0,0.0,1.0,2.0,4.0,3.0,9.0,7.0,16.0,13.0,5.0,15.0,17.0,24.0,14.0,8.0,10.0,51.0,22.0,23.0,25.0,21.0,18.0,37.0,43.0,6.0,33.0,42.0,67.0,55.0
