,EP300_MUT,ADAM5_DEL,ADAM3A_DEL,OR2T11_AMP,HERC2P2_AMP,ADCY8_DEL,ZNF438_DEL,C10orf11_DEL,SLC25A37_AMP,LPA_AMP,PSG4_DEL,OR51A4_DEL,LINC00202_AMP,SLC7A5P2_DEL,MCEE_AMP,SLC44A5_DEL,KALRN_MUT,LOC284344_DEL,FAM190A_DEL,LCE3C_DEL,SIRPB1_AMP,LOC390705_DEL,NBEAP1_AMP,NPIPL3_DEL,LOC100190986_DEL,FBXL7_DEL,RBFOX1_DEL,HLA-H_DEL,TOP2B_MUT,NME7_DEL
29,0.0,5.0,4.0,11.0,52.0,6.0,62.0,68.0,20.0,17.0,3.0,47.0,23.0,19.0,159.0,9.0,71.0,2.0,22.0,49.0,208.0,56.0,70.0,40.0,41.0,54.0,55.0,39.0,247.0,38.0
78,0.0,1.0,2.0,9.0,45.0,16.0,47.0,8.0,26.0,15.0,5.0,86.0,56.0,13.0,226.0,3.0,123.0,4.0,99.0,17.0,25.0,79.0,58.0,19.0,18.0,22.0,12.0,201.0,106.0,29.0
127,0.0,2.0,3.0,1.0,72.0,19.0,110.0,8.0,47.0,48.0,5.0,50.0,45.0,36.0,79.0,7.0,15.0,4.0,21.0,6.0,26.0,13.0,94.0,60.0,59.0,22.0,54.0,30.0,292.0,16.0
176,0.0,3.0,4.0,6.0,52.0,8.0,30.0,18.0,49.0,37.0,1.0,54.0,39.0,9.0,457.0,7.0,38.0,2.0,51.0,41.0,252.0,20.0,128.0,10.0,11.0,33.0,28.0,24.0,171.0,22.0
225,0.0,2.0,1.0,13.0,33.0,5.0,39.0,8.0,58.0,14.0,9.0,18.0,41.0,35.0,158.0,12.0,86.0,7.0,27.0,15.0,25.0,4.0,69.0,43.0,44.0,24.0,34.0,29.0,231.0,52.0
274,0.0,1.0,2.0,9.0,39.0,11.0,5.0,80.0,4.0,8.0,13.0,40.0,15.0,16.0,191.0,3.0,18.0,10.0,27.0,12.0,20.0,25.0,63.0,24.0,23.0,44.0,7.0,351.0,194.0,137.0
323,0.0,2.0,3.0,5.0,15.0,24.0,53.0,6.0,34.0,18.0,13.0,23.0,41.0,30.0,130.0,4.0,121.0,19.0,60.0,73.0,8.0,7.0,81.0,21.0,22.0,9.0,72.0,39.0,332.0,27.0
372,0.0,7.0,8.0,1.0,6982.0,45.0,652.0,21.0,38.0,10.0,3.0,135.0,46.0,28.0,60.0,4.0,25.0,2.0,42.0,180.0,109.0,20.0,106.0,29.0,30.0,107.0,9.0,5.0,116.0,423.0
421,0.0,5.0,4.0,3.0,46.0,24.0,15.0,16.0,201.0,37.0,2.0,293.0,11.0,39.0,49.0,18.0,32.0,1.0,29.0,19.0,183.0,10.0,64.0,47.0,48.0,17.0,45.0,13.0,136.0,6.0
470,0.0,3.0,2.0,6.0,75.0,13.0,85.0,10.0,127.0,69.0,9.0,35.0,24.0,18.0,87.0,5.0,282.0,7.0,44.0,59.0,14.0,40.0,164.0,22.0,21.0,41.0,37.0,117.0,311.0,57.0
519,0.0,1.0,2.0,3.0,9.0,58.0,8.0,13.0,688.0,88.0,21.0,22453.0,50.0,15.0,45.0,49.0,130.0,25.0,43.0,78.0,6.0,20.0,63.0,36.0,37.0,61.0,17.0,12.0,42.0,23.0
568,0.0,1.0,2.0,6.0,3.0,12.0,11.0,10.0,14.0,38.0,55.0,58.0,22.0,49.0,5.0,67.0,52.0,75.0,39.0,7.0,8.0,87.0,43.0,45.0,46.0,13.0,25.0,27.0,37.0,44.0
617,2.0,0.0,1.0,4.0,3.0,40.0,10.0,9.0,39.0,19.0,13.0,50.0,25.0,22.0,11.0,400.0,26.0,15.0,16.0,7.0,59.0,18.0,33.0,37.0,38.0,6.0,14.0,385.0,21.0,5.0
666,0.0,1.0,2.0,10.0,3.0,16.0,7.0,4.0,38.0,27.0,98.0,14.0,11.0,29.0,8.0,53.0,30.0,99.0,32.0,15.0,17.0,5.0,59.0,44.0,43.0,6.0,19.0,119.0,26.0,13.0
715,0.0,1.0,2.0,8.0,3.0,9.0,6.0,16.0,103.0,45.0,23.0,108.0,15.0,48.0,4.0,62.0,19.0,40.0,46.0,13.0,11.0,27.0,41.0,79.0,80.0,17.0,32.0,125.0,12.0,5.0
764,2.0,0.0,1.0,4.0,6.0,11.0,5.0,7.0,2807.0,9.0,31.0,32.0,23.0,13.0,20.0,15.0,65.0,53.0,81.0,3.0,82.0,18.0,106.0,24.0,25.0,8.0,41.0,225.0,38.0,14.0
813,0.0,1.0,2.0,5.0,3.0,22.0,9.0,17.0,85.0,15.0,24.0,89.0,8.0,79.0,6.0,34.0,42.0,33.0,29.0,32.0,88.0,26.0,31.0,131.0,132.0,4.0,40.0,68.0,10.0,13.0
862,0.0,1.0,2.0,19.0,8.0,9.0,6.0,36.0,65.0,45.0,21.0,64.0,39.0,20.0,35.0,42.0,61.0,27.0,34.0,59.0,203.0,32.0,415.0,30.0,29.0,16.0,5.0,136.0,17.0,7.0
911,0.0,1.0,2.0,19.0,3.0,10.0,5.0,22.0,41.0,86.0,69.0,54.0,15.0,17.0,23.0,13.0,33.0,78.0,143.0,8.0,45.0,34.0,50.0,31.0,29.0,12.0,24.0,699.0,18.0,4.0
960,0.0,1.0,2.0,4.0,6.0,10.0,15.0,13.0,68.0,12.0,7.0,40.0,19.0,57.0,9.0,34.0,60.0,5.0,27.0,18.0,3.0,31.0,41.0,85.0,84.0,11.0,20.0,17.0,58.0,46.0
1009,0.0,1.0,2.0,10.0,3.0,14.0,8.0,142.0,53.0,4.0,33.0,6.0,26.0,52.0,20.0,17.0,25.0,32.0,7.0,70.0,11.0,24.0,35.0,68.0,67.0,15.0,5.0,9.0,112.0,100.0
1058,0.0,1.0,2.0,71.0,3.0,14.0,6.0,9.0,53.0,18.0,32.0,4.0,26.0,13.0,28.0,17.0,19.0,37.0,12.0,16.0,212.0,5.0,39.0,20.0,21.0,96.0,51.0,58.0,69.0,112.0
