,EP300_MUT,ARHGAP44_DEL,DIDO1_AMP,LOC643837_DEL,DLG2_AMP,EIF4G1_MUT,TSHZ2_AMP,MCEE_AMP,KRAS.G12_13_MUT,GRM5_DEL,THSD7B_AMP,CDH13_DEL,ADAM5_DEL,C15orf2_MUT,PTPRN2_AMP,HAR1B_AMP,PAX5_DEL,GSTTP1_DEL,SLC25A24_DEL,ZBTB20_AMP,CSMD3_MUT,MIPEPP3_DEL,OR4N3P_DEL,LOC727924_DEL,CNTLN_DEL,MGAM_DEL,GSTM1_DEL,SCAPER_DEL,SIRPB1_AMP,HLA-H_DEL
33,22.0,13.0,4.0,10624.0,45.0,16215.0,21.0,97.0,44.0,281.0,63.0,51.0,78.0,85.0,21638.0,23100.0,72.0,5086.0,110.0,132.0,146.0,11285.0,2760.0,135.0,9436.0,8855.0,90.0,133.0,177.0,56.0
82,25.0,39.0,18083.0,10615.0,13231.0,16211.0,154.0,73.0,78.0,250.0,29.0,48.0,68.0,15925.0,43.0,5.0,66.0,5097.0,69.0,116.0,126.0,111.0,2774.0,100.0,38.0,8872.0,93.0,167.0,149.0,162.0
131,32.0,27.0,0.0,33.0,28.0,16214.0,29.0,101.0,89.0,321.0,38.0,66.0,140.0,36.0,42.0,13.0,41.0,5097.0,185.0,88.0,108.0,125.0,93.0,112.0,49.0,8851.0,136.0,116.0,127.0,72.0
180,11.0,22.0,5.0,7.0,23.0,16210.0,100.0,19552.0,24134.0,253.0,111.0,34.0,64.0,29.0,21625.0,88.0,37.0,5094.0,134.0,124.0,141.0,96.0,99.0,86.0,68.0,150.0,175.0,104.0,143.0,92.0
229,25.0,33.0,0.0,10613.0,42.0,16210.0,30.0,43.0,40.0,242.0,68.0,37.0,5133.0,57.0,45.0,23067.0,79.0,117.0,97.0,123.0,89.0,109.0,2764.0,78.0,9421.0,8847.0,115.0,154.0,177.0,149.0
278,21.0,18.0,18096.0,30.0,52.0,16218.0,74.0,61.0,40.0,114.0,73.0,39.0,113.0,107.0,104.0,7.0,26.0,5090.0,132.0,103.0,154.0,77.0,2773.0,112.0,76.0,8857.0,138.0,126.0,160.0,141.0
327,12.0,16.0,0.0,10614.0,101.0,16211.0,134.0,70.0,28.0,205.0,55.0,38.0,116.0,59.0,92.0,21.0,42.0,63.0,86.0,110.0,118.0,62.0,69.0,84.0,115.0,8851.0,99.0,172.0,144.0,150.0
376,31.0,30.0,0.0,10.0,13221.0,16214.0,113.0,110.0,90.0,281.0,19161.0,19.0,119.0,98.0,49.0,1.0,56.0,71.0,88.0,105.0,102.0,26.0,2772.0,66.0,54.0,8858.0,172.0,120.0,187.0,62.0
425,16.0,19.0,2.0,23.0,18.0,16212.0,128.0,17.0,70.0,325.0,94.0,50.0,127.0,15925.0,4.0,23069.0,43.0,5077.0,81.0,98.0,133.0,108.0,68.0,106.0,20.0,75.0,131.0,169.0,177.0,126.0
474,13.0,23.0,7.0,31.0,25.0,16210.0,38.0,63.0,24134.0,32.0,50.0,17.0,117.0,15924.0,34.0,57.0,112.0,39.0,710.0,147.0,130.0,99.0,92.0,70.0,29.0,8867.0,166.0,143.0,98.0,137.0
