,hsa-miR-30a,hsa-miR-766,hsa-miR-607,hsa-miR-1246,hsa-miR-1825,hsa-miR-378,hsa-miR-22,hsa-miR-643,hsa-miR-30e,hsa-miR-499-5p,hsa-miR-488,hsa-miR-589,hsa-miR-591,hsa-miR-590-5p,hsa-miR-578,hsa-miR-590-3p,hsa-miR-588,hsa-miR-587,hsa-miR-583,hsa-miR-586,hsa-miR-584,hsa-miR-582-3p,hsa-miR-580,hsa-miR-579,hsa-miR-581,hsa-miR-582-5p,hsa-miR-577,hsa-miR-576-5p,hsa-miR-592,hsa-miR-576-3p
20,0.0,3.0,84.0,11.0,1.0,487.0,9.0,173.0,4.0,34.0,40.0,53.0,50.0,51.0,42.0,52.0,54.0,56.0,59.0,57.0,48.0,55.0,46.0,45.0,49.0,58.0,88.0,94.0,60.0,133.0
69,0.0,19.0,14.0,442.0,395.0,4.0,565.0,29.0,597.0,526.0,43.0,61.0,52.0,53.0,50.0,58.0,60.0,62.0,45.0,51.0,63.0,59.0,56.0,54.0,57.0,55.0,47.0,89.0,49.0,100.0
118,0.0,5.0,23.0,4.0,22.0,483.0,28.0,2.0,33.0,37.0,39.0,62.0,57.0,59.0,144.0,60.0,63.0,64.0,67.0,65.0,66.0,105.0,107.0,143.0,106.0,68.0,145.0,146.0,55.0,147.0
167,1.0,2.0,4.0,12.0,22.0,0.0,26.0,43.0,3.0,34.0,5.0,54.0,16.0,62.0,88.0,53.0,56.0,58.0,57.0,50.0,60.0,52.0,47.0,49.0,44.0,55.0,96.0,163.0,51.0,98.0
216,7.0,1.0,94.0,36.0,396.0,2.0,564.0,11.0,596.0,525.0,32.0,74.0,95.0,75.0,43.0,92.0,58.0,54.0,51.0,53.0,52.0,47.0,45.0,44.0,28.0,48.0,56.0,65.0,96.0,57.0
265,0.0,18.0,2.0,9.0,31.0,6.0,36.0,5.0,25.0,33.0,4.0,41.0,66.0,64.0,58.0,43.0,49.0,44.0,47.0,46.0,21.0,23.0,55.0,57.0,54.0,51.0,60.0,61.0,65.0,62.0
314,5.0,23.0,91.0,13.0,395.0,1.0,565.0,33.0,9.0,32.0,4.0,16.0,48.0,44.0,3.0,50.0,49.0,52.0,57.0,53.0,56.0,59.0,55.0,54.0,58.0,51.0,60.0,47.0,45.0,97.0
363,0.0,13.0,91.0,1.0,21.0,487.0,565.0,4.0,38.0,33.0,37.0,56.0,52.0,50.0,43.0,54.0,58.0,59.0,53.0,60.0,61.0,57.0,51.0,49.0,55.0,44.0,32.0,48.0,62.0,47.0
412,1.0,4.0,84.0,11.0,16.0,0.0,24.0,5.0,2.0,526.0,6.0,48.0,42.0,47.0,49.0,46.0,50.0,51.0,56.0,53.0,55.0,41.0,54.0,52.0,58.0,57.0,59.0,44.0,43.0,90.0
461,5.0,1.0,86.0,10.0,19.0,22.0,25.0,28.0,0.0,29.0,38.0,51.0,48.0,47.0,44.0,49.0,52.0,55.0,59.0,56.0,57.0,54.0,50.0,61.0,53.0,60.0,42.0,41.0,46.0,45.0
