,hsa-miR-1977,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-378,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-214,hsa-miR-130a,hsa-miR-196b,hsa-miR-1296,hsa-miR-31,hsa-miR-1308,hsa-miR-563,hsa-miR-616,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-29c,hsa-miR-491-3p,hsa-miR-935,hsa-miR-128,hsv1-miR-H7,hsa-miR-1262,hsa-miR-509-5p,hsa-miR-147b,hsa-miR-620,hsa-miR-93,hsa-miR-643,hsa-miR-597,hsa-miR-92a
16,1.0,3.0,0.0,2.0,5.0,6.0,8.0,7.0,4.0,29.0,20.0,10.0,16.0,13.0,27.0,24.0,14.0,31.0,58.0,15.0,41.0,12.0,19.0,18.0,21.0,40.0,35.0,42.0,38.0,78.0
65,1.0,2.0,0.0,6.0,8.0,4.0,10.0,7.0,33.0,3.0,9.0,16.0,5.0,15.0,30.0,22.0,49.0,24.0,26.0,11.0,19.0,27.0,13.0,29.0,61.0,18.0,39.0,47.0,12.0,42.0
114,2.0,1.0,0.0,5.0,6.0,16.0,19.0,3.0,4.0,14.0,8.0,22.0,15.0,7.0,20.0,13.0,12.0,45.0,24.0,9.0,23.0,47.0,18.0,21.0,52.0,43.0,27.0,34.0,17.0,37.0
163,1.0,2.0,3.0,7.0,4.0,6.0,5.0,8.0,11.0,0.0,12.0,10.0,30.0,9.0,27.0,14.0,24.0,22.0,32.0,34.0,18.0,17.0,13.0,31.0,39.0,55.0,23.0,37.0,29.0,48.0
212,2.0,0.0,3.0,5.0,1.0,24.0,11.0,4.0,12.0,54.0,15.0,6.0,25.0,10.0,18.0,16.0,8.0,26.0,19.0,28.0,20.0,14.0,13.0,9.0,33.0,7.0,17.0,21.0,63.0,31.0
261,8.0,0.0,1.0,7.0,11.0,9.0,6.0,2.0,3.0,14.0,5.0,16.0,19.0,15.0,28.0,10.0,4.0,17.0,24.0,18.0,31.0,30.0,12.0,29.0,53.0,34.0,20.0,33.0,115.0,39.0
310,0.0,3.0,5.0,4.0,2.0,11.0,9.0,1.0,7.0,32.0,12.0,8.0,15.0,18.0,50.0,16.0,6.0,27.0,59.0,10.0,25.0,22.0,17.0,31.0,35.0,44.0,33.0,26.0,37.0,42.0
359,0.0,5.0,1.0,4.0,2.0,22.0,8.0,3.0,6.0,19.0,21.0,11.0,14.0,9.0,26.0,18.0,33.0,15.0,52.0,7.0,34.0,13.0,10.0,12.0,53.0,31.0,25.0,57.0,38.0,49.0
408,2.0,0.0,1.0,9.0,4.0,7.0,11.0,5.0,3.0,19.0,18.0,8.0,14.0,6.0,36.0,16.0,23.0,37.0,24.0,33.0,20.0,27.0,17.0,15.0,40.0,29.0,10.0,30.0,65.0,25.0
457,10.0,7.0,6.0,1.0,8.0,5.0,4.0,3.0,0.0,12.0,18.0,29.0,17.0,2.0,19.0,28.0,45.0,21.0,31.0,14.0,32.0,11.0,9.0,24.0,35.0,49.0,23.0,13.0,33.0,38.0
506,0.0,25.0,1.0,6.0,8.0,2.0,3.0,13.0,78.0,7.0,48.0,11.0,5.0,17.0,53.0,16.0,31.0,35.0,27.0,19.0,23.0,12.0,9.0,52.0,18.0,54.0,21.0,24.0,10.0,15.0
555,0.0,32.0,1.0,4.0,11.0,2.0,3.0,21.0,28.0,18.0,76.0,9.0,7.0,125.0,48.0,8.0,49.0,60.0,20.0,26.0,41.0,24.0,31.0,180.0,10.0,6.0,33.0,27.0,12.0,34.0
604,0.0,12.0,2.0,8.0,6.0,1.0,3.0,16.0,14.0,4.0,28.0,5.0,9.0,36.0,19.0,29.0,27.0,55.0,11.0,33.0,66.0,20.0,18.0,76.0,13.0,42.0,32.0,24.0,10.0,37.0
653,0.0,21.0,1.0,2.0,28.0,4.0,15.0,6.0,27.0,3.0,49.0,13.0,12.0,68.0,24.0,18.0,65.0,88.0,26.0,17.0,64.0,8.0,7.0,53.0,10.0,5.0,23.0,19.0,11.0,30.0
702,0.0,12.0,4.0,5.0,8.0,1.0,2.0,7.0,3.0,9.0,30.0,6.0,29.0,25.0,24.0,31.0,68.0,60.0,14.0,16.0,82.0,11.0,17.0,75.0,15.0,48.0,38.0,33.0,13.0,26.0
751,0.0,3.0,2.0,9.0,7.0,1.0,4.0,6.0,26.0,74.0,39.0,21.0,5.0,23.0,24.0,28.0,63.0,17.0,16.0,36.0,95.0,12.0,29.0,56.0,8.0,27.0,35.0,37.0,18.0,40.0
800,0.0,10.0,2.0,7.0,5.0,1.0,3.0,13.0,28.0,4.0,35.0,6.0,8.0,42.0,19.0,55.0,44.0,31.0,18.0,17.0,67.0,14.0,11.0,60.0,12.0,16.0,48.0,61.0,9.0,47.0
849,0.0,20.0,2.0,9.0,6.0,1.0,4.0,8.0,26.0,3.0,15.0,5.0,11.0,29.0,13.0,17.0,133.0,52.0,22.0,34.0,68.0,10.0,19.0,61.0,23.0,7.0,18.0,51.0,12.0,33.0
898,0.0,15.0,1.0,9.0,13.0,3.0,11.0,10.0,17.0,2.0,20.0,5.0,6.0,26.0,12.0,28.0,30.0,34.0,14.0,35.0,49.0,4.0,31.0,61.0,19.0,65.0,32.0,38.0,7.0,52.0
947,0.0,8.0,2.0,7.0,5.0,1.0,11.0,10.0,43.0,4.0,59.0,13.0,22.0,82.0,64.0,18.0,57.0,47.0,20.0,24.0,46.0,17.0,9.0,37.0,14.0,6.0,42.0,66.0,3.0,27.0
996,0.0,1.0,66.0,2.0,5.0,8.0,9.0,4.0,24.0,30.0,7.0,12.0,106.0,43.0,16.0,19.0,40.0,13.0,96.0,29.0,36.0,11.0,21.0,46.0,34.0,22.0,6.0,15.0,114.0,14.0
1045,0.0,1.0,84.0,3.0,11.0,2.0,4.0,7.0,5.0,6.0,8.0,20.0,16.0,14.0,28.0,9.0,24.0,19.0,51.0,30.0,33.0,23.0,41.0,36.0,50.0,38.0,15.0,25.0,85.0,26.0
1094,0.0,1.0,16.0,8.0,21.0,3.0,2.0,7.0,15.0,11.0,6.0,38.0,54.0,12.0,20.0,17.0,9.0,32.0,79.0,58.0,23.0,5.0,78.0,40.0,45.0,37.0,4.0,10.0,191.0,27.0
1143,1.0,2.0,132.0,0.0,8.0,17.0,3.0,4.0,10.0,26.0,6.0,36.0,52.0,7.0,18.0,12.0,23.0,24.0,19.0,13.0,50.0,21.0,29.0,61.0,27.0,28.0,30.0,33.0,77.0,43.0
1192,1.0,0.0,17.0,2.0,16.0,4.0,5.0,6.0,3.0,15.0,8.0,9.0,25.0,10.0,20.0,7.0,39.0,29.0,30.0,26.0,24.0,45.0,71.0,62.0,58.0,41.0,11.0,13.0,99.0,27.0
1241,1.0,0.0,40.0,3.0,12.0,4.0,2.0,10.0,17.0,6.0,5.0,64.0,21.0,22.0,141.0,8.0,50.0,16.0,42.0,29.0,26.0,52.0,45.0,91.0,20.0,24.0,9.0,19.0,82.0,35.0
1290,1.0,0.0,15.0,6.0,7.0,9.0,3.0,8.0,17.0,21.0,4.0,32.0,39.0,5.0,28.0,14.0,16.0,27.0,90.0,11.0,10.0,25.0,40.0,64.0,24.0,35.0,20.0,18.0,156.0,22.0
1339,0.0,1.0,10.0,3.0,7.0,4.0,2.0,5.0,12.0,6.0,18.0,9.0,30.0,13.0,32.0,15.0,68.0,21.0,42.0,61.0,36.0,8.0,65.0,67.0,29.0,22.0,11.0,14.0,71.0,40.0
