,hsa-miR-1977,hsa-miR-378,hsa-miR-766,hsa-miR-31,hsa-miR-214,hsa-miR-29c,hsa-miR-590-5p,hsa-miR-199b-5p,hsa-miR-620,hsa-miR-1296,hsa-miR-1262,hsa-miR-130a,hsa-miR-1308,hsa-miR-196b,hsa-miR-542-5p,hsa-miR-616,hsa-miR-563,hsa-miR-509-5p,kshv-miR-K12-3,hsa-miR-935,hsa-miR-764,hsv1-miR-H7,hsa-miR-645,hsa-miR-609,hsa-miR-744,hsa-miR-578,hsa-miR-147b,hsa-miR-34c-5p,hsa-miR-581,hsa-miR-142-5p
15,0.0,3.0,2.0,13.0,6.0,24.0,7.0,10.0,34.0,42.0,8.0,12.0,33.0,44.0,51.0,17.0,37.0,28.0,27.0,22.0,9.0,20.0,1.0,123.0,5.0,35.0,31.0,175.0,15.0,76.0
64,0.0,2.0,7.0,27.0,6.0,12.0,8.0,4.0,13.0,10.0,9.0,82.0,3.0,1.0,54.0,25.0,31.0,41.0,92.0,15.0,17.0,33.0,21.0,22.0,5.0,78.0,89.0,201.0,20.0,39.0
113,0.0,4.0,16.0,29.0,2.0,43.0,40.0,1.0,19.0,12.0,3.0,7.0,18.0,24.0,46.0,6.0,9.0,17.0,82.0,15.0,13.0,61.0,52.0,72.0,11.0,5.0,45.0,60.0,55.0,87.0
162,0.0,2.0,5.0,19.0,10.0,8.0,11.0,4.0,37.0,26.0,3.0,18.0,43.0,1.0,35.0,25.0,7.0,58.0,49.0,47.0,40.0,14.0,41.0,50.0,12.0,53.0,62.0,84.0,131.0,28.0
211,0.0,3.0,23.0,2.0,4.0,16.0,58.0,6.0,1.0,48.0,5.0,27.0,33.0,155.0,25.0,18.0,19.0,9.0,49.0,46.0,66.0,11.0,31.0,21.0,38.0,8.0,39.0,37.0,236.0,75.0
260,2.0,7.0,10.0,8.0,6.0,3.0,14.0,0.0,19.0,12.0,1.0,4.0,16.0,11.0,60.0,26.0,23.0,36.0,76.0,17.0,25.0,38.0,39.0,50.0,20.0,5.0,61.0,154.0,41.0,49.0
309,0.0,2.0,7.0,3.0,1.0,32.0,28.0,4.0,10.0,26.0,6.0,11.0,42.0,37.0,35.0,57.0,46.0,44.0,17.0,9.0,18.0,25.0,38.0,53.0,34.0,5.0,65.0,71.0,29.0,45.0
358,0.0,1.0,4.0,20.0,2.0,6.0,42.0,16.0,18.0,38.0,3.0,12.0,32.0,33.0,19.0,24.0,7.0,14.0,45.0,9.0,27.0,11.0,26.0,17.0,8.0,48.0,104.0,115.0,47.0,57.0
407,1.0,2.0,14.0,13.0,6.0,19.0,12.0,0.0,17.0,23.0,7.0,4.0,27.0,31.0,21.0,26.0,5.0,20.0,42.0,39.0,61.0,16.0,24.0,25.0,3.0,38.0,52.0,64.0,105.0,44.0
456,9.0,8.0,3.0,18.0,7.0,5.0,4.0,17.0,28.0,30.0,1.0,0.0,41.0,20.0,45.0,22.0,2.0,27.0,64.0,38.0,25.0,10.0,23.0,21.0,59.0,73.0,100.0,152.0,13.0,16.0
505,0.0,6.0,14.0,10.0,17.0,30.0,2.0,33.0,28.0,72.0,1.0,131.0,7.0,9.0,127.0,97.0,20.0,61.0,39.0,15.0,90.0,13.0,81.0,21.0,8.0,34.0,31.0,57.0,107.0,54.0
554,0.0,10.0,2.0,5.0,32.0,28.0,3.0,38.0,1.0,143.0,37.0,44.0,17.0,6.0,45.0,108.0,171.0,167.0,16.0,27.0,13.0,31.0,20.0,26.0,22.0,51.0,14.0,208.0,18.0,43.0
603,0.0,6.0,7.0,1.0,39.0,17.0,3.0,12.0,30.0,49.0,8.0,13.0,18.0,2.0,83.0,29.0,63.0,90.0,15.0,34.0,28.0,22.0,36.0,84.0,10.0,33.0,16.0,102.0,35.0,11.0
652,0.0,27.0,2.0,9.0,21.0,28.0,14.0,40.0,1.0,108.0,4.0,32.0,33.0,5.0,37.0,35.0,117.0,69.0,43.0,22.0,16.0,7.0,54.0,10.0,8.0,188.0,17.0,222.0,18.0,81.0
701,0.0,3.0,6.0,2.0,29.0,35.0,1.0,32.0,23.0,58.0,13.0,5.0,68.0,8.0,96.0,62.0,52.0,106.0,17.0,27.0,132.0,7.0,216.0,49.0,21.0,155.0,22.0,245.0,53.0,4.0
750,0.0,4.0,7.0,11.0,13.0,2.0,1.0,3.0,15.0,153.0,22.0,27.0,6.0,57.0,77.0,44.0,50.0,62.0,30.0,32.0,29.0,18.0,25.0,61.0,5.0,127.0,10.0,319.0,83.0,43.0
799,0.0,2.0,8.0,3.0,27.0,11.0,4.0,14.0,5.0,47.0,7.0,32.0,12.0,1.0,76.0,48.0,92.0,84.0,16.0,9.0,25.0,21.0,15.0,72.0,13.0,74.0,18.0,165.0,24.0,20.0
