,LEPREL2,MAGEA6,SLFN11,RCOR2,SPANXD,ANPEP,RCN3,ZYG11A,LYPD6B,TUSC3,ZNF215,CCZ1B,FAM98B,EVC2,PDLIM4,KRT13,SEMA3F,RPUSD2,RP11-305M3.2,CORO2A,LINC00665,WNT5A,P2RX5,LIPE,MEIS3P1,PXDN,CBS,AP000783.1,LGALS9,ARTN
9,8.0,0.0,17.0,1.0,12.0,38.0,26.0,40.0,3.0,34.0,9.0,7.0,21.0,75.0,13.0,14.0,6.0,63.0,10.0,23.0,99.0,130.0,20.0,201.0,167.0,329.0,139.0,32.0,24.0,66.0
58,2.0,0.0,23.0,4.0,14.0,25.0,21.0,15.0,1.0,3.0,20.0,31.0,7.0,147.0,170.0,12.0,27.0,30.0,40.0,16.0,63.0,8.0,33.0,34.0,164.0,110.0,5.0,22.0,41.0,13.0
107,1.0,0.0,6.0,22.0,69.0,43.0,3.0,25.0,5.0,15.0,7.0,14.0,11.0,195.0,246.0,4.0,16.0,27.0,19.0,10.0,44.0,55.0,51.0,68.0,61.0,87.0,17.0,9.0,54.0,66.0
156,2.0,0.0,64.0,8.0,26.0,76.0,6.0,9.0,5.0,29.0,1.0,16.0,13.0,108.0,155.0,4.0,15.0,54.0,50.0,10.0,37.0,109.0,42.0,261.0,106.0,135.0,161.0,49.0,23.0,96.0
205,21.0,0.0,6.0,5.0,14.0,49.0,2.0,31.0,11.0,12.0,9.0,1.0,7.0,18.0,24.0,36.0,8.0,56.0,22.0,28.0,101.0,130.0,81.0,67.0,209.0,174.0,25.0,60.0,44.0,29.0
254,5.0,0.0,41.0,7.0,3.0,65.0,386.0,30.0,29.0,6.0,2.0,23.0,8.0,110.0,1.0,10.0,11.0,38.0,89.0,18.0,26.0,47.0,45.0,20.0,162.0,95.0,28.0,56.0,34.0,9.0
303,9.0,4.0,0.0,21.0,117.0,64.0,17.0,1.0,3.0,8.0,5.0,18.0,22.0,187.0,1295.0,10.0,2.0,20.0,105.0,6.0,34.0,98.0,66.0,58.0,488.0,1718.0,13.0,140.0,30.0,83.0
352,3.0,0.0,2.0,4.0,61.0,206.0,42.0,7.0,1.0,12.0,8.0,73.0,10.0,75.0,15.0,6.0,9.0,11.0,22.0,5.0,35.0,55.0,24.0,34.0,172.0,118.0,39.0,60.0,62.0,20.0
401,5.0,1.0,3.0,11.0,25.0,27.0,0.0,14.0,2.0,6.0,13.0,26.0,8.0,49.0,89.0,4.0,12.0,45.0,68.0,7.0,41.0,81.0,36.0,83.0,64.0,87.0,18.0,82.0,20.0,17.0
450,2.0,0.0,13.0,7.0,24.0,146.0,5.0,28.0,9.0,4.0,6.0,8.0,1.0,72.0,512.0,11.0,3.0,12.0,41.0,17.0,126.0,247.0,18.0,50.0,86.0,191.0,61.0,77.0,108.0,42.0
499,10.0,12.0,26.0,20.0,4.0,5.0,1.0,13.0,8.0,53.0,103.0,41.0,22.0,7.0,77.0,11.0,73.0,28.0,39.0,172.0,60.0,2.0,31.0,23.0,9.0,21.0,3.0,123.0,44.0,15.0
548,5.0,45.0,15.0,28.0,3.0,6.0,92.0,43.0,2.0,85.0,8.0,33.0,13.0,42.0,130.0,0.0,50.0,14.0,58.0,29.0,139.0,7.0,18.0,44.0,11.0,175.0,1.0,17.0,9.0,10.0
597,5.0,0.0,42.0,37.0,1.0,4.0,12.0,17.0,95.0,20.0,35.0,15.0,13.0,22.0,140.0,7.0,47.0,30.0,99.0,59.0,14.0,10.0,40.0,79.0,48.0,26.0,8.0,46.0,25.0,29.0
646,0.0,33.0,9.0,8.0,218.0,66.0,4.0,32.0,3.0,57.0,21.0,10.0,14.0,13.0,3620.0,12.0,16.0,44.0,29.0,51.0,28.0,1.0,84.0,23.0,125.0,18.0,6.0,56.0,39.0,71.0
695,0.0,5.0,155.0,11.0,13.0,2.0,1.0,18.0,8.0,29.0,52.0,51.0,31.0,17.0,237.0,9.0,6.0,78.0,93.0,60.0,110.0,3.0,35.0,83.0,43.0,10.0,4.0,37.0,24.0,21.0
744,0.0,20.0,3.0,39.0,11.0,42.0,18.0,14.0,2.0,47.0,51.0,44.0,16.0,4.0,472.0,6.0,70.0,32.0,87.0,62.0,53.0,15.0,34.0,9.0,28.0,1.0,8.0,13.0,49.0,82.0
793,6.0,0.0,98.0,15.0,3.0,1.0,19.0,31.0,7.0,35.0,49.0,9.0,22.0,14.0,157.0,18.0,67.0,39.0,33.0,152.0,138.0,5.0,12.0,57.0,4.0,26.0,20.0,55.0,44.0,65.0
842,2.0,8.0,70.0,28.0,3.0,27.0,69.0,7.0,0.0,18.0,63.0,14.0,10.0,16.0,1473.0,9.0,34.0,25.0,49.0,56.0,60.0,6.0,20.0,37.0,43.0,47.0,4.0,33.0,31.0,57.0
891,1.0,0.0,2.0,25.0,4.0,8.0,66.0,19.0,3.0,12.0,28.0,78.0,55.0,46.0,69.0,43.0,96.0,105.0,52.0,20.0,162.0,5.0,77.0,6.0,50.0,14.0,7.0,17.0,26.0,42.0
