,HNRNPA1,ANP32B,DUT,ARHGAP11B,DNAJB2,MMS22L,DAZAP1,MMP24,ANP32A,HNRNPK,GNB3,MCM7,ITGB5,ODF2,BCL2L1,GPRC5B,ATP5D,RP11-177C12.1,C1orf122,NOB1,CTDSPL2,SUCO,TTF2,TFAP4,FAM98B,SSRP1,GART,EIF3L,LRRC8C,SMIM8
7,3.0,25.0,4.0,3265.0,6.0,23340.0,11783.0,22.0,2709.0,24.0,5695.0,18726.0,14447.0,43.0,6700.0,1499.0,103.0,9.0,446.0,9963.0,2617.0,262.0,15488.0,162.0,3340.0,3769.0,930.0,9066.0,14886.0,69.0
56,1.0,20479.0,521.0,39.0,13207.0,8.0,13.0,7.0,84.0,456.0,12.0,18714.0,14210.0,47.0,101.0,33.0,11782.0,72.0,16009.0,44.0,16.0,22.0,15543.0,3247.0,3434.0,3691.0,2.0,716.0,157.0,21.0
105,3.0,20472.0,648.0,29.0,705.0,23101.0,56.0,8.0,89.0,20456.0,192.0,34.0,14444.0,52.0,70.0,12.0,11787.0,84.0,448.0,10.0,3172.0,11.0,15540.0,300.0,2135.0,53.0,22.0,197.0,14868.0,0.0
154,0.0,20539.0,3.0,48.0,236.0,18.0,21.0,5.0,2460.0,453.0,5711.0,2.0,14463.0,59.0,82.0,23.0,68.0,81.0,15990.0,24.0,3532.0,33.0,15496.0,17.0,2999.0,3802.0,49.0,9084.0,14.0,34.0
203,151.0,0.0,2613.0,66.0,13171.0,6.0,7.0,19.0,68.0,5.0,5686.0,4.0,14326.0,69.0,51.0,15.0,302.0,30.0,46.0,11.0,556.0,57.0,15425.0,10.0,3257.0,47.0,13.0,49.0,14924.0,17.0
252,109.0,1.0,3417.0,3126.0,13200.0,21.0,19.0,15.0,3241.0,49.0,5715.0,4.0,14466.0,70.0,34.0,23.0,11771.0,61.0,124.0,45.0,2953.0,74.0,15449.0,29.0,2864.0,43.0,6734.0,27.0,14946.0,51.0
301,4.0,1.0,49.0,2896.0,108.0,38.0,14.0,22.0,78.0,141.0,593.0,18693.0,14456.0,11.0,6689.0,10.0,631.0,52.0,12.0,16.0,2961.0,72.0,15427.0,31.0,2849.0,19.0,6714.0,6.0,358.0,5.0
350,3.0,1.0,60.0,2921.0,13219.0,37.0,8.0,6415.0,47.0,20423.0,622.0,23.0,14219.0,68.0,40.0,34.0,22.0,11.0,474.0,17.0,2951.0,88.0,50.0,53.0,10.0,15.0,169.0,9095.0,14874.0,79.0
399,3.0,0.0,34.0,3126.0,120.0,47.0,7.0,71.0,9.0,26.0,5834.0,668.0,14454.0,107.0,97.0,23.0,849.0,59.0,1066.0,22.0,2943.0,590.0,13.0,86.0,10.0,15.0,6734.0,9078.0,14947.0,93.0
448,29.0,0.0,11.0,35.0,13178.0,8.0,3.0,13.0,64.0,1.0,5663.0,18710.0,14329.0,19369.0,6638.0,36.0,544.0,56.0,169.0,25.0,5.0,17062.0,486.0,122.0,24.0,15.0,7.0,9056.0,450.0,80.0
497,0.0,28.0,13.0,66.0,13220.0,588.0,14.0,26.0,110.0,2.0,5.0,64.0,105.0,172.0,131.0,3116.0,11767.0,13743.0,97.0,9948.0,3319.0,17065.0,15546.0,3233.0,39.0,10.0,6760.0,69.0,14882.0,23316.0
546,0.0,23.0,35.0,21.0,13230.0,23338.0,25.0,6416.0,61.0,4.0,13.0,93.0,88.0,20325.0,106.0,2801.0,830.0,64.0,17.0,242.0,109.0,17077.0,15556.0,2241.0,11.0,386.0,139.0,5.0,705.0,108.0
595,9.0,48.0,83.0,24.0,0.0,23098.0,20.0,28.0,23.0,1.0,96.0,4.0,14206.0,19363.0,6675.0,3.0,309.0,37.0,115.0,9965.0,25.0,17038.0,235.0,119.0,6.0,3762.0,6702.0,9045.0,120.0,114.0
644,0.0,9.0,20.0,43.0,58.0,23344.0,21.0,6643.0,3.0,2.0,1.0,22.0,65.0,89.0,6658.0,7.0,195.0,109.0,117.0,9953.0,31.0,17054.0,23.0,2229.0,4.0,11.0,6715.0,101.0,14886.0,23378.0
693,0.0,6.0,1.0,16.0,78.0,23097.0,35.0,6626.0,64.0,4.0,7.0,3.0,63.0,20312.0,135.0,55.0,11764.0,62.0,90.0,9952.0,3352.0,17086.0,30.0,231.0,2.0,18.0,6701.0,8.0,784.0,23331.0
742,0.0,73.0,67.0,1.0,68.0,23344.0,23.0,6638.0,58.0,6.0,4.0,2.0,43.0,20325.0,357.0,5.0,13.0,7.0,16024.0,646.0,251.0,17089.0,14.0,2268.0,35.0,3748.0,6708.0,9.0,14886.0,23377.0
791,0.0,7.0,5.0,106.0,3.0,23319.0,56.0,6408.0,71.0,83.0,5692.0,1.0,42.0,20317.0,101.0,9.0,338.0,12.0,279.0,10188.0,3414.0,470.0,46.0,882.0,2985.0,31.0,375.0,147.0,18.0,23389.0
840,3.0,0.0,85.0,97.0,1.0,7.0,11.0,316.0,107.0,6.0,5707.0,2.0,19.0,20325.0,83.0,92.0,11811.0,45.0,15993.0,9961.0,3223.0,417.0,31.0,2308.0,94.0,22.0,320.0,157.0,14891.0,23321.0
889,2.0,7.0,5.0,71.0,0.0,28.0,6.0,1024.0,98.0,1.0,46.0,4.0,37.0,20312.0,52.0,3.0,11791.0,77.0,15979.0,25.0,2941.0,17078.0,8.0,2487.0,30.0,44.0,6707.0,63.0,14881.0,23350.0
938,0.0,32.0,9.0,56.0,13153.0,10.0,11766.0,6620.0,76.0,1.0,528.0,18471.0,22.0,19379.0,37.0,4.0,11747.0,54.0,482.0,17.0,3336.0,1097.0,34.0,2505.0,31.0,57.0,6747.0,9032.0,777.0,43.0
