,XBP1,Lck,eEF2,Chk2,FRA1,Cyclin_B1,Src_pY416,Notch1,Caspase-7_cleavedD198,PDCD4,MSH6,PTEN,Myosin IIa pS1943,Annexin 1,GAPDH,Caveolin-1,CD49b,4E-BP1,VAV1,Bax,Porin,AMPK_pT172,Stathmin,MDMX_MDM4(BetIHC-00108),p38_pT180_Y182,PI3K-p110-alpha,SF2,Chk1_pS345,C-Raf(BD610151),c-Myc
3,0.0,2.0,3.0,1.0,9.0,14.0,4.0,7.0,18.0,8.0,5.0,15.0,10.0,20.0,11.0,16.0,92.0,6.0,25.0,24.0,17.0,19.0,28.0,21.0,34.0,29.0,55.0,89.0,22.0,30.0
52,0.0,2.0,3.0,1.0,7.0,9.0,6.0,4.0,34.0,5.0,8.0,31.0,15.0,13.0,10.0,86.0,12.0,11.0,14.0,23.0,17.0,100.0,57.0,21.0,33.0,29.0,24.0,27.0,109.0,16.0
101,0.0,2.0,4.0,1.0,12.0,6.0,10.0,3.0,15.0,5.0,20.0,28.0,9.0,31.0,25.0,8.0,35.0,13.0,55.0,21.0,7.0,22.0,18.0,17.0,16.0,51.0,30.0,29.0,19.0,95.0
150,0.0,3.0,4.0,2.0,6.0,7.0,10.0,1.0,16.0,5.0,12.0,8.0,45.0,23.0,11.0,17.0,32.0,30.0,13.0,18.0,9.0,24.0,27.0,34.0,14.0,77.0,19.0,20.0,25.0,21.0
199,0.0,1.0,2.0,6.0,12.0,23.0,5.0,3.0,20.0,4.0,24.0,11.0,30.0,18.0,8.0,35.0,27.0,7.0,28.0,90.0,10.0,14.0,13.0,9.0,38.0,75.0,16.0,106.0,17.0,26.0
248,0.0,1.0,2.0,4.0,10.0,9.0,12.0,7.0,13.0,5.0,3.0,16.0,15.0,14.0,8.0,22.0,29.0,38.0,18.0,33.0,6.0,25.0,11.0,32.0,31.0,36.0,19.0,27.0,23.0,89.0
297,0.0,2.0,3.0,1.0,14.0,7.0,6.0,5.0,16.0,4.0,9.0,8.0,12.0,15.0,19.0,36.0,30.0,23.0,17.0,28.0,11.0,20.0,78.0,21.0,13.0,75.0,60.0,38.0,18.0,32.0
346,0.0,1.0,2.0,3.0,4.0,8.0,7.0,5.0,11.0,13.0,15.0,14.0,25.0,10.0,12.0,35.0,20.0,9.0,22.0,29.0,6.0,27.0,26.0,17.0,32.0,73.0,24.0,18.0,21.0,39.0
395,0.0,2.0,4.0,1.0,5.0,7.0,6.0,3.0,22.0,11.0,9.0,15.0,8.0,14.0,10.0,24.0,18.0,17.0,106.0,23.0,12.0,20.0,21.0,59.0,16.0,61.0,31.0,107.0,116.0,26.0
444,0.0,3.0,2.0,7.0,4.0,12.0,5.0,1.0,20.0,11.0,8.0,9.0,16.0,34.0,10.0,18.0,37.0,14.0,15.0,17.0,6.0,21.0,13.0,27.0,75.0,40.0,23.0,118.0,19.0,36.0
493,0.0,2.0,1.0,4.0,3.0,9.0,6.0,11.0,20.0,7.0,24.0,31.0,5.0,16.0,34.0,83.0,17.0,14.0,18.0,36.0,10.0,26.0,32.0,12.0,8.0,15.0,63.0,22.0,85.0,13.0
542,0.0,1.0,2.0,5.0,7.0,4.0,3.0,9.0,10.0,22.0,12.0,35.0,6.0,40.0,37.0,13.0,28.0,23.0,8.0,27.0,25.0,102.0,58.0,18.0,11.0,14.0,31.0,20.0,90.0,15.0
591,0.0,2.0,1.0,12.0,6.0,4.0,9.0,20.0,23.0,37.0,5.0,10.0,16.0,19.0,32.0,7.0,11.0,14.0,13.0,17.0,15.0,30.0,58.0,27.0,3.0,8.0,64.0,24.0,29.0,18.0
640,0.0,3.0,6.0,1.0,2.0,7.0,14.0,10.0,21.0,9.0,12.0,15.0,5.0,19.0,29.0,31.0,22.0,11.0,36.0,16.0,20.0,17.0,57.0,8.0,4.0,18.0,65.0,32.0,109.0,26.0
689,0.0,1.0,5.0,3.0,6.0,2.0,10.0,8.0,13.0,30.0,9.0,36.0,4.0,7.0,18.0,25.0,19.0,20.0,21.0,11.0,14.0,29.0,46.0,16.0,26.0,17.0,58.0,15.0,86.0,12.0
