,XBP1,Lck,eEF2,Chk2,Src_pY416,FRA1,Notch1,PTEN,Cyclin_B1,GAPDH,MSH6,Myosin IIa pS1943,PDCD4,Caspase-7_cleavedD198,Porin,CD49b,Annexin 1,Caveolin-1,VAV1,Bax,PI3K-p110-alpha,MDMX_MDM4(BetIHC-00108),AMPK_pT172,4E-BP1,Chk1_pS345,MYH11,Stathmin,Src_pY527,p38_pT180_Y182,C-Raf(BD610151)
2,0.0,2.0,3.0,1.0,4.0,11.0,10.0,13.0,19.0,8.0,5.0,6.0,7.0,25.0,14.0,78.0,28.0,17.0,16.0,23.0,21.0,20.0,36.0,12.0,45.0,24.0,41.0,39.0,46.0,22.0
51,0.0,2.0,3.0,1.0,4.0,10.0,5.0,29.0,12.0,8.0,7.0,14.0,6.0,53.0,13.0,9.0,17.0,38.0,11.0,27.0,19.0,21.0,61.0,18.0,22.0,48.0,96.0,28.0,57.0,32.0
100,0.0,2.0,4.0,1.0,9.0,18.0,3.0,27.0,11.0,20.0,13.0,7.0,5.0,15.0,6.0,24.0,39.0,8.0,40.0,22.0,71.0,16.0,26.0,25.0,31.0,21.0,17.0,32.0,19.0,14.0
149,0.0,3.0,4.0,1.0,11.0,8.0,2.0,7.0,14.0,10.0,9.0,31.0,6.0,23.0,5.0,22.0,25.0,13.0,12.0,20.0,43.0,37.0,28.0,46.0,15.0,16.0,39.0,53.0,19.0,26.0
198,0.0,1.0,2.0,6.0,4.0,17.0,5.0,10.0,29.0,8.0,30.0,15.0,3.0,33.0,7.0,11.0,26.0,42.0,18.0,47.0,65.0,9.0,13.0,14.0,37.0,48.0,21.0,32.0,58.0,16.0
247,0.0,1.0,3.0,5.0,8.0,10.0,9.0,15.0,11.0,7.0,2.0,12.0,6.0,16.0,4.0,19.0,17.0,22.0,14.0,35.0,29.0,40.0,36.0,46.0,23.0,45.0,13.0,28.0,41.0,18.0
296,0.0,2.0,5.0,1.0,3.0,20.0,6.0,7.0,9.0,17.0,10.0,11.0,4.0,14.0,8.0,27.0,18.0,45.0,12.0,25.0,67.0,21.0,32.0,44.0,33.0,19.0,72.0,29.0,16.0,15.0
345,0.0,3.0,2.0,1.0,5.0,9.0,6.0,11.0,15.0,8.0,20.0,18.0,13.0,16.0,4.0,14.0,7.0,29.0,21.0,30.0,52.0,23.0,37.0,12.0,19.0,27.0,41.0,43.0,39.0,22.0
394,0.0,2.0,4.0,1.0,5.0,8.0,3.0,12.0,13.0,9.0,10.0,6.0,11.0,31.0,7.0,15.0,14.0,23.0,37.0,19.0,50.0,43.0,29.0,32.0,34.0,42.0,28.0,18.0,20.0,44.0
443,0.0,5.0,3.0,8.0,2.0,10.0,1.0,7.0,18.0,6.0,9.0,14.0,11.0,34.0,4.0,30.0,43.0,20.0,13.0,16.0,88.0,29.0,27.0,33.0,39.0,28.0,17.0,26.0,85.0,15.0
492,0.0,1.0,2.0,9.0,3.0,7.0,10.0,25.0,12.0,32.0,27.0,5.0,8.0,30.0,4.0,6.0,11.0,35.0,18.0,36.0,16.0,15.0,33.0,14.0,24.0,46.0,39.0,19.0,13.0,49.0
541,0.0,1.0,3.0,7.0,2.0,10.0,8.0,30.0,6.0,29.0,11.0,4.0,20.0,9.0,13.0,21.0,35.0,12.0,5.0,32.0,18.0,14.0,64.0,36.0,16.0,17.0,78.0,37.0,15.0,59.0
590,0.0,2.0,1.0,20.0,10.0,6.0,18.0,11.0,5.0,23.0,4.0,14.0,37.0,31.0,13.0,3.0,15.0,8.0,16.0,19.0,9.0,34.0,38.0,22.0,21.0,64.0,67.0,25.0,7.0,40.0
639,0.0,2.0,9.0,1.0,12.0,3.0,16.0,10.0,6.0,27.0,11.0,4.0,8.0,29.0,13.0,14.0,22.0,34.0,40.0,19.0,18.0,7.0,21.0,20.0,31.0,33.0,51.0,38.0,5.0,75.0
688,0.0,1.0,10.0,4.0,6.0,7.0,9.0,34.0,5.0,23.0,8.0,2.0,39.0,20.0,12.0,13.0,3.0,25.0,16.0,11.0,18.0,17.0,32.0,24.0,14.0,26.0,46.0,15.0,35.0,74.0
737,0.0,5.0,7.0,3.0,1.0,6.0,10.0,28.0,11.0,19.0,13.0,2.0,29.0,30.0,12.0,8.0,4.0,22.0,17.0,45.0,20.0,16.0,46.0,23.0,25.0,56.0,32.0,14.0,9.0,76.0
786,0.0,1.0,6.0,2.0,5.0,3.0,18.0,30.0,21.0,11.0,4.0,14.0,33.0,23.0,25.0,9.0,8.0,42.0,15.0,17.0,7.0,19.0,39.0,12.0,24.0,41.0,74.0,13.0,22.0,87.0
835,0.0,3.0,1.0,7.0,9.0,5.0,8.0,36.0,2.0,17.0,4.0,11.0,34.0,14.0,15.0,13.0,6.0,52.0,25.0,22.0,19.0,18.0,47.0,21.0,20.0,55.0,97.0,23.0,10.0,51.0
884,0.0,3.0,8.0,11.0,2.0,1.0,14.0,10.0,7.0,13.0,6.0,5.0,26.0,33.0,18.0,4.0,16.0,35.0,15.0,30.0,12.0,24.0,29.0,28.0,25.0,34.0,45.0,22.0,19.0,62.0
933,0.0,4.0,1.0,2.0,5.0,18.0,3.0,53.0,11.0,22.0,25.0,6.0,20.0,26.0,43.0,7.0,14.0,45.0,17.0,31.0,12.0,8.0,24.0,9.0,10.0,34.0,48.0,13.0,15.0,83.0
982,0.0,3.0,2.0,7.0,17.0,6.0,1.0,20.0,4.0,12.0,11.0,29.0,18.0,13.0,22.0,16.0,15.0,14.0,5.0,9.0,25.0,10.0,19.0,37.0,21.0,42.0,8.0,48.0,30.0,50.0
1031,0.0,3.0,7.0,1.0,35.0,4.0,2.0,10.0,5.0,16.0,11.0,21.0,17.0,14.0,33.0,9.0,6.0,12.0,24.0,8.0,22.0,18.0,13.0,19.0,23.0,32.0,25.0,15.0,40.0,29.0
1080,0.0,1.0,8.0,3.0,12.0,2.0,9.0,7.0,11.0,5.0,4.0,31.0,20.0,16.0,32.0,22.0,18.0,39.0,15.0,10.0,27.0,26.0,6.0,21.0,28.0,43.0,30.0,14.0,42.0,55.0
1129,0.0,1.0,5.0,4.0,11.0,6.0,7.0,18.0,3.0,8.0,22.0,21.0,14.0,45.0,26.0,23.0,2.0,9.0,16.0,10.0,20.0,19.0,17.0,35.0,29.0,43.0,27.0,25.0,42.0,30.0
1178,0.0,1.0,6.0,2.0,23.0,3.0,4.0,8.0,5.0,14.0,11.0,22.0,12.0,28.0,10.0,17.0,15.0,9.0,34.0,13.0,18.0,19.0,7.0,51.0,20.0,33.0,25.0,38.0,31.0,56.0
1227,0.0,1.0,5.0,13.0,37.0,14.0,3.0,7.0,6.0,12.0,9.0,29.0,2.0,15.0,20.0,18.0,10.0,11.0,4.0,22.0,24.0,19.0,17.0,49.0,21.0,8.0,32.0,34.0,31.0,33.0
1276,0.0,1.0,3.0,2.0,16.0,6.0,4.0,15.0,7.0,5.0,11.0,31.0,19.0,21.0,33.0,38.0,12.0,13.0,14.0,10.0,9.0,29.0,30.0,46.0,22.0,25.0,24.0,17.0,42.0,41.0
1325,0.0,3.0,6.0,2.0,12.0,1.0,9.0,28.0,7.0,34.0,5.0,15.0,18.0,10.0,25.0,42.0,4.0,17.0,16.0,8.0,19.0,20.0,22.0,26.0,29.0,23.0,14.0,24.0,11.0,40.0
1374,0.0,2.0,1.0,6.0,19.0,10.0,8.0,7.0,4.0,12.0,5.0,25.0,18.0,23.0,29.0,24.0,3.0,11.0,16.0,15.0,30.0,20.0,9.0,22.0,38.0,35.0,13.0,21.0,34.0,27.0
1423,0.0,1.0,7.0,4.0,11.0,8.0,2.0,22.0,3.0,13.0,10.0,33.0,16.0,12.0,23.0,21.0,9.0,6.0,19.0,27.0,17.0,29.0,5.0,31.0,34.0,25.0,15.0,18.0,57.0,51.0
