,HAEMATOPOIETIC,STOMACH,OESOPHAGUS,NERVOUS,OVARY,LUNG,SKIN,LARGE_INTESTINE,PANCREAS,ENDOMETRIUM,URINARY,LIVER,BREAST,GANGLIA,PROSTATE,SOFT_TISSUE,BONE,PLEURA,AERODIGESTIVE,THYROID,KIDNEY,BILIARY,SALIVARY
48,0.0,2.0,5.0,4.0,17.0,1.0,15.0,7.0,9.0,11.0,3.0,8.0,10.0,6.0,13.0,14.0,18.0,12.0,22.0,16.0,19.0,20.0,21.0
97,0.0,3.0,11.0,4.0,5.0,13.0,1.0,7.0,8.0,2.0,19.0,9.0,12.0,6.0,10.0,14.0,15.0,20.0,16.0,17.0,18.0,21.0,22.0
146,2.0,3.0,6.0,13.0,5.0,17.0,15.0,16.0,0.0,1.0,4.0,8.0,7.0,14.0,10.0,11.0,9.0,18.0,20.0,12.0,19.0,21.0,22.0
195,0.0,2.0,10.0,3.0,4.0,12.0,14.0,5.0,6.0,8.0,15.0,9.0,7.0,11.0,1.0,13.0,20.0,16.0,17.0,18.0,19.0,21.0,22.0
244,6.0,2.0,7.0,4.0,5.0,1.0,0.0,9.0,10.0,11.0,3.0,14.0,12.0,8.0,13.0,17.0,15.0,20.0,16.0,18.0,19.0,21.0,22.0
293,9.0,8.0,5.0,14.0,11.0,17.0,0.0,3.0,6.0,2.0,7.0,1.0,4.0,13.0,16.0,12.0,15.0,18.0,20.0,10.0,19.0,21.0,22.0
342,0.0,1.0,8.0,12.0,11.0,17.0,2.0,5.0,7.0,3.0,14.0,4.0,9.0,6.0,15.0,10.0,13.0,20.0,16.0,18.0,19.0,21.0,22.0
391,0.0,14.0,1.0,12.0,11.0,2.0,7.0,4.0,5.0,6.0,13.0,8.0,19.0,3.0,10.0,15.0,9.0,17.0,20.0,16.0,18.0,21.0,22.0
440,0.0,1.0,2.0,3.0,15.0,12.0,6.0,10.0,5.0,7.0,16.0,8.0,11.0,4.0,9.0,13.0,17.0,18.0,20.0,19.0,14.0,21.0,22.0
489,6.0,4.0,0.0,15.0,19.0,11.0,3.0,1.0,7.0,20.0,5.0,2.0,8.0,16.0,18.0,12.0,10.0,9.0,17.0,13.0,14.0,22.0,21.0
538,15.0,2.0,3.0,4.0,16.0,0.0,13.0,6.0,1.0,9.0,17.0,7.0,8.0,5.0,11.0,12.0,10.0,18.0,20.0,19.0,14.0,21.0,22.0
587,1.0,16.0,3.0,8.0,7.0,6.0,18.0,0.0,4.0,5.0,14.0,10.0,13.0,15.0,2.0,9.0,11.0,12.0,19.0,17.0,20.0,21.0,22.0
636,5.0,17.0,1.0,3.0,4.0,0.0,14.0,2.0,6.0,7.0,16.0,8.0,9.0,20.0,12.0,13.0,11.0,10.0,19.0,18.0,15.0,21.0,22.0
685,9.0,14.0,2.0,12.0,10.0,8.0,15.0,4.0,0.0,6.0,13.0,7.0,5.0,3.0,1.0,16.0,11.0,18.0,20.0,17.0,19.0,21.0,22.0
734,4.0,2.0,9.0,16.0,15.0,19.0,7.0,8.0,0.0,6.0,3.0,10.0,5.0,1.0,20.0,13.0,17.0,12.0,11.0,18.0,14.0,22.0,21.0
783,0.0,15.0,3.0,13.0,6.0,11.0,1.0,5.0,7.0,8.0,14.0,9.0,18.0,4.0,2.0,12.0,10.0,16.0,20.0,17.0,19.0,21.0,22.0
832,0.0,14.0,3.0,5.0,6.0,12.0,1.0,7.0,8.0,9.0,18.0,10.0,11.0,4.0,2.0,13.0,15.0,16.0,22.0,21.0,17.0,19.0,20.0
881,0.0,15.0,10.0,8.0,7.0,22.0,6.0,4.0,11.0,2.0,9.0,3.0,12.0,5.0,1.0,13.0,14.0,20.0,16.0,18.0,19.0,17.0,21.0
930,6.0,2.0,7.0,4.0,5.0,1.0,14.0,0.0,8.0,9.0,3.0,10.0,11.0,19.0,12.0,13.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0
979,0.0,6.0,11.0,9.0,8.0,1.0,12.0,3.0,20.0,10.0,7.0,13.0,4.0,2.0,5.0,18.0,14.0,17.0,15.0,19.0,16.0,21.0,22.0
1028,0.0,1.0,5.0,3.0,4.0,10.0,6.0,7.0,14.0,8.0,2.0,17.0,9.0,11.0,16.0,12.0,13.0,20.0,15.0,18.0,19.0,21.0,22.0
1077,1.0,5.0,2.0,6.0,7.0,0.0,10.0,11.0,4.0,13.0,9.0,3.0,12.0,8.0,15.0,17.0,16.0,20.0,14.0,18.0,19.0,21.0,22.0
1126,11.0,10.0,0.0,8.0,7.0,1.0,6.0,4.0,12.0,2.0,9.0,3.0,5.0,15.0,17.0,13.0,14.0,20.0,16.0,18.0,19.0,22.0,21.0
1175,7.0,10.0,5.0,9.0,8.0,0.0,6.0,14.0,16.0,1.0,12.0,2.0,4.0,3.0,17.0,11.0,13.0,18.0,20.0,19.0,15.0,21.0,22.0
1224,11.0,10.0,5.0,8.0,7.0,17.0,0.0,3.0,6.0,1.0,9.0,2.0,4.0,12.0,16.0,13.0,14.0,15.0,20.0,18.0,19.0,21.0,22.0
1273,9.0,15.0,12.0,7.0,6.0,0.0,5.0,1.0,10.0,2.0,8.0,13.0,4.0,3.0,22.0,18.0,14.0,20.0,16.0,19.0,11.0,17.0,21.0
1322,0.0,8.0,5.0,7.0,9.0,16.0,1.0,2.0,6.0,15.0,10.0,12.0,3.0,4.0,17.0,11.0,13.0,14.0,20.0,18.0,19.0,21.0,22.0
1371,1.0,4.0,6.0,11.0,0.0,10.0,7.0,2.0,9.0,3.0,5.0,8.0,15.0,12.0,16.0,13.0,14.0,18.0,20.0,22.0,17.0,19.0,21.0
1420,10.0,9.0,4.0,7.0,6.0,1.0,15.0,3.0,5.0,14.0,8.0,2.0,0.0,11.0,17.0,12.0,13.0,20.0,16.0,18.0,19.0,21.0,22.0
1469,5.0,14.0,7.0,3.0,4.0,10.0,16.0,6.0,0.0,1.0,2.0,8.0,12.0,15.0,17.0,11.0,9.0,18.0,20.0,19.0,13.0,21.0,22.0
1518,4.0,14.0,10.0,13.0,3.0,0.0,7.0,5.0,6.0,8.0,2.0,9.0,1.0,11.0,12.0,16.0,20.0,15.0,18.0,17.0,19.0,21.0,22.0
1567,7.0,6.0,9.0,13.0,15.0,0.0,17.0,10.0,3.0,4.0,11.0,1.0,12.0,2.0,5.0,16.0,14.0,20.0,18.0,19.0,8.0,21.0,22.0
1616,0.0,15.0,2.0,4.0,5.0,1.0,7.0,9.0,6.0,10.0,14.0,16.0,8.0,3.0,12.0,13.0,11.0,17.0,19.0,18.0,20.0,21.0,22.0
1665,5.0,15.0,1.0,14.0,13.0,0.0,8.0,4.0,6.0,9.0,2.0,10.0,7.0,3.0,12.0,17.0,11.0,16.0,20.0,18.0,19.0,21.0,22.0
1714,0.0,1.0,8.0,11.0,9.0,17.0,15.0,4.0,7.0,14.0,12.0,3.0,5.0,6.0,2.0,10.0,13.0,20.0,16.0,18.0,19.0,21.0,22.0
1763,1.0,3.0,4.0,5.0,13.0,0.0,8.0,6.0,7.0,10.0,14.0,2.0,9.0,11.0,12.0,16.0,20.0,15.0,18.0,17.0,19.0,22.0,21.0
1812,20.0,1.0,2.0,3.0,17.0,22.0,0.0,9.0,5.0,6.0,18.0,7.0,11.0,4.0,8.0,14.0,19.0,12.0,10.0,15.0,16.0,13.0,21.0
1861,6.0,3.0,0.0,15.0,14.0,12.0,1.0,10.0,7.0,11.0,4.0,2.0,8.0,5.0,9.0,13.0,20.0,16.0,18.0,17.0,19.0,21.0,22.0
