,SIRPB1_AMP,KIAA1217_DEL,FMN2_AMP,ZBTB20_AMP,BTNL3_DEL,ZNF705G_AMP,DOCK10_AMP,BMPR2_AMP,TAG_DEL,NRXN3_DEL,BCAS1_AMP,CDC73_AMP,GSTTP1_AMP,BRAF_MUT,UNC13C_MUT,SORD_AMP,DPP6_DEL,MST1P9_AMP,PTCH1_AMP,MGAM_DEL,PCCB_DEL,AMY2A_DEL,EP300_MUT,MRC1_AMP,KIR2DL4_AMP,BRAF.V600E_MUT,FBXL7_DEL,BCL11A_MUT,NRXN1_DEL,DAB1_DEL
31,1.0,3.0,6.0,0.0,2.0,4.0,12.0,11.0,8.0,7.0,16.0,15.0,5.0,56.0,24.0,19.0,38.0,92.0,51.0,14.0,40.0,37.0,13.0,73.0,78.0,140.0,29.0,36.0,94.0,27.0
80,2.0,8.0,4.0,0.0,14.0,7.0,26.0,10.0,1.0,5.0,16.0,18.0,20.0,98.0,55.0,1829.0,6.0,71.0,137.0,24.0,109.0,191.0,3.0,555.0,37.0,812.0,45.0,12.0,149.0,38.0
129,1.0,9.0,7.0,2.0,0.0,4.0,3.0,18.0,6.0,8.0,13.0,12.0,20.0,114.0,26.0,14.0,50.0,55.0,33.0,17.0,32.0,113.0,5.0,11.0,163.0,255.0,30.0,16.0,79.0,378.0
178,15.0,3.0,9.0,0.0,4.0,5.0,2.0,7.0,16.0,1.0,26.0,11.0,13.0,77.0,25.0,255.0,17.0,36.0,19.0,22.0,30.0,52.0,6.0,343.0,31.0,345.0,399.0,27.0,41.0,47.0
227,1.0,3.0,4.0,0.0,2.0,6.0,15.0,7.0,12.0,13.0,9.0,11.0,34.0,14.0,21.0,1003.0,59.0,44.0,16.0,5.0,55.0,38.0,8.0,848.0,188.0,39.0,20.0,115.0,319.0,40.0
276,2.0,6.0,14.0,0.0,5.0,4.0,1.0,8.0,3.0,9.0,11.0,39.0,19.0,20.0,52.0,48.0,7.0,51.0,38.0,12.0,41.0,46.0,10.0,18.0,80.0,30.0,22.0,33.0,61.0,77.0
325,1.0,7.0,26.0,0.0,2.0,6.0,4.0,15.0,10.0,5.0,14.0,18.0,8.0,88.0,70.0,59.0,9.0,260.0,372.0,11.0,45.0,191.0,3.0,17.0,29.0,623.0,133.0,28.0,27.0,99.0
374,8.0,3.0,11.0,0.0,6.0,4.0,7.0,10.0,24.0,2.0,21.0,9.0,5.0,51.0,20.0,103.0,14.0,18.0,36.0,13.0,289.0,69.0,1.0,2242.0,772.0,191.0,44.0,22.0,38.0,333.0
423,1.0,11.0,6.0,2.0,0.0,13.0,5.0,66.0,9.0,8.0,30.0,20.0,14.0,37.0,136.0,132.0,12.0,43.0,133.0,15.0,35.0,26.0,7.0,27.0,261.0,257.0,24.0,38.0,49.0,100.0
472,3.0,5.0,26.0,0.0,1.0,9.0,11.0,23.0,2.0,4.0,7.0,55.0,53.0,217.0,29.0,24.0,14.0,13.0,32.0,104.0,21.0,16.0,19.0,165.0,25.0,205.0,147.0,39.0,356.0,116.0
521,6.0,0.0,13.0,14.0,5.0,2.0,1.0,18.0,15.0,22.0,17.0,32.0,4.0,9.0,16.0,644.0,12.0,74.0,204.0,42.0,67.0,36.0,25.0,43.0,26.0,24.0,3.0,19.0,180.0,569.0
570,3.0,1.0,23.0,7.0,0.0,2.0,6.0,9.0,51.0,42.0,8.0,57.0,52.0,5.0,21.0,92.0,11.0,12.0,158.0,4.0,60.0,48.0,14.0,31.0,15.0,18.0,19.0,29.0,580.0,134.0
619,6.0,1.0,12.0,0.0,2.0,5.0,3.0,4.0,25.0,33.0,13.0,19.0,9.0,7.0,41.0,39.0,15.0,27.0,95.0,10.0,128.0,22.0,118.0,14.0,64.0,18.0,8.0,17.0,286.0,152.0
668,10.0,5.0,14.0,15.0,4.0,0.0,1.0,13.0,23.0,30.0,3.0,34.0,2.0,31.0,19.0,1133.0,81.0,7.0,256.0,49.0,115.0,61.0,11.0,47.0,51.0,170.0,16.0,20.0,111.0,105.0
717,2.0,0.0,12.0,1.0,8.0,4.0,10.0,7.0,16.0,41.0,5.0,3.0,14.0,18.0,17.0,83.0,27.0,24.0,151.0,43.0,152.0,25.0,13.0,29.0,11.0,23.0,6.0,84.0,1011.0,194.0
766,1.0,2.0,4.0,21.0,9.0,0.0,3.0,7.0,29.0,36.0,8.0,76.0,5.0,10.0,41.0,140.0,15.0,24.0,707.0,28.0,437.0,43.0,18.0,23.0,12.0,16.0,6.0,25.0,38.0,93.0
815,15.0,6.0,1.0,17.0,0.0,5.0,2.0,8.0,38.0,10.0,14.0,43.0,11.0,26.0,114.0,100.0,3.0,22.0,137.0,18.0,95.0,77.0,23.0,20.0,13.0,98.0,4.0,7.0,122.0,47.0
864,19.0,1.0,7.0,22.0,4.0,13.0,0.0,9.0,15.0,24.0,8.0,33.0,16.0,2.0,37.0,29.0,3.0,26.0,152.0,38.0,96.0,32.0,21.0,12.0,14.0,18.0,11.0,25.0,162.0,64.0
913,9.0,1.0,6.0,7.0,3.0,2.0,0.0,8.0,108.0,65.0,32.0,11.0,19.0,4.0,35.0,174.0,15.0,27.0,39.0,90.0,31.0,21.0,93.0,30.0,13.0,10.0,5.0,16.0,262.0,318.0
962,1.0,4.0,6.0,5.0,3.0,2.0,0.0,9.0,49.0,28.0,12.0,24.0,11.0,20.0,15.0,88.0,10.0,8.0,105.0,74.0,169.0,25.0,19.0,13.0,18.0,16.0,52.0,95.0,524.0,827.0
1011,23.0,34.0,1.0,16.0,25.0,5.0,30.0,0.0,20.0,4.0,3.0,52.0,10.0,9.0,13.0,414.0,2.0,22.0,45.0,131.0,17.0,29.0,105.0,6.0,40.0,24.0,27.0,46.0,26.0,19.0
1060,16.0,4.0,0.0,10.0,19.0,2.0,22.0,1.0,23.0,8.0,6.0,14.0,3.0,12.0,5.0,9.0,27.0,7.0,20.0,660.0,18.0,29.0,179.0,26.0,118.0,28.0,82.0,61.0,31.0,30.0
1109,2.0,15.0,32.0,22.0,5.0,11.0,7.0,0.0,3.0,50.0,10.0,4.0,19.0,14.0,18.0,6.0,12.0,9.0,58.0,87.0,13.0,17.0,415.0,1.0,27.0,28.0,24.0,380.0,116.0,120.0
1158,3.0,7.0,2.0,5.0,11.0,12.0,14.0,0.0,6.0,8.0,9.0,13.0,4.0,73.0,10.0,46.0,1.0,29.0,18.0,28.0,16.0,52.0,35.0,38.0,31.0,218.0,189.0,66.0,22.0,50.0
1207,2.0,5.0,7.0,15.0,37.0,3.0,8.0,0.0,1.0,11.0,18.0,17.0,6.0,9.0,14.0,10.0,4.0,28.0,21.0,30.0,19.0,24.0,38.0,20.0,59.0,16.0,141.0,58.0,25.0,176.0
1256,4.0,3.0,5.0,2.0,14.0,32.0,25.0,0.0,42.0,6.0,1.0,11.0,20.0,27.0,7.0,40.0,9.0,8.0,15.0,26.0,44.0,16.0,79.0,10.0,78.0,18.0,221.0,554.0,28.0,250.0
1305,6.0,4.0,2.0,8.0,1.0,17.0,5.0,0.0,23.0,13.0,19.0,42.0,9.0,29.0,40.0,25.0,3.0,36.0,27.0,82.0,20.0,14.0,169.0,12.0,39.0,34.0,32.0,99.0,45.0,81.0
1354,12.0,6.0,0.0,11.0,3.0,9.0,5.0,2.0,125.0,8.0,7.0,45.0,10.0,13.0,26.0,1.0,4.0,22.0,19.0,118.0,14.0,124.0,50.0,16.0,390.0,32.0,38.0,35.0,63.0,41.0
1403,3.0,36.0,16.0,20.0,2.0,1.0,6.0,0.0,12.0,15.0,5.0,14.0,9.0,11.0,8.0,13.0,4.0,7.0,29.0,33.0,483.0,37.0,428.0,123.0,38.0,21.0,19.0,41.0,27.0,105.0
1452,10.0,3.0,1.0,20.0,4.0,7.0,17.0,0.0,13.0,5.0,16.0,18.0,8.0,86.0,12.0,2.0,6.0,15.0,29.0,36.0,19.0,32.0,96.0,38.0,39.0,171.0,142.0,59.0,40.0,70.0
