,MAP2K4_DEL,POU5F1B_AMP,PRODH_DEL,CCL3L3_DEL,GRM5_DEL,MYH8_DEL,FAM21A_DEL,ANKRD36_AMP,BMPR2_AMP,FAM66D_DEL,NRXN3_DEL,ATR_MUT,LOC339166_DEL,DNAJC24_DEL,AMY2A_DEL,PPFIBP1_AMP,LOC284344_DEL,SIRPB1_AMP,DOCK10_AMP,SMARCA4_MUT,PRR5-ARHGAP8_DEL,LRP1B_DEL,ANKS1B_DEL,TAG_DEL,BTNL3_DEL,MGAM_DEL,FAM86B1_DEL,KIAA1217_DEL,CDKN2B-AS1_DEL,ASAH2_DEL
33,4.0,76.0,43.0,1.0,3.0,53.0,88.0,14904.0,33.0,66.0,7883.0,16447.0,52.0,62.0,95.0,16.0,45.0,63.0,21450.0,41.0,9679.0,72.0,11569.0,68.0,106.0,57.0,9.0,126.0,71.0,150.0
82,7.0,46.0,23.0,1762.0,281.0,2136.0,106.0,14911.0,58.0,37.0,63.0,16451.0,122.0,94.0,1522.0,49.0,115.0,52.0,84.0,75.0,126.0,87.0,73.0,70.0,166.0,57.0,83.0,92.0,169.0,120.0
131,0.0,2.0,63.0,1.0,32.0,6.0,64.0,14848.0,86.0,157.0,18.0,16443.0,70.0,53.0,40.0,19260.0,29.0,72.0,104.0,16563.0,3.0,122.0,24.0,84.0,94.0,146.0,73.0,88.0,166.0,96.0
180,13.0,4.0,30.0,17.0,118.0,0.0,38.0,14914.0,26.0,159.0,29.0,11.0,24.0,25.0,1582.0,19284.0,84.0,188.0,57.0,16570.0,9685.0,59.0,68.0,70.0,158.0,45.0,39.0,105.0,181.0,96.0
229,5.0,2.0,52.0,20.0,1.0,13.0,122.0,46.0,67.0,37.0,60.0,16447.0,70.0,33.0,1537.0,19267.0,63.0,41.0,76.0,16566.0,113.0,75.0,96.0,108.0,120.0,81.0,8938.0,94.0,181.0,97.0
278,0.0,16.0,38.0,13.0,2.0,12.0,79.0,14906.0,14.0,195.0,76.0,16476.0,42.0,58.0,1560.0,19266.0,48.0,59.0,41.0,16545.0,115.0,60.0,11590.0,102.0,178.0,92.0,8964.0,93.0,95.0,160.0
327,8.0,3.0,59.0,1779.0,12.0,2141.0,69.0,14914.0,23934.0,24.0,31.0,1.0,273.0,53.0,1593.0,71.0,105.0,50.0,155.0,68.0,103.0,56.0,11575.0,66.0,123.0,83.0,8939.0,85.0,179.0,111.0
376,0.0,3.0,42.0,15.0,4.0,49.0,48.0,11.0,70.0,103.0,60.0,16448.0,58.0,24.0,69.0,19263.0,80.0,145.0,110.0,31.0,28.0,93.0,108.0,23.0,107.0,65.0,18.0,95.0,136.0,113.0
425,10898.0,6.0,34.0,25.0,0.0,10.0,135.0,98.0,115.0,171.0,93.0,11.0,69.0,51.0,59.0,19322.0,104.0,125.0,110.0,21.0,9686.0,130.0,95.0,141.0,105.0,124.0,43.0,168.0,45.0,129.0
474,10901.0,7.0,95.0,1773.0,259.0,11.0,54.0,14911.0,23925.0,47.0,27.0,10.0,30.0,73.0,26.0,19323.0,38.0,75.0,137.0,16.0,127.0,113.0,11576.0,83.0,85.0,8849.0,2.0,53.0,150.0,131.0
