,1-methylnicotinamide,C16:0 LPE,pantothenate,2-deoxycytidine,5-HIAA,alpha-glycerophosphate,C22:6 CE,niacinamide,adenosine,N-carbamoyl-beta-alanine,sarcosine,carnitine,serine,creatinine,glutamine,3-phosphoglycerate,inosine,UMP,phosphocreatine,valerylcarnitine,C20:4 CE,oxalate,NADP,urate,DHAP/glyceraldehyde 3P,uracil,butyrylcarnitine/isobutyrylcarnitine,C34:2 DAG,taurodeoxycholate,C36:1 DAG
27,1.0,0.0,9.0,3.0,8.0,25.0,13.0,14.0,16.0,11.0,33.0,38.0,21.0,60.0,2.0,23.0,24.0,26.0,49.0,17.0,44.0,28.0,10.0,6.0,12.0,7.0,30.0,19.0,5.0,43.0
76,2.0,20.0,0.0,8.0,5.0,11.0,24.0,1.0,17.0,55.0,42.0,7.0,50.0,60.0,31.0,18.0,30.0,12.0,10.0,44.0,46.0,3.0,6.0,62.0,29.0,63.0,45.0,22.0,58.0,23.0
125,3.0,12.0,28.0,4.0,21.0,0.0,1.0,9.0,16.0,8.0,11.0,46.0,15.0,60.0,6.0,24.0,10.0,29.0,49.0,19.0,43.0,59.0,27.0,7.0,26.0,25.0,45.0,41.0,50.0,13.0
174,1.0,7.0,11.0,9.0,2.0,0.0,4.0,6.0,8.0,5.0,18.0,22.0,47.0,62.0,51.0,14.0,26.0,29.0,30.0,16.0,21.0,32.0,10.0,28.0,31.0,27.0,23.0,37.0,25.0,20.0
223,1.0,12.0,5.0,7.0,16.0,14.0,0.0,2.0,4.0,56.0,10.0,15.0,22.0,60.0,51.0,18.0,3.0,30.0,25.0,31.0,20.0,6.0,26.0,28.0,11.0,29.0,9.0,42.0,27.0,43.0
272,1.0,7.0,2.0,0.0,5.0,12.0,20.0,17.0,3.0,18.0,24.0,4.0,31.0,14.0,59.0,11.0,10.0,8.0,55.0,40.0,22.0,52.0,9.0,32.0,33.0,54.0,21.0,29.0,6.0,30.0
321,8.0,3.0,7.0,4.0,14.0,1.0,0.0,6.0,18.0,20.0,39.0,12.0,49.0,62.0,51.0,22.0,5.0,60.0,29.0,41.0,42.0,25.0,24.0,2.0,28.0,27.0,13.0,17.0,54.0,36.0
370,0.0,12.0,7.0,17.0,52.0,1.0,2.0,9.0,15.0,16.0,11.0,28.0,22.0,61.0,50.0,4.0,10.0,55.0,3.0,30.0,21.0,8.0,27.0,26.0,24.0,6.0,29.0,41.0,48.0,42.0
419,1.0,9.0,2.0,3.0,15.0,0.0,5.0,6.0,4.0,18.0,16.0,20.0,56.0,65.0,58.0,42.0,10.0,26.0,23.0,14.0,31.0,28.0,11.0,8.0,7.0,52.0,12.0,34.0,53.0,32.0
468,2.0,0.0,11.0,10.0,5.0,1.0,21.0,9.0,63.0,14.0,35.0,38.0,16.0,62.0,50.0,15.0,4.0,3.0,26.0,33.0,20.0,30.0,29.0,31.0,7.0,57.0,18.0,43.0,53.0,44.0
