,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-148a,hsa-miR-1976,hsa-miR-548b-5p,hsa-miR-1908,hsa-miR-550,hsa-miR-491-3p,hsa-miR-628-5p,hsa-miR-320c,hsa-miR-92a,hsa-miR-150,hsa-miR-668,hsa-miR-375,hsa-miR-186,hsa-miR-1256,hsa-miR-584,hsa-miR-143,ebv-miR-BART13,hsa-miR-384,hsa-miR-423-3p,hsa-miR-1285,hsa-miR-1197,hsa-miR-330-3p,hsa-miR-744,ebv-miR-BART20-5p,hsa-miR-1271,hcmv-miR-US5-1,hsa-miR-505,hsa-miR-1977
17,0.0,14.0,1.0,11.0,102.0,2.0,13.0,3.0,34.0,4.0,35.0,10.0,8.0,15.0,82.0,96.0,104.0,27.0,5.0,24.0,64.0,66.0,86.0,25.0,90.0,6.0,32.0,130.0,42.0,47.0
66,0.0,3.0,103.0,26.0,89.0,13.0,4.0,38.0,28.0,1.0,10.0,5.0,29.0,20.0,74.0,6.0,46.0,18.0,11.0,21.0,68.0,50.0,9.0,14.0,24.0,8.0,33.0,116.0,27.0,22.0
115,0.0,1.0,6.0,5.0,56.0,3.0,10.0,14.0,31.0,2.0,27.0,7.0,9.0,8.0,44.0,43.0,66.0,23.0,4.0,18.0,45.0,50.0,40.0,29.0,81.0,32.0,54.0,138.0,28.0,39.0
164,0.0,9.0,4.0,12.0,100.0,10.0,8.0,25.0,43.0,2.0,27.0,6.0,7.0,1.0,76.0,81.0,20.0,22.0,14.0,34.0,60.0,41.0,44.0,108.0,311.0,31.0,30.0,249.0,54.0,11.0
213,0.0,4.0,14.0,25.0,52.0,5.0,11.0,43.0,272.0,3.0,33.0,10.0,18.0,2.0,370.0,26.0,112.0,15.0,34.0,22.0,39.0,19.0,37.0,42.0,6.0,9.0,23.0,245.0,20.0,7.0
262,0.0,25.0,45.0,13.0,3.0,11.0,17.0,14.0,44.0,1.0,90.0,7.0,22.0,2.0,55.0,390.0,32.0,26.0,4.0,16.0,59.0,38.0,12.0,15.0,122.0,43.0,10.0,89.0,37.0,20.0
311,0.0,12.0,76.0,2.0,24.0,35.0,7.0,17.0,66.0,1.0,4.0,5.0,3.0,16.0,64.0,62.0,19.0,38.0,22.0,48.0,23.0,92.0,34.0,8.0,84.0,6.0,124.0,21.0,32.0,9.0
360,0.0,4.0,1.0,2.0,12.0,15.0,30.0,37.0,40.0,25.0,35.0,14.0,9.0,6.0,68.0,54.0,18.0,23.0,22.0,34.0,29.0,36.0,7.0,3.0,44.0,17.0,114.0,98.0,41.0,13.0
409,0.0,25.0,23.0,26.0,24.0,1.0,3.0,9.0,71.0,2.0,15.0,4.0,21.0,14.0,67.0,60.0,55.0,16.0,12.0,34.0,32.0,29.0,6.0,8.0,301.0,5.0,62.0,101.0,70.0,368.0
458,0.0,66.0,12.0,1.0,8.0,3.0,48.0,70.0,43.0,2.0,78.0,17.0,4.0,6.0,44.0,89.0,68.0,30.0,22.0,13.0,21.0,28.0,40.0,11.0,15.0,29.0,26.0,34.0,37.0,46.0
