,hsa-miR-142-5p,hsa-let-7e,hsa-miR-216a,hsa-miR-24,hsa-miR-222,hsa-miR-21,hsa-miR-22,hsa-miR-31,hsa-miR-574-5p,hsa-miR-92a,hsa-miR-130a,hsa-miR-150,hsa-let-7i,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-766,hsa-miR-30a,hsa-miR-663,hsa-let-7a,hsa-miR-320d,hsa-miR-224,hsa-miR-10a,hsa-miR-223,hsa-miR-151-3p,hsa-miR-218,hsa-miR-508-5p,hsa-miR-137,hsa-miR-219-2-3p,kshv-miR-K12-4-3p,hsa-miR-193a-5p,hsa-miR-210
18,0.0,1.0,6.0,2.0,8.0,3.0,65.0,4.0,11.0,20.0,10.0,28.0,5.0,9.0,18.0,7.0,72.0,33.0,40.0,193.0,210.0,30.0,14.0,102.0,227.0,15.0,24.0,13.0,324.0,12.0
67,0.0,1.0,6.0,2.0,3.0,8.0,7.0,12.0,13.0,16.0,20.0,4.0,10.0,25.0,82.0,11.0,50.0,14.0,26.0,21.0,31.0,167.0,22.0,76.0,33.0,121.0,15.0,17.0,39.0,227.0
116,1.0,0.0,8.0,4.0,2.0,6.0,7.0,5.0,10.0,16.0,15.0,17.0,3.0,18.0,21.0,9.0,56.0,29.0,22.0,28.0,30.0,63.0,65.0,102.0,173.0,39.0,59.0,14.0,37.0,11.0
165,0.0,1.0,3.0,2.0,10.0,11.0,7.0,6.0,14.0,40.0,9.0,12.0,5.0,13.0,17.0,15.0,47.0,59.0,34.0,4.0,48.0,125.0,46.0,18.0,207.0,29.0,64.0,8.0,60.0,223.0
214,0.0,1.0,6.0,2.0,3.0,9.0,19.0,5.0,18.0,21.0,13.0,11.0,4.0,29.0,44.0,23.0,26.0,141.0,38.0,7.0,70.0,91.0,10.0,28.0,27.0,14.0,24.0,12.0,8.0,17.0
263,0.0,1.0,4.0,2.0,9.0,6.0,3.0,8.0,7.0,32.0,22.0,17.0,10.0,20.0,13.0,44.0,27.0,250.0,21.0,5.0,74.0,23.0,11.0,82.0,152.0,147.0,33.0,15.0,49.0,303.0
312,0.0,1.0,2.0,3.0,4.0,5.0,6.0,18.0,14.0,13.0,10.0,29.0,12.0,8.0,20.0,73.0,19.0,15.0,32.0,7.0,16.0,55.0,21.0,11.0,90.0,17.0,23.0,36.0,9.0,81.0
361,1.0,0.0,4.0,5.0,2.0,7.0,32.0,12.0,13.0,19.0,14.0,10.0,3.0,27.0,82.0,25.0,39.0,15.0,8.0,24.0,31.0,541.0,62.0,23.0,101.0,6.0,38.0,55.0,30.0,175.0
410,0.0,1.0,8.0,7.0,3.0,5.0,14.0,2.0,15.0,66.0,17.0,51.0,10.0,18.0,47.0,6.0,4.0,22.0,13.0,11.0,23.0,82.0,20.0,132.0,55.0,135.0,16.0,9.0,126.0,106.0
459,1.0,0.0,2.0,3.0,6.0,12.0,7.0,4.0,20.0,152.0,11.0,16.0,5.0,10.0,21.0,41.0,8.0,32.0,46.0,27.0,47.0,34.0,57.0,255.0,61.0,44.0,13.0,53.0,45.0,58.0
