,hsa-miR-190,hsa-miR-584,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-548b-5p,hsa-miR-574-5p,hsa-miR-143,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-1908,hsa-miR-384,hsa-miR-1976,ebv-miR-BART13,hsa-miR-1271,hsa-miR-548q,hsa-miR-606,hsa-miR-668,hsa-miR-1308,hsa-miR-1227,hsa-miR-423-3p,hsa-miR-567,hsa-miR-625,hsa-miR-628-5p,hsa-miR-562,hsa-miR-361-3p,hsa-miR-1291,hsa-miR-330-3p,hsa-miR-886-5p,ebv-miR-BART20-5p,hsa-miR-139-5p,hsv1-miR-H2-5p
15,17.0,22.0,4.0,11.0,250.0,18.0,7.0,0.0,2.0,10.0,12.0,9.0,28.0,13.0,6.0,5.0,1.0,26.0,123.0,70.0,180.0,55.0,71.0,195.0,32.0,8.0,61.0,36.0,49.0,182.0
64,1.0,15.0,0.0,5.0,59.0,2.0,6.0,3.0,17.0,12.0,56.0,4.0,62.0,39.0,45.0,28.0,8.0,25.0,77.0,153.0,172.0,37.0,38.0,71.0,40.0,7.0,9.0,20.0,41.0,136.0
113,6.0,11.0,5.0,3.0,81.0,2.0,7.0,8.0,4.0,13.0,9.0,1.0,28.0,21.0,0.0,27.0,47.0,54.0,105.0,114.0,107.0,26.0,29.0,122.0,25.0,20.0,41.0,66.0,101.0,60.0
162,2.0,0.0,5.0,27.0,67.0,1.0,6.0,3.0,7.0,37.0,12.0,4.0,43.0,92.0,17.0,8.0,11.0,21.0,129.0,40.0,47.0,30.0,32.0,82.0,99.0,60.0,42.0,56.0,13.0,118.0
211,21.0,12.0,3.0,6.0,41.0,0.0,4.0,5.0,1.0,19.0,30.0,10.0,33.0,63.0,17.0,55.0,2.0,22.0,112.0,49.0,76.0,145.0,153.0,88.0,18.0,29.0,26.0,20.0,23.0,31.0
260,40.0,1.0,15.0,5.0,0.0,13.0,4.0,2.0,18.0,16.0,33.0,9.0,8.0,47.0,11.0,36.0,12.0,19.0,140.0,185.0,43.0,37.0,58.0,97.0,24.0,6.0,110.0,113.0,31.0,63.0
309,72.0,0.0,20.0,19.0,25.0,14.0,15.0,27.0,38.0,21.0,9.0,31.0,165.0,1.0,59.0,3.0,30.0,4.0,41.0,69.0,18.0,96.0,67.0,71.0,83.0,13.0,84.0,117.0,7.0,49.0
358,18.0,6.0,11.0,40.0,2.0,0.0,8.0,7.0,5.0,36.0,1.0,9.0,105.0,59.0,39.0,10.0,12.0,24.0,79.0,190.0,269.0,23.0,136.0,58.0,48.0,4.0,15.0,43.0,82.0,52.0
407,23.0,15.0,9.0,13.0,19.0,7.0,2.0,3.0,0.0,21.0,44.0,4.0,58.0,16.0,8.0,32.0,11.0,14.0,115.0,211.0,110.0,33.0,22.0,18.0,64.0,1.0,124.0,123.0,50.0,49.0
456,10.0,14.0,41.0,15.0,21.0,0.0,8.0,23.0,9.0,4.0,1.0,11.0,19.0,75.0,7.0,3.0,61.0,29.0,80.0,55.0,138.0,24.0,48.0,149.0,79.0,2.0,12.0,59.0,108.0,136.0
