,hsa-let-7e,hsa-miR-24,hsa-miR-142-5p,hsa-miR-21,hsa-miR-22,hsa-miR-216a,hsa-miR-150,hsa-miR-574-5p,hsa-miR-10a,hsa-miR-130a,hsa-miR-222,hsa-miR-31,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-let-7a,hsa-miR-149,hcmv-miR-US5-1,hsa-miR-508-5p,hsa-miR-766,hsa-miR-2117,hsa-miR-320d,hsa-miR-218,hsa-miR-92a,hsa-let-7i,hsa-miR-30a,hsa-miR-513b,hsa-miR-151-3p,hsa-miR-29b,hsa-miR-491-3p,hsa-miR-99a,hsa-miR-890
14,5.0,0.0,8.0,18.0,2.0,46.0,7.0,6.0,16.0,3.0,9.0,4.0,21.0,13.0,23.0,70.0,27.0,32.0,20.0,53.0,77.0,139.0,19.0,1.0,51.0,216.0,104.0,190.0,45.0,62.0
63,8.0,0.0,3.0,7.0,4.0,10.0,12.0,2.0,35.0,1.0,14.0,11.0,9.0,6.0,68.0,30.0,92.0,29.0,104.0,22.0,123.0,173.0,15.0,13.0,198.0,21.0,82.0,184.0,85.0,55.0
112,3.0,2.0,9.0,8.0,6.0,1.0,0.0,7.0,30.0,31.0,12.0,4.0,25.0,18.0,79.0,71.0,141.0,21.0,15.0,156.0,38.0,119.0,33.0,13.0,29.0,87.0,191.0,24.0,16.0,17.0
161,0.0,1.0,6.0,3.0,11.0,7.0,2.0,9.0,5.0,8.0,35.0,4.0,27.0,13.0,99.0,34.0,64.0,12.0,107.0,23.0,18.0,116.0,10.0,161.0,497.0,41.0,81.0,122.0,19.0,154.0
210,0.0,1.0,6.0,7.0,5.0,4.0,3.0,14.0,16.0,29.0,20.0,2.0,9.0,12.0,41.0,21.0,106.0,19.0,43.0,27.0,86.0,229.0,22.0,28.0,175.0,8.0,81.0,30.0,52.0,68.0
259,1.0,0.0,4.0,11.0,9.0,6.0,3.0,7.0,81.0,20.0,27.0,5.0,10.0,17.0,8.0,29.0,194.0,56.0,40.0,42.0,28.0,99.0,61.0,110.0,13.0,23.0,136.0,18.0,163.0,222.0
308,2.0,0.0,3.0,8.0,6.0,1.0,5.0,4.0,20.0,12.0,13.0,9.0,7.0,17.0,23.0,35.0,101.0,38.0,18.0,15.0,52.0,137.0,37.0,45.0,19.0,403.0,93.0,29.0,11.0,48.0
357,1.0,0.0,11.0,14.0,4.0,2.0,6.0,10.0,15.0,16.0,17.0,48.0,12.0,8.0,33.0,71.0,205.0,260.0,21.0,7.0,24.0,52.0,9.0,346.0,240.0,62.0,60.0,214.0,380.0,137.0
406,1.0,0.0,2.0,6.0,10.0,98.0,11.0,16.0,7.0,8.0,22.0,9.0,4.0,26.0,20.0,230.0,123.0,35.0,40.0,15.0,197.0,31.0,14.0,53.0,139.0,51.0,164.0,347.0,171.0,68.0
455,1.0,0.0,2.0,6.0,3.0,8.0,4.0,24.0,14.0,12.0,34.0,7.0,5.0,77.0,17.0,534.0,20.0,60.0,42.0,10.0,160.0,102.0,9.0,59.0,15.0,142.0,51.0,40.0,38.0,100.0
504,0.0,6.0,5.0,3.0,7.0,4.0,2.0,1.0,14.0,31.0,12.0,15.0,88.0,83.0,60.0,8.0,17.0,11.0,47.0,33.0,119.0,24.0,22.0,9.0,102.0,27.0,10.0,21.0,92.0,25.0
553,2.0,0.0,4.0,1.0,3.0,7.0,6.0,5.0,19.0,22.0,18.0,31.0,42.0,33.0,28.0,9.0,10.0,20.0,14.0,13.0,84.0,41.0,30.0,12.0,25.0,45.0,11.0,51.0,8.0,171.0
602,2.0,0.0,4.0,1.0,13.0,15.0,6.0,3.0,11.0,31.0,7.0,12.0,21.0,10.0,20.0,5.0,30.0,407.0,16.0,34.0,27.0,44.0,69.0,23.0,25.0,186.0,8.0,43.0,9.0,63.0
651,2.0,0.0,1.0,9.0,7.0,3.0,6.0,4.0,15.0,5.0,10.0,8.0,17.0,18.0,13.0,14.0,16.0,399.0,23.0,156.0,34.0,25.0,73.0,89.0,22.0,66.0,28.0,31.0,55.0,49.0
700,0.0,1.0,2.0,7.0,3.0,5.0,9.0,12.0,4.0,50.0,11.0,14.0,66.0,8.0,31.0,13.0,6.0,97.0,10.0,269.0,460.0,26.0,113.0,27.0,22.0,46.0,23.0,25.0,17.0,131.0
749,0.0,3.0,1.0,4.0,6.0,11.0,2.0,14.0,15.0,10.0,9.0,7.0,64.0,17.0,23.0,8.0,19.0,45.0,5.0,18.0,44.0,13.0,38.0,24.0,42.0,502.0,35.0,27.0,20.0,182.0
