,ITPRIPL1,ZNF215,SFMBT2,AEBP1,SLC38A5,AC011242.6,AC138623.1,CYBA,LBX2-AS1,PGF,RAC3,ZNF595,FNBP1P1,EFCAB4B,AP000783.1,C8orf31,CNTN3,MAGEC2,PPP1R14A,AGAP2,FRMD3,ZFP36L2,DCP1B,GNB4,CDA,TTC31,TSPAN12,ARID3A,SLC6A15,RNF144A-AS1
10,1.0,4.0,2.0,6.0,0.0,5.0,3.0,22.0,14.0,36.0,40.0,28.0,8.0,10.0,7.0,19.0,54.0,15.0,24.0,49.0,9.0,11.0,17.0,16.0,23.0,27.0,21.0,12.0,285.0,56.0
59,0.0,19.0,3.0,18.0,5.0,2.0,1.0,9.0,6.0,64.0,34.0,21.0,8.0,26.0,7.0,69.0,11.0,10.0,50.0,13.0,4.0,28.0,49.0,17.0,115.0,24.0,12.0,22.0,56.0,97.0
108,0.0,8.0,3.0,7.0,2.0,10.0,9.0,6.0,13.0,66.0,47.0,23.0,34.0,30.0,1.0,4.0,20.0,12.0,11.0,33.0,25.0,44.0,27.0,95.0,37.0,14.0,18.0,15.0,229.0,77.0
157,2.0,47.0,1.0,24.0,37.0,9.0,3.0,6.0,14.0,8.0,87.0,56.0,7.0,27.0,4.0,5.0,25.0,145.0,13.0,43.0,0.0,32.0,21.0,10.0,71.0,40.0,58.0,19.0,217.0,76.0
206,7.0,71.0,1.0,5.0,8.0,2.0,0.0,18.0,4.0,26.0,112.0,16.0,10.0,45.0,17.0,24.0,12.0,3.0,6.0,15.0,129.0,35.0,20.0,50.0,48.0,19.0,9.0,13.0,82.0,59.0
255,1.0,5.0,2.0,8.0,16.0,3.0,7.0,13.0,15.0,37.0,49.0,59.0,11.0,4.0,6.0,35.0,30.0,19.0,0.0,47.0,12.0,17.0,9.0,60.0,24.0,18.0,39.0,10.0,455.0,21.0
304,2.0,7.0,1.0,11.0,0.0,3.0,12.0,4.0,5.0,48.0,166.0,22.0,33.0,6.0,8.0,9.0,66.0,80.0,13.0,14.0,30.0,10.0,28.0,478.0,18.0,21.0,101.0,26.0,460.0,16.0
353,0.0,22.0,7.0,20.0,4.0,1.0,11.0,9.0,2.0,12.0,142.0,64.0,14.0,6.0,5.0,62.0,28.0,24.0,15.0,25.0,8.0,29.0,52.0,18.0,90.0,19.0,16.0,17.0,230.0,249.0
402,0.0,29.0,8.0,65.0,6.0,1.0,5.0,7.0,14.0,22.0,86.0,3.0,9.0,75.0,4.0,26.0,16.0,89.0,2.0,61.0,15.0,35.0,25.0,23.0,67.0,38.0,10.0,18.0,85.0,21.0
451,0.0,4.0,11.0,8.0,2.0,6.0,57.0,12.0,3.0,169.0,101.0,7.0,20.0,28.0,9.0,72.0,98.0,21.0,14.0,17.0,1.0,38.0,42.0,164.0,40.0,29.0,103.0,23.0,80.0,113.0
