,AC138623.1,ZNF215,AC011242.6,SFMBT2,C8orf31,LBX2-AS1,FRMD3,RP11-488P3.1,PGF,CNTN3,CYBA,GNB4,MEIS3P1,INHBA,FNBP1P1,RNF144A-AS1,ITPRIPL1,AEBP1,ZNF595,CDKN2A,CDA,GSTT1,SLC38A5,PPP1R14A,AP000783.1,RP11-108M9.4,MAGEC2,RP11-301O19.1,ADTRP,RP11-319F12.2
8,0.0,3.0,2.0,7.0,12.0,10.0,8.0,73.0,27.0,43.0,68.0,6.0,54.0,29.0,18.0,13.0,15.0,19.0,41.0,135.0,9.0,1.0,5.0,14.0,11.0,36.0,26.0,17.0,107.0,38.0
57,0.0,16.0,1.0,6.0,43.0,4.0,2.0,68.0,86.0,3.0,10.0,11.0,488.0,40.0,12.0,33.0,7.0,249.0,27.0,315.0,114.0,367.0,52.0,75.0,5.0,29.0,13.0,26.0,90.0,41.0
106,2.0,16.0,8.0,9.0,1.0,11.0,30.0,13.0,100.0,14.0,17.0,101.0,92.0,88.0,53.0,18.0,21.0,20.0,33.0,638.0,40.0,0.0,35.0,5.0,3.0,44.0,7.0,10.0,28.0,50.0
155,0.0,60.0,8.0,3.0,2.0,19.0,1.0,9.0,6.0,28.0,10.0,4.0,101.0,21.0,15.0,18.0,37.0,174.0,42.0,29.0,32.0,5.0,251.0,13.0,7.0,41.0,294.0,35.0,111.0,100.0
204,0.0,34.0,1.0,3.0,23.0,7.0,172.0,43.0,41.0,5.0,28.0,24.0,273.0,32.0,26.0,21.0,82.0,29.0,14.0,13.0,33.0,2.0,69.0,4.0,10.0,109.0,6.0,25.0,153.0,410.0
253,1.0,0.0,3.0,6.0,13.0,48.0,5.0,7.0,36.0,16.0,27.0,15.0,83.0,51.0,14.0,11.0,18.0,40.0,81.0,110.0,23.0,2.0,113.0,4.0,8.0,22.0,39.0,26.0,60.0,63.0
302,1.0,12.0,0.0,2.0,9.0,4.0,13.0,11.0,53.0,34.0,8.0,203.0,25.0,15.0,43.0,3.0,20.0,69.0,35.0,18.0,16.0,5.0,10.0,6.0,7.0,27.0,61.0,17.0,162.0,58.0
351,2.0,55.0,0.0,6.0,50.0,5.0,3.0,15.0,21.0,23.0,31.0,11.0,33.0,30.0,25.0,86.0,7.0,107.0,109.0,132.0,78.0,4.0,34.0,9.0,1.0,20.0,48.0,32.0,65.0,53.0
400,0.0,30.0,2.0,20.0,19.0,16.0,11.0,18.0,17.0,8.0,12.0,15.0,56.0,25.0,13.0,7.0,33.0,290.0,4.0,57.0,89.0,3.0,68.0,1.0,9.0,40.0,137.0,48.0,23.0,46.0
449,17.0,2.0,5.0,35.0,54.0,4.0,1.0,37.0,138.0,25.0,21.0,73.0,16.0,39.0,43.0,33.0,8.0,34.0,6.0,62.0,18.0,7.0,26.0,11.0,9.0,156.0,42.0,15.0,19.0,486.0
