,GATA3,Akt_pS473,beta-Catenin_pT41_S45,c-Myc,Rb,Gab2,Cyclin_E1,MDMX_MDM4(BetIHC-00108),EGFR,Src,Lck,RAD51,PKC-alpha,Src_pY416,A-Raf_pS299,TAZ,Caspase-7_cleavedD198,ADAR1,YAP_pS127,VEGFR2,IGFBP2,AMPK_pT172,Annexin 1,p62 Lck ligand,PI3K-p110-alpha,Paxillin,PI3K-p85,PEA15,PDK1,PDK1_pS241
6,1.0,32.0,2.0,100.0,86.0,15.0,3.0,140.0,154.0,0.0,138.0,88.0,47.0,24.0,29.0,34.0,6.0,5.0,27.0,64.0,7.0,38.0,4.0,43.0,58.0,50.0,17.0,53.0,57.0,55.0
55,9.0,4.0,42.0,103.0,29.0,18.0,13.0,11.0,12.0,89.0,7.0,51.0,54.0,32.0,39.0,84.0,16.0,5.0,0.0,76.0,8.0,2.0,1.0,25.0,27.0,62.0,55.0,58.0,60.0,59.0
104,7.0,5.0,2.0,100.0,15.0,23.0,152.0,141.0,163.0,6.0,20.0,76.0,89.0,8.0,30.0,0.0,3.0,31.0,9.0,29.0,135.0,33.0,34.0,50.0,91.0,45.0,90.0,65.0,42.0,40.0
153,2.0,7.0,29.0,15.0,13.0,21.0,12.0,26.0,154.0,5.0,137.0,78.0,4.0,1.0,32.0,35.0,14.0,8.0,0.0,56.0,23.0,31.0,33.0,50.0,65.0,43.0,18.0,38.0,41.0,40.0
202,2.0,36.0,5.0,4.0,13.0,21.0,151.0,25.0,16.0,74.0,23.0,14.0,19.0,34.0,35.0,37.0,11.0,0.0,8.0,15.0,141.0,123.0,6.0,64.0,48.0,47.0,20.0,40.0,45.0,43.0
251,10.0,11.0,1.0,21.0,83.0,8.0,23.0,142.0,157.0,16.0,140.0,81.0,34.0,0.0,6.0,62.0,2.0,9.0,29.0,7.0,32.0,122.0,123.0,22.0,36.0,20.0,40.0,18.0,53.0,35.0
300,4.0,6.0,26.0,12.0,14.0,147.0,20.0,30.0,157.0,16.0,5.0,25.0,62.0,1.0,33.0,31.0,97.0,0.0,2.0,32.0,7.0,28.0,124.0,56.0,57.0,50.0,77.0,41.0,43.0,42.0
349,0.0,4.0,22.0,10.0,14.0,26.0,21.0,13.0,23.0,40.0,7.0,15.0,65.0,77.0,5.0,3.0,12.0,33.0,37.0,35.0,28.0,39.0,125.0,52.0,64.0,45.0,66.0,46.0,42.0,44.0
398,19.0,4.0,0.0,12.0,17.0,20.0,23.0,5.0,156.0,39.0,3.0,85.0,25.0,2.0,124.0,30.0,14.0,6.0,40.0,35.0,27.0,41.0,117.0,49.0,42.0,53.0,45.0,47.0,50.0,48.0
447,2.0,26.0,24.0,99.0,61.0,17.0,6.0,41.0,157.0,23.0,25.0,18.0,7.0,73.0,117.0,30.0,12.0,121.0,0.0,65.0,16.0,29.0,124.0,57.0,92.0,51.0,1.0,43.0,59.0,47.0
496,15.0,32.0,28.0,10.0,85.0,17.0,159.0,36.0,25.0,41.0,33.0,18.0,43.0,78.0,123.0,74.0,13.0,119.0,64.0,66.0,145.0,34.0,3.0,31.0,49.0,50.0,48.0,54.0,58.0,57.0
545,0.0,1.0,29.0,14.0,77.0,160.0,149.0,142.0,153.0,6.0,139.0,21.0,90.0,36.0,10.0,87.0,104.0,121.0,44.0,34.0,134.0,8.0,7.0,26.0,63.0,40.0,65.0,46.0,43.0,45.0
594,0.0,34.0,107.0,23.0,61.0,148.0,153.0,4.0,3.0,2.0,140.0,14.0,24.0,20.0,10.0,1.0,98.0,36.0,26.0,37.0,18.0,30.0,29.0,50.0,42.0,46.0,39.0,41.0,43.0,40.0
643,6.0,33.0,22.0,101.0,61.0,148.0,2.0,5.0,163.0,4.0,1.0,21.0,92.0,16.0,9.0,0.0,99.0,127.0,24.0,28.0,135.0,36.0,3.0,56.0,54.0,39.0,60.0,42.0,40.0,19.0
692,4.0,8.0,36.0,11.0,89.0,17.0,150.0,136.0,22.0,7.0,39.0,18.0,46.0,24.0,30.0,0.0,14.0,33.0,27.0,66.0,142.0,5.0,35.0,32.0,50.0,60.0,47.0,16.0,55.0,54.0
741,22.0,0.0,8.0,101.0,1.0,161.0,20.0,33.0,2.0,73.0,35.0,60.0,42.0,4.0,7.0,31.0,97.0,27.0,3.0,64.0,135.0,36.0,123.0,59.0,44.0,51.0,39.0,58.0,49.0,47.0
790,5.0,1.0,8.0,4.0,85.0,155.0,21.0,32.0,37.0,6.0,34.0,87.0,2.0,73.0,30.0,0.0,128.0,36.0,27.0,28.0,136.0,35.0,124.0,24.0,19.0,49.0,41.0,48.0,52.0,50.0
839,2.0,45.0,43.0,129.0,72.0,132.0,10.0,15.0,9.0,27.0,3.0,24.0,54.0,28.0,46.0,1.0,13.0,37.0,31.0,76.0,154.0,39.0,38.0,21.0,69.0,62.0,48.0,58.0,60.0,59.0
888,18.0,122.0,6.0,103.0,3.0,27.0,153.0,26.0,16.0,75.0,25.0,29.0,88.0,0.0,37.0,1.0,107.0,127.0,40.0,52.0,135.0,31.0,32.0,22.0,63.0,19.0,90.0,77.0,42.0,41.0
