,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,BONE,SKIN,SOFT_TISSUE,THYROID,BREAST,PROSTATE,BILIARY,SALIVARY,ENDOMETRIUM,OVARY,PLEURA,AERODIGESTIVE,LIVER,KIDNEY,PANCREAS,URINARY,NERVOUS,OESOPHAGUS,LUNG
43,3.0,4.0,5.0,6.0,2.0,8.0,9.0,7.0,10.0,0.0,12.0,13.0,16.0,14.0,11.0,1.0,21.0,17.0,18.0,15.0,19.0,20.0,22.0
92,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,13.0,14.0,8.0,10.0,20.0,18.0,15.0,9.0,16.0,17.0,12.0,22.0,19.0,11.0,21.0
141,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,10.0,8.0,11.0,12.0,14.0,17.0,13.0,9.0,21.0,15.0,16.0,19.0,18.0,20.0,22.0
190,5.0,0.0,6.0,1.0,2.0,3.0,4.0,8.0,7.0,9.0,10.0,11.0,15.0,16.0,14.0,18.0,12.0,13.0,17.0,21.0,19.0,20.0,22.0
239,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,10.0,8.0,11.0,12.0,14.0,17.0,13.0,9.0,21.0,15.0,16.0,19.0,18.0,20.0,22.0
288,0.0,3.0,1.0,2.0,6.0,4.0,5.0,8.0,16.0,9.0,11.0,12.0,15.0,7.0,14.0,10.0,21.0,18.0,17.0,13.0,19.0,20.0,22.0
337,0.0,1.0,2.0,3.0,5.0,4.0,7.0,6.0,18.0,8.0,10.0,13.0,17.0,11.0,16.0,9.0,14.0,15.0,19.0,12.0,20.0,21.0,22.0
386,0.0,1.0,2.0,3.0,8.0,6.0,7.0,5.0,4.0,9.0,11.0,12.0,15.0,18.0,14.0,10.0,21.0,16.0,17.0,13.0,19.0,20.0,22.0
435,0.0,3.0,1.0,2.0,6.0,4.0,5.0,8.0,7.0,9.0,11.0,12.0,14.0,17.0,13.0,10.0,21.0,15.0,16.0,19.0,18.0,20.0,22.0
484,0.0,1.0,2.0,3.0,4.0,5.0,12.0,11.0,8.0,6.0,10.0,9.0,15.0,18.0,14.0,7.0,13.0,16.0,17.0,20.0,19.0,21.0,22.0
533,3.0,0.0,4.0,6.0,2.0,8.0,9.0,1.0,5.0,10.0,11.0,12.0,7.0,13.0,16.0,15.0,20.0,22.0,17.0,14.0,18.0,19.0,21.0
582,0.0,4.0,6.0,1.0,10.0,8.0,9.0,7.0,11.0,2.0,12.0,13.0,14.0,5.0,16.0,15.0,22.0,19.0,18.0,3.0,20.0,21.0,17.0
631,0.0,2.0,5.0,4.0,10.0,7.0,8.0,6.0,9.0,11.0,13.0,14.0,15.0,3.0,20.0,12.0,16.0,18.0,17.0,1.0,22.0,19.0,21.0
680,0.0,1.0,2.0,3.0,4.0,19.0,5.0,7.0,14.0,8.0,10.0,9.0,13.0,6.0,12.0,16.0,11.0,21.0,15.0,22.0,17.0,18.0,20.0
729,0.0,1.0,2.0,3.0,4.0,5.0,17.0,7.0,6.0,8.0,10.0,9.0,12.0,13.0,20.0,21.0,18.0,19.0,14.0,11.0,15.0,16.0,22.0
778,0.0,3.0,1.0,2.0,4.0,7.0,5.0,6.0,9.0,8.0,10.0,13.0,14.0,11.0,17.0,19.0,15.0,16.0,18.0,12.0,20.0,21.0,22.0
827,0.0,1.0,2.0,3.0,4.0,21.0,5.0,11.0,6.0,7.0,10.0,9.0,8.0,16.0,14.0,18.0,13.0,15.0,17.0,12.0,19.0,20.0,22.0
876,0.0,3.0,7.0,2.0,8.0,5.0,6.0,4.0,9.0,16.0,10.0,12.0,21.0,1.0,17.0,14.0,18.0,19.0,15.0,11.0,20.0,13.0,22.0
925,0.0,1.0,2.0,4.0,5.0,7.0,8.0,6.0,3.0,9.0,10.0,13.0,17.0,11.0,16.0,19.0,14.0,15.0,18.0,12.0,20.0,21.0,22.0
974,0.0,1.0,2.0,3.0,4.0,12.0,6.0,5.0,8.0,7.0,10.0,9.0,14.0,15.0,21.0,22.0,13.0,20.0,16.0,11.0,17.0,18.0,19.0
1023,0.0,1.0,6.0,2.0,3.0,4.0,12.0,11.0,7.0,5.0,10.0,9.0,8.0,14.0,20.0,16.0,13.0,21.0,15.0,18.0,17.0,19.0,22.0
1072,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,8.0,10.0,11.0,12.0,13.0,19.0,15.0,17.0,18.0,14.0,21.0,20.0,16.0,22.0
1121,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,10.0,14.0,8.0,9.0,20.0,17.0,15.0,12.0,16.0,22.0,13.0,19.0,18.0,11.0,21.0
