,STOMACH,GANGLIA,NERVOUS,HAEMATOPOIETIC,LIVER,OESOPHAGUS,BONE,LUNG,LARGE_INTESTINE,PANCREAS,SKIN,SOFT_TISSUE,BREAST,OVARY,ENDOMETRIUM,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
47,1.0,0.0,4.0,2.0,5.0,6.0,3.0,8.0,9.0,7.0,12.0,11.0,15.0,14.0,10.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
96,0.0,1.0,4.0,2.0,3.0,5.0,7.0,12.0,9.0,10.0,11.0,6.0,14.0,13.0,8.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,0.0,1.0,3.0,2.0,4.0,7.0,5.0,8.0,6.0,9.0,10.0,11.0,12.0,15.0,13.0,16.0,17.0,18.0,19.0,20.0,14.0,21.0,22.0
194,1.0,0.0,2.0,3.0,4.0,6.0,5.0,9.0,7.0,8.0,10.0,11.0,12.0,14.0,13.0,16.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
243,1.0,0.0,3.0,2.0,4.0,6.0,5.0,9.0,8.0,10.0,7.0,13.0,11.0,12.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,21.0,22.0
292,3.0,1.0,0.0,4.0,2.0,5.0,6.0,9.0,10.0,7.0,8.0,11.0,14.0,13.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,1.0,2.0,3.0,0.0,4.0,5.0,16.0,8.0,6.0,9.0,7.0,10.0,12.0,13.0,11.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
390,1.0,0.0,3.0,2.0,4.0,6.0,5.0,7.0,9.0,8.0,10.0,12.0,11.0,14.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
439,0.0,1.0,3.0,2.0,4.0,7.0,6.0,8.0,12.0,9.0,10.0,5.0,11.0,15.0,14.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
488,0.0,1.0,3.0,2.0,16.0,6.0,4.0,9.0,8.0,10.0,7.0,18.0,11.0,12.0,5.0,14.0,15.0,17.0,19.0,20.0,13.0,21.0,22.0
537,20.0,11.0,1.0,0.0,2.0,3.0,15.0,4.0,7.0,6.0,8.0,5.0,10.0,9.0,13.0,12.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
586,20.0,13.0,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,8.0,12.0,11.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
635,20.0,13.0,1.0,0.0,2.0,4.0,6.0,5.0,7.0,3.0,11.0,8.0,10.0,12.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
684,0.0,11.0,2.0,1.0,15.0,3.0,14.0,6.0,5.0,4.0,17.0,7.0,10.0,8.0,9.0,12.0,13.0,16.0,18.0,19.0,20.0,21.0,22.0
733,20.0,0.0,2.0,1.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,16.0,10.0,11.0,13.0,12.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0
