,cis/trans-hydroxyproline,valerylcarnitine,DHAP/glyceraldehyde 3P,pantothenate,alpha-glycerophosphate,adenosine,phosphocreatine,inositol,dCMP,creatinine,isocitrate,carnitine,guanosine,C36:4 PC-B,C56:5 TAG,alpha-hydroxybutyrate,taurodeoxycholate,homocysteine,cytidine,N-carbamoyl-beta-alanine,inosine,malondialdehyde,putrescine,acetylcholine,oxalate,C36:1 DAG,1-methylnicotinamide,uridine,C18:0 LPC,urate
23,0.0,2.0,4.0,1.0,5.0,3.0,7.0,17.0,12.0,6.0,18.0,13.0,11.0,10.0,14.0,8.0,20.0,9.0,25.0,41.0,21.0,30.0,19.0,43.0,28.0,15.0,34.0,16.0,24.0,36.0
72,0.0,1.0,2.0,3.0,5.0,4.0,7.0,21.0,9.0,6.0,17.0,19.0,24.0,8.0,15.0,22.0,10.0,13.0,14.0,28.0,29.0,26.0,20.0,23.0,18.0,35.0,12.0,16.0,11.0,45.0
121,0.0,3.0,2.0,1.0,4.0,5.0,6.0,18.0,8.0,7.0,21.0,12.0,14.0,9.0,13.0,35.0,11.0,16.0,36.0,24.0,19.0,43.0,23.0,20.0,27.0,44.0,39.0,25.0,10.0,40.0
170,0.0,4.0,2.0,1.0,3.0,5.0,7.0,6.0,9.0,8.0,12.0,18.0,15.0,10.0,11.0,14.0,27.0,22.0,31.0,29.0,20.0,47.0,24.0,26.0,19.0,37.0,30.0,21.0,13.0,40.0
219,0.0,3.0,2.0,1.0,5.0,4.0,6.0,9.0,12.0,7.0,10.0,13.0,14.0,16.0,17.0,11.0,29.0,18.0,25.0,31.0,30.0,37.0,22.0,21.0,27.0,38.0,28.0,8.0,19.0,40.0
268,0.0,3.0,4.0,1.0,2.0,5.0,7.0,25.0,8.0,6.0,17.0,10.0,15.0,13.0,26.0,22.0,32.0,9.0,16.0,47.0,19.0,24.0,14.0,23.0,33.0,34.0,35.0,11.0,27.0,28.0
317,0.0,4.0,6.0,1.0,2.0,3.0,9.0,7.0,5.0,12.0,16.0,13.0,17.0,8.0,29.0,22.0,20.0,10.0,34.0,49.0,21.0,15.0,24.0,26.0,27.0,39.0,19.0,11.0,14.0,33.0
366,0.0,4.0,1.0,2.0,5.0,3.0,8.0,15.0,7.0,6.0,20.0,12.0,10.0,18.0,22.0,14.0,26.0,9.0,24.0,34.0,13.0,39.0,17.0,21.0,29.0,33.0,32.0,19.0,16.0,35.0
415,0.0,4.0,2.0,1.0,3.0,5.0,8.0,22.0,15.0,9.0,6.0,19.0,10.0,13.0,18.0,14.0,16.0,12.0,29.0,34.0,11.0,23.0,37.0,26.0,36.0,24.0,25.0,17.0,7.0,30.0
464,0.0,2.0,1.0,3.0,5.0,8.0,4.0,16.0,6.0,7.0,14.0,11.0,12.0,18.0,37.0,10.0,9.0,25.0,30.0,24.0,28.0,34.0,29.0,19.0,22.0,32.0,17.0,20.0,15.0,38.0
513,1.0,0.0,2.0,3.0,4.0,5.0,7.0,6.0,10.0,13.0,31.0,8.0,22.0,30.0,15.0,16.0,26.0,27.0,18.0,9.0,24.0,21.0,11.0,12.0,14.0,17.0,20.0,43.0,40.0,19.0
562,0.0,2.0,1.0,5.0,3.0,4.0,6.0,8.0,7.0,9.0,34.0,18.0,21.0,12.0,10.0,17.0,36.0,25.0,11.0,13.0,16.0,19.0,14.0,27.0,29.0,47.0,28.0,52.0,42.0,23.0
611,0.0,2.0,3.0,1.0,8.0,4.0,5.0,12.0,6.0,14.0,34.0,15.0,19.0,24.0,13.0,17.0,22.0,26.0,11.0,16.0,31.0,10.0,7.0,20.0,21.0,28.0,9.0,49.0,46.0,18.0
