,hsa-miR-223,hsa-miR-224,hsa-miR-200a,hsa-miR-95,hsa-miR-140-5p,hsa-miR-96,hsa-miR-1302,hsa-miR-921,hsa-miR-129-5p,hsa-miR-2115,hsa-miR-545,hsa-miR-663,hsa-miR-572,hsa-miR-136,hsa-miR-1306,hsa-miR-205,hsa-miR-149,ebv-miR-BART8,hsa-miR-1973,hsa-miR-1979,hsv1-miR-H4-3p,hsa-miR-548a-3p,hsa-miR-626,hsa-miR-134,hsa-miR-190b,hsa-miR-607,hsa-miR-147b,hsa-miR-450a,hsv1-miR-H1,hsa-miR-616
18,9.0,0.0,1.0,2.0,55.0,20.0,6.0,69.0,4.0,22.0,111.0,17.0,10.0,23.0,8.0,51.0,46.0,38.0,56.0,26.0,60.0,24.0,118.0,257.0,96.0,13.0,12.0,90.0,89.0,108.0
67,0.0,2.0,7.0,3.0,46.0,6.0,15.0,63.0,4.0,76.0,74.0,8.0,16.0,213.0,48.0,55.0,72.0,44.0,10.0,82.0,19.0,21.0,310.0,11.0,208.0,38.0,20.0,445.0,134.0,294.0
116,90.0,1.0,0.0,5.0,4.0,23.0,6.0,38.0,3.0,66.0,25.0,9.0,19.0,332.0,39.0,7.0,108.0,8.0,13.0,279.0,17.0,58.0,384.0,35.0,349.0,16.0,148.0,11.0,77.0,41.0
165,1.0,3.0,13.0,2.0,31.0,25.0,6.0,12.0,5.0,21.0,85.0,19.0,18.0,84.0,17.0,0.0,11.0,4.0,30.0,37.0,93.0,111.0,59.0,16.0,22.0,7.0,105.0,51.0,64.0,29.0
214,1.0,0.0,3.0,17.0,42.0,8.0,24.0,9.0,7.0,83.0,245.0,2.0,113.0,162.0,115.0,4.0,30.0,26.0,217.0,6.0,13.0,75.0,158.0,324.0,133.0,114.0,95.0,14.0,15.0,353.0
263,5.0,1.0,0.0,13.0,4.0,2.0,3.0,7.0,61.0,71.0,255.0,43.0,10.0,15.0,14.0,12.0,153.0,6.0,265.0,227.0,54.0,226.0,116.0,20.0,70.0,21.0,18.0,17.0,26.0,312.0
312,1.0,14.0,0.0,3.0,4.0,8.0,25.0,11.0,52.0,27.0,66.0,6.0,22.0,24.0,33.0,10.0,2.0,5.0,12.0,9.0,31.0,57.0,172.0,84.0,73.0,19.0,63.0,510.0,18.0,20.0
361,0.0,3.0,1.0,12.0,6.0,88.0,10.0,14.0,215.0,41.0,7.0,326.0,20.0,28.0,52.0,2.0,5.0,62.0,34.0,37.0,122.0,102.0,267.0,89.0,430.0,71.0,50.0,145.0,416.0,333.0
410,1.0,0.0,3.0,22.0,4.0,6.0,19.0,11.0,23.0,33.0,21.0,12.0,8.0,74.0,50.0,2.0,46.0,61.0,7.0,47.0,69.0,10.0,110.0,9.0,31.0,99.0,48.0,85.0,14.0,560.0
459,0.0,1.0,2.0,10.0,11.0,6.0,223.0,5.0,26.0,51.0,7.0,15.0,92.0,73.0,56.0,159.0,422.0,32.0,9.0,4.0,31.0,50.0,326.0,17.0,224.0,48.0,59.0,295.0,23.0,37.0
508,1.0,0.0,24.0,11.0,13.0,30.0,4.0,2.0,6.0,26.0,314.0,8.0,58.0,57.0,23.0,5.0,34.0,15.0,7.0,75.0,12.0,189.0,10.0,365.0,35.0,98.0,425.0,78.0,179.0,230.0
557,16.0,0.0,4.0,56.0,5.0,19.0,2.0,49.0,13.0,41.0,18.0,38.0,29.0,178.0,183.0,7.0,11.0,14.0,3.0,120.0,8.0,292.0,25.0,40.0,1.0,610.0,126.0,6.0,344.0,406.0
606,1.0,0.0,2.0,13.0,3.0,10.0,4.0,8.0,53.0,21.0,11.0,24.0,122.0,409.0,149.0,32.0,100.0,5.0,7.0,183.0,22.0,9.0,47.0,18.0,202.0,385.0,568.0,15.0,454.0,41.0
655,1.0,0.0,12.0,19.0,30.0,47.0,8.0,4.0,16.0,5.0,2.0,13.0,118.0,41.0,11.0,20.0,23.0,9.0,3.0,65.0,82.0,34.0,373.0,78.0,189.0,32.0,112.0,35.0,270.0,331.0
704,1.0,0.0,10.0,5.0,3.0,26.0,14.0,2.0,11.0,40.0,6.0,65.0,111.0,21.0,17.0,7.0,18.0,13.0,15.0,43.0,8.0,70.0,583.0,88.0,41.0,125.0,182.0,30.0,35.0,33.0
753,5.0,0.0,1.0,20.0,8.0,16.0,43.0,273.0,3.0,15.0,4.0,85.0,140.0,2.0,302.0,7.0,10.0,13.0,33.0,93.0,6.0,218.0,143.0,28.0,12.0,50.0,11.0,53.0,188.0,356.0
802,1.0,0.0,5.0,13.0,9.0,183.0,35.0,6.0,61.0,14.0,349.0,2.0,104.0,36.0,19.0,4.0,10.0,11.0,8.0,7.0,311.0,22.0,100.0,387.0,42.0,154.0,25.0,12.0,26.0,238.0
851,1.0,0.0,23.0,26.0,6.0,47.0,13.0,5.0,18.0,17.0,44.0,2.0,35.0,139.0,10.0,78.0,19.0,15.0,100.0,248.0,75.0,206.0,22.0,41.0,205.0,191.0,254.0,16.0,200.0,374.0
900,1.0,0.0,7.0,13.0,9.0,6.0,4.0,10.0,67.0,77.0,21.0,22.0,15.0,32.0,120.0,5.0,14.0,404.0,93.0,17.0,177.0,233.0,262.0,203.0,2.0,219.0,321.0,119.0,217.0,180.0
949,7.0,0.0,2.0,17.0,3.0,1.0,10.0,11.0,62.0,24.0,46.0,18.0,40.0,128.0,162.0,5.0,89.0,28.0,6.0,565.0,49.0,237.0,168.0,245.0,152.0,73.0,434.0,48.0,225.0,31.0
998,6.0,0.0,1.0,8.0,3.0,71.0,5.0,4.0,9.0,67.0,36.0,19.0,60.0,7.0,28.0,34.0,11.0,120.0,70.0,2.0,233.0,104.0,32.0,17.0,238.0,15.0,128.0,39.0,125.0,52.0
1047,0.0,3.0,2.0,1.0,45.0,142.0,24.0,4.0,8.0,7.0,47.0,30.0,149.0,10.0,16.0,275.0,5.0,29.0,20.0,11.0,100.0,22.0,61.0,6.0,13.0,103.0,14.0,116.0,92.0,26.0
1096,14.0,0.0,2.0,11.0,15.0,1.0,16.0,20.0,9.0,17.0,6.0,32.0,34.0,5.0,10.0,159.0,19.0,56.0,3.0,7.0,8.0,69.0,166.0,72.0,54.0,227.0,575.0,176.0,23.0,101.0
1145,13.0,0.0,4.0,2.0,1.0,8.0,27.0,16.0,11.0,10.0,18.0,22.0,29.0,12.0,48.0,3.0,34.0,7.0,9.0,31.0,197.0,28.0,6.0,44.0,32.0,15.0,95.0,171.0,89.0,59.0
1194,1.0,3.0,0.0,2.0,43.0,11.0,59.0,10.0,29.0,15.0,6.0,12.0,40.0,104.0,33.0,107.0,67.0,45.0,18.0,14.0,4.0,153.0,200.0,80.0,17.0,36.0,162.0,93.0,256.0,120.0
1243,0.0,2.0,1.0,4.0,36.0,13.0,9.0,34.0,3.0,8.0,32.0,12.0,15.0,50.0,6.0,10.0,296.0,14.0,27.0,5.0,523.0,184.0,16.0,29.0,25.0,363.0,129.0,338.0,33.0,98.0
1292,0.0,1.0,9.0,4.0,99.0,54.0,3.0,38.0,42.0,2.0,19.0,12.0,6.0,5.0,37.0,8.0,43.0,382.0,80.0,51.0,10.0,7.0,23.0,170.0,401.0,30.0,438.0,190.0,20.0,35.0
1341,22.0,0.0,1.0,3.0,30.0,35.0,9.0,103.0,4.0,15.0,26.0,17.0,11.0,6.0,10.0,207.0,12.0,21.0,5.0,7.0,2.0,543.0,64.0,47.0,50.0,86.0,332.0,41.0,28.0,32.0
1390,4.0,0.0,18.0,1.0,5.0,47.0,89.0,34.0,59.0,74.0,6.0,56.0,17.0,15.0,7.0,119.0,94.0,347.0,26.0,2.0,9.0,14.0,10.0,181.0,64.0,30.0,35.0,3.0,92.0,266.0
1439,1.0,4.0,0.0,8.0,2.0,68.0,24.0,17.0,13.0,22.0,136.0,41.0,49.0,3.0,6.0,19.0,50.0,441.0,55.0,51.0,14.0,59.0,289.0,7.0,153.0,9.0,42.0,67.0,65.0,20.0
1488,0.0,1.0,2.0,9.0,3.0,4.0,6.0,17.0,209.0,10.0,12.0,19.0,15.0,201.0,121.0,29.0,49.0,13.0,72.0,83.0,75.0,25.0,8.0,27.0,28.0,241.0,7.0,434.0,38.0,206.0
1537,2.0,1.0,16.0,0.0,17.0,6.0,58.0,72.0,4.0,53.0,31.0,112.0,19.0,202.0,520.0,124.0,622.0,7.0,73.0,61.0,10.0,20.0,3.0,88.0,25.0,59.0,41.0,192.0,5.0,146.0
1586,0.0,3.0,19.0,2.0,53.0,7.0,49.0,144.0,18.0,12.0,1.0,21.0,25.0,321.0,16.0,238.0,103.0,84.0,199.0,69.0,52.0,15.0,10.0,20.0,23.0,231.0,85.0,333.0,5.0,27.0
1635,1.0,0.0,9.0,3.0,59.0,68.0,33.0,2.0,533.0,4.0,6.0,7.0,5.0,52.0,11.0,562.0,51.0,44.0,46.0,16.0,14.0,18.0,20.0,19.0,27.0,15.0,178.0,417.0,30.0,45.0
1684,0.0,2.0,11.0,4.0,1.0,38.0,25.0,58.0,189.0,33.0,171.0,12.0,230.0,168.0,41.0,92.0,5.0,172.0,50.0,21.0,233.0,14.0,3.0,56.0,6.0,280.0,89.0,23.0,70.0,10.0
1733,0.0,2.0,3.0,7.0,5.0,14.0,75.0,44.0,25.0,16.0,62.0,36.0,13.0,216.0,137.0,512.0,50.0,4.0,483.0,106.0,51.0,18.0,1.0,17.0,33.0,221.0,390.0,92.0,6.0,19.0
1782,0.0,1.0,24.0,2.0,94.0,89.0,15.0,87.0,180.0,28.0,4.0,90.0,18.0,64.0,371.0,42.0,66.0,113.0,56.0,38.0,290.0,79.0,3.0,9.0,27.0,84.0,119.0,17.0,107.0,53.0
1831,0.0,1.0,9.0,19.0,298.0,21.0,3.0,11.0,46.0,23.0,4.0,289.0,48.0,65.0,43.0,198.0,95.0,143.0,42.0,20.0,39.0,7.0,6.0,41.0,8.0,5.0,68.0,606.0,32.0,74.0
1880,0.0,2.0,12.0,1.0,9.0,5.0,98.0,11.0,83.0,3.0,33.0,105.0,31.0,147.0,162.0,492.0,108.0,48.0,57.0,134.0,39.0,18.0,4.0,44.0,16.0,378.0,144.0,271.0,66.0,65.0
1929,14.0,0.0,9.0,3.0,96.0,27.0,8.0,22.0,6.0,13.0,2.0,21.0,11.0,179.0,105.0,264.0,48.0,31.0,88.0,5.0,155.0,56.0,4.0,23.0,122.0,18.0,19.0,236.0,36.0,104.0
1978,0.0,2.0,1.0,3.0,16.0,4.0,41.0,9.0,14.0,15.0,8.0,94.0,26.0,114.0,40.0,64.0,7.0,49.0,19.0,238.0,281.0,225.0,380.0,65.0,42.0,346.0,99.0,372.0,39.0,98.0
2027,0.0,8.0,1.0,9.0,4.0,7.0,10.0,2.0,11.0,5.0,46.0,203.0,16.0,37.0,14.0,166.0,72.0,105.0,420.0,104.0,430.0,123.0,60.0,200.0,45.0,595.0,457.0,318.0,237.0,175.0
2076,0.0,1.0,8.0,2.0,5.0,6.0,7.0,45.0,111.0,77.0,18.0,86.0,16.0,3.0,128.0,408.0,207.0,12.0,78.0,213.0,141.0,230.0,11.0,409.0,31.0,35.0,74.0,9.0,108.0,144.0
2125,0.0,1.0,3.0,5.0,6.0,7.0,8.0,4.0,182.0,18.0,134.0,13.0,54.0,84.0,231.0,166.0,100.0,21.0,25.0,276.0,55.0,159.0,31.0,511.0,104.0,89.0,38.0,184.0,324.0,15.0
2174,3.0,0.0,2.0,25.0,4.0,26.0,1.0,45.0,11.0,29.0,78.0,95.0,24.0,28.0,151.0,20.0,6.0,75.0,21.0,307.0,131.0,109.0,56.0,50.0,17.0,87.0,104.0,269.0,522.0,185.0
2223,0.0,1.0,7.0,2.0,6.0,5.0,54.0,3.0,13.0,47.0,122.0,28.0,12.0,19.0,26.0,16.0,8.0,238.0,170.0,280.0,335.0,55.0,537.0,45.0,21.0,41.0,255.0,17.0,67.0,83.0
2272,13.0,1.0,2.0,11.0,4.0,0.0,3.0,7.0,16.0,34.0,26.0,32.0,5.0,14.0,8.0,23.0,17.0,61.0,6.0,146.0,83.0,56.0,24.0,532.0,20.0,474.0,343.0,293.0,341.0,128.0
2321,0.0,1.0,2.0,6.0,3.0,7.0,15.0,37.0,247.0,10.0,369.0,38.0,40.0,389.0,139.0,391.0,57.0,116.0,183.0,35.0,134.0,416.0,8.0,232.0,4.0,48.0,354.0,30.0,18.0,5.0
2370,3.0,7.0,0.0,1.0,17.0,6.0,52.0,13.0,166.0,9.0,48.0,305.0,19.0,10.0,90.0,92.0,15.0,20.0,37.0,349.0,115.0,12.0,101.0,34.0,25.0,371.0,11.0,44.0,186.0,28.0
2419,0.0,3.0,1.0,15.0,8.0,109.0,6.0,160.0,5.0,49.0,201.0,18.0,32.0,4.0,38.0,2.0,13.0,192.0,67.0,304.0,148.0,40.0,25.0,16.0,7.0,551.0,99.0,126.0,70.0,23.0
2468,0.0,3.0,1.0,5.0,111.0,2.0,358.0,75.0,18.0,29.0,15.0,23.0,170.0,4.0,58.0,25.0,28.0,89.0,199.0,44.0,116.0,60.0,11.0,123.0,12.0,172.0,53.0,27.0,353.0,343.0
2517,0.0,5.0,18.0,1.0,27.0,95.0,30.0,8.0,48.0,6.0,128.0,160.0,15.0,127.0,62.0,121.0,75.0,582.0,364.0,411.0,61.0,10.0,125.0,33.0,507.0,50.0,32.0,283.0,148.0,259.0
2566,0.0,4.0,2.0,3.0,1.0,10.0,291.0,15.0,43.0,7.0,17.0,266.0,60.0,8.0,28.0,5.0,23.0,89.0,16.0,36.0,20.0,13.0,14.0,488.0,106.0,432.0,81.0,27.0,178.0,31.0
