,hsa-miR-885-3p,hsa-miR-574-5p,hsv2-miR-H3,hsa-miR-1233,hsa-miR-616,hsa-miR-625,hsa-miR-548j,hsa-miR-921,hsa-miR-143,hsa-miR-759,hsa-miR-628-5p,hsa-miR-212,hsa-miR-1908,hsa-miR-299-3p,hsa-miR-550,hsa-miR-30a,hsa-miR-548d-3p,hsa-miR-33b,hsa-miR-223,hsa-miR-1284,hsa-miR-186,hsa-miR-450a,hsa-miR-126,hsa-miR-148a,hsa-miR-657,hsa-miR-139-5p,hsa-miR-134,hsa-miR-892a,hsa-miR-222,hsa-miR-591
15,2.0,3.0,5.0,7.0,9.0,15.0,10.0,6.0,29.0,0.0,28.0,1.0,12.0,16.0,44.0,8.0,13.0,53.0,69.0,170.0,86.0,23.0,106.0,4.0,56.0,81.0,38.0,18.0,30.0,84.0
64,1.0,3.0,5.0,4.0,18.0,6.0,11.0,8.0,13.0,2.0,19.0,0.0,52.0,22.0,35.0,16.0,67.0,68.0,149.0,125.0,42.0,56.0,140.0,9.0,110.0,157.0,21.0,32.0,23.0,123.0
113,2.0,0.0,11.0,8.0,1.0,3.0,13.0,9.0,17.0,4.0,10.0,12.0,18.0,21.0,273.0,28.0,24.0,59.0,58.0,96.0,148.0,7.0,43.0,57.0,135.0,53.0,6.0,97.0,39.0,81.0
162,5.0,8.0,9.0,1.0,0.0,3.0,11.0,36.0,16.0,4.0,21.0,2.0,125.0,7.0,55.0,24.0,80.0,77.0,61.0,140.0,19.0,10.0,94.0,18.0,63.0,28.0,17.0,65.0,58.0,182.0
211,1.0,5.0,27.0,2.0,8.0,0.0,6.0,15.0,3.0,4.0,28.0,9.0,25.0,17.0,21.0,31.0,102.0,62.0,72.0,110.0,82.0,19.0,251.0,16.0,191.0,59.0,18.0,101.0,80.0,58.0
260,16.0,1.0,8.0,2.0,15.0,60.0,10.0,4.0,6.0,7.0,27.0,13.0,23.0,5.0,11.0,84.0,59.0,20.0,148.0,81.0,21.0,3.0,24.0,0.0,36.0,33.0,47.0,64.0,19.0,190.0
309,17.0,8.0,3.0,2.0,9.0,1.0,11.0,26.0,199.0,0.0,7.0,10.0,6.0,86.0,40.0,22.0,110.0,29.0,21.0,85.0,25.0,112.0,104.0,69.0,149.0,197.0,14.0,19.0,75.0,87.0
358,1.0,3.0,55.0,4.0,9.0,0.0,12.0,8.0,6.0,10.0,20.0,2.0,18.0,5.0,35.0,26.0,120.0,34.0,63.0,125.0,77.0,29.0,93.0,11.0,52.0,105.0,110.0,53.0,16.0,70.0
407,12.0,4.0,10.0,1.0,22.0,0.0,7.0,3.0,11.0,2.0,41.0,5.0,19.0,13.0,47.0,23.0,35.0,29.0,66.0,116.0,51.0,46.0,109.0,31.0,132.0,52.0,16.0,20.0,90.0,95.0
456,7.0,3.0,17.0,5.0,10.0,1.0,13.0,0.0,2.0,11.0,14.0,4.0,24.0,19.0,15.0,73.0,133.0,100.0,37.0,113.0,158.0,75.0,189.0,16.0,163.0,33.0,9.0,39.0,6.0,169.0
505,3.0,52.0,36.0,25.0,38.0,6.0,21.0,16.0,28.0,22.0,32.0,26.0,34.0,19.0,96.0,69.0,13.0,8.0,15.0,31.0,54.0,46.0,59.0,2.0,1.0,14.0,39.0,43.0,53.0,12.0
554,5.0,1.0,12.0,27.0,46.0,0.0,41.0,55.0,23.0,16.0,34.0,64.0,29.0,4.0,6.0,47.0,8.0,7.0,136.0,10.0,14.0,38.0,18.0,9.0,22.0,45.0,90.0,36.0,40.0,3.0
603,4.0,11.0,0.0,37.0,14.0,204.0,7.0,5.0,30.0,6.0,72.0,36.0,123.0,1.0,19.0,88.0,9.0,33.0,43.0,13.0,17.0,25.0,12.0,163.0,66.0,20.0,53.0,10.0,23.0,26.0
652,1.0,3.0,10.0,20.0,93.0,5.0,46.0,0.0,9.0,7.0,47.0,59.0,26.0,6.0,72.0,30.0,25.0,35.0,42.0,38.0,23.0,24.0,11.0,27.0,104.0,36.0,4.0,13.0,14.0,17.0
701,2.0,61.0,0.0,10.0,6.0,1.0,18.0,17.0,46.0,21.0,62.0,51.0,9.0,19.0,3.0,65.0,4.0,24.0,49.0,7.0,30.0,32.0,38.0,28.0,48.0,12.0,33.0,57.0,16.0,22.0
750,0.0,41.0,7.0,20.0,22.0,2.0,36.0,37.0,5.0,66.0,32.0,105.0,142.0,8.0,48.0,97.0,28.0,29.0,18.0,9.0,14.0,4.0,35.0,21.0,15.0,13.0,3.0,134.0,23.0,19.0
799,0.0,14.0,2.0,112.0,10.0,27.0,88.0,3.0,1.0,18.0,83.0,52.0,20.0,36.0,21.0,110.0,15.0,7.0,76.0,4.0,58.0,46.0,13.0,33.0,32.0,12.0,23.0,19.0,9.0,8.0
848,5.0,35.0,0.0,40.0,31.0,1.0,56.0,8.0,13.0,3.0,30.0,62.0,58.0,39.0,24.0,55.0,15.0,21.0,23.0,6.0,84.0,46.0,20.0,81.0,7.0,11.0,78.0,47.0,41.0,10.0
897,3.0,4.0,6.0,25.0,10.0,18.0,24.0,14.0,11.0,37.0,39.0,138.0,9.0,35.0,42.0,87.0,7.0,13.0,17.0,63.0,38.0,60.0,16.0,34.0,8.0,12.0,36.0,129.0,72.0,2.0
946,14.0,35.0,0.0,27.0,41.0,7.0,95.0,38.0,6.0,1.0,223.0,47.0,29.0,36.0,13.0,57.0,24.0,17.0,53.0,10.0,22.0,37.0,137.0,74.0,31.0,42.0,43.0,68.0,224.0,21.0
995,1.0,16.0,2.0,7.0,5.0,11.0,15.0,8.0,41.0,0.0,36.0,13.0,50.0,57.0,266.0,33.0,40.0,35.0,37.0,6.0,104.0,76.0,44.0,93.0,253.0,63.0,54.0,26.0,20.0,22.0
1044,4.0,8.0,0.0,23.0,3.0,281.0,12.0,1.0,28.0,7.0,9.0,143.0,26.0,80.0,63.0,42.0,22.0,5.0,19.0,18.0,34.0,54.0,6.0,142.0,10.0,86.0,25.0,58.0,32.0,35.0
1093,7.0,18.0,0.0,69.0,24.0,9.0,27.0,1.0,59.0,11.0,26.0,55.0,123.0,63.0,187.0,44.0,6.0,10.0,108.0,16.0,86.0,37.0,13.0,41.0,166.0,46.0,8.0,36.0,50.0,5.0
1142,0.0,8.0,9.0,5.0,2.0,1.0,36.0,11.0,38.0,6.0,22.0,12.0,64.0,148.0,214.0,39.0,13.0,23.0,26.0,37.0,96.0,78.0,55.0,60.0,65.0,101.0,88.0,79.0,70.0,16.0
1191,0.0,5.0,1.0,74.0,11.0,4.0,68.0,8.0,18.0,10.0,51.0,117.0,63.0,39.0,193.0,50.0,34.0,16.0,15.0,47.0,67.0,73.0,21.0,53.0,46.0,59.0,37.0,52.0,20.0,14.0
1240,15.0,4.0,1.0,14.0,6.0,69.0,46.0,27.0,47.0,16.0,0.0,31.0,11.0,18.0,296.0,44.0,3.0,8.0,26.0,9.0,33.0,67.0,22.0,25.0,42.0,130.0,23.0,182.0,20.0,58.0
1289,2.0,27.0,0.0,22.0,5.0,20.0,16.0,43.0,15.0,14.0,1.0,46.0,29.0,56.0,189.0,37.0,8.0,7.0,31.0,52.0,73.0,106.0,36.0,264.0,74.0,45.0,41.0,77.0,19.0,23.0
1338,9.0,5.0,0.0,80.0,4.0,12.0,36.0,19.0,22.0,1.0,16.0,77.0,25.0,145.0,187.0,28.0,13.0,11.0,35.0,20.0,53.0,30.0,39.0,109.0,23.0,91.0,34.0,27.0,21.0,6.0
1387,2.0,1.0,0.0,16.0,22.0,19.0,13.0,7.0,11.0,6.0,15.0,12.0,26.0,122.0,158.0,25.0,30.0,20.0,50.0,3.0,76.0,42.0,57.0,59.0,4.0,115.0,14.0,54.0,51.0,8.0
1436,7.0,1.0,16.0,11.0,0.0,22.0,42.0,8.0,62.0,18.0,4.0,61.0,67.0,142.0,184.0,35.0,20.0,17.0,27.0,6.0,33.0,3.0,118.0,91.0,15.0,56.0,28.0,21.0,57.0,74.0
1485,0.0,9.0,10.0,3.0,4.0,41.0,6.0,51.0,14.0,30.0,7.0,11.0,15.0,38.0,84.0,55.0,50.0,42.0,32.0,33.0,65.0,31.0,2.0,18.0,78.0,17.0,1.0,188.0,139.0,13.0
1534,0.0,1.0,16.0,13.0,7.0,32.0,20.0,61.0,2.0,112.0,5.0,9.0,66.0,45.0,27.0,42.0,75.0,41.0,100.0,8.0,73.0,60.0,3.0,4.0,43.0,35.0,63.0,11.0,15.0,26.0
1583,0.0,31.0,1.0,44.0,12.0,88.0,8.0,24.0,3.0,68.0,37.0,5.0,46.0,34.0,2.0,62.0,16.0,25.0,63.0,26.0,140.0,6.0,30.0,11.0,283.0,38.0,9.0,28.0,97.0,75.0
1632,6.0,9.0,14.0,3.0,60.0,19.0,32.0,4.0,0.0,17.0,102.0,20.0,45.0,66.0,16.0,65.0,54.0,141.0,31.0,7.0,61.0,29.0,5.0,2.0,56.0,8.0,1.0,30.0,48.0,57.0
1681,3.0,11.0,2.0,18.0,10.0,29.0,9.0,12.0,1.0,38.0,17.0,8.0,24.0,47.0,37.0,65.0,86.0,90.0,26.0,19.0,53.0,27.0,16.0,6.0,162.0,4.0,0.0,25.0,119.0,44.0
1730,0.0,10.0,3.0,40.0,11.0,17.0,24.0,29.0,1.0,74.0,8.0,39.0,25.0,16.0,6.0,51.0,140.0,77.0,9.0,18.0,100.0,14.0,66.0,7.0,160.0,4.0,2.0,53.0,72.0,26.0
1779,0.0,16.0,22.0,18.0,13.0,45.0,7.0,23.0,1.0,29.0,6.0,19.0,2.0,37.0,24.0,63.0,8.0,34.0,57.0,17.0,68.0,30.0,9.0,47.0,70.0,3.0,4.0,41.0,38.0,10.0
1828,0.0,46.0,3.0,8.0,16.0,61.0,4.0,60.0,2.0,27.0,22.0,5.0,26.0,12.0,43.0,79.0,17.0,52.0,28.0,25.0,107.0,15.0,7.0,6.0,67.0,1.0,9.0,44.0,125.0,23.0
1877,2.0,19.0,3.0,43.0,9.0,261.0,7.0,28.0,8.0,193.0,27.0,5.0,301.0,21.0,22.0,80.0,42.0,44.0,37.0,6.0,23.0,4.0,1.0,32.0,39.0,0.0,26.0,15.0,75.0,114.0
1926,2.0,8.0,13.0,9.0,5.0,20.0,14.0,30.0,0.0,118.0,10.0,3.0,34.0,19.0,4.0,63.0,80.0,76.0,57.0,11.0,108.0,85.0,12.0,1.0,290.0,58.0,6.0,55.0,153.0,18.0
1975,12.0,3.0,15.0,8.0,14.0,2.0,21.0,25.0,27.0,68.0,16.0,4.0,85.0,6.0,38.0,23.0,71.0,33.0,17.0,31.0,9.0,56.0,7.0,54.0,1.0,0.0,164.0,26.0,5.0,109.0
2024,14.0,24.0,0.0,19.0,4.0,98.0,13.0,9.0,11.0,8.0,46.0,3.0,97.0,5.0,15.0,27.0,20.0,37.0,57.0,6.0,23.0,30.0,17.0,43.0,1.0,2.0,224.0,16.0,36.0,93.0
2073,3.0,22.0,0.0,40.0,7.0,37.0,19.0,34.0,5.0,30.0,1.0,9.0,76.0,2.0,15.0,20.0,56.0,59.0,12.0,14.0,31.0,54.0,11.0,82.0,41.0,4.0,86.0,23.0,29.0,173.0
2122,17.0,30.0,12.0,5.0,3.0,68.0,1.0,0.0,48.0,142.0,11.0,6.0,125.0,15.0,19.0,110.0,10.0,47.0,2.0,8.0,40.0,28.0,80.0,249.0,9.0,31.0,79.0,39.0,86.0,270.0
2171,22.0,4.0,41.0,7.0,15.0,98.0,27.0,0.0,40.0,28.0,23.0,9.0,34.0,2.0,3.0,43.0,1.0,8.0,32.0,61.0,6.0,74.0,11.0,203.0,13.0,18.0,322.0,85.0,17.0,121.0
