, VEGF, TLR, MAPK_only, PI3K_only, H2O2, JAK-STAT, TGFB, IL-1, TNFa, MAPK_PI3K, Wnt
39,1.0,0.0,2.0,4.0,7.0,10.0,3.0,6.0,5.0,9.0,8.0
88,0.0,2.0,1.0,4.0,3.0,5.0,6.0,7.0,9.0,10.0,8.0
137,0.0,1.0,2.0,4.0,5.0,10.0,7.0,6.0,9.0,3.0,8.0
186,0.0,2.0,4.0,5.0,3.0,7.0,1.0,8.0,6.0,9.0,10.0
235,0.0,1.0,2.0,4.0,3.0,9.0,8.0,6.0,7.0,5.0,10.0
284,0.0,2.0,4.0,1.0,3.0,10.0,7.0,6.0,5.0,8.0,9.0
333,0.0,1.0,3.0,2.0,4.0,9.0,7.0,5.0,6.0,8.0,10.0
382,0.0,1.0,7.0,2.0,5.0,3.0,4.0,10.0,6.0,9.0,8.0
431,1.0,0.0,3.0,2.0,4.0,10.0,5.0,6.0,7.0,9.0,8.0
480,0.0,1.0,4.0,9.0,5.0,7.0,2.0,6.0,3.0,8.0,10.0
529,0.0,1.0,6.0,2.0,5.0,4.0,7.0,9.0,3.0,8.0,10.0
578,0.0,1.0,6.0,3.0,5.0,4.0,7.0,8.0,2.0,9.0,10.0
627,0.0,1.0,2.0,3.0,7.0,5.0,6.0,8.0,4.0,9.0,10.0
676,0.0,3.0,4.0,2.0,6.0,5.0,8.0,7.0,1.0,9.0,10.0
725,0.0,1.0,2.0,6.0,4.0,5.0,7.0,8.0,3.0,10.0,9.0
774,0.0,1.0,2.0,9.0,4.0,6.0,3.0,7.0,5.0,8.0,10.0
823,0.0,1.0,3.0,5.0,2.0,6.0,7.0,8.0,4.0,9.0,10.0
872,0.0,1.0,4.0,3.0,6.0,7.0,5.0,8.0,2.0,9.0,10.0
921,1.0,0.0,2.0,5.0,4.0,6.0,7.0,8.0,3.0,10.0,9.0
970,0.0,2.0,4.0,6.0,9.0,1.0,8.0,7.0,3.0,5.0,10.0
1019,1.0,2.0,4.0,9.0,5.0,7.0,0.0,3.0,10.0,6.0,8.0
1068,6.0,0.0,1.0,4.0,5.0,2.0,3.0,9.0,8.0,7.0,10.0
1117,1.0,0.0,2.0,7.0,6.0,4.0,3.0,5.0,8.0,9.0,10.0
1166,2.0,0.0,1.0,6.0,3.0,9.0,5.0,4.0,8.0,7.0,10.0
1215,7.0,0.0,4.0,6.0,5.0,3.0,1.0,2.0,8.0,9.0,10.0
1264,3.0,0.0,4.0,7.0,1.0,5.0,2.0,6.0,10.0,8.0,9.0
1313,4.0,1.0,0.0,5.0,2.0,8.0,3.0,6.0,9.0,7.0,10.0
1362,2.0,0.0,5.0,8.0,3.0,7.0,1.0,4.0,6.0,10.0,9.0
1411,1.0,0.0,3.0,6.0,5.0,7.0,2.0,4.0,10.0,8.0,9.0
1460,1.0,0.0,4.0,10.0,3.0,5.0,6.0,2.0,9.0,7.0,8.0
1509,1.0,0.0,9.0,3.0,6.0,8.0,2.0,7.0,5.0,4.0,10.0
1558,8.0,1.0,2.0,5.0,7.0,3.0,0.0,6.0,4.0,9.0,10.0
1607,4.0,2.0,5.0,9.0,1.0,3.0,0.0,6.0,7.0,10.0,8.0
1656,8.0,0.0,1.0,6.0,5.0,2.0,4.0,3.0,9.0,7.0,10.0
1705,5.0,1.0,2.0,3.0,7.0,4.0,6.0,0.0,10.0,9.0,8.0
1754,1.0,2.0,10.0,5.0,8.0,3.0,0.0,9.0,6.0,7.0,4.0
1803,10.0,1.0,0.0,7.0,8.0,2.0,5.0,3.0,4.0,6.0,9.0
1852,5.0,0.0,2.0,3.0,4.0,8.0,1.0,6.0,7.0,10.0,9.0
1901,1.0,4.0,3.0,6.0,5.0,8.0,0.0,2.0,7.0,10.0,9.0
1950,5.0,0.0,1.0,9.0,8.0,7.0,2.0,4.0,3.0,10.0,6.0
1999,0.0,1.0,6.0,3.0,4.0,2.0,8.0,7.0,5.0,10.0,9.0
2048,0.0,5.0,2.0,1.0,4.0,6.0,3.0,7.0,8.0,9.0,10.0
2097,0.0,2.0,3.0,6.0,1.0,4.0,9.0,5.0,8.0,7.0,10.0
2146,1.0,0.0,2.0,4.0,6.0,3.0,7.0,10.0,8.0,5.0,9.0
2195,0.0,1.0,4.0,5.0,6.0,2.0,7.0,9.0,3.0,8.0,10.0
2244,0.0,1.0,3.0,2.0,5.0,4.0,8.0,6.0,9.0,7.0,10.0
2293,0.0,1.0,3.0,2.0,5.0,10.0,7.0,4.0,8.0,9.0,6.0
2342,0.0,1.0,2.0,3.0,5.0,4.0,7.0,9.0,6.0,10.0,8.0
2391,0.0,1.0,3.0,4.0,5.0,2.0,7.0,6.0,8.0,9.0,10.0
2440,2.0,0.0,4.0,1.0,3.0,5.0,8.0,9.0,6.0,7.0,10.0
2489,0.0,1.0,8.0,3.0,7.0,2.0,5.0,4.0,6.0,9.0,10.0
2538,3.0,2.0,7.0,0.0,4.0,1.0,6.0,5.0,8.0,9.0,10.0
2587,1.0,2.0,8.0,0.0,3.0,5.0,4.0,6.0,7.0,9.0,10.0
2636,1.0,0.0,7.0,2.0,8.0,3.0,4.0,6.0,5.0,10.0,9.0
2685,1.0,0.0,4.0,5.0,3.0,7.0,6.0,2.0,8.0,9.0,10.0
2734,0.0,1.0,7.0,3.0,6.0,4.0,9.0,2.0,5.0,8.0,10.0
2783,0.0,4.0,3.0,2.0,6.0,7.0,5.0,1.0,8.0,9.0,10.0
2832,3.0,0.0,5.0,2.0,4.0,1.0,9.0,10.0,7.0,8.0,6.0
2881,0.0,3.0,5.0,1.0,9.0,2.0,4.0,6.0,7.0,8.0,10.0
2930,0.0,2.0,8.0,4.0,5.0,1.0,6.0,3.0,7.0,9.0,10.0
2979,0.0,6.0,5.0,2.0,4.0,3.0,8.0,9.0,7.0,1.0,10.0
3028,0.0,1.0,3.0,2.0,4.0,9.0,6.0,8.0,5.0,7.0,10.0
3077,0.0,2.0,3.0,4.0,1.0,7.0,6.0,8.0,9.0,5.0,10.0
3126,1.0,0.0,7.0,6.0,3.0,9.0,4.0,2.0,8.0,5.0,10.0
3175,2.0,1.0,6.0,0.0,3.0,9.0,7.0,4.0,8.0,5.0,10.0
3224,1.0,0.0,3.0,4.0,2.0,7.0,6.0,8.0,9.0,5.0,10.0
3273,0.0,2.0,3.0,6.0,1.0,5.0,9.0,7.0,8.0,4.0,10.0
3322,0.0,1.0,6.0,3.0,2.0,9.0,7.0,4.0,5.0,8.0,10.0
3371,0.0,1.0,2.0,3.0,5.0,9.0,7.0,4.0,6.0,8.0,10.0
3420,1.0,0.0,3.0,2.0,4.0,7.0,8.0,5.0,10.0,6.0,9.0
3469,1.0,0.0,8.0,2.0,5.0,3.0,7.0,9.0,4.0,6.0,10.0
3518,1.0,0.0,4.0,3.0,6.0,5.0,2.0,9.0,7.0,8.0,10.0
3567,2.0,0.0,7.0,5.0,8.0,3.0,4.0,6.0,1.0,10.0,9.0
3616,1.0,0.0,8.0,2.0,4.0,10.0,3.0,5.0,6.0,7.0,9.0
3665,1.0,0.0,4.0,2.0,3.0,7.0,6.0,5.0,9.0,10.0,8.0
3714,2.0,0.0,1.0,5.0,3.0,10.0,4.0,7.0,6.0,9.0,8.0
3763,1.0,0.0,4.0,3.0,10.0,5.0,2.0,8.0,6.0,7.0,9.0
3812,1.0,0.0,4.0,2.0,7.0,9.0,5.0,6.0,3.0,10.0,8.0
3861,1.0,0.0,2.0,3.0,6.0,5.0,9.0,7.0,4.0,8.0,10.0
3910,1.0,0.0,3.0,5.0,2.0,6.0,4.0,9.0,7.0,8.0,10.0
3959,0.0,2.0,3.0,1.0,6.0,7.0,10.0,4.0,5.0,9.0,8.0
4008,0.0,1.0,4.0,5.0,2.0,3.0,8.0,7.0,6.0,9.0,10.0
4057,0.0,1.0,5.0,7.0,6.0,3.0,2.0,4.0,8.0,9.0,10.0
4106,0.0,1.0,2.0,5.0,3.0,7.0,6.0,4.0,9.0,8.0,10.0
4155,0.0,2.0,1.0,4.0,3.0,6.0,8.0,10.0,5.0,7.0,9.0
4204,0.0,1.0,3.0,5.0,4.0,8.0,6.0,7.0,2.0,10.0,9.0
4253,0.0,1.0,5.0,2.0,4.0,7.0,3.0,8.0,6.0,9.0,10.0
4302,0.0,1.0,5.0,4.0,2.0,10.0,3.0,8.0,6.0,9.0,7.0
4351,0.0,1.0,2.0,3.0,5.0,4.0,7.0,8.0,6.0,9.0,10.0
4400,0.0,2.0,1.0,4.0,6.0,5.0,7.0,3.0,8.0,9.0,10.0
4449,0.0,3.0,6.0,7.0,8.0,1.0,2.0,4.0,5.0,10.0,9.0
4498,1.0,0.0,3.0,5.0,8.0,6.0,4.0,2.0,7.0,10.0,9.0
4547,1.0,0.0,5.0,8.0,2.0,6.0,3.0,4.0,10.0,9.0,7.0
4596,0.0,3.0,2.0,7.0,5.0,6.0,1.0,4.0,8.0,10.0,9.0
4645,0.0,1.0,5.0,9.0,6.0,3.0,4.0,2.0,8.0,7.0,10.0
4694,1.0,0.0,3.0,6.0,4.0,10.0,5.0,2.0,9.0,7.0,8.0
4743,0.0,4.0,5.0,7.0,6.0,2.0,3.0,1.0,9.0,8.0,10.0
4792,0.0,1.0,4.0,9.0,6.0,5.0,3.0,2.0,8.0,10.0,7.0
4841,1.0,0.0,3.0,5.0,7.0,2.0,6.0,4.0,8.0,10.0,9.0
4890,0.0,1.0,5.0,7.0,6.0,4.0,2.0,3.0,8.0,10.0,9.0
