, VEGF, TLR, MAPK_only, JAK-STAT, PI3K_only, TGFB, Wnt, H2O2, IL-1, MAPK_PI3K, TNFa
35,1.0,0.0,3.0,10.0,4.0,5.0,2.0,7.0,9.0,6.0,8.0
84,0.0,5.0,2.0,4.0,6.0,1.0,7.0,9.0,3.0,8.0,10.0
133,0.0,2.0,1.0,8.0,4.0,9.0,3.0,6.0,5.0,10.0,7.0
182,0.0,1.0,3.0,6.0,5.0,2.0,9.0,7.0,8.0,10.0,4.0
231,0.0,2.0,1.0,5.0,4.0,7.0,6.0,8.0,10.0,3.0,9.0
280,0.0,6.0,1.0,10.0,2.0,7.0,4.0,5.0,9.0,3.0,8.0
329,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,9.0
378,0.0,1.0,7.0,8.0,2.0,6.0,4.0,9.0,10.0,5.0,3.0
427,1.0,0.0,3.0,5.0,2.0,8.0,4.0,6.0,10.0,7.0,9.0
476,0.0,1.0,4.0,2.0,7.0,5.0,9.0,8.0,6.0,10.0,3.0
525,0.0,1.0,4.0,2.0,7.0,8.0,6.0,5.0,10.0,9.0,3.0
574,0.0,4.0,2.0,1.0,8.0,3.0,6.0,5.0,10.0,9.0,7.0
623,0.0,1.0,4.0,2.0,3.0,5.0,6.0,7.0,10.0,9.0,8.0
672,0.0,2.0,4.0,1.0,3.0,6.0,8.0,7.0,9.0,10.0,5.0
721,0.0,1.0,2.0,4.0,3.0,6.0,7.0,5.0,9.0,10.0,8.0
770,0.0,1.0,2.0,3.0,5.0,6.0,9.0,8.0,7.0,10.0,4.0
819,0.0,1.0,4.0,3.0,2.0,6.0,8.0,5.0,10.0,9.0,7.0
868,0.0,1.0,4.0,7.0,2.0,3.0,9.0,10.0,6.0,8.0,5.0
917,1.0,0.0,3.0,5.0,2.0,9.0,6.0,8.0,10.0,7.0,4.0
966,0.0,2.0,4.0,1.0,3.0,9.0,5.0,10.0,8.0,6.0,7.0
1015,2.0,0.0,4.0,3.0,7.0,1.0,6.0,5.0,8.0,9.0,10.0
1064,3.0,0.0,4.0,1.0,7.0,2.0,5.0,8.0,10.0,6.0,9.0
