,SYT17,LYL1,ELF3,ABLIM2,GNB4,LA16c-380H5.5,HTRA2,GGPS1,RPUSD2,HERC5,RSPH1,RP5-914P20.5,TMEM182,AGR2,CXADR,KIAA1211L,AC074212.6,TRPV2,C1orf174,MFAP2,PITPNM3,FA2H,RP11-1109F11.3,HSPA1A,AP000974.1,RP11-196G18.22,RP11-645C24.2,ANO9,SYT13,RPL6
11,19.0,20.0,15.0,25.0,2.0,11.0,33.0,6.0,1.0,10.0,71.0,38.0,16.0,9.0,1058.0,94.0,183.0,181.0,13.0,5.0,139.0,396.0,76.0,14.0,5610.0,42.0,11156.0,177.0,85.0,91.0
60,14.0,83.0,6.0,26.0,3.0,1.0,40.0,2.0,48.0,76.0,13.0,204.0,47.0,1309.0,156.0,115.0,214.0,531.0,1553.0,0.0,9885.0,266.0,68.0,82.0,113.0,23.0,119.0,165.0,268.0,5995.0
109,4.0,88.0,5.0,10.0,6.0,11.0,282.0,43.0,94.0,13836.0,16.0,1385.0,69.0,132.0,205.0,84.0,428.0,166.0,1.0,0.0,10862.0,206.0,7003.0,176.0,190.0,12.0,141.0,15.0,21.0,1156.0
158,7.0,58.0,1.0,16.0,0.0,33.0,228.0,98.0,5.0,159.0,36.0,10.0,12.0,116.0,75.0,63.0,211.0,363.0,324.0,20.0,119.0,4.0,7013.0,2.0,47.0,321.0,3509.0,18.0,22.0,11.0
207,12.0,7.0,3.0,9.0,2.0,4.0,117.0,15804.0,6.0,549.0,16.0,7448.0,26.0,1.0,281.0,40.0,8277.0,17.0,270.0,0.0,11148.0,153.0,6092.0,141.0,209.0,10.0,346.0,84.0,3936.0,2735.0
256,8.0,6.0,0.0,42.0,5.0,29.0,17230.0,45.0,508.0,55.0,36.0,28.0,33.0,61.0,179.0,11.0,7708.0,106.0,144.0,57.0,58.0,54.0,183.0,13.0,3.0,17.0,3423.0,2.0,1183.0,6798.0
305,2.0,0.0,5.0,15.0,9.0,24.0,26.0,3.0,8.0,141.0,21.0,122.0,20.0,1.0,105.0,33.0,368.0,319.0,125.0,7.0,88.0,73.0,281.0,107.0,168.0,6.0,187.0,87.0,11.0,171.0
354,2.0,0.0,1.0,11.0,14595.0,41.0,93.0,39.0,220.0,1406.0,36.0,8.0,65.0,92.0,103.0,12.0,13.0,4.0,124.0,6.0,71.0,110.0,6877.0,21.0,420.0,61.0,64.0,70.0,32.0,309.0
403,1.0,0.0,2.0,19.0,4.0,20.0,65.0,998.0,6.0,87.0,11.0,13.0,18.0,14.0,94.0,12.0,7697.0,149.0,1379.0,135.0,58.0,9.0,1192.0,3.0,4659.0,56.0,868.0,19735.0,1508.0,47.0
452,38.0,10.0,7.0,8.0,2.0,6.0,277.0,17643.0,51.0,24.0,52.0,46.0,50.0,232.0,211.0,176.0,5.0,11893.0,42.0,106.0,12047.0,373.0,126.0,40.0,298.0,76.0,10922.0,127.0,11.0,3467.0
501,9.0,1.0,13.0,2.0,33.0,50.0,49.0,58.0,0.0,413.0,29.0,385.0,27.0,12.0,48.0,102.0,970.0,188.0,356.0,359.0,10858.0,294.0,145.0,4.0,70.0,268.0,3282.0,54.0,1058.0,71.0
550,3.0,11.0,0.0,26.0,23.0,13.0,18.0,309.0,2.0,74.0,25.0,91.0,121.0,66.0,100.0,172.0,7684.0,94.0,118.0,15897.0,65.0,281.0,71.0,111.0,20.0,39.0,3079.0,173.0,511.0,80.0
599,15.0,2.0,11.0,5.0,192.0,1.0,0.0,13.0,470.0,601.0,36.0,7577.0,17051.0,8.0,28.0,182.0,7702.0,10030.0,16169.0,231.0,100.0,25.0,5164.0,4.0,401.0,616.0,4359.0,247.0,84.0,99.0
648,16.0,45.0,22.0,76.0,139.0,70.0,13.0,9.0,3.0,23.0,12.0,7562.0,16983.0,141.0,18.0,17018.0,7687.0,164.0,123.0,1303.0,125.0,155.0,922.0,0.0,60.0,246.0,2067.0,690.0,4254.0,75.0
697,5.0,139.0,30.0,31.0,14578.0,12.0,38.0,20.0,51.0,61.0,75.0,2088.0,174.0,120.0,187.0,76.0,7798.0,10016.0,178.0,581.0,578.0,398.0,5853.0,1491.0,418.0,7.0,41.0,42.0,1002.0,115.0
746,7.0,0.0,17412.0,22.0,14670.0,3548.0,40.0,4.0,21.0,19.0,9.0,7565.0,198.0,12.0,16.0,69.0,7741.0,3.0,185.0,2665.0,72.0,17.0,143.0,21089.0,284.0,20.0,3063.0,190.0,2491.0,350.0
795,24.0,2.0,9.0,4.0,64.0,3.0,25.0,92.0,0.0,247.0,43.0,439.0,985.0,8.0,94.0,164.0,7692.0,1.0,95.0,1321.0,74.0,227.0,520.0,21024.0,170.0,55.0,3597.0,131.0,5076.0,72.0
844,3.0,27.0,426.0,16.0,373.0,2.0,31.0,4.0,7.0,39.0,86.0,1.0,82.0,42.0,34.0,166.0,282.0,10052.0,222.0,15898.0,10860.0,10927.0,6995.0,200.0,445.0,17.0,3631.0,306.0,5185.0,94.0
893,0.0,2.0,29.0,11.0,26.0,51.0,45.0,50.0,8.0,13825.0,23.0,1213.0,80.0,79.0,48.0,99.0,54.0,245.0,39.0,15846.0,221.0,578.0,6956.0,106.0,4619.0,4.0,3448.0,19740.0,5057.0,69.0
942,9.0,0.0,133.0,18.0,197.0,12.0,27.0,31.0,7.0,3.0,1.0,272.0,393.0,11.0,64.0,189.0,336.0,21.0,585.0,304.0,126.0,16.0,117.0,4.0,187.0,15801.0,3086.0,397.0,5157.0,22.0
991,14.0,5.0,1.0,59.0,22.0,0.0,4.0,17.0,378.0,24.0,95.0,7616.0,60.0,21.0,165.0,194.0,7733.0,32.0,42.0,19.0,10938.0,175.0,163.0,222.0,23.0,174.0,159.0,61.0,37.0,6841.0
1040,15.0,5.0,18.0,25.0,0.0,42.0,4.0,54.0,14.0,7.0,220.0,11.0,24.0,22207.0,300.0,258.0,68.0,9933.0,17.0,1.0,43.0,427.0,148.0,73.0,249.0,293.0,144.0,135.0,62.0,206.0
1089,5.0,129.0,4.0,38.0,62.0,0.0,46.0,1.0,65.0,555.0,88.0,19.0,17.0,84.0,584.0,178.0,7685.0,137.0,32.0,375.0,58.0,160.0,121.0,254.0,20.0,2.0,3303.0,135.0,30.0,768.0
1138,3.0,172.0,4.0,13.0,8.0,57.0,15.0,5.0,18.0,6.0,9.0,50.0,48.0,45.0,7415.0,256.0,56.0,53.0,82.0,189.0,10.0,115.0,6502.0,21051.0,369.0,1456.0,107.0,1.0,194.0,525.0
1187,3.0,5.0,22.0,17.0,0.0,14.0,49.0,37.0,6.0,55.0,7481.0,7616.0,101.0,68.0,7432.0,16895.0,93.0,24.0,1.0,21.0,102.0,259.0,175.0,21063.0,195.0,121.0,94.0,31.0,92.0,6827.0
1236,16.0,23.0,2.0,14.0,8.0,30.0,19.0,43.0,2882.0,7.0,46.0,76.0,35.0,259.0,96.0,260.0,170.0,195.0,16166.0,5.0,100.0,200.0,242.0,22.0,98.0,64.0,3859.0,187.0,102.0,110.0
1285,0.0,47.0,16.0,32.0,11.0,1.0,8.0,42.0,13.0,266.0,226.0,2752.0,230.0,85.0,24.0,225.0,200.0,31.0,41.0,15870.0,45.0,98.0,613.0,1408.0,610.0,581.0,110.0,9.0,117.0,251.0
1334,1.0,314.0,15.0,23.0,10.0,34.0,61.0,33.0,28.0,8.0,191.0,62.0,6.0,139.0,1373.0,16930.0,7775.0,76.0,42.0,350.0,1016.0,38.0,266.0,354.0,3387.0,170.0,160.0,238.0,247.0,5838.0
1383,0.0,2.0,18.0,39.0,1.0,4.0,30.0,23.0,95.0,22.0,17.0,7619.0,46.0,22284.0,635.0,107.0,57.0,1204.0,37.0,169.0,10866.0,277.0,6874.0,21086.0,233.0,3.0,181.0,5.0,72.0,268.0
1432,8.0,6.0,2.0,20.0,9.0,41.0,56.0,50.0,12.0,76.0,169.0,13.0,61.0,261.0,305.0,141.0,167.0,25.0,1.0,10.0,59.0,111.0,54.0,21079.0,593.0,376.0,3974.0,63.0,44.0,4862.0
1481,6.0,5.0,156.0,3.0,13.0,56.0,25.0,4.0,14.0,13837.0,162.0,357.0,90.0,101.0,48.0,82.0,34.0,62.0,27.0,24.0,46.0,118.0,142.0,0.0,236.0,75.0,3500.0,19732.0,102.0,100.0
