,LEPREL2,CORO6,IFI27,HERC5,CHRNB1,MYEOV,AC005624.2,AFAP1-AS1,EDA2R,GBP5,PLEKHG4,IFITM1,ARTN,RP11-366M4.17,C8orf58,FAM110C,RP11-834C11.4,ZNF625,SLFN12,MFAP2,ABC7-42389800N19.1,SESN1,MT1E,CSAG1,C3orf18,GPX3,CKB,ZNF703,RGL3,FBXO22
8,1.0,6.0,0.0,3.0,2.0,5.0,4.0,183.0,7.0,143.0,47.0,8.0,14.0,37.0,85.0,25.0,676.0,41.0,33.0,167.0,30.0,24.0,28.0,691.0,21.0,16.0,58.0,129.0,20.0,31.0
57,18.0,3.0,5.0,2.0,4.0,13.0,27.0,14.0,1.0,33.0,108.0,17.0,9.0,0.0,98.0,96.0,28.0,220.0,146.0,32.0,199.0,31.0,699.0,334.0,8.0,48.0,16.0,12.0,21.0,75.0
106,3.0,0.0,8.0,9.0,45.0,7.0,79.0,94.0,2.0,32.0,15.0,10.0,5.0,4.0,86.0,102.0,30.0,116.0,37.0,1.0,88.0,17.0,148.0,232.0,62.0,33.0,20.0,84.0,27.0,52.0
155,0.0,16.0,5.0,33.0,1.0,2.0,30.0,39.0,4.0,62.0,54.0,36.0,19.0,3.0,21.0,92.0,18.0,76.0,84.0,24.0,164.0,13.0,989.0,203.0,34.0,534.0,79.0,32.0,6.0,14.0
204,1.0,7.0,0.0,6.0,2.0,3.0,25.0,13.0,10.0,57.0,81.0,4.0,14.0,5.0,32.0,24.0,541.0,28.0,102.0,90.0,96.0,18.0,68.0,37.0,26.0,30.0,42.0,27.0,12.0,64.0
253,21.0,4.0,3.0,0.0,19.0,8.0,152.0,75.0,45.0,39.0,1.0,2.0,16.0,7.0,30.0,329.0,246.0,84.0,12.0,6.0,34.0,135.0,3701.0,23.0,156.0,162.0,40.0,11.0,24.0,213.0
302,1.0,2.0,3.0,4.0,5.0,8.0,38.0,282.0,6.0,88.0,7.0,128.0,11.0,0.0,262.0,158.0,20.0,36.0,501.0,10.0,79.0,50.0,156.0,44.0,17.0,32.0,45.0,51.0,63.0,29.0
351,5.0,4.0,3.0,19.0,0.0,25.0,8.0,33.0,11.0,76.0,75.0,61.0,2.0,17.0,18.0,227.0,73.0,47.0,3325.0,35.0,218.0,9.0,96.0,27.0,34.0,105.0,14.0,7.0,42.0,41.0
400,3.0,1.0,0.0,7.0,23.0,4.0,10.0,175.0,28.0,44.0,13.0,16.0,5.0,11.0,19.0,439.0,391.0,32.0,76.0,75.0,149.0,22.0,91.0,51.0,85.0,55.0,255.0,43.0,71.0,21.0
449,1.0,3.0,6.0,37.0,9.0,2.0,13.0,60.0,10.0,61.0,12.0,15.0,26.0,0.0,89.0,20.0,495.0,73.0,295.0,32.0,57.0,7.0,111.0,4.0,35.0,282.0,232.0,14.0,18.0,21.0
