,4E-BP1_pT70,4E-BP1_pT37_T46,Rab25,4E-BP1_pS65,Bim(EP1036),E-Cadherin,Src_pY416,Akt_pS473,XBP1,p21,FOXO3a,GATA3,STAT5-alpha,beta-Catenin,PDCD4,Bax,Claudin-7,MEK1_pS217_S221,Cyclin_D1,Transglutaminase,A-Raf_pS299,Heregulin,MDM2_pS166,IRS1,HER3,AR,INPP4B,eEF2K,SETD2,ADAR1
0,0.0,38.0,8.0,1.0,3.0,49.0,13.0,2.0,51.0,132.0,83.0,18.0,15.0,36.0,4.0,12.0,19.0,96.0,21.0,67.0,16.0,28.0,109.0,92.0,54.0,9.0,62.0,79.0,14.0,7.0
49,0.0,7.0,50.0,1.0,2.0,10.0,55.0,38.0,26.0,22.0,37.0,4.0,20.0,25.0,15.0,23.0,8.0,51.0,45.0,14.0,24.0,31.0,74.0,41.0,59.0,60.0,63.0,99.0,36.0,29.0
98,4.0,5.0,13.0,0.0,7.0,14.0,12.0,62.0,98.0,15.0,11.0,9.0,50.0,1.0,61.0,64.0,60.0,22.0,80.0,27.0,33.0,35.0,81.0,85.0,24.0,6.0,65.0,32.0,144.0,63.0
147,2.0,18.0,3.0,4.0,0.0,1.0,108.0,38.0,28.0,14.0,103.0,5.0,15.0,17.0,76.0,9.0,13.0,23.0,59.0,22.0,27.0,53.0,89.0,109.0,35.0,39.0,24.0,40.0,29.0,105.0
196,0.0,3.0,32.0,2.0,1.0,5.0,46.0,12.0,18.0,50.0,54.0,14.0,60.0,6.0,34.0,30.0,16.0,23.0,11.0,95.0,63.0,49.0,73.0,84.0,26.0,17.0,10.0,29.0,56.0,120.0
245,11.0,10.0,0.0,4.0,12.0,2.0,7.0,3.0,16.0,105.0,28.0,56.0,22.0,1.0,20.0,25.0,32.0,123.0,21.0,163.0,8.0,124.0,42.0,114.0,61.0,122.0,36.0,5.0,147.0,67.0
294,30.0,89.0,6.0,3.0,2.0,5.0,27.0,14.0,34.0,61.0,7.0,0.0,17.0,1.0,24.0,9.0,20.0,8.0,13.0,40.0,100.0,16.0,84.0,10.0,60.0,95.0,28.0,12.0,90.0,68.0
343,1.0,3.0,5.0,0.0,2.0,4.0,16.0,10.0,22.0,9.0,106.0,14.0,7.0,94.0,54.0,6.0,13.0,93.0,11.0,21.0,17.0,109.0,85.0,15.0,24.0,60.0,19.0,12.0,33.0,112.0
392,11.0,30.0,0.0,1.0,4.0,2.0,31.0,13.0,15.0,9.0,6.0,20.0,25.0,18.0,36.0,7.0,14.0,10.0,3.0,144.0,27.0,47.0,107.0,24.0,5.0,37.0,22.0,29.0,91.0,16.0
441,23.0,9.0,4.0,18.0,8.0,21.0,0.0,44.0,87.0,24.0,49.0,6.0,25.0,34.0,26.0,38.0,31.0,1.0,16.0,63.0,20.0,112.0,137.0,13.0,37.0,7.0,114.0,5.0,107.0,30.0
