,NERVOUS,OVARY,HAEMATOPOIETIC,PROSTATE,THYROID,SKIN,PLEURA,KIDNEY,SOFT_TISSUE,GANGLIA,ENDOMETRIUM,BONE,BILIARY,SALIVARY,URINARY,STOMACH,BREAST,PANCREAS,AERODIGESTIVE,LARGE_INTESTINE,OESOPHAGUS,LIVER,LUNG
43,4.0,5.0,6.0,2.0,8.0,9.0,1.0,7.0,0.0,17.0,10.0,11.0,12.0,13.0,15.0,14.0,18.0,19.0,16.0,3.0,20.0,21.0,22.0
92,0.0,1.0,2.0,7.0,4.0,5.0,11.0,3.0,6.0,9.0,15.0,14.0,12.0,13.0,16.0,8.0,18.0,19.0,20.0,10.0,21.0,17.0,22.0
141,3.0,4.0,5.0,1.0,7.0,8.0,9.0,6.0,14.0,0.0,11.0,15.0,12.0,13.0,18.0,2.0,16.0,21.0,17.0,10.0,19.0,20.0,22.0
190,1.0,2.0,3.0,9.0,5.0,6.0,8.0,4.0,7.0,0.0,11.0,15.0,12.0,13.0,20.0,14.0,17.0,18.0,19.0,10.0,21.0,16.0,22.0
239,3.0,4.0,5.0,0.0,7.0,8.0,10.0,6.0,9.0,1.0,11.0,14.0,12.0,13.0,20.0,15.0,17.0,18.0,19.0,2.0,22.0,16.0,21.0
288,0.0,1.0,2.0,7.0,4.0,5.0,11.0,3.0,10.0,8.0,12.0,6.0,13.0,14.0,16.0,15.0,17.0,18.0,19.0,9.0,20.0,21.0,22.0
337,3.0,4.0,5.0,0.0,7.0,8.0,10.0,6.0,9.0,1.0,11.0,16.0,12.0,14.0,17.0,15.0,18.0,19.0,20.0,2.0,21.0,13.0,22.0
386,4.0,5.0,6.0,0.0,8.0,9.0,2.0,7.0,14.0,1.0,10.0,11.0,12.0,13.0,19.0,15.0,16.0,17.0,18.0,3.0,20.0,22.0,21.0
435,9.0,1.0,2.0,7.0,4.0,10.0,11.0,14.0,5.0,8.0,6.0,15.0,12.0,13.0,18.0,0.0,16.0,20.0,17.0,3.0,21.0,19.0,22.0
484,6.0,7.0,8.0,0.0,3.0,10.0,5.0,9.0,4.0,2.0,11.0,16.0,13.0,14.0,19.0,15.0,17.0,22.0,18.0,12.0,1.0,21.0,20.0
