,OVARY,HAEMATOPOIETIC,SKIN,NERVOUS,LUNG,LIVER,PANCREAS,BREAST,URINARY,LARGE_INTESTINE,STOMACH,ENDOMETRIUM,OESOPHAGUS,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,SOFT_TISSUE,THYROID,KIDNEY,PLEURA,BILIARY
47,1.0,4.0,5.0,8.0,3.0,2.0,7.0,6.0,20.0,10.0,9.0,13.0,0.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
96,0.0,1.0,2.0,3.0,4.0,7.0,5.0,9.0,20.0,6.0,8.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
145,2.0,3.0,4.0,9.0,5.0,8.0,6.0,7.0,1.0,11.0,10.0,12.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,4.0,2.0,3.0,1.0,5.0,8.0,6.0,7.0,20.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,19.0,0.0,22.0
243,2.0,4.0,3.0,6.0,5.0,9.0,8.0,7.0,1.0,10.0,11.0,12.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,3.0,4.0,1.0,5.0,8.0,9.0,6.0,7.0,2.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
341,5.0,4.0,6.0,9.0,2.0,15.0,3.0,1.0,20.0,10.0,8.0,7.0,0.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,21.0,22.0
390,8.0,1.0,6.0,2.0,9.0,5.0,11.0,10.0,4.0,7.0,13.0,12.0,3.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,0.0,22.0
439,8.0,3.0,7.0,19.0,1.0,6.0,4.0,5.0,20.0,9.0,10.0,11.0,0.0,12.0,13.0,14.0,2.0,15.0,16.0,17.0,18.0,21.0,22.0
488,5.0,2.0,3.0,9.0,1.0,7.0,6.0,4.0,0.0,8.0,11.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
537,3.0,4.0,2.0,6.0,5.0,1.0,7.0,0.0,9.0,8.0,10.0,21.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
586,1.0,5.0,4.0,8.0,2.0,0.0,6.0,3.0,7.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
635,1.0,5.0,4.0,0.0,10.0,6.0,11.0,7.0,9.0,8.0,12.0,3.0,13.0,2.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
684,0.0,1.0,3.0,20.0,5.0,2.0,7.0,4.0,6.0,8.0,9.0,13.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
733,3.0,4.0,6.0,8.0,2.0,16.0,7.0,1.0,5.0,9.0,11.0,10.0,0.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
782,8.0,4.0,7.0,9.0,2.0,1.0,10.0,6.0,5.0,3.0,12.0,11.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
831,0.0,1.0,3.0,4.0,6.0,2.0,7.0,5.0,10.0,8.0,11.0,9.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
880,1.0,6.0,4.0,8.0,2.0,0.0,3.0,5.0,7.0,9.0,20.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
929,7.0,4.0,5.0,9.0,3.0,1.0,6.0,2.0,10.0,8.0,11.0,12.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
978,9.0,4.0,5.0,3.0,2.0,1.0,7.0,6.0,11.0,8.0,10.0,12.0,0.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1027,1.0,2.0,4.0,3.0,8.0,7.0,5.0,6.0,20.0,9.0,10.0,0.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,22.0
1076,4.0,2.0,3.0,5.0,6.0,1.0,8.0,7.0,10.0,9.0,11.0,0.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1125,3.0,1.0,2.0,0.0,4.0,6.0,5.0,7.0,11.0,9.0,10.0,8.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,0.0,4.0,3.0,2.0,7.0,5.0,8.0,9.0,10.0,11.0,12.0,6.0,13.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
