,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
31,1.0,8.0,10.0,37.0,15.0,28.0,65.0,4.0,2.0,29.0,33.0,0.0,34.0,5.0,24.0,23.0,114.0,21.0,22.0,115.0,49.0,46.0,17.0,51.0,69.0,6.0,12.0,71.0,14.0,27.0
80,0.0,18.0,15.0,7.0,33.0,86.0,71.0,11.0,20.0,19.0,3.0,1.0,34.0,14.0,48.0,49.0,10.0,23.0,24.0,224.0,9.0,31.0,26.0,28.0,16.0,2.0,27.0,557.0,36.0,75.0
129,1.0,3.0,8.0,14.0,30.0,34.0,9.0,2.0,826.0,5.0,22.0,0.0,6.0,469.0,44.0,43.0,11.0,151.0,152.0,29.0,12.0,10.0,70.0,47.0,32.0,17.0,13.0,21.0,16.0,133.0
178,1.0,17.0,12.0,7.0,63.0,14.0,2.0,4.0,13.0,49.0,22.0,0.0,72.0,89.0,28.0,27.0,16.0,963.0,964.0,24.0,19.0,108.0,26.0,81.0,169.0,3.0,21.0,15.0,31.0,35.0
227,0.0,5.0,1.0,25.0,16.0,38.0,7.0,3.0,67.0,21.0,9.0,2.0,44.0,27.0,35.0,34.0,26.0,474.0,475.0,56.0,54.0,36.0,29.0,43.0,33.0,8.0,15.0,50.0,18.0,32.0
276,0.0,8.0,45.0,44.0,7.0,60.0,33.0,10.0,4.0,21.0,6.0,1.0,12.0,20.0,18.0,19.0,27.0,13.0,14.0,59.0,46.0,50.0,184.0,31.0,36.0,2.0,41.0,37.0,40.0,52.0
325,0.0,4.0,11.0,10.0,19.0,51.0,9.0,34.0,40.0,50.0,35.0,1.0,33.0,6.0,101.0,100.0,32.0,77.0,76.0,814.0,2.0,5.0,36.0,31.0,18.0,22.0,89.0,58.0,104.0,53.0
374,1.0,6.0,8.0,26.0,4.0,33.0,11.0,9.0,64.0,20.0,3.0,0.0,45.0,7.0,62.0,61.0,51.0,198.0,197.0,545.0,39.0,19.0,84.0,65.0,5.0,389.0,21.0,38.0,23.0,31.0
423,7.0,2.0,370.0,9.0,3.0,31.0,16.0,1.0,464.0,50.0,4.0,0.0,33.0,14.0,58.0,59.0,15.0,122.0,123.0,882.0,73.0,121.0,35.0,94.0,63.0,29.0,5.0,37.0,6.0,46.0
472,4.0,17.0,46.0,5.0,1.0,38.0,71.0,3.0,39.0,78.0,0.0,2.0,18.0,30.0,32.0,33.0,51.0,26.0,25.0,19.0,24.0,54.0,55.0,63.0,135.0,16.0,12.0,298.0,13.0,22.0
521,2.0,3.0,73.0,253.0,17.0,43.0,14.0,4.0,0.0,10.0,47.0,271.0,8.0,13.0,39.0,40.0,77.0,33.0,32.0,6.0,7.0,34.0,16.0,24.0,12.0,341.0,15.0,18.0,21.0,125.0
570,0.0,11.0,18.0,854.0,22.0,337.0,13.0,143.0,1.0,12.0,19.0,139.0,15.0,9.0,8.0,7.0,3.0,76.0,77.0,5.0,16.0,21.0,10.0,31.0,20.0,70.0,528.0,30.0,804.0,24.0
619,0.0,15.0,4.0,130.0,339.0,224.0,3.0,10.0,5.0,12.0,62.0,106.0,11.0,1.0,8.0,7.0,6.0,42.0,43.0,49.0,121.0,113.0,2.0,44.0,14.0,96.0,27.0,46.0,34.0,20.0
668,29.0,4.0,63.0,176.0,47.0,46.0,27.0,10.0,5.0,3.0,117.0,605.0,7.0,0.0,8.0,9.0,16.0,1.0,2.0,17905.0,12.0,36.0,23.0,42.0,17.0,193.0,20.0,21.0,26.0,18.0
