,ZBTB20_AMP,GBP3_DEL,ADAM6_AMP,SIRPB1_AMP,BRAF_MUT,GSTT1_AMP,CFHR1_AMP,LOC391322_AMP,KIAA1217_DEL,CFHR3_AMP,KIAA0125_AMP,CNTNAP3B_DEL,USP32P2_DEL,DOCK10_AMP,OR51A2_DEL,FAM75A6_DEL,TPTE_DEL,NSF_AMP,SLC25A37_DEL,TTTY22_DEL,UGT2B28_DEL,DDT_DEL,FAM21A_DEL,CADM2_DEL,GSTTP1_DEL,NRG3_DEL,HERC2P2_AMP,LCE1D_AMP,ARL17A_DEL,LGALS9C_DEL
29,2.0,5.0,21.0,0.0,17.0,11.0,19.0,10.0,1.0,13.0,23.0,8.0,4.0,24.0,84.0,18.0,22.0,16.0,75.0,32.0,198.0,39.0,40.0,12.0,38.0,116.0,3.0,141.0,30.0,9.0
78,2.0,29.0,10.0,0.0,14.0,9.0,4.0,8.0,35.0,21.0,16.0,11.0,15.0,7.0,19.0,22.0,25.0,26.0,48.0,18.0,159.0,98.0,20.0,13.0,41.0,17.0,1.0,495.0,236.0,52.0
127,1.0,13.0,11.0,0.0,35.0,15.0,20.0,16.0,502.0,50.0,18.0,10.0,28.0,4.0,7.0,27.0,60.0,9.0,26.0,2.0,65.0,164.0,29.0,32.0,969.0,19.0,5.0,217.0,84.0,80.0
176,1.0,4.0,12.0,0.0,9.0,101.0,31.0,102.0,10.0,107.0,25.0,23.0,2.0,20.0,14.0,40.0,29.0,24.0,111.0,233.0,41.0,21.0,84.0,11.0,66.0,72.0,17.0,115.0,163.0,28.0
225,0.0,10.0,37.0,1.0,2.0,90.0,5.0,89.0,110.0,23.0,47.0,8.0,13.0,12.0,31.0,25.0,55.0,4.0,54.0,24.0,72.0,40.0,46.0,9.0,28.0,32.0,29.0,128.0,93.0,30.0
274,9.0,12.0,52.0,0.0,59.0,4.0,2.0,5.0,22.0,8.0,77.0,31.0,1.0,69.0,50.0,30.0,173.0,37.0,40.0,39.0,614.0,49.0,6.0,27.0,56.0,29.0,10.0,650.0,75.0,11.0
323,0.0,15.0,38.0,2.0,10.0,45.0,14.0,46.0,41.0,11.0,52.0,30.0,7.0,1.0,32.0,44.0,58.0,48.0,93.0,6.0,332.0,53.0,4.0,33.0,8.0,17.0,21.0,115.0,66.0,5.0
372,5.0,9.0,17.0,0.0,18.0,49.0,1.0,48.0,62.0,3.0,25.0,6.0,8.0,19.0,26.0,10.0,92.0,50.0,55.0,14.0,79.0,45.0,11.0,31.0,28.0,13.0,4.0,120.0,72.0,27.0
421,21.0,10.0,8.0,0.0,144.0,36.0,4.0,37.0,91.0,5.0,16.0,19.0,13.0,46.0,11.0,34.0,31.0,6.0,64.0,50.0,63.0,39.0,17.0,49.0,20.0,41.0,1.0,69.0,537.0,57.0
470,11.0,18.0,29.0,1.0,36.0,13.0,0.0,14.0,27.0,3.0,28.0,37.0,22.0,38.0,59.0,56.0,35.0,5.0,99.0,34.0,325.0,41.0,26.0,33.0,75.0,78.0,2.0,100.0,223.0,64.0
519,3.0,37.0,15.0,120.0,41.0,2.0,19.0,1.0,0.0,5.0,20.0,77.0,14.0,7.0,33.0,144.0,6.0,9.0,22.0,51.0,42.0,67.0,4.0,153.0,34.0,16.0,241.0,36.0,65.0,17.0
