,C22:6 LPE,C16:0 LPE,cis/trans-hydroxyproline,alpha-glycerophosphate,uracil,C22:6 LPC,asparagine,hexoses (HILIC neg),leucine,1-methylnicotinamide,glutamine,C34:4 PC,inositol,pantothenate,2-deoxyadenosine,uridine,taurodeoxycholate,C36:1 DAG,niacinamide,oxalate,pyroglutamic acid,dCMP,valerylcarnitine,N-carbamoyl-beta-alanine,beta-alanine,DHAP/glyceraldehyde 3P,GABA,serotonin,alpha-glycerophosphocholine,inosine
21,4.0,3.0,6.0,0.0,2.0,19.0,7.0,1.0,8.0,15.0,27.0,23.0,9.0,5.0,22.0,58.0,16.0,13.0,17.0,10.0,26.0,24.0,29.0,14.0,34.0,25.0,37.0,20.0,33.0,32.0
70,7.0,0.0,44.0,1.0,2.0,22.0,4.0,33.0,19.0,20.0,56.0,3.0,5.0,17.0,34.0,50.0,23.0,11.0,27.0,8.0,10.0,35.0,36.0,39.0,25.0,14.0,30.0,28.0,24.0,59.0
119,0.0,2.0,15.0,3.0,1.0,16.0,17.0,6.0,12.0,20.0,23.0,4.0,25.0,9.0,7.0,24.0,11.0,58.0,38.0,8.0,48.0,33.0,10.0,41.0,27.0,31.0,45.0,28.0,59.0,34.0
168,1.0,2.0,8.0,6.0,0.0,3.0,4.0,5.0,52.0,25.0,34.0,24.0,16.0,18.0,26.0,35.0,20.0,23.0,14.0,38.0,7.0,29.0,19.0,22.0,48.0,30.0,33.0,50.0,11.0,51.0
217,1.0,4.0,5.0,3.0,13.0,9.0,18.0,8.0,0.0,59.0,6.0,17.0,12.0,7.0,36.0,46.0,31.0,16.0,20.0,22.0,2.0,35.0,47.0,40.0,49.0,44.0,29.0,26.0,15.0,24.0
266,10.0,0.0,3.0,14.0,2.0,16.0,7.0,19.0,6.0,15.0,1.0,5.0,8.0,50.0,20.0,40.0,39.0,12.0,9.0,13.0,18.0,11.0,31.0,28.0,64.0,27.0,23.0,49.0,26.0,56.0
315,4.0,0.0,56.0,5.0,1.0,38.0,60.0,6.0,37.0,34.0,17.0,2.0,3.0,11.0,39.0,13.0,10.0,14.0,26.0,18.0,19.0,12.0,58.0,41.0,63.0,45.0,59.0,32.0,15.0,33.0
364,3.0,9.0,0.0,5.0,1.0,17.0,8.0,2.0,19.0,21.0,6.0,7.0,13.0,4.0,14.0,15.0,31.0,33.0,12.0,18.0,10.0,35.0,37.0,49.0,29.0,11.0,39.0,46.0,41.0,23.0
413,10.0,5.0,1.0,21.0,0.0,2.0,16.0,11.0,7.0,23.0,4.0,37.0,30.0,56.0,13.0,52.0,18.0,15.0,17.0,46.0,9.0,8.0,28.0,43.0,26.0,22.0,64.0,31.0,33.0,34.0
462,1.0,0.0,11.0,3.0,4.0,5.0,14.0,8.0,9.0,48.0,12.0,49.0,15.0,7.0,18.0,2.0,16.0,25.0,24.0,20.0,10.0,13.0,28.0,30.0,37.0,52.0,40.0,50.0,26.0,47.0
511,2.0,9.0,11.0,14.0,3.0,6.0,26.0,7.0,5.0,4.0,40.0,8.0,12.0,28.0,0.0,18.0,13.0,31.0,22.0,46.0,17.0,27.0,55.0,25.0,60.0,52.0,47.0,15.0,21.0,64.0
560,5.0,10.0,11.0,0.0,3.0,6.0,17.0,9.0,7.0,2.0,12.0,18.0,24.0,4.0,8.0,1.0,40.0,65.0,14.0,30.0,42.0,33.0,32.0,29.0,20.0,51.0,46.0,21.0,34.0,26.0
609,15.0,4.0,8.0,2.0,0.0,3.0,17.0,20.0,7.0,12.0,59.0,16.0,5.0,33.0,10.0,1.0,40.0,45.0,34.0,55.0,26.0,24.0,27.0,6.0,30.0,28.0,31.0,38.0,13.0,60.0
658,2.0,0.0,12.0,8.0,1.0,3.0,6.0,31.0,9.0,5.0,21.0,7.0,15.0,35.0,20.0,4.0,10.0,22.0,24.0,60.0,50.0,30.0,46.0,47.0,48.0,49.0,13.0,17.0,18.0,23.0
707,2.0,6.0,3.0,1.0,0.0,8.0,5.0,53.0,7.0,9.0,31.0,25.0,20.0,38.0,14.0,4.0,15.0,11.0,16.0,58.0,17.0,18.0,10.0,12.0,13.0,23.0,21.0,24.0,55.0,29.0
756,23.0,1.0,3.0,2.0,5.0,11.0,12.0,7.0,6.0,4.0,0.0,10.0,8.0,40.0,27.0,20.0,39.0,9.0,16.0,32.0,14.0,38.0,57.0,18.0,41.0,43.0,26.0,51.0,13.0,36.0
805,2.0,23.0,16.0,3.0,1.0,22.0,8.0,59.0,5.0,0.0,51.0,27.0,6.0,25.0,36.0,4.0,21.0,28.0,54.0,37.0,13.0,12.0,50.0,30.0,31.0,15.0,10.0,55.0,48.0,42.0
854,3.0,0.0,4.0,9.0,1.0,12.0,11.0,7.0,6.0,2.0,16.0,13.0,15.0,25.0,32.0,8.0,5.0,21.0,52.0,22.0,40.0,55.0,60.0,14.0,48.0,24.0,43.0,37.0,54.0,23.0
903,5.0,1.0,7.0,13.0,2.0,4.0,3.0,12.0,6.0,0.0,10.0,21.0,30.0,37.0,16.0,25.0,18.0,8.0,22.0,14.0,19.0,43.0,26.0,28.0,11.0,29.0,58.0,15.0,36.0,33.0
952,3.0,4.0,6.0,21.0,2.0,5.0,1.0,36.0,23.0,0.0,25.0,24.0,22.0,39.0,8.0,19.0,9.0,64.0,7.0,14.0,11.0,44.0,52.0,41.0,18.0,31.0,61.0,12.0,10.0,40.0
1001,10.0,3.0,4.0,8.0,29.0,6.0,22.0,0.0,2.0,1.0,7.0,18.0,15.0,12.0,42.0,5.0,63.0,24.0,9.0,55.0,51.0,20.0,53.0,52.0,21.0,19.0,37.0,30.0,36.0,33.0
1050,12.0,11.0,9.0,1.0,2.0,3.0,21.0,0.0,4.0,8.0,6.0,40.0,42.0,24.0,37.0,27.0,53.0,5.0,39.0,23.0,26.0,20.0,17.0,29.0,15.0,63.0,18.0,46.0,22.0,10.0
1099,7.0,9.0,3.0,17.0,5.0,0.0,13.0,1.0,4.0,2.0,16.0,8.0,10.0,52.0,43.0,15.0,31.0,30.0,20.0,11.0,26.0,14.0,49.0,48.0,29.0,38.0,45.0,18.0,25.0,23.0
1148,5.0,1.0,9.0,16.0,8.0,20.0,4.0,0.0,3.0,2.0,32.0,10.0,27.0,28.0,17.0,15.0,24.0,6.0,63.0,23.0,41.0,52.0,45.0,34.0,21.0,39.0,48.0,25.0,12.0,31.0
1197,4.0,13.0,8.0,9.0,6.0,2.0,5.0,3.0,12.0,0.0,24.0,39.0,33.0,17.0,26.0,1.0,40.0,27.0,32.0,50.0,52.0,21.0,41.0,61.0,30.0,35.0,31.0,43.0,42.0,22.0
1246,23.0,11.0,25.0,17.0,8.0,15.0,9.0,1.0,3.0,2.0,32.0,36.0,6.0,28.0,13.0,0.0,37.0,4.0,27.0,14.0,12.0,30.0,41.0,26.0,62.0,52.0,39.0,21.0,22.0,10.0
1295,9.0,8.0,0.0,5.0,10.0,3.0,4.0,1.0,6.0,16.0,32.0,15.0,19.0,21.0,11.0,2.0,43.0,41.0,20.0,22.0,45.0,39.0,18.0,50.0,31.0,65.0,25.0,49.0,24.0,7.0
1344,0.0,2.0,4.0,3.0,14.0,10.0,5.0,1.0,19.0,37.0,52.0,16.0,13.0,11.0,41.0,12.0,28.0,35.0,27.0,18.0,45.0,34.0,8.0,29.0,21.0,42.0,31.0,25.0,32.0,22.0
1393,8.0,9.0,11.0,0.0,6.0,4.0,2.0,1.0,3.0,5.0,23.0,46.0,43.0,31.0,36.0,18.0,25.0,16.0,51.0,12.0,19.0,13.0,15.0,21.0,14.0,37.0,34.0,59.0,38.0,22.0
1442,0.0,8.0,12.0,3.0,7.0,1.0,16.0,2.0,6.0,33.0,26.0,31.0,19.0,21.0,55.0,5.0,22.0,38.0,53.0,23.0,13.0,36.0,4.0,27.0,28.0,54.0,17.0,47.0,50.0,15.0
1491,0.0,39.0,7.0,5.0,6.0,2.0,11.0,8.0,10.0,17.0,1.0,24.0,13.0,4.0,19.0,31.0,50.0,40.0,9.0,46.0,16.0,23.0,21.0,54.0,20.0,18.0,3.0,49.0,12.0,33.0
1540,0.0,21.0,3.0,8.0,9.0,1.0,37.0,16.0,2.0,48.0,7.0,20.0,4.0,5.0,12.0,13.0,11.0,59.0,14.0,55.0,10.0,26.0,58.0,6.0,40.0,25.0,35.0,31.0,18.0,24.0
1589,2.0,16.0,9.0,4.0,7.0,0.0,21.0,6.0,8.0,24.0,5.0,10.0,1.0,20.0,33.0,19.0,40.0,36.0,23.0,63.0,25.0,48.0,3.0,13.0,32.0,18.0,26.0,22.0,11.0,37.0
1638,6.0,11.0,2.0,12.0,4.0,1.0,9.0,20.0,0.0,7.0,5.0,23.0,17.0,32.0,30.0,16.0,10.0,8.0,24.0,26.0,3.0,34.0,51.0,21.0,13.0,25.0,15.0,18.0,27.0,33.0
1687,0.0,38.0,7.0,27.0,10.0,1.0,5.0,16.0,9.0,23.0,11.0,33.0,8.0,4.0,26.0,3.0,12.0,6.0,15.0,60.0,17.0,45.0,2.0,24.0,13.0,22.0,25.0,36.0,46.0,14.0
1736,0.0,20.0,10.0,16.0,8.0,2.0,3.0,14.0,1.0,6.0,12.0,30.0,4.0,17.0,9.0,32.0,15.0,22.0,21.0,39.0,24.0,60.0,5.0,43.0,31.0,36.0,45.0,11.0,26.0,66.0
1785,0.0,32.0,10.0,8.0,7.0,1.0,11.0,3.0,2.0,20.0,4.0,35.0,29.0,19.0,6.0,5.0,17.0,18.0,24.0,56.0,12.0,52.0,9.0,21.0,34.0,40.0,25.0,66.0,16.0,36.0
1834,4.0,27.0,7.0,11.0,13.0,0.0,1.0,6.0,3.0,24.0,5.0,39.0,12.0,9.0,2.0,8.0,18.0,16.0,40.0,15.0,14.0,31.0,29.0,54.0,10.0,25.0,49.0,32.0,28.0,19.0
1883,3.0,37.0,2.0,11.0,9.0,5.0,0.0,8.0,6.0,43.0,7.0,17.0,16.0,1.0,4.0,10.0,39.0,30.0,12.0,54.0,18.0,42.0,20.0,45.0,15.0,36.0,13.0,25.0,26.0,31.0
1932,0.0,12.0,22.0,2.0,3.0,1.0,8.0,19.0,11.0,26.0,25.0,46.0,15.0,5.0,4.0,7.0,43.0,13.0,6.0,35.0,24.0,33.0,10.0,29.0,18.0,63.0,23.0,34.0,54.0,16.0
1981,5.0,6.0,3.0,1.0,13.0,2.0,0.0,11.0,8.0,7.0,21.0,14.0,24.0,12.0,19.0,41.0,59.0,27.0,35.0,28.0,40.0,15.0,18.0,32.0,9.0,16.0,46.0,29.0,52.0,44.0
2030,3.0,2.0,4.0,0.0,7.0,1.0,9.0,32.0,34.0,6.0,17.0,5.0,21.0,8.0,37.0,36.0,27.0,14.0,62.0,24.0,13.0,10.0,31.0,50.0,11.0,16.0,22.0,56.0,28.0,61.0
2079,4.0,16.0,1.0,0.0,7.0,8.0,3.0,5.0,25.0,9.0,45.0,14.0,11.0,6.0,32.0,21.0,2.0,39.0,15.0,19.0,36.0,26.0,49.0,46.0,18.0,52.0,58.0,34.0,33.0,51.0
2128,2.0,16.0,0.0,3.0,9.0,7.0,1.0,8.0,19.0,12.0,4.0,58.0,37.0,13.0,43.0,48.0,10.0,23.0,46.0,35.0,53.0,56.0,44.0,27.0,6.0,62.0,36.0,30.0,60.0,59.0
2177,0.0,2.0,1.0,3.0,13.0,5.0,6.0,8.0,15.0,7.0,4.0,17.0,11.0,12.0,18.0,44.0,25.0,24.0,31.0,39.0,38.0,28.0,29.0,40.0,20.0,48.0,35.0,19.0,32.0,30.0
2226,0.0,9.0,2.0,5.0,6.0,1.0,4.0,16.0,19.0,13.0,10.0,11.0,27.0,8.0,12.0,21.0,20.0,31.0,18.0,45.0,17.0,33.0,40.0,7.0,28.0,58.0,39.0,30.0,24.0,26.0
2275,0.0,11.0,3.0,4.0,26.0,2.0,10.0,21.0,5.0,20.0,14.0,8.0,1.0,7.0,17.0,56.0,50.0,42.0,23.0,29.0,48.0,18.0,36.0,45.0,13.0,44.0,12.0,33.0,15.0,40.0
2324,3.0,0.0,14.0,1.0,19.0,2.0,4.0,25.0,41.0,20.0,23.0,6.0,17.0,16.0,5.0,39.0,8.0,35.0,12.0,18.0,52.0,38.0,7.0,10.0,15.0,28.0,30.0,46.0,58.0,21.0
2373,1.0,4.0,3.0,0.0,5.0,2.0,7.0,6.0,19.0,16.0,8.0,31.0,18.0,14.0,11.0,10.0,21.0,9.0,15.0,46.0,43.0,12.0,37.0,23.0,34.0,47.0,62.0,49.0,52.0,51.0
2422,3.0,5.0,2.0,4.0,8.0,1.0,10.0,0.0,16.0,11.0,7.0,20.0,37.0,12.0,25.0,6.0,26.0,17.0,30.0,49.0,35.0,40.0,9.0,53.0,13.0,61.0,64.0,38.0,59.0,24.0
2471,1.0,6.0,7.0,3.0,2.0,17.0,26.0,13.0,0.0,8.0,46.0,19.0,4.0,50.0,11.0,16.0,14.0,52.0,34.0,37.0,41.0,62.0,33.0,55.0,31.0,10.0,30.0,22.0,47.0,21.0
2520,1.0,0.0,3.0,27.0,4.0,5.0,15.0,12.0,20.0,2.0,19.0,8.0,43.0,28.0,6.0,58.0,10.0,57.0,38.0,39.0,31.0,45.0,13.0,52.0,23.0,11.0,7.0,48.0,42.0,56.0
2569,0.0,14.0,7.0,5.0,4.0,10.0,3.0,6.0,12.0,1.0,21.0,16.0,17.0,13.0,2.0,60.0,8.0,47.0,46.0,33.0,22.0,38.0,45.0,27.0,24.0,28.0,19.0,41.0,18.0,51.0
2618,5.0,7.0,0.0,3.0,15.0,2.0,10.0,11.0,4.0,1.0,6.0,12.0,13.0,20.0,31.0,51.0,16.0,21.0,14.0,30.0,23.0,48.0,59.0,43.0,56.0,29.0,32.0,50.0,41.0,33.0
2667,2.0,9.0,0.0,7.0,11.0,1.0,8.0,14.0,10.0,5.0,31.0,19.0,6.0,51.0,4.0,52.0,3.0,36.0,55.0,16.0,50.0,29.0,37.0,18.0,24.0,59.0,27.0,25.0,53.0,15.0
2716,1.0,0.0,5.0,3.0,6.0,2.0,10.0,14.0,42.0,4.0,9.0,48.0,27.0,24.0,7.0,53.0,15.0,22.0,29.0,30.0,45.0,8.0,40.0,26.0,41.0,16.0,18.0,62.0,11.0,56.0
2765,13.0,4.0,1.0,5.0,30.0,6.0,3.0,2.0,33.0,11.0,7.0,14.0,46.0,10.0,0.0,37.0,20.0,17.0,49.0,25.0,52.0,12.0,24.0,8.0,65.0,35.0,23.0,31.0,55.0,44.0
2814,5.0,7.0,9.0,6.0,1.0,0.0,2.0,3.0,12.0,4.0,22.0,51.0,24.0,23.0,8.0,50.0,19.0,31.0,34.0,20.0,42.0,11.0,18.0,13.0,40.0,15.0,37.0,48.0,28.0,32.0
2863,1.0,4.0,10.0,6.0,14.0,23.0,15.0,7.0,11.0,0.0,8.0,55.0,37.0,64.0,3.0,41.0,5.0,21.0,48.0,13.0,49.0,12.0,65.0,24.0,31.0,18.0,47.0,17.0,19.0,34.0
2912,0.0,11.0,1.0,7.0,9.0,18.0,2.0,4.0,23.0,3.0,14.0,8.0,33.0,10.0,5.0,41.0,16.0,13.0,15.0,39.0,53.0,21.0,22.0,40.0,66.0,6.0,43.0,20.0,31.0,32.0
2961,0.0,5.0,2.0,1.0,12.0,25.0,13.0,15.0,24.0,3.0,28.0,7.0,18.0,6.0,4.0,20.0,37.0,42.0,33.0,11.0,46.0,8.0,19.0,22.0,53.0,10.0,51.0,41.0,21.0,54.0
3010,5.0,13.0,1.0,8.0,34.0,19.0,3.0,48.0,2.0,4.0,21.0,11.0,18.0,0.0,25.0,6.0,40.0,17.0,9.0,14.0,29.0,7.0,44.0,56.0,41.0,26.0,24.0,33.0,42.0,30.0
3059,5.0,4.0,2.0,9.0,6.0,34.0,10.0,49.0,19.0,1.0,13.0,11.0,16.0,3.0,43.0,15.0,7.0,30.0,54.0,12.0,61.0,0.0,35.0,25.0,55.0,27.0,18.0,8.0,28.0,31.0
3108,0.0,3.0,1.0,5.0,12.0,41.0,13.0,8.0,23.0,19.0,6.0,2.0,10.0,4.0,35.0,7.0,32.0,44.0,29.0,25.0,17.0,9.0,30.0,38.0,52.0,16.0,20.0,27.0,53.0,59.0
3157,6.0,4.0,3.0,1.0,31.0,21.0,5.0,23.0,9.0,15.0,11.0,0.0,38.0,2.0,25.0,36.0,13.0,64.0,7.0,29.0,63.0,20.0,26.0,24.0,27.0,33.0,22.0,12.0,8.0,16.0
3206,13.0,3.0,0.0,11.0,4.0,24.0,7.0,20.0,5.0,9.0,8.0,1.0,25.0,52.0,22.0,16.0,40.0,55.0,21.0,14.0,23.0,30.0,6.0,2.0,42.0,12.0,10.0,45.0,41.0,26.0
3255,3.0,2.0,0.0,13.0,8.0,46.0,4.0,10.0,7.0,6.0,1.0,5.0,17.0,20.0,18.0,14.0,16.0,25.0,34.0,33.0,26.0,49.0,29.0,22.0,61.0,15.0,12.0,23.0,21.0,43.0
3304,14.0,0.0,1.0,6.0,17.0,40.0,9.0,4.0,3.0,7.0,5.0,2.0,16.0,8.0,43.0,10.0,26.0,31.0,52.0,13.0,35.0,18.0,15.0,19.0,34.0,20.0,11.0,42.0,30.0,62.0
3353,14.0,1.0,0.0,3.0,16.0,25.0,11.0,26.0,47.0,21.0,2.0,5.0,17.0,4.0,34.0,9.0,10.0,24.0,53.0,29.0,33.0,43.0,61.0,12.0,54.0,42.0,7.0,57.0,6.0,18.0
3402,4.0,1.0,3.0,10.0,12.0,24.0,5.0,13.0,8.0,2.0,11.0,0.0,23.0,18.0,27.0,9.0,44.0,21.0,19.0,14.0,7.0,35.0,30.0,6.0,26.0,20.0,16.0,28.0,22.0,29.0
3451,7.0,3.0,0.0,1.0,11.0,14.0,5.0,4.0,12.0,21.0,2.0,8.0,26.0,18.0,9.0,40.0,6.0,10.0,15.0,53.0,24.0,22.0,46.0,13.0,19.0,30.0,29.0,59.0,44.0,56.0
3500,0.0,2.0,4.0,1.0,10.0,9.0,3.0,7.0,8.0,50.0,15.0,5.0,22.0,23.0,29.0,12.0,24.0,11.0,18.0,52.0,53.0,19.0,25.0,13.0,28.0,56.0,6.0,35.0,59.0,47.0
3549,0.0,3.0,1.0,2.0,5.0,6.0,4.0,23.0,7.0,10.0,25.0,21.0,8.0,48.0,9.0,56.0,14.0,17.0,41.0,47.0,38.0,39.0,37.0,42.0,18.0,33.0,28.0,35.0,66.0,15.0
3598,8.0,0.0,1.0,5.0,6.0,7.0,38.0,9.0,4.0,26.0,3.0,17.0,13.0,18.0,51.0,24.0,25.0,39.0,2.0,20.0,49.0,11.0,31.0,22.0,29.0,36.0,45.0,33.0,62.0,16.0
