,ebv-miR-BART8,hsa-miR-22,hsa-miR-1978,hsa-miR-1299,hsa-miR-548d-3p,ebv-miR-BART19-5p,hsa-miR-1183,hsv2-miR-H4-5p,ebv-miR-BART18-3p,ebv-miR-BART12,hsa-miR-663,hsa-miR-216a,hsa-miR-890,hsa-miR-200a,hsa-miR-661,hsa-miR-632,hsa-miR-520c-3p,hsa-miR-512-3p,hsa-miR-1294,hsa-miR-21,hsa-miR-140-5p,hsa-miR-384,hsa-miR-96,hsa-miR-210,hsa-miR-591,hsa-miR-934,hsa-miR-625,hsa-miR-133b,hsa-miR-323-5p,hsa-miR-671-5p
14,61.0,4.0,17.0,2.0,11.0,1.0,20.0,5.0,3.0,14.0,87.0,30.0,54.0,231.0,31.0,6.0,73.0,46.0,12.0,42.0,52.0,237.0,439.0,27.0,59.0,78.0,21.0,349.0,24.0,134.0
63,0.0,1.0,27.0,44.0,6.0,9.0,46.0,12.0,23.0,5.0,73.0,13.0,3.0,232.0,43.0,45.0,65.0,53.0,11.0,130.0,223.0,74.0,584.0,2.0,47.0,71.0,533.0,99.0,56.0,62.0
112,18.0,53.0,13.0,7.0,21.0,31.0,12.0,498.0,2.0,17.0,545.0,9.0,146.0,197.0,47.0,108.0,16.0,28.0,94.0,84.0,64.0,66.0,519.0,42.0,305.0,63.0,3.0,4.0,65.0,179.0
161,0.0,32.0,20.0,1.0,130.0,15.0,283.0,5.0,231.0,116.0,273.0,146.0,259.0,3.0,84.0,17.0,33.0,7.0,2.0,136.0,9.0,23.0,209.0,22.0,107.0,110.0,12.0,219.0,11.0,274.0
210,3.0,60.0,24.0,34.0,68.0,0.0,104.0,30.0,33.0,201.0,7.0,11.0,9.0,5.0,210.0,20.0,12.0,159.0,2.0,183.0,17.0,407.0,235.0,8.0,496.0,87.0,130.0,95.0,48.0,274.0
259,1.0,8.0,16.0,0.0,15.0,7.0,4.0,127.0,150.0,5.0,6.0,10.0,32.0,20.0,378.0,78.0,3.0,9.0,75.0,61.0,174.0,122.0,44.0,34.0,103.0,33.0,253.0,461.0,2.0,401.0
308,1.0,20.0,75.0,0.0,63.0,85.0,33.0,4.0,17.0,51.0,124.0,68.0,18.0,23.0,57.0,2.0,48.0,153.0,11.0,252.0,5.0,278.0,58.0,66.0,256.0,45.0,163.0,389.0,521.0,139.0
357,0.0,18.0,59.0,15.0,20.0,4.0,8.0,106.0,1.0,7.0,411.0,88.0,10.0,12.0,63.0,104.0,271.0,13.0,6.0,91.0,19.0,192.0,226.0,198.0,491.0,14.0,415.0,248.0,310.0,50.0
406,20.0,74.0,119.0,2.0,48.0,85.0,130.0,22.0,1.0,8.0,553.0,39.0,0.0,134.0,193.0,236.0,65.0,79.0,67.0,106.0,19.0,170.0,40.0,282.0,588.0,220.0,12.0,70.0,93.0,9.0
455,0.0,61.0,13.0,6.0,4.0,25.0,64.0,30.0,3.0,1.0,50.0,18.0,2.0,218.0,5.0,28.0,7.0,155.0,59.0,206.0,52.0,92.0,24.0,85.0,269.0,80.0,34.0,91.0,82.0,65.0
504,31.0,20.0,0.0,3.0,1.0,4.0,13.0,10.0,55.0,17.0,287.0,32.0,38.0,24.0,9.0,265.0,35.0,27.0,18.0,11.0,126.0,64.0,34.0,48.0,6.0,7.0,43.0,106.0,245.0,607.0
553,0.0,1.0,3.0,4.0,13.0,49.0,38.0,21.0,8.0,321.0,12.0,17.0,33.0,209.0,7.0,65.0,10.0,26.0,89.0,2.0,434.0,5.0,226.0,25.0,9.0,354.0,385.0,126.0,14.0,608.0
602,0.0,1.0,53.0,34.0,35.0,7.0,14.0,17.0,72.0,11.0,64.0,22.0,26.0,369.0,75.0,49.0,23.0,8.0,61.0,105.0,102.0,3.0,457.0,247.0,4.0,6.0,203.0,2.0,32.0,108.0
651,0.0,4.0,2.0,1.0,32.0,8.0,27.0,254.0,34.0,153.0,69.0,40.0,205.0,128.0,21.0,17.0,79.0,56.0,5.0,12.0,71.0,3.0,536.0,479.0,9.0,23.0,170.0,87.0,353.0,163.0
700,0.0,18.0,2.0,3.0,13.0,1.0,26.0,78.0,12.0,94.0,211.0,10.0,101.0,49.0,16.0,378.0,5.0,15.0,462.0,36.0,37.0,582.0,116.0,80.0,52.0,67.0,384.0,6.0,9.0,168.0
749,0.0,4.0,5.0,2.0,182.0,1.0,107.0,22.0,28.0,231.0,269.0,46.0,94.0,265.0,8.0,87.0,10.0,14.0,540.0,12.0,40.0,31.0,3.0,146.0,51.0,277.0,11.0,18.0,9.0,215.0
798,0.0,13.0,27.0,1.0,14.0,8.0,11.0,38.0,2.0,607.0,7.0,5.0,6.0,317.0,18.0,94.0,9.0,199.0,626.0,3.0,91.0,265.0,66.0,12.0,107.0,46.0,575.0,4.0,390.0,87.0
