, TNFa, Wnt, JAK-STAT, MAPK_only, H2O2, VEGF, IL-1, MAPK_PI3K, TLR, TGFB, PI3K_only
39,1.0,0.0,7.0,2.0,4.0,8.0,3.0,9.0,5.0,6.0,10.0
88,1.0,0.0,3.0,2.0,4.0,5.0,8.0,9.0,7.0,6.0,10.0
137,2.0,0.0,3.0,4.0,1.0,6.0,7.0,8.0,5.0,9.0,10.0
186,1.0,0.0,5.0,2.0,8.0,4.0,3.0,9.0,7.0,6.0,10.0
235,0.0,3.0,2.0,1.0,4.0,5.0,9.0,10.0,6.0,7.0,8.0
284,1.0,0.0,5.0,3.0,4.0,2.0,6.0,8.0,10.0,9.0,7.0
333,2.0,0.0,9.0,1.0,6.0,5.0,3.0,4.0,8.0,7.0,10.0
382,4.0,0.0,8.0,3.0,6.0,2.0,1.0,5.0,10.0,7.0,9.0
431,1.0,0.0,6.0,2.0,3.0,7.0,4.0,8.0,9.0,5.0,10.0
480,3.0,0.0,2.0,1.0,9.0,8.0,4.0,7.0,6.0,5.0,10.0
529,1.0,0.0,3.0,9.0,4.0,5.0,8.0,6.0,2.0,10.0,7.0
578,0.0,4.0,1.0,8.0,9.0,6.0,5.0,2.0,3.0,7.0,10.0
627,0.0,7.0,1.0,5.0,10.0,8.0,2.0,3.0,6.0,4.0,9.0
676,0.0,2.0,3.0,7.0,9.0,10.0,1.0,5.0,4.0,6.0,8.0
725,0.0,2.0,1.0,7.0,10.0,9.0,5.0,4.0,3.0,6.0,8.0
774,0.0,1.0,3.0,10.0,6.0,5.0,4.0,8.0,2.0,7.0,9.0
823,0.0,3.0,2.0,5.0,6.0,7.0,8.0,4.0,1.0,10.0,9.0
872,0.0,1.0,2.0,7.0,6.0,10.0,3.0,5.0,4.0,9.0,8.0
921,0.0,4.0,7.0,8.0,9.0,3.0,2.0,1.0,5.0,6.0,10.0
970,0.0,4.0,2.0,7.0,5.0,8.0,6.0,3.0,1.0,10.0,9.0
1019,0.0,4.0,1.0,9.0,2.0,7.0,5.0,8.0,3.0,6.0,10.0
1068,1.0,0.0,3.0,2.0,5.0,9.0,6.0,7.0,4.0,8.0,10.0
1117,6.0,1.0,5.0,8.0,4.0,0.0,3.0,10.0,2.0,7.0,9.0
1166,8.0,4.0,1.0,2.0,5.0,0.0,3.0,10.0,7.0,6.0,9.0
1215,7.0,0.0,1.0,3.0,4.0,5.0,6.0,10.0,2.0,9.0,8.0
1264,0.0,3.0,1.0,8.0,5.0,2.0,4.0,10.0,6.0,7.0,9.0
1313,4.0,0.0,1.0,2.0,5.0,6.0,9.0,8.0,3.0,7.0,10.0
1362,2.0,3.0,4.0,9.0,0.0,5.0,8.0,7.0,1.0,6.0,10.0
1411,4.0,0.0,1.0,8.0,10.0,2.0,9.0,6.0,3.0,7.0,5.0
1460,0.0,2.0,6.0,5.0,7.0,4.0,3.0,8.0,1.0,9.0,10.0
1509,1.0,0.0,2.0,6.0,7.0,3.0,8.0,4.0,9.0,5.0,10.0
1558,2.0,1.0,0.0,7.0,6.0,5.0,8.0,3.0,9.0,4.0,10.0
1607,0.0,2.0,4.0,1.0,5.0,6.0,9.0,7.0,10.0,3.0,8.0
1656,1.0,4.0,0.0,2.0,3.0,5.0,9.0,8.0,7.0,6.0,10.0
1705,2.0,0.0,3.0,7.0,5.0,4.0,9.0,6.0,1.0,8.0,10.0
1754,0.0,1.0,3.0,5.0,2.0,7.0,9.0,8.0,6.0,4.0,10.0
1803,0.0,1.0,7.0,4.0,9.0,6.0,3.0,5.0,8.0,2.0,10.0
1852,2.0,3.0,1.0,9.0,4.0,5.0,6.0,0.0,8.0,7.0,10.0
1901,3.0,0.0,4.0,6.0,8.0,5.0,2.0,7.0,10.0,1.0,9.0
1950,0.0,2.0,1.0,3.0,8.0,6.0,4.0,9.0,5.0,10.0,7.0
1999,1.0,0.0,2.0,7.0,8.0,3.0,5.0,6.0,4.0,9.0,10.0
2048,0.0,8.0,2.0,3.0,7.0,4.0,1.0,9.0,6.0,5.0,10.0
2097,6.0,0.0,5.0,10.0,8.0,2.0,7.0,1.0,4.0,3.0,9.0
2146,0.0,3.0,4.0,6.0,9.0,2.0,7.0,1.0,8.0,5.0,10.0
2195,3.0,0.0,5.0,9.0,1.0,4.0,6.0,2.0,10.0,7.0,8.0
2244,1.0,0.0,2.0,7.0,5.0,8.0,4.0,3.0,9.0,6.0,10.0
2293,0.0,1.0,4.0,9.0,2.0,6.0,3.0,5.0,7.0,10.0,8.0
2342,1.0,6.0,2.0,4.0,9.0,3.0,5.0,0.0,8.0,7.0,10.0
2391,3.0,0.0,2.0,7.0,5.0,6.0,4.0,1.0,10.0,9.0,8.0
2440,0.0,2.0,1.0,5.0,3.0,6.0,7.0,8.0,9.0,4.0,10.0
2489,1.0,0.0,7.0,5.0,3.0,6.0,9.0,8.0,4.0,2.0,10.0
2538,0.0,5.0,6.0,3.0,2.0,7.0,9.0,8.0,4.0,1.0,10.0
2587,1.0,4.0,9.0,5.0,0.0,8.0,3.0,7.0,2.0,6.0,10.0
2636,0.0,4.0,7.0,3.0,1.0,8.0,6.0,10.0,5.0,2.0,9.0
2685,1.0,5.0,8.0,3.0,0.0,6.0,4.0,10.0,7.0,2.0,9.0
2734,0.0,1.0,2.0,9.0,3.0,8.0,5.0,6.0,7.0,4.0,10.0
2783,0.0,5.0,2.0,7.0,6.0,4.0,10.0,3.0,8.0,1.0,9.0
2832,0.0,1.0,6.0,5.0,2.0,4.0,9.0,7.0,8.0,3.0,10.0
2881,1.0,0.0,8.0,7.0,2.0,6.0,9.0,5.0,4.0,3.0,10.0
2930,0.0,1.0,7.0,5.0,6.0,3.0,10.0,8.0,4.0,2.0,9.0
2979,5.0,1.0,0.0,3.0,6.0,7.0,2.0,4.0,8.0,9.0,10.0
3028,1.0,0.0,3.0,7.0,4.0,2.0,5.0,8.0,6.0,9.0,10.0
3077,0.0,1.0,5.0,3.0,6.0,4.0,8.0,7.0,2.0,10.0,9.0
3126,5.0,0.0,1.0,4.0,2.0,3.0,6.0,8.0,9.0,7.0,10.0
3175,2.0,0.0,6.0,8.0,1.0,7.0,3.0,9.0,4.0,5.0,10.0
3224,3.0,0.0,2.0,5.0,4.0,1.0,6.0,8.0,7.0,9.0,10.0
3273,4.0,0.0,1.0,6.0,2.0,3.0,7.0,9.0,8.0,5.0,10.0
3322,4.0,0.0,1.0,6.0,8.0,3.0,2.0,7.0,9.0,5.0,10.0
3371,5.0,1.0,7.0,8.0,4.0,6.0,0.0,2.0,3.0,9.0,10.0
3420,1.0,0.0,5.0,4.0,7.0,8.0,2.0,3.0,6.0,9.0,10.0
3469,1.0,0.0,3.0,5.0,2.0,6.0,7.0,4.0,8.0,9.0,10.0
3518,0.0,4.0,9.0,1.0,2.0,6.0,5.0,3.0,7.0,10.0,8.0
3567,0.0,7.0,2.0,3.0,6.0,1.0,5.0,4.0,8.0,9.0,10.0
3616,0.0,3.0,4.0,1.0,7.0,8.0,6.0,9.0,5.0,2.0,10.0
3665,0.0,4.0,1.0,7.0,5.0,6.0,3.0,2.0,8.0,9.0,10.0
3714,2.0,7.0,4.0,1.0,5.0,0.0,9.0,6.0,3.0,8.0,10.0
3763,0.0,7.0,10.0,4.0,1.0,3.0,8.0,2.0,6.0,9.0,5.0
3812,1.0,8.0,10.0,3.0,2.0,0.0,7.0,4.0,5.0,9.0,6.0
3861,0.0,4.0,5.0,1.0,8.0,2.0,9.0,3.0,6.0,7.0,10.0
3910,0.0,5.0,10.0,7.0,3.0,1.0,2.0,4.0,6.0,9.0,8.0
3959,1.0,0.0,2.0,3.0,4.0,5.0,7.0,9.0,6.0,8.0,10.0
4008,5.0,2.0,0.0,1.0,3.0,6.0,9.0,4.0,10.0,7.0,8.0
4057,0.0,1.0,3.0,4.0,5.0,2.0,10.0,9.0,7.0,8.0,6.0
4106,7.0,0.0,1.0,2.0,8.0,3.0,4.0,5.0,6.0,9.0,10.0
4155,1.0,0.0,4.0,3.0,9.0,8.0,6.0,5.0,7.0,2.0,10.0
4204,1.0,0.0,2.0,3.0,6.0,7.0,10.0,8.0,5.0,4.0,9.0
4253,5.0,1.0,0.0,3.0,4.0,2.0,10.0,6.0,9.0,8.0,7.0
4302,0.0,1.0,7.0,5.0,3.0,2.0,9.0,4.0,10.0,8.0,6.0
4351,0.0,1.0,2.0,3.0,5.0,8.0,6.0,4.0,7.0,10.0,9.0
