, Wnt, JAK-STAT, VEGF, H2O2, IL-1, MAPK_only, TNFa, MAPK_PI3K, TGFB, PI3K_only, TLR
40,0.0,6.0,2.0,3.0,4.0,7.0,8.0,5.0,1.0,9.0,10.0
89,0.0,5.0,1.0,8.0,7.0,3.0,4.0,6.0,10.0,2.0,9.0
138,0.0,1.0,2.0,6.0,3.0,7.0,5.0,10.0,9.0,8.0,4.0
187,0.0,3.0,7.0,1.0,4.0,6.0,2.0,5.0,8.0,10.0,9.0
236,2.0,8.0,1.0,9.0,0.0,4.0,3.0,5.0,7.0,10.0,6.0
285,0.0,5.0,1.0,10.0,6.0,3.0,8.0,4.0,2.0,7.0,9.0
334,1.0,2.0,0.0,8.0,4.0,6.0,7.0,5.0,9.0,3.0,10.0
383,0.0,2.0,9.0,6.0,5.0,1.0,7.0,4.0,3.0,8.0,10.0
432,0.0,9.0,1.0,3.0,8.0,2.0,7.0,4.0,10.0,5.0,6.0
481,0.0,8.0,3.0,5.0,1.0,6.0,4.0,10.0,2.0,7.0,9.0
530,3.0,5.0,4.0,1.0,6.0,7.0,8.0,10.0,0.0,2.0,9.0
579,1.0,0.0,7.0,3.0,8.0,10.0,2.0,4.0,9.0,5.0,6.0
628,3.0,4.0,9.0,5.0,6.0,2.0,8.0,10.0,7.0,0.0,1.0
677,2.0,4.0,9.0,5.0,0.0,10.0,6.0,7.0,1.0,3.0,8.0
726,9.0,7.0,4.0,10.0,0.0,8.0,1.0,6.0,3.0,2.0,5.0
775,2.0,5.0,4.0,0.0,1.0,8.0,3.0,10.0,6.0,9.0,7.0
824,6.0,5.0,9.0,8.0,3.0,2.0,0.0,7.0,10.0,4.0,1.0
873,0.0,2.0,10.0,3.0,6.0,9.0,1.0,4.0,7.0,5.0,8.0
922,0.0,4.0,7.0,10.0,2.0,8.0,6.0,3.0,9.0,5.0,1.0
971,5.0,0.0,7.0,8.0,2.0,6.0,1.0,3.0,4.0,9.0,10.0
1020,1.0,0.0,2.0,5.0,10.0,6.0,3.0,8.0,7.0,9.0,4.0
1069,0.0,2.0,6.0,5.0,3.0,10.0,4.0,7.0,1.0,8.0,9.0
1118,2.0,1.0,0.0,10.0,5.0,9.0,7.0,6.0,3.0,4.0,8.0
1167,0.0,1.0,2.0,5.0,8.0,6.0,7.0,10.0,3.0,9.0,4.0
1216,0.0,4.0,7.0,3.0,6.0,1.0,10.0,9.0,8.0,5.0,2.0
1265,2.0,4.0,6.0,5.0,8.0,1.0,7.0,10.0,9.0,0.0,3.0
1314,2.0,1.0,6.0,7.0,5.0,0.0,10.0,9.0,8.0,3.0,4.0
1363,0.0,3.0,6.0,5.0,1.0,9.0,2.0,10.0,4.0,8.0,7.0
1412,1.0,5.0,3.0,10.0,4.0,0.0,9.0,6.0,7.0,8.0,2.0
1461,1.0,2.0,5.0,10.0,3.0,7.0,0.0,4.0,8.0,9.0,6.0
1510,4.0,0.0,1.0,9.0,5.0,3.0,2.0,6.0,8.0,7.0,10.0
1559,1.0,0.0,2.0,3.0,4.0,8.0,10.0,6.0,5.0,9.0,7.0
1608,1.0,2.0,5.0,0.0,3.0,7.0,6.0,8.0,4.0,9.0,10.0
1657,2.0,3.0,1.0,4.0,0.0,7.0,5.0,8.0,6.0,9.0,10.0
1706,0.0,1.0,10.0,8.0,2.0,5.0,3.0,6.0,9.0,7.0,4.0
1755,6.0,2.0,9.0,10.0,1.0,4.0,0.0,8.0,5.0,3.0,7.0
1804,2.0,0.0,5.0,7.0,3.0,1.0,4.0,6.0,8.0,9.0,10.0
1853,3.0,9.0,10.0,8.0,2.0,1.0,7.0,6.0,0.0,5.0,4.0
1902,0.0,1.0,7.0,5.0,4.0,6.0,8.0,9.0,2.0,3.0,10.0
1951,2.0,1.0,4.0,0.0,10.0,3.0,5.0,8.0,9.0,6.0,7.0
2000,1.0,2.0,3.0,10.0,4.0,8.0,6.0,9.0,0.0,5.0,7.0
2049,7.0,0.0,10.0,1.0,4.0,3.0,2.0,8.0,5.0,9.0,6.0
2098,1.0,6.0,2.0,8.0,7.0,5.0,3.0,4.0,0.0,9.0,10.0
2147,0.0,8.0,6.0,3.0,9.0,7.0,5.0,2.0,1.0,4.0,10.0
2196,0.0,4.0,3.0,1.0,9.0,8.0,10.0,5.0,2.0,6.0,7.0
2245,0.0,5.0,4.0,2.0,8.0,1.0,10.0,6.0,3.0,7.0,9.0
2294,5.0,0.0,2.0,6.0,1.0,4.0,9.0,3.0,7.0,10.0,8.0
2343,1.0,0.0,6.0,4.0,5.0,8.0,7.0,3.0,2.0,10.0,9.0
2392,0.0,6.0,1.0,4.0,8.0,5.0,9.0,3.0,2.0,7.0,10.0
2441,0.0,5.0,7.0,9.0,4.0,8.0,3.0,2.0,1.0,6.0,10.0
2490,2.0,5.0,6.0,0.0,7.0,3.0,1.0,10.0,4.0,8.0,9.0
2539,4.0,1.0,7.0,2.0,3.0,9.0,8.0,5.0,0.0,6.0,10.0
2588,1.0,4.0,2.0,0.0,10.0,8.0,5.0,6.0,3.0,9.0,7.0
2637,4.0,0.0,9.0,1.0,5.0,2.0,3.0,7.0,6.0,8.0,10.0
2686,8.0,9.0,6.0,0.0,10.0,4.0,3.0,1.0,2.0,5.0,7.0
2735,5.0,1.0,10.0,3.0,7.0,2.0,6.0,0.0,8.0,9.0,4.0
2784,3.0,6.0,0.0,4.0,8.0,2.0,10.0,9.0,1.0,5.0,7.0
2833,0.0,9.0,7.0,5.0,6.0,8.0,3.0,2.0,4.0,1.0,10.0
2882,1.0,2.0,0.0,6.0,10.0,9.0,5.0,4.0,3.0,7.0,8.0
2931,3.0,10.0,6.0,4.0,2.0,0.0,5.0,9.0,1.0,8.0,7.0
2980,2.0,0.0,4.0,3.0,8.0,1.0,10.0,5.0,7.0,6.0,9.0
3029,1.0,2.0,0.0,5.0,6.0,3.0,7.0,4.0,8.0,10.0,9.0
3078,1.0,0.0,2.0,5.0,3.0,4.0,6.0,9.0,7.0,10.0,8.0
3127,2.0,0.0,1.0,8.0,9.0,3.0,10.0,4.0,6.0,7.0,5.0
3176,1.0,9.0,3.0,0.0,2.0,8.0,4.0,6.0,7.0,10.0,5.0
3225,1.0,0.0,2.0,4.0,7.0,3.0,5.0,8.0,9.0,10.0,6.0
3274,1.0,3.0,0.0,7.0,2.0,5.0,6.0,4.0,8.0,9.0,10.0
3323,0.0,1.0,3.0,2.0,4.0,5.0,10.0,9.0,6.0,7.0,8.0
3372,1.0,2.0,9.0,7.0,0.0,4.0,3.0,6.0,8.0,10.0,5.0
3421,0.0,1.0,8.0,2.0,5.0,6.0,3.0,9.0,10.0,7.0,4.0
3470,0.0,2.0,4.0,3.0,8.0,10.0,1.0,6.0,5.0,9.0,7.0
3519,10.0,6.0,2.0,8.0,4.0,1.0,0.0,5.0,9.0,3.0,7.0
3568,1.0,0.0,5.0,9.0,2.0,8.0,7.0,4.0,6.0,3.0,10.0
3617,0.0,7.0,6.0,4.0,9.0,2.0,3.0,5.0,1.0,8.0,10.0
3666,0.0,2.0,7.0,5.0,9.0,3.0,1.0,6.0,8.0,10.0,4.0
3715,4.0,9.0,2.0,0.0,5.0,6.0,3.0,1.0,7.0,10.0,8.0
3764,6.0,7.0,4.0,0.0,2.0,3.0,1.0,5.0,9.0,8.0,10.0
3813,4.0,8.0,1.0,10.0,6.0,2.0,0.0,5.0,9.0,3.0,7.0
3862,0.0,3.0,6.0,10.0,8.0,2.0,9.0,4.0,1.0,5.0,7.0
3911,10.0,2.0,3.0,8.0,0.0,7.0,1.0,4.0,9.0,6.0,5.0
3960,1.0,0.0,4.0,6.0,2.0,8.0,3.0,10.0,5.0,7.0,9.0
4009,6.0,0.0,4.0,2.0,3.0,1.0,7.0,9.0,5.0,10.0,8.0
4058,0.0,3.0,1.0,4.0,5.0,2.0,6.0,10.0,9.0,7.0,8.0
4107,1.0,3.0,0.0,7.0,8.0,2.0,6.0,9.0,4.0,5.0,10.0
4156,0.0,4.0,10.0,6.0,5.0,1.0,3.0,7.0,2.0,9.0,8.0
4205,0.0,5.0,3.0,8.0,7.0,1.0,9.0,10.0,4.0,2.0,6.0
4254,6.0,0.0,1.0,8.0,4.0,3.0,7.0,9.0,2.0,5.0,10.0
4303,4.0,6.0,0.0,1.0,8.0,2.0,9.0,10.0,5.0,3.0,7.0
4352,7.0,9.0,4.0,10.0,3.0,5.0,0.0,6.0,1.0,8.0,2.0
4401,1.0,4.0,3.0,7.0,9.0,0.0,2.0,5.0,10.0,6.0,8.0
4450,1.0,2.0,3.0,6.0,9.0,0.0,5.0,4.0,8.0,7.0,10.0
4499,0.0,1.0,5.0,7.0,6.0,8.0,9.0,2.0,4.0,3.0,10.0
4548,0.0,8.0,4.0,1.0,10.0,3.0,9.0,6.0,2.0,7.0,5.0
4597,2.0,6.0,8.0,0.0,1.0,5.0,3.0,7.0,4.0,9.0,10.0
4646,9.0,2.0,6.0,1.0,10.0,0.0,3.0,4.0,5.0,7.0,8.0
4695,0.0,2.0,4.0,1.0,5.0,9.0,3.0,6.0,8.0,10.0,7.0
4744,2.0,1.0,8.0,4.0,5.0,3.0,9.0,6.0,7.0,10.0,0.0
4793,1.0,3.0,5.0,9.0,2.0,6.0,8.0,0.0,10.0,7.0,4.0
4842,0.0,1.0,4.0,10.0,8.0,7.0,5.0,2.0,6.0,3.0,9.0
4891,1.0,0.0,7.0,2.0,6.0,5.0,4.0,8.0,9.0,3.0,10.0
