,EEF1A1,AP000974.1,CELF2-AS1,NTN4,PREB,RP11-517B11.7,PTS,RP11-161I2.1,TSC22D2,GALNT5,THRB,GABRE,CLPX,AC006159.5,ACSS1,APLN,PCDHB15,LINC00511,THAP10,FAT4,RAET1G,TCEAL3,NR2F1-AS1,RP11-235E17.6,PLEKHA8P1,NCL,B3GNT5,SERP2,CLYBL,LA16c-380H5.5
11,1.0,10.0,45.0,13.0,95.0,14820.0,2.0,20.0,56.0,178.0,75.0,293.0,159.0,57.0,25.0,5.0,19.0,4.0,245.0,102.0,23384.0,248.0,93.0,80.0,38.0,13554.0,14722.0,210.0,162.0,4282.0
60,9.0,2.0,1.0,57.0,8.0,26.0,153.0,28.0,33.0,162.0,45.0,217.0,3.0,85.0,66.0,90.0,5.0,19.0,18.0,92.0,23325.0,69.0,68.0,30.0,7093.0,832.0,14667.0,147.0,3719.0,10689.0
109,6.0,4.0,14.0,5.0,12.0,390.0,118.0,1.0,34.0,0.0,47.0,125.0,59.0,73.0,51.0,3.0,204.0,12122.0,117.0,617.0,55.0,192.0,65.0,19.0,213.0,13580.0,14677.0,163.0,56.0,4033.0
158,17.0,0.0,16.0,29.0,4.0,27.0,120.0,7.0,8.0,24.0,12.0,5266.0,4299.0,2.0,11.0,111.0,416.0,86.0,38.0,2339.0,23395.0,591.0,146.0,22.0,1513.0,13544.0,181.0,3.0,3633.0,158.0
207,1.0,8.0,9.0,21.0,2.0,416.0,120.0,51.0,23.0,65.0,25.0,75.0,78.0,34.0,7.0,166.0,207.0,11909.0,6.0,14225.0,23326.0,142.0,12.0,160.0,4982.0,13561.0,285.0,123.0,119.0,152.0
256,0.0,7.0,17.0,72.0,26.0,119.0,49.0,91.0,14821.0,112.0,87.0,303.0,110.0,255.0,83.0,12.0,141.0,12112.0,14.0,14001.0,23364.0,9060.0,105.0,86.0,174.0,13580.0,189.0,124.0,265.0,22.0
305,0.0,119.0,23.0,9.0,8.0,500.0,109.0,41.0,25.0,103.0,28.0,58.0,3557.0,22.0,126.0,3.0,2669.0,61.0,150.0,14457.0,23387.0,737.0,63.0,57.0,157.0,13577.0,82.0,13.0,713.0,192.0
354,2.0,5.0,16.0,6.0,29.0,0.0,37.0,45.0,46.0,159.0,28.0,198.0,95.0,58.0,102.0,12.0,195.0,242.0,120.0,14457.0,23352.0,344.0,22.0,11.0,643.0,13570.0,383.0,273.0,98.0,17.0
403,3.0,9.0,28.0,1.0,6.0,0.0,26.0,22.0,107.0,5.0,84.0,94.0,128.0,36.0,65.0,4.0,214.0,72.0,12.0,13283.0,20928.0,86.0,44.0,24.0,133.0,17977.0,281.0,27.0,6671.0,2.0
452,5.0,4.0,11.0,0.0,1.0,15.0,52.0,23.0,2.0,9.0,12565.0,8790.0,3069.0,39.0,25.0,19.0,21858.0,47.0,20.0,22.0,130.0,143.0,85.0,464.0,91.0,890.0,118.0,71.0,6287.0,4466.0
501,6.0,2.0,24.0,56.0,7.0,1.0,44.0,124.0,641.0,167.0,12813.0,8815.0,4067.0,222.0,293.0,9075.0,17.0,0.0,353.0,149.0,12.0,60.0,21469.0,10969.0,2485.0,139.0,14692.0,36.0,129.0,57.0
550,21.0,28.0,3.0,0.0,13.0,214.0,6.0,60.0,13637.0,1276.0,17155.0,9416.0,90.0,23147.0,77.0,124.0,22.0,56.0,126.0,34.0,8.0,15.0,15234.0,405.0,5653.0,421.0,14096.0,5.0,47.0,315.0
599,2.0,17.0,13.0,4.0,12.0,76.0,22.0,75.0,26.0,216.0,3.0,112.0,4641.0,5.0,133.0,222.0,119.0,47.0,228.0,137.0,98.0,39.0,21507.0,160.0,5823.0,2838.0,200.0,97.0,107.0,871.0
648,5.0,21.0,80.0,178.0,10.0,142.0,43.0,36.0,149.0,13287.0,127.0,8818.0,680.0,123.0,499.0,26.0,23.0,111.0,1727.0,343.0,23322.0,118.0,21477.0,453.0,4989.0,29.0,14681.0,246.0,208.0,520.0
697,12.0,13.0,0.0,134.0,4.0,41.0,151.0,122.0,26.0,119.0,1269.0,5453.0,816.0,211.0,221.0,72.0,32.0,10.0,181.0,99.0,164.0,146.0,206.0,10493.0,2405.0,13679.0,423.0,57.0,193.0,486.0
746,0.0,1.0,34.0,18.0,4.0,94.0,46.0,57.0,75.0,6.0,54.0,8812.0,142.0,212.0,189.0,88.0,39.0,9.0,516.0,43.0,132.0,103.0,1174.0,2912.0,157.0,8.0,14670.0,672.0,68.0,195.0
795,7.0,12.0,22.0,1.0,3.0,14772.0,6.0,52.0,93.0,59.0,3040.0,64.0,2.0,65.0,130.0,9077.0,20.0,28.0,342.0,124.0,91.0,127.0,21480.0,179.0,315.0,1321.0,204.0,5336.0,49.0,3985.0
844,0.0,72.0,26.0,2.0,3.0,8.0,56.0,65.0,19.0,50.0,52.0,8819.0,75.0,79.0,5.0,9079.0,85.0,44.0,181.0,33.0,405.0,156.0,21473.0,82.0,6013.0,13726.0,14689.0,6833.0,6995.0,309.0
893,5.0,48.0,3.0,0.0,2.0,7.0,33.0,10.0,16.0,14.0,56.0,19.0,1.0,27.0,137.0,111.0,36.0,159.0,126.0,30.0,275.0,49.0,21461.0,12122.0,448.0,2008.0,14656.0,35.0,99.0,10797.0
