,FAM21B,PYCARD,HMGA2,RP11-1094M14.1,PTEN,GAMT,BHLHE41,FAM110C,NDN,CPNE7,ADAP2,HSPB1,BTN3A1,AP006222.2,ZNF502,IFITM2,SCN9A,HS1BP3,RPL22,GBP5,SNCA,PITPNC1,ALDH2,C20orf96,NRK,RP11-517B11.7,ATP10A,PNRC2,RP11-216M21.1,FDXR
9,1.0,0.0,2.0,123.0,14.0,6.0,16.0,18.0,4.0,25.0,29.0,23.0,34.0,99.0,65.0,22.0,604.0,15.0,3.0,375.0,12.0,37.0,156.0,58.0,7.0,21.0,5.0,312.0,266.0,234.0
58,0.0,26.0,21.0,1.0,29.0,50.0,8.0,4.0,9.0,19.0,10.0,6.0,103.0,2.0,12.0,573.0,1278.0,7.0,23.0,1234.0,18.0,22.0,729.0,96.0,14.0,15.0,69.0,131.0,115.0,356.0
107,25.0,41.0,31.0,278.0,2.0,5.0,6.0,0.0,23.0,4.0,15.0,55.0,28.0,43.0,1.0,217.0,432.0,13.0,12.0,449.0,45.0,53.0,298.0,78.0,39.0,57.0,9.0,546.0,408.0,65.0
156,109.0,0.0,20.0,18.0,4.0,17.0,31.0,19.0,16.0,2.0,8.0,89.0,166.0,184.0,53.0,27.0,353.0,15.0,12.0,460.0,6.0,44.0,59.0,40.0,30.0,25.0,276.0,214.0,151.0,137.0
205,0.0,14.0,4.0,8.0,27.0,11.0,2.0,46.0,84.0,19.0,7.0,172.0,68.0,10.0,39.0,13.0,1229.0,32.0,40.0,851.0,1.0,239.0,31.0,16.0,9.0,191.0,5.0,24.0,227.0,67.0
254,0.0,1.0,45.0,19.0,41.0,270.0,33.0,17.0,31.0,25.0,29.0,26.0,223.0,3.0,51.0,60.0,1143.0,36.0,8.0,1149.0,24.0,9.0,70.0,14.0,18.0,4.0,87.0,64.0,98.0,115.0
303,0.0,8.0,3.0,90.0,16.0,2.0,19.0,11.0,7.0,4.0,25.0,21.0,210.0,32.0,39.0,61.0,1081.0,34.0,24.0,273.0,1.0,20.0,153.0,62.0,22.0,46.0,10.0,85.0,78.0,123.0
352,13.0,1.0,10.0,7.0,4.0,176.0,12.0,123.0,40.0,3.0,77.0,37.0,39.0,33.0,69.0,46.0,761.0,8.0,11.0,574.0,23.0,16.0,14.0,15.0,86.0,98.0,2.0,347.0,9.0,115.0
401,1.0,19.0,2.0,4.0,11.0,14.0,0.0,41.0,27.0,6.0,36.0,3.0,59.0,29.0,24.0,152.0,723.0,31.0,18.0,446.0,23.0,21.0,47.0,43.0,28.0,30.0,40.0,8.0,49.0,82.0
450,0.0,8.0,88.0,227.0,6.0,29.0,10.0,9.0,1.0,2.0,40.0,5.0,38.0,45.0,212.0,22.0,3743.0,25.0,16.0,217.0,19.0,57.0,347.0,14.0,92.0,71.0,7.0,146.0,506.0,65.0
499,0.0,2.0,71.0,3.0,8.0,131.0,43.0,613.0,278.0,58.0,218.0,14.0,32.0,6.0,113.0,16.0,65.0,31.0,18.0,17.0,180.0,15.0,47.0,22.0,109.0,10.0,941.0,66.0,659.0,129.0
548,0.0,2.0,21.0,1.0,5.0,11.0,56.0,45.0,15.0,3.0,29.0,12.0,26.0,13.0,58.0,4.0,8.0,27.0,161.0,135.0,25.0,22.0,111.0,6.0,37.0,79.0,472.0,91.0,53.0,376.0
597,0.0,4.0,3.0,1.0,2.0,208.0,5.0,24.0,29.0,16.0,9.0,30.0,94.0,11.0,20.0,147.0,10.0,42.0,47.0,171.0,26.0,62.0,188.0,34.0,52.0,13.0,167.0,44.0,102.0,173.0
646,0.0,4.0,8.0,1.0,2.0,36.0,82.0,52.0,13.0,7.0,33.0,5.0,35.0,27.0,83.0,3.0,315.0,26.0,213.0,22.0,24.0,39.0,29.0,68.0,74.0,20.0,264.0,71.0,41.0,204.0
695,0.0,3.0,6.0,1.0,4.0,122.0,22.0,50.0,2.0,11.0,8.0,56.0,27.0,15.0,12.0,29.0,32.0,47.0,127.0,62.0,10.0,21.0,103.0,14.0,195.0,63.0,409.0,43.0,35.0,42.0
744,0.0,25.0,5.0,18.0,1.0,2.0,37.0,42.0,3.0,6.0,13.0,60.0,47.0,41.0,82.0,16.0,14.0,9.0,207.0,30.0,29.0,57.0,61.0,46.0,55.0,53.0,72.0,11.0,81.0,146.0
793,0.0,5.0,9.0,1.0,2.0,19.0,82.0,134.0,44.0,3.0,14.0,21.0,31.0,152.0,34.0,22.0,36.0,7.0,172.0,292.0,35.0,53.0,18.0,6.0,599.0,94.0,48.0,16.0,27.0,17.0
842,1.0,45.0,15.0,10.0,2.0,91.0,5.0,314.0,0.0,8.0,19.0,44.0,30.0,13.0,245.0,48.0,35.0,31.0,39.0,121.0,9.0,70.0,40.0,34.0,287.0,58.0,534.0,107.0,132.0,356.0
891,0.0,8.0,29.0,2.0,1.0,54.0,4.0,58.0,15.0,3.0,11.0,41.0,25.0,60.0,33.0,45.0,37.0,43.0,106.0,48.0,176.0,72.0,16.0,6.0,55.0,36.0,157.0,57.0,14.0,63.0
940,0.0,1.0,2.0,14.0,6.0,133.0,62.0,25.0,7.0,74.0,4.0,8.0,47.0,10.0,71.0,3.0,22.0,53.0,55.0,68.0,11.0,94.0,96.0,54.0,32.0,9.0,275.0,18.0,136.0,81.0
989,0.0,6.0,2.0,23.0,30.0,307.0,3.0,5.0,114.0,63.0,1091.0,83.0,148.0,1.0,18.0,381.0,11.0,144.0,49.0,38.0,31.0,4.0,57.0,43.0,153.0,47.0,88.0,17.0,8.0,267.0
1038,14.0,8.0,5.0,21.0,43.0,17.0,13.0,6.0,187.0,0.0,102.0,49.0,168.0,3.0,4.0,10.0,118.0,55.0,15.0,101.0,26.0,1.0,27.0,60.0,2515.0,153.0,51.0,132.0,24.0,114.0
1087,1.0,44.0,87.0,0.0,43.0,15.0,11.0,13.0,152.0,33.0,48.0,10.0,24.0,3.0,4.0,32.0,6.0,111.0,63.0,35.0,88.0,21.0,86.0,34.0,118.0,126.0,121.0,19.0,2.0,20.0
1136,0.0,41.0,11.0,39.0,30.0,5.0,16.0,3.0,24.0,26.0,104.0,40.0,199.0,15.0,38.0,6.0,36.0,79.0,14.0,86.0,80.0,21.0,8.0,32.0,91.0,28.0,43.0,12.0,10.0,73.0
1185,0.0,11.0,533.0,1.0,43.0,2.0,4.0,20.0,47.0,55.0,495.0,35.0,219.0,22.0,66.0,25.0,10.0,45.0,83.0,13.0,111.0,26.0,5.0,12.0,64.0,31.0,296.0,73.0,92.0,54.0
1234,0.0,14.0,15.0,1.0,23.0,21.0,9.0,67.0,308.0,3.0,30.0,28.0,503.0,2.0,10.0,17.0,59.0,20.0,35.0,37.0,13.0,16.0,11.0,38.0,318.0,19.0,168.0,39.0,47.0,36.0
1283,0.0,4.0,14.0,7.0,59.0,6.0,19.0,9.0,69.0,10.0,54.0,5.0,120.0,2.0,3.0,30.0,22.0,46.0,16.0,27.0,134.0,20.0,44.0,60.0,298.0,28.0,297.0,12.0,11.0,15.0
1332,0.0,208.0,10.0,1.0,22.0,69.0,7.0,3.0,12.0,37.0,64.0,9.0,271.0,8.0,67.0,6.0,13.0,33.0,104.0,44.0,30.0,34.0,36.0,20.0,213.0,31.0,80.0,48.0,5.0,42.0
1381,0.0,7.0,18.0,8.0,10.0,12.0,5.0,43.0,130.0,2.0,96.0,21.0,410.0,6.0,48.0,1.0,25.0,46.0,34.0,81.0,72.0,102.0,9.0,3.0,186.0,133.0,38.0,51.0,4.0,30.0
1430,0.0,28.0,10.0,26.0,38.0,7.0,9.0,19.0,323.0,6.0,16.0,36.0,233.0,21.0,3.0,1.0,35.0,102.0,64.0,17.0,50.0,43.0,4.0,52.0,34.0,44.0,23.0,65.0,94.0,37.0
1479,0.0,1.0,2.0,3.0,78.0,17.0,6.0,742.0,121.0,34.0,22.0,11.0,9.0,26.0,4.0,16.0,100.0,24.0,31.0,28.0,76.0,83.0,5.0,39.0,175.0,43.0,8.0,29.0,304.0,21.0
1528,6.0,0.0,19.0,26.0,140.0,24.0,3.0,20.0,12.0,61.0,9.0,13.0,8.0,34.0,43.0,98.0,187.0,29.0,86.0,99.0,16.0,79.0,5.0,10.0,39.0,30.0,4.0,2.0,110.0,60.0
1577,0.0,3.0,26.0,341.0,4.0,63.0,6.0,476.0,64.0,1.0,70.0,13.0,29.0,14.0,12.0,11.0,172.0,8.0,23.0,37.0,79.0,25.0,2.0,20.0,232.0,594.0,5.0,104.0,1862.0,35.0
1626,0.0,7.0,2.0,3.0,60.0,31.0,11.0,797.0,584.0,42.0,52.0,13.0,8.0,20.0,15.0,12.0,41.0,6.0,35.0,113.0,10.0,130.0,1.0,17.0,347.0,119.0,32.0,171.0,27.0,24.0
1675,9.0,0.0,2.0,1.0,36.0,7.0,11.0,177.0,44.0,30.0,124.0,33.0,15.0,48.0,435.0,43.0,249.0,12.0,32.0,27.0,35.0,21.0,3.0,49.0,445.0,92.0,5.0,6.0,253.0,38.0
1724,1.0,0.0,3.0,21.0,51.0,68.0,9.0,14.0,145.0,2.0,60.0,4.0,10.0,67.0,44.0,7.0,148.0,47.0,73.0,11.0,90.0,124.0,17.0,15.0,100.0,84.0,22.0,13.0,88.0,99.0
1773,0.0,1.0,2.0,108.0,56.0,17.0,14.0,513.0,248.0,19.0,176.0,5.0,10.0,27.0,11.0,6.0,95.0,77.0,38.0,36.0,24.0,49.0,9.0,21.0,281.0,78.0,4.0,40.0,3048.0,64.0
1822,0.0,1.0,31.0,29.0,76.0,11.0,6.0,8.0,95.0,22.0,67.0,10.0,18.0,26.0,119.0,773.0,266.0,37.0,148.0,61.0,128.0,51.0,9.0,69.0,204.0,40.0,3.0,2.0,1339.0,7.0
