,MEK1_pS217_S221,PTEN,Porin,SCD1,p90RSK_pT359_S363,Notch1,AMPK_pT172,Bax,PREX1,HER3,GATA3,Cyclin_D1,CD31,PDCD4,Smac,eEF2K,GAPDH,c-Myc,SF2,14-3-3_beta,4E-BP1_pS65,MSH6,Bcl-2,XBP1,MAPK_pT202_Y204,VAV1,RSK1-2-3,EGFR,p38_pT180_Y182,p27_pT157
3,0.0,1.0,2.0,4.0,5.0,28.0,6.0,16.0,13.0,9.0,3.0,20.0,23.0,47.0,15.0,11.0,7.0,108.0,21.0,46.0,10.0,14.0,91.0,26.0,33.0,8.0,63.0,18.0,12.0,42.0
52,3.0,1.0,0.0,2.0,9.0,22.0,8.0,10.0,11.0,18.0,7.0,21.0,26.0,15.0,6.0,116.0,12.0,86.0,25.0,49.0,5.0,4.0,19.0,51.0,47.0,29.0,65.0,13.0,24.0,48.0
101,2.0,0.0,5.0,10.0,3.0,1.0,16.0,18.0,21.0,22.0,8.0,25.0,24.0,7.0,6.0,107.0,4.0,104.0,12.0,14.0,13.0,38.0,15.0,46.0,17.0,9.0,26.0,11.0,20.0,36.0
150,2.0,0.0,1.0,4.0,8.0,20.0,27.0,15.0,5.0,30.0,13.0,18.0,78.0,17.0,9.0,25.0,19.0,81.0,68.0,3.0,22.0,12.0,10.0,28.0,14.0,6.0,65.0,111.0,16.0,73.0
199,0.0,2.0,4.0,9.0,1.0,16.0,93.0,3.0,23.0,11.0,112.0,17.0,12.0,15.0,14.0,13.0,6.0,22.0,72.0,46.0,5.0,7.0,19.0,21.0,29.0,18.0,30.0,20.0,8.0,34.0
248,0.0,1.0,2.0,4.0,5.0,18.0,17.0,10.0,6.0,12.0,13.0,15.0,19.0,29.0,11.0,23.0,8.0,110.0,14.0,21.0,16.0,9.0,20.0,22.0,82.0,3.0,75.0,7.0,26.0,46.0
297,0.0,1.0,2.0,4.0,3.0,21.0,8.0,12.0,7.0,20.0,5.0,121.0,18.0,16.0,14.0,11.0,9.0,26.0,17.0,48.0,22.0,10.0,27.0,29.0,46.0,6.0,62.0,23.0,13.0,39.0
346,0.0,1.0,3.0,4.0,2.0,23.0,17.0,14.0,9.0,20.0,15.0,24.0,79.0,8.0,6.0,19.0,5.0,21.0,16.0,13.0,7.0,12.0,26.0,41.0,25.0,10.0,48.0,18.0,11.0,46.0
395,1.0,0.0,5.0,2.0,3.0,21.0,28.0,27.0,9.0,20.0,14.0,24.0,15.0,11.0,6.0,23.0,17.0,29.0,51.0,26.0,10.0,4.0,12.0,46.0,13.0,7.0,16.0,22.0,8.0,33.0
444,1.0,0.0,5.0,3.0,2.0,28.0,23.0,8.0,21.0,14.0,15.0,17.0,6.0,26.0,32.0,109.0,9.0,19.0,25.0,35.0,16.0,10.0,13.0,54.0,61.0,4.0,7.0,27.0,24.0,67.0
493,3.0,1.0,7.0,0.0,6.0,36.0,5.0,4.0,15.0,11.0,8.0,2.0,16.0,47.0,17.0,10.0,116.0,83.0,9.0,20.0,12.0,14.0,91.0,18.0,21.0,51.0,13.0,25.0,34.0,39.0
542,4.0,0.0,3.0,1.0,7.0,5.0,2.0,13.0,68.0,14.0,114.0,15.0,82.0,16.0,25.0,11.0,124.0,28.0,10.0,6.0,22.0,44.0,24.0,9.0,8.0,52.0,18.0,117.0,34.0,46.0
591,1.0,4.0,6.0,0.0,2.0,7.0,10.0,15.0,9.0,12.0,23.0,8.0,16.0,67.0,29.0,120.0,110.0,26.0,3.0,18.0,17.0,13.0,87.0,11.0,5.0,40.0,33.0,116.0,50.0,20.0
640,9.0,0.0,7.0,2.0,1.0,13.0,6.0,11.0,17.0,16.0,24.0,4.0,14.0,23.0,58.0,5.0,109.0,79.0,10.0,8.0,3.0,26.0,88.0,25.0,12.0,47.0,15.0,113.0,28.0,42.0
689,1.0,0.0,5.0,2.0,3.0,24.0,7.0,8.0,13.0,12.0,21.0,4.0,17.0,19.0,50.0,10.0,112.0,18.0,9.0,15.0,16.0,22.0,89.0,11.0,6.0,33.0,55.0,14.0,30.0,32.0
738,1.0,0.0,4.0,3.0,7.0,23.0,5.0,2.0,65.0,14.0,15.0,6.0,80.0,72.0,50.0,20.0,113.0,24.0,10.0,9.0,11.0,43.0,26.0,12.0,13.0,45.0,58.0,25.0,75.0,41.0
787,5.0,1.0,11.0,4.0,2.0,16.0,0.0,6.0,24.0,20.0,14.0,3.0,17.0,69.0,10.0,25.0,139.0,76.0,13.0,15.0,9.0,37.0,84.0,12.0,7.0,48.0,8.0,111.0,45.0,30.0
836,2.0,1.0,3.0,0.0,9.0,18.0,5.0,8.0,4.0,16.0,10.0,7.0,81.0,21.0,17.0,6.0,112.0,83.0,11.0,23.0,29.0,30.0,12.0,49.0,20.0,14.0,15.0,119.0,75.0,32.0
885,0.0,1.0,3.0,5.0,8.0,13.0,9.0,18.0,23.0,12.0,114.0,2.0,10.0,67.0,54.0,14.0,115.0,80.0,7.0,20.0,4.0,17.0,11.0,15.0,6.0,29.0,16.0,108.0,73.0,27.0
934,1.0,2.0,7.0,0.0,4.0,8.0,10.0,3.0,61.0,9.0,15.0,6.0,13.0,69.0,24.0,19.0,106.0,78.0,12.0,11.0,22.0,23.0,86.0,17.0,5.0,14.0,21.0,20.0,29.0,26.0
983,0.0,4.0,1.0,3.0,7.0,2.0,90.0,85.0,62.0,6.0,5.0,19.0,8.0,15.0,18.0,115.0,12.0,9.0,54.0,74.0,27.0,42.0,10.0,16.0,17.0,46.0,56.0,113.0,28.0,13.0
1032,4.0,2.0,1.0,3.0,23.0,41.0,20.0,13.0,14.0,7.0,15.0,9.0,16.0,8.0,11.0,18.0,5.0,0.0,59.0,45.0,99.0,12.0,17.0,19.0,6.0,22.0,24.0,108.0,26.0,43.0
1081,1.0,7.0,8.0,0.0,3.0,10.0,25.0,13.0,58.0,5.0,4.0,2.0,9.0,68.0,14.0,12.0,6.0,11.0,61.0,27.0,115.0,22.0,30.0,18.0,19.0,43.0,57.0,119.0,15.0,24.0
1130,0.0,8.0,3.0,1.0,2.0,24.0,19.0,16.0,15.0,5.0,4.0,21.0,11.0,9.0,26.0,10.0,22.0,12.0,53.0,75.0,101.0,14.0,7.0,42.0,6.0,37.0,56.0,113.0,20.0,31.0
1179,0.0,1.0,3.0,2.0,5.0,30.0,20.0,12.0,26.0,16.0,10.0,4.0,7.0,8.0,21.0,112.0,6.0,19.0,55.0,74.0,99.0,15.0,11.0,18.0,9.0,22.0,13.0,106.0,27.0,61.0
1228,0.0,2.0,7.0,11.0,1.0,24.0,20.0,23.0,19.0,8.0,10.0,5.0,15.0,22.0,6.0,16.0,13.0,9.0,63.0,49.0,25.0,3.0,89.0,51.0,29.0,53.0,26.0,32.0,17.0,39.0
1277,1.0,9.0,2.0,0.0,3.0,15.0,11.0,22.0,27.0,18.0,10.0,8.0,4.0,13.0,24.0,25.0,7.0,5.0,32.0,26.0,108.0,6.0,28.0,23.0,14.0,47.0,64.0,16.0,31.0,74.0
1326,3.0,15.0,0.0,2.0,5.0,19.0,21.0,10.0,8.0,6.0,4.0,11.0,9.0,16.0,18.0,26.0,12.0,7.0,61.0,35.0,102.0,23.0,13.0,24.0,1.0,52.0,17.0,122.0,14.0,32.0
1375,0.0,9.0,1.0,2.0,8.0,10.0,80.0,15.0,12.0,11.0,16.0,3.0,7.0,14.0,56.0,22.0,19.0,4.0,72.0,42.0,20.0,18.0,95.0,44.0,5.0,21.0,60.0,114.0,13.0,31.0
1424,3.0,2.0,0.0,1.0,13.0,14.0,20.0,8.0,71.0,5.0,7.0,16.0,12.0,11.0,27.0,19.0,17.0,6.0,63.0,45.0,106.0,41.0,9.0,48.0,4.0,50.0,65.0,123.0,15.0,24.0
1473,1.0,4.0,5.0,2.0,18.0,10.0,0.0,14.0,13.0,17.0,32.0,9.0,3.0,29.0,6.0,118.0,27.0,19.0,66.0,11.0,25.0,7.0,94.0,8.0,42.0,54.0,20.0,21.0,37.0,16.0
1522,1.0,3.0,4.0,0.0,16.0,15.0,5.0,9.0,8.0,7.0,6.0,22.0,2.0,11.0,12.0,118.0,21.0,18.0,17.0,13.0,14.0,26.0,10.0,42.0,46.0,24.0,59.0,117.0,20.0,35.0
1571,0.0,2.0,6.0,7.0,25.0,24.0,13.0,9.0,1.0,5.0,23.0,4.0,20.0,11.0,22.0,120.0,107.0,15.0,28.0,3.0,14.0,8.0,17.0,12.0,43.0,21.0,19.0,16.0,18.0,31.0
1620,8.0,3.0,1.0,0.0,7.0,25.0,2.0,11.0,6.0,20.0,30.0,4.0,10.0,27.0,13.0,116.0,14.0,18.0,26.0,12.0,21.0,22.0,16.0,5.0,46.0,42.0,15.0,115.0,64.0,28.0
1669,1.0,2.0,10.0,0.0,12.0,9.0,3.0,14.0,4.0,13.0,117.0,6.0,5.0,18.0,61.0,112.0,15.0,8.0,22.0,7.0,102.0,11.0,89.0,17.0,44.0,24.0,27.0,21.0,32.0,39.0
1718,0.0,5.0,8.0,1.0,7.0,12.0,3.0,15.0,2.0,21.0,17.0,10.0,16.0,19.0,24.0,127.0,26.0,18.0,13.0,20.0,22.0,14.0,4.0,11.0,49.0,46.0,9.0,120.0,55.0,34.0
1767,13.0,2.0,1.0,0.0,17.0,14.0,4.0,22.0,3.0,7.0,113.0,23.0,8.0,6.0,9.0,35.0,19.0,11.0,56.0,10.0,34.0,29.0,5.0,12.0,42.0,26.0,31.0,120.0,64.0,38.0
1816,2.0,1.0,11.0,0.0,15.0,3.0,8.0,4.0,12.0,7.0,123.0,16.0,6.0,21.0,13.0,112.0,10.0,9.0,59.0,44.0,100.0,20.0,17.0,5.0,26.0,23.0,24.0,14.0,31.0,36.0
1865,0.0,2.0,1.0,3.0,26.0,19.0,4.0,8.0,11.0,13.0,18.0,24.0,10.0,9.0,66.0,111.0,14.0,6.0,21.0,5.0,30.0,17.0,16.0,12.0,47.0,64.0,20.0,25.0,72.0,54.0
1914,3.0,4.0,8.0,1.0,22.0,7.0,0.0,88.0,12.0,18.0,17.0,11.0,2.0,6.0,9.0,112.0,127.0,14.0,54.0,5.0,27.0,21.0,15.0,16.0,44.0,70.0,10.0,25.0,29.0,31.0
1963,0.0,12.0,1.0,24.0,8.0,10.0,3.0,7.0,2.0,11.0,14.0,22.0,5.0,50.0,6.0,4.0,19.0,13.0,18.0,75.0,32.0,16.0,89.0,27.0,44.0,25.0,60.0,128.0,49.0,34.0
2012,1.0,3.0,0.0,16.0,10.0,4.0,2.0,7.0,5.0,12.0,29.0,6.0,9.0,66.0,18.0,11.0,110.0,75.0,17.0,19.0,14.0,23.0,24.0,41.0,43.0,35.0,30.0,26.0,50.0,39.0
2061,0.0,4.0,2.0,16.0,8.0,9.0,3.0,11.0,6.0,12.0,20.0,1.0,25.0,30.0,21.0,7.0,15.0,13.0,26.0,37.0,24.0,31.0,27.0,17.0,45.0,53.0,129.0,114.0,34.0,33.0
2110,0.0,1.0,3.0,10.0,18.0,2.0,8.0,9.0,4.0,14.0,13.0,5.0,20.0,11.0,7.0,12.0,119.0,15.0,17.0,24.0,23.0,41.0,21.0,16.0,47.0,43.0,57.0,110.0,30.0,32.0
2159,0.0,3.0,1.0,8.0,10.0,4.0,5.0,7.0,2.0,11.0,19.0,14.0,18.0,21.0,6.0,9.0,24.0,83.0,13.0,45.0,104.0,22.0,15.0,47.0,23.0,20.0,62.0,121.0,29.0,25.0
2208,0.0,2.0,1.0,9.0,18.0,4.0,6.0,8.0,3.0,19.0,22.0,23.0,10.0,14.0,21.0,16.0,30.0,11.0,52.0,12.0,15.0,13.0,17.0,20.0,43.0,26.0,57.0,28.0,33.0,35.0
2257,0.0,6.0,2.0,5.0,18.0,8.0,19.0,11.0,3.0,24.0,23.0,1.0,13.0,40.0,9.0,10.0,90.0,20.0,77.0,29.0,16.0,55.0,22.0,25.0,14.0,64.0,80.0,100.0,21.0,46.0
2306,0.0,4.0,2.0,5.0,22.0,8.0,12.0,3.0,1.0,7.0,107.0,16.0,19.0,17.0,11.0,10.0,115.0,13.0,15.0,26.0,102.0,20.0,21.0,9.0,23.0,40.0,57.0,112.0,34.0,37.0
