,NF1_MUT,LOC284344_DEL,LRP1B_MUT,DICER1_MUT,MRGPRX1_DEL,ATP8A2_DEL,FAM72B_AMP,PSG4_DEL,C15orf2_MUT,SLC25A37_AMP,ANKRD36B_DEL,YSK4_MUT,LINC00421_DEL,RAD50_MUT,FZD1_MUT,ZNF705G_AMP,GJB6_DEL,PIK3C2G_MUT,GUCY2C_MUT,RGPD4_AMP,PI4KA_MUT,CHAMP1_AMP,PAXIP1_MUT,CES1_AMP,SDHAP2_DEL,CIT_MUT,LOC92249_AMP,SMG1_MUT,LPP_DEL,SPEN_MUT
28,1.0,69.0,21.0,7.0,129.0,12287.0,3.0,17.0,336.0,1091.0,8801.0,0.0,60.0,22.0,1555.0,2575.0,20103.0,147.0,149.0,1812.0,16513.0,172.0,370.0,15.0,9149.0,253.0,141.0,16718.0,486.0,48.0
77,44.0,206.0,76.0,29.0,2442.0,2676.0,88.0,45.0,6.0,321.0,12523.0,25.0,18654.0,360.0,73.0,223.0,82.0,242.0,16444.0,710.0,826.0,636.0,55.0,1465.0,114.0,16639.0,24.0,254.0,363.0,2668.0
126,0.0,99.0,69.0,210.0,35.0,10287.0,680.0,21.0,248.0,2640.0,1579.0,61.0,19.0,16617.0,1202.0,104.0,330.0,1132.0,787.0,65.0,1204.0,57.0,9.0,18126.0,67.0,16634.0,416.0,2.0,159.0,16722.0
175,5.0,0.0,130.0,185.0,2734.0,900.0,440.0,83.0,1470.0,2.0,118.0,33.0,1112.0,10.0,769.0,423.0,1519.0,28.0,426.0,1439.0,57.0,12935.0,693.0,103.0,8588.0,444.0,12.0,16714.0,1141.0,154.0
224,24.0,1.0,9.0,1226.0,393.0,3.0,7.0,0.0,1114.0,89.0,161.0,8.0,69.0,1463.0,47.0,1418.0,15.0,42.0,82.0,538.0,14.0,43.0,16737.0,18010.0,782.0,16652.0,19332.0,515.0,3459.0,40.0
273,4.0,22.0,16506.0,3.0,105.0,161.0,23601.0,660.0,51.0,2.0,321.0,17020.0,2096.0,1669.0,9.0,120.0,37.0,31.0,16633.0,1488.0,16509.0,818.0,2717.0,632.0,679.0,122.0,522.0,16689.0,245.0,655.0
322,34.0,0.0,2.0,38.0,423.0,10283.0,6.0,138.0,260.0,3.0,8.0,78.0,18587.0,11.0,271.0,146.0,123.0,1773.0,229.0,2834.0,16542.0,89.0,2010.0,1785.0,51.0,351.0,1851.0,1666.0,103.0,29.0
371,2.0,3.0,5.0,281.0,79.0,2334.0,30.0,25.0,292.0,152.0,19.0,578.0,2650.0,16618.0,17019.0,537.0,1825.0,12.0,1.0,14.0,210.0,12898.0,267.0,71.0,2301.0,16636.0,19791.0,75.0,175.0,100.0
420,2.0,0.0,1.0,11.0,3.0,6.0,437.0,12.0,16622.0,56.0,2693.0,352.0,215.0,21.0,118.0,26.0,14.0,602.0,16404.0,13348.0,1413.0,2056.0,228.0,1950.0,8599.0,16599.0,204.0,463.0,91.0,667.0
469,1.0,93.0,157.0,147.0,2.0,150.0,567.0,764.0,16651.0,539.0,587.0,21.0,16.0,395.0,22.0,732.0,204.0,700.0,16447.0,5.0,1350.0,2247.0,2176.0,18103.0,714.0,16638.0,19783.0,1354.0,848.0,2478.0
518,1.0,77.0,3.0,21.0,5.0,0.0,75.0,140.0,563.0,14.0,12.0,857.0,528.0,16635.0,117.0,15931.0,232.0,16560.0,46.0,2133.0,16554.0,322.0,112.0,17.0,8626.0,335.0,363.0,359.0,3920.0,1553.0
567,27.0,0.0,26.0,8.0,117.0,7.0,221.0,12226.0,600.0,30.0,424.0,20.0,85.0,384.0,1577.0,97.0,20162.0,582.0,78.0,136.0,16553.0,12889.0,54.0,70.0,123.0,2525.0,4.0,16750.0,267.0,16743.0
616,5.0,2734.0,43.0,268.0,1117.0,10284.0,20.0,273.0,383.0,200.0,527.0,2.0,89.0,16617.0,760.0,890.0,2530.0,242.0,55.0,25.0,16513.0,12881.0,1355.0,12.0,8615.0,11.0,2256.0,1458.0,776.0,16726.0
665,126.0,7.0,0.0,524.0,23.0,5.0,4.0,839.0,34.0,2442.0,26.0,128.0,17.0,24.0,901.0,994.0,141.0,350.0,541.0,11.0,16461.0,12866.0,154.0,67.0,123.0,16631.0,19739.0,16676.0,804.0,16678.0
714,2.0,106.0,11.0,16660.0,13.0,2531.0,8.0,580.0,114.0,133.0,987.0,341.0,35.0,126.0,155.0,403.0,20086.0,21.0,0.0,223.0,220.0,12895.0,38.0,1083.0,299.0,1077.0,388.0,20.0,2964.0,2516.0
763,0.0,67.0,229.0,16666.0,2565.0,1138.0,4.0,8.0,449.0,76.0,277.0,5.0,6.0,83.0,56.0,16864.0,20091.0,1320.0,74.0,812.0,1555.0,12948.0,1506.0,728.0,196.0,1871.0,57.0,77.0,954.0,1203.0
812,14.0,8.0,943.0,0.0,47.0,10148.0,11.0,17.0,46.0,3.0,1910.0,466.0,941.0,16613.0,84.0,16845.0,20116.0,314.0,600.0,38.0,649.0,654.0,168.0,7.0,7524.0,16630.0,116.0,844.0,2863.0,889.0
861,1127.0,12.0,1302.0,16642.0,36.0,413.0,53.0,30.0,16679.0,2420.0,772.0,291.0,5.0,715.0,185.0,15926.0,419.0,16484.0,2698.0,44.0,375.0,13022.0,20.0,4.0,33.0,2188.0,828.0,16709.0,51.0,16712.0
