,hsa-miR-483-3p,hsa-miR-125a-3p,hsa-miR-934,hsa-miR-744,hsa-miR-485-3p,hsa-miR-582-5p,hsa-miR-10b,hsa-miR-1977,hsa-miR-142-5p,hsa-miR-124,hsa-miR-764,hsa-miR-628-5p,hsa-miR-92a,hsa-miR-590-5p,hsa-miR-1976,hsa-miR-223,hsa-miR-34a,ebv-miR-BART2-5p,hsa-miR-150,hsa-miR-555,hsa-miR-579,hsa-miR-623,hsa-miR-550,hsa-miR-591,hsa-miR-1259,hsa-miR-581,hsa-miR-887,hsa-miR-1979,hsa-miR-199b-5p,hsa-miR-921
17,2.0,0.0,5.0,18.0,7.0,1.0,6.0,23.0,12.0,13.0,15.0,9.0,46.0,10.0,16.0,42.0,30.0,39.0,32.0,66.0,26.0,103.0,54.0,14.0,41.0,27.0,48.0,21.0,434.0,19.0
66,10.0,1.0,0.0,13.0,27.0,19.0,2.0,57.0,11.0,45.0,5.0,67.0,86.0,4.0,88.0,9.0,15.0,12.0,129.0,32.0,6.0,23.0,44.0,17.0,76.0,117.0,28.0,93.0,55.0,3.0
115,8.0,0.0,2.0,27.0,15.0,3.0,12.0,44.0,31.0,14.0,21.0,36.0,75.0,18.0,29.0,23.0,4.0,10.0,67.0,22.0,9.0,54.0,55.0,59.0,91.0,26.0,49.0,57.0,52.0,1.0
164,0.0,11.0,7.0,3.0,19.0,6.0,4.0,45.0,2.0,12.0,10.0,22.0,80.0,24.0,36.0,14.0,1.0,18.0,35.0,27.0,5.0,32.0,123.0,25.0,34.0,17.0,51.0,54.0,72.0,8.0
213,2.0,0.0,1.0,5.0,14.0,3.0,8.0,86.0,90.0,21.0,12.0,23.0,93.0,10.0,75.0,6.0,36.0,17.0,32.0,33.0,15.0,31.0,92.0,28.0,11.0,50.0,59.0,70.0,13.0,25.0
262,2.0,0.0,1.0,6.0,12.0,8.0,9.0,14.0,7.0,15.0,18.0,4.0,31.0,5.0,36.0,66.0,41.0,17.0,47.0,39.0,10.0,106.0,166.0,19.0,94.0,20.0,56.0,28.0,331.0,65.0
311,4.0,0.0,3.0,1.0,20.0,13.0,49.0,2.0,23.0,18.0,10.0,16.0,39.0,8.0,11.0,19.0,57.0,26.0,55.0,56.0,25.0,27.0,81.0,12.0,22.0,33.0,98.0,32.0,7.0,6.0
360,1.0,0.0,6.0,30.0,5.0,16.0,2.0,41.0,4.0,19.0,3.0,9.0,14.0,15.0,43.0,7.0,52.0,17.0,23.0,34.0,10.0,31.0,79.0,36.0,50.0,68.0,40.0,124.0,57.0,12.0
409,2.0,6.0,0.0,7.0,9.0,1.0,16.0,22.0,38.0,33.0,21.0,12.0,98.0,4.0,5.0,43.0,26.0,44.0,70.0,34.0,14.0,24.0,63.0,18.0,104.0,29.0,8.0,27.0,69.0,54.0
458,1.0,0.0,2.0,4.0,11.0,53.0,8.0,22.0,29.0,18.0,12.0,41.0,115.0,48.0,13.0,7.0,54.0,9.0,24.0,25.0,19.0,38.0,109.0,16.0,27.0,42.0,37.0,6.0,46.0,14.0
507,0.0,9.0,7.0,253.0,6.0,4.0,2.0,5.0,17.0,25.0,18.0,1.0,8.0,31.0,368.0,14.0,16.0,74.0,30.0,22.0,28.0,26.0,93.0,35.0,10.0,77.0,44.0,39.0,3.0,117.0
556,1.0,0.0,44.0,3.0,10.0,30.0,5.0,8.0,13.0,16.0,32.0,12.0,18.0,65.0,53.0,49.0,2.0,19.0,59.0,45.0,36.0,39.0,11.0,48.0,9.0,131.0,38.0,14.0,4.0,52.0
605,0.0,3.0,12.0,73.0,4.0,7.0,2.0,1.0,33.0,25.0,23.0,11.0,16.0,55.0,41.0,30.0,9.0,39.0,67.0,21.0,15.0,19.0,36.0,79.0,8.0,115.0,49.0,53.0,62.0,54.0
654,2.0,0.0,25.0,27.0,40.0,46.0,8.0,5.0,11.0,22.0,38.0,9.0,17.0,36.0,1.0,10.0,7.0,76.0,13.0,45.0,16.0,51.0,44.0,34.0,6.0,149.0,110.0,71.0,21.0,20.0
703,1.0,0.0,13.0,46.0,7.0,4.0,23.0,3.0,31.0,6.0,39.0,35.0,16.0,2.0,53.0,26.0,36.0,45.0,21.0,48.0,9.0,10.0,15.0,69.0,17.0,160.0,56.0,371.0,8.0,20.0
752,0.0,5.0,9.0,49.0,7.0,15.0,1.0,2.0,17.0,13.0,29.0,28.0,31.0,42.0,58.0,48.0,54.0,16.0,6.0,8.0,10.0,22.0,121.0,27.0,11.0,35.0,83.0,26.0,12.0,97.0
801,0.0,9.0,7.0,14.0,16.0,13.0,1.0,6.0,15.0,5.0,10.0,12.0,74.0,39.0,11.0,23.0,42.0,58.0,34.0,28.0,2.0,18.0,53.0,38.0,4.0,86.0,19.0,64.0,3.0,31.0
850,0.0,9.0,48.0,27.0,3.0,14.0,6.0,31.0,4.0,8.0,96.0,24.0,35.0,18.0,398.0,34.0,2.0,32.0,30.0,99.0,7.0,19.0,1.0,76.0,15.0,89.0,61.0,105.0,5.0,78.0
899,2.0,3.0,0.0,9.0,5.0,7.0,11.0,1.0,34.0,37.0,46.0,6.0,18.0,45.0,29.0,32.0,41.0,100.0,17.0,28.0,14.0,53.0,25.0,20.0,4.0,163.0,35.0,56.0,8.0,257.0
948,0.0,3.0,9.0,302.0,5.0,2.0,1.0,16.0,7.0,14.0,17.0,27.0,73.0,59.0,22.0,26.0,21.0,83.0,20.0,6.0,10.0,25.0,24.0,255.0,4.0,75.0,31.0,108.0,8.0,64.0
997,2.0,41.0,1.0,46.0,0.0,79.0,108.0,33.0,40.0,11.0,13.0,20.0,99.0,31.0,26.0,58.0,12.0,66.0,39.0,4.0,38.0,8.0,5.0,85.0,10.0,29.0,27.0,19.0,363.0,219.0
1046,1.0,8.0,11.0,2.0,0.0,33.0,35.0,5.0,16.0,4.0,25.0,21.0,126.0,36.0,14.0,31.0,23.0,32.0,46.0,19.0,48.0,64.0,3.0,76.0,20.0,109.0,7.0,18.0,398.0,221.0
1095,4.0,84.0,5.0,14.0,0.0,123.0,66.0,18.0,12.0,2.0,29.0,17.0,21.0,6.0,22.0,94.0,24.0,63.0,31.0,28.0,79.0,40.0,1.0,62.0,26.0,97.0,36.0,8.0,364.0,217.0
1144,1.0,39.0,14.0,17.0,0.0,23.0,82.0,2.0,8.0,4.0,29.0,36.0,26.0,19.0,42.0,33.0,24.0,30.0,20.0,21.0,16.0,75.0,3.0,67.0,38.0,34.0,7.0,41.0,337.0,230.0
1193,3.0,65.0,0.0,20.0,1.0,43.0,46.0,4.0,5.0,2.0,6.0,55.0,14.0,16.0,13.0,121.0,8.0,41.0,44.0,42.0,63.0,48.0,11.0,53.0,21.0,18.0,66.0,38.0,319.0,224.0
